Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,14.62,160,0.28,1354,0.00,0.00,-0.052,16,6.15,-1.08,0.00
172,14.45,160,0.28,1334,0.00,0.00,-0.052,16,6.23,-1.08,0.00
344,14.49,160,0.28,1342,0.00,0.00,-0.052,16,6.12,-1.08,0.00
516,14.70,160,0.28,1346,0.00,0.00,-0.052,16,6.19,-1.08,0.00
688,14.70,160,0.28,1327,0.00,0.00,-0.052,16,6.19,-1.08,0.00
859,14.70,160,0.28,1346,0.00,0.00,-0.052,16,6.19,-1.08,0.00
1047,14.72,160,0.27,1340,0.00,0.00,-0.052,16,5.88,-1.08,0.00
1219,14.66,160,0.24,1327,0.00,0.00,-0.052,16,5.01,-1.08,0.00
1390,14.52,160,0.23,1302,0.00,0.00,-0.052,16,4.82,-1.08,0.00
1562,14.26,160,0.22,1272,0.00,0.00,-0.052,16,4.44,-1.08,0.00
1739,14.24,160,0.21,1227,0.00,0.00,-0.052,16,4.23,-1.08,0.00
1911,14.60,160,0.21,1174,0.00,0.00,-0.052,16,4.14,-1.08,0.00
2083,14.68,160,0.23,1066,0.00,0.00,-0.052,16,4.31,-1.08,0.00
2255,14.81,160,0.23,1037,0.00,0.00,-0.052,16,4.04,-1.08,0.00
2442,14.81,160,0.23,1033,0.00,0.00,-0.052,16,3.85,-1.08,0.00
2614,14.81,160,0.22,1011,0.00,0.00,-0.052,16,3.63,-1.08,0.00
2786,14.70,160,0.22,989,0.00,0.00,-0.052,16,3.52,-1.08,0.00
2958,14.68,160,0.22,959,0.00,0.00,-0.052,16,3.58,-1.08,0.00
3145,14.66,160,0.22,920,0.00,0.00,-0.052,16,3.48,-1.08,0.00
3317,14.68,160,0.22,896,0.00,0.00,-0.052,16,3.41,-1.08,0.00
3489,14.68,160,0.22,886,0.00,0.00,-0.052,16,3.31,-1.08,0.00
3661,14.47,160,0.22,874,0.00,0.00,-0.052,16,3.24,-1.08,0.00
3833,14.45,160,0.22,853,0.00,0.00,-0.052,16,3.13,-1.08,0.00
4004,14.43,160,0.22,850,0.00,0.00,-0.052,16,3.13,-1.08,0.00
4181,14.41,160,0.23,815,0.00,0.00,-0.052,16,3.13,-1.08,0.00
4353,14.41,160,0.23,781,0.00,0.00,-0.052,16,3.11,-1.08,0.00
4525,14.46,160,0.23,776,0.00,0.00,-0.052,16,3.06,-1.08,0.00
4697,14.56,160,0.23,794,0.00,0.00,-0.052,16,2.91,-1.08,0.00
4868,14.68,160,0.23,791,0.00,0.00,-0.052,16,2.93,-1.08,0.00
5056,14.87,160,0.23,792,0.00,0.00,-0.052,16,3.13,-1.08,0.39
5228,14.98,160,0.25,758,0.00,0.00,-0.052,16,3.53,-1.08,0.78
5400,15.23,160,0.27,754,0.00,0.00,-0.052,16,3.65,-1.08,1.18
5572,15.43,162,0.32,762,0.00,0.00,-0.052,16,6.62,-1.08,1.57
5743,15.57,162,0.48,899,0.00,0.00,-0.052,16,9.67,-1.08,3.53
5915,15.87,162,0.53,1278,0.00,0.00,-0.052,16,11.56,-1.08,4.71
6087,14.81,162,0.46,1878,0.00,0.00,-0.052,16,13.20,-1.26,4.71
6259,15.51,162,0.40,2139,0.00,0.00,-0.052,16,13.38,-1.37,5.10
6431,14.88,162,0.38,2194,0.00,0.00,-0.052,16,13.78,-1.45,5.10
6618,13.66,162,0.40,2065,0.00,0.00,-0.052,16,14.17,-1.37,5.49
6775,13.69,162,0.44,1855,0.00,0.00,-0.052,16,14.36,-1.30,5.49
6962,14.28,162,0.49,1705,0.00,0.00,-0.052,16,14.75,-1.16,5.88
7134,14.64,162,0.56,1550,0.00,0.00,-0.052,16,15.49,-1.08,6.27
7306,14.20,162,0.62,1471,0.00,0.00,-0.052,16,16.85,-1.08,6.27
7476,14.08,162,0.67,1465,0.00,0.00,-0.052,16,16.85,-1.08,6.67
7648,14.64,162,0.68,1525,0.00,0.00,-0.052,16,17.31,-1.08,7.06
7820,15.09,162,0.68,1611,0.00,0.00,-0.052,16,18.23,-1.08,7.06
8008,14.90,162,0.67,1688,0.00,0.00,-0.052,16,18.80,-1.14,7.45
8179,14.68,162,0.67,1738,0.00,0.00,-0.052,16,19.42,-1.18,7.45
8351,14.64,162,0.67,1746,0.00,0.00,-0.052,16,19.66,-1.18,7.84
8523,14.61,162,0.69,1728,0.00,0.00,-0.052,16,19.97,-1.16,7.84
8695,14.35,162,0.72,1583,0.00,0.00,-0.052,16,20.00,-1.08,7.84
8867,14.51,162,0.72,1766,0.00,0.00,-0.052,16,19.29,-1.10,7.84
9040,14.16,162,0.70,1776,0.00,0.00,-0.052,16,20.67,-1.20,8.24
9227,14.76,162,0.67,1984,0.00,0.00,-0.052,16,21.64,-1.31,8.63
9388,14.66,162,0.66,2034,0.00,0.00,-0.052,16,22.08,-1.31,8.63
9560,14.62,162,0.64,2148,0.00,0.00,-0.052,16,22.81,-1.41,8.63
9732,14.45,162,0.63,2233,0.00,0.00,-0.056,16,23.09,-1.45,8.63
9919,14.45,162,0.62,2315,0.00,0.00,-0.052,16,23.77,-1.53,9.02
10092,14.56,162,0.59,2432,0.00,0.00,-0.052,16,23.48,-2.36,9.02
10264,14.43,162,0.57,2528,0.00,0.00,-0.052,16,23.40,-2.75,9.02
10436,14.51,162,0.55,2587,0.00,0.00,-0.052,16,23.69,-3.13,9.02
10608,14.62,162,0.54,2672,0.00,0.00,-0.052,16,23.79,-3.56,9.02
10780,14.58,162,0.52,2764,0.00,0.00,-0.052,16,23.79,-3.81,9.02
10952,14.56,162,0.51,2800,0.00,0.00,-0.052,16,24.31,-4.20,9.02
11124,14.27,162,0.50,2922,0.00,0.00,-0.052,16,24.11,-4.23,8.63
11295,14.10,162,0.31,2891,0.00,0.00,-0.052,16,9.58,-4.23,0.00
11467,11.94,162,0.23,2910,0.00,0.00,-0.052,16,10.74,-4.22,0.00
11655,11.81,162,0.23,2804,0.00,0.00,-0.052,16,10.89,-4.20,0.00
11827,11.89,162,0.25,2483,0.00,0.00,-0.052,16,10.84,-3.29,0.00
11998,14.01,162,0.26,2252,0.00,0.00,-0.052,16,10.09,-1.49,0.00
12170,18.62,162,0.27,1914,0.00,0.00,-0.052,16,8.56,-1.28,0.00
12342,22.87,162,0.27,1607,0.00,0.00,-0.052,16,7.78,-1.16,0.00
12519,23.14,162,0.30,1425,0.00,0.00,-0.052,16,7.34,-1.08,0.00
12691,23.26,162,0.33,1170,0.00,0.00,-0.052,16,7.42,-1.08,0.00
12862,22.99,162,0.30,1372,0.00,0.00,-0.052,16,5.78,-1.08,0.00
13034,22.24,162,0.27,1385,0.00,0.00,-0.052,16,5.94,-1.08,0.00
13206,14.57,162,0.27,1367,0.00,0.00,-0.052,16,6.41,-1.08,0.00
13378,14.31,162,0.27,1376,0.00,0.00,-0.052,16,6.12,-1.08,0.00
13565,14.41,163,0.30,1380,0.00,0.00,-0.052,16,7.95,-1.08,2.75
13722,14.37,163,0.37,1558,0.00,0.00,-0.052,16,10.19,-1.08,3.92
13909,14.13,163,0.42,1728,0.00,0.00,-0.052,16,12.58,-1.16,4.71
14081,14.09,163,0.44,1954,0.00,0.00,-0.052,16,14.41,-1.30,5.49
14253,14.55,163,0.43,2110,0.00,0.00,-0.052,16,15.06,-1.37,5.88
14425,13.96,163,0.44,2093,0.00,0.00,-0.052,16,15.85,-1.39,5.88
14597,13.93,163,0.48,1854,0.00,0.00,-0.052,16,16.22,-1.24,6.27
14772,14.43,163,0.54,1819,0.00,0.00,-0.052,16,18.52,-1.18,8.24
14944,14.46,163,0.64,1823,0.00,0.00,-0.052,16,20.87,-1.24,9.80
15116,14.47,163,0.70,1877,0.00,0.00,-0.052,16,22.54,-1.26,10.59
15288,14.37,163,0.71,1927,0.00,0.00,-0.052,16,23.38,-1.28,10.98
15459,14.62,163,0.72,2001,0.00,0.00,-0.052,16,24.39,-1.33,10.98
15647,14.60,163,0.73,2057,0.00,0.00,-0.052,16,25.08,-1.37,11.76
15819,14.53,163,0.74,2117,0.00,0.00,-0.052,16,25.98,-1.39,11.76
15991,14.49,163,0.75,2169,0.00,0.00,-0.052,16,26.71,-1.43,12.16
16163,14.45,163,0.75,2235,0.00,0.00,-0.052,16,27.99,-1.47,12.16
16334,14.57,163,0.75,2281,0.00,0.00,-0.052,16,28.55,-1.45,12.55
16506,14.48,163,0.75,2348,0.00,0.00,-0.052,16,29.29,-1.55,12.16
16678,14.41,163,0.75,2410,0.00,0.00,-0.052,16,29.96,-1.95,12.16
16850,14.46,163,0.74,2485,0.00,0.00,-0.052,16,30.75,-2.75,12.16
17022,14.49,163,0.73,2533,0.00,0.00,-0.052,16,30.66,-2.96,12.16
17209,14.60,163,0.72,2608,0.00,0.00,-0.052,16,31.35,-3.13,12.16
17381,14.56,163,0.72,2630,0.00,0.00,-0.052,16,31.69,-3.35,12.16
17553,14.40,163,0.71,2696,0.00,0.00,-0.052,16,31.23,-3.67,11.76
17725,14.51,163,0.70,2756,0.00,0.00,-0.056,16,31.94,-3.73,11.76
17897,14.49,163,0.69,2772,0.00,0.00,-0.052,16,31.60,-4.04,11.76
18069,14.53,163,0.68,2816,0.00,0.00,-0.052,16,31.83,-4.20,11.76
18241,14.31,163,0.68,2899,0.00,0.00,-0.052,16,32.40,-4.22,11.76
18412,14.45,163,0.66,2936,0.00,0.00,-0.052,16,32.51,-4.23,11.76
18584,14.53,163,0.66,2993,0.00,0.00,-0.052,16,32.54,-4.25,11.76
18787,14.33,163,0.64,3051,0.00,0.00,-0.052,16,32.20,-4.27,11.37
18959,14.62,163,0.61,3103,0.00,0.00,-0.052,16,31.52,-4.29,10.98
19131,14.64,163,0.59,3105,0.00,0.00,-0.052,16,30.05,-4.31,10.59
19303,14.45,163,0.48,3155,0.00,0.00,-0.052,16,20.46,-4.31,2.35
19475,12.63,163,0.22,3129,0.00,0.00,-0.052,16,9.48,-4.31,0.00
19647,11.81,163,0.24,3078,0.00,0.00,-0.052,16,12.58,-4.29,0.00
19834,11.71,163,0.24,2854,0.00,0.00,-0.052,16,10.94,-4.23,0.00
20006,11.96,163,0.26,2611,0.00,0.00,-0.052,16,11.60,-3.25,0.00
20167,14.68,163,0.25,2255,0.00,0.00,-0.052,16,8.44,-1.49,0.00
20354,22.44,163,0.26,1961,0.00,0.00,-0.052,16,8.31,-1.37,0.00
20526,23.14,163,0.26,1760,0.00,0.00,-0.052,16,7.99,-1.18,0.00
20698,23.20,163,0.28,1475,0.00,0.00,-0.052,16,7.18,-1.08,0.00
20870,23.15,165,0.30,1158,0.00,0.00,-0.052,16,6.66,-1.08,0.00
21042,23.14,165,0.31,1268,0.00,0.00,-0.052,16,6.70,-1.08,0.00
21214,22.89,165,0.27,1302,0.00,0.00,-0.052,16,5.56,-1.08,0.00
21386,18.79,165,0.37,1292,0.00,0.00,-0.052,16,12.58,-1.08,4.71
21558,15.16,165,0.50,1487,0.00,0.00,-0.052,16,13.56,-1.08,5.10
21729,13.42,165,0.46,1907,0.00,0.00,-0.052,16,13.82,-1.28,5.10
21901,15.11,165,0.43,2090,0.00,0.00,-0.052,16,15.05,-1.41,5.88
22091,15.20,165,0.50,2110,0.00,0.00,-0.052,16,19.04,-1.39,9.80
22248,14.13,165,0.67,2114,0.00,0.00,-0.052,16,26.44,-1.28,12.94
22424,13.61,165,0.79,2116,0.00,0.00,-0.052,16,28.78,-0.44,14.51
22611,13.06,165,0.83,2142,0.00,0.00,-0.052,16,30.20,0.39,15.29
22783,13.74,165,0.86,2154,0.00,0.00,-0.052,16,32.13,0.89,16.08
22957,14.16,165,0.89,2190,0.00,0.00,-0.052,16,33.40,1.45,16.86
23129,14.00,165,0.93,2249,0.00,0.00,-0.052,16,35.17,1.72,16.86
23301,14.08,165,0.93,2343,0.00,0.00,-0.052,16,35.80,1.76,17.25
23473,14.62,165,0.95,2370,0.00,0.00,-0.052,16,37.05,1.88,16.86
23645,14.35,165,0.94,2437,0.00,0.00,-0.052,16,36.80,0.79,16.08
23817,14.48,165,0.94,2404,0.00,0.00,-0.052,16,38.33,0.56,15.69
23993,14.55,165,0.94,2451,0.00,0.00,-0.052,16,38.58,0.08,15.29
24165,14.45,165,0.92,2449,0.00,0.00,-0.052,16,37.71,-0.62,14.51
24337,14.45,165,0.89,2534,0.00,0.00,-0.052,16,36.96,-1.02,13.73
24509,14.68,165,0.86,2554,0.00,0.00,-0.052,16,36.37,-1.70,13.73
24685,14.68,165,0.84,2585,0.00,0.00,-0.052,16,36.12,-1.99,13.73
24857,14.60,165,0.83,2625,0.00,0.00,-0.052,16,36.62,-2.07,13.73
25029,14.49,165,0.82,2667,0.00,0.00,-0.052,16,35.99,-2.34,13.73
25216,14.76,165,0.83,2680,0.00,0.00,-0.052,16,37.12,-2.03,14.51
25388,14.81,165,0.86,2711,0.00,0.00,-0.052,16,38.78,-1.49,14.51
25560,14.39,165,0.88,2739,0.00,0.00,-0.052,16,40.41,-1.51,14.90
25732,14.32,165,0.89,2794,0.00,0.00,-0.052,16,40.83,-1.64,14.51
25904,14.20,165,0.86,2838,0.00,0.00,-0.052,16,40.55,-2.65,13.73
26076,14.05,165,0.82,2854,0.00,0.00,-0.052,16,37.82,-3.25,12.94
26248,14.43,165,0.78,2874,0.00,0.00,-0.052,16,37.07,-3.56,12.94
26420,14.68,165,0.75,2908,0.00,0.00,-0.052,16,35.56,-3.87,12.55
26591,14.60,167,0.73,2908,0.00,0.00,-0.052,16,34.69,-4.23,12.16
26763,14.45,167,0.69,2947,0.00,0.00,-0.052,16,32.66,-4.23,11.37
26952,14.56,167,0.64,2942,0.00,0.00,-0.052,16,31.18,-4.23,10.98
27124,14.48,167,0.59,2989,0.00,0.00,-0.052,16,28.84,-4.25,10.20
27296,14.66,167,0.50,2993,0.00,0.00,-0.052,16,20.16,-4.25,4.31
27467,13.00,167,0.23,2955,0.00,0.00,-0.052,16,9.00,-4.25,0.00
27639,12.08,167,0.24,2957,0.00,0.00,-0.052,16,12.36,-4.25,0.00
27811,11.89,167,0.25,2778,0.00,0.00,-0.052,16,11.87,-4.20,0.00
27985,11.54,167,0.26,2545,0.00,0.00,-0.052,16,11.09,-2.94,0.00
28157,13.25,167,0.26,2221,0.00,0.00,-0.052,16,9.40,-1.47,0.00
28329,19.53,167,0.27,1886,0.00,0.00,-0.052,16,7.99,-1.31,0.00
28505,22.85,167,0.24,1728,0.00,0.00,-0.052,16,6.59,-1.16,0.00
28677,23.18,167,0.25,1450,0.00,0.00,-0.052,16,6.51,-1.08,0.00
28854,23.38,167,0.26,1218,0.00,0.00,-0.049,16,5.72,-1.08,0.00
29025,23.12,167,0.26,1324,0.00,0.00,-0.049,16,5.04,-1.08,0.00
29202,23.10,167,0.24,1303,0.00,0.00,-0.052,16,4.95,-1.08,0.00
29374,18.75,167,0.24,1269,0.00,0.00,-0.049,16,4.98,-1.08,0.00
29546,16.60,167,0.23,1249,0.00,0.00,-0.049,16,4.63,-1.08,0.00
29718,17.06,167,0.24,1235,0.00,0.00,-0.052,16,5.08,-1.08,0.39
29889,16.95,167,0.27,1222,0.00,0.00,-0.049,16,6.08,-1.08,2.75
30077,16.92,167,0.35,1169,0.00,0.00,-0.052,16,8.40,-1.08,3.53
30249,16.67,167,0.44,1369,0.00,0.00,-0.052,16,10.44,-1.08,4.31
30421,15.77,167,0.42,1630,0.00,0.00,-0.052,16,11.60,-1.10,5.10
30593,16.40,167,0.42,2103,0.00,0.00,-0.052,16,15.05,-1.39,6.67
30764,16.84,167,0.44,2103,0.00,0.00,-0.052,16,14.98,-1.39,7.45
30936,14.73,167,0.54,2117,0.00,0.00,-0.052,16,19.99,-1.39,9.80
31124,12.90,167,0.63,2116,0.00,0.00,-0.052,16,23.24,-1.39,10.98
31296,13.11,167,0.67,2127,0.00,0.00,-0.052,16,24.44,-1.39,11.76
31467,13.56,167,0.70,2118,0.00,0.00,-0.052,16,24.64,-1.39,11.76
31639,13.46,167,0.72,2150,0.00,0.00,-0.052,16,26.23,-1.41,11.76
31811,13.81,167,0.74,2142,0.00,0.00,-0.052,16,27.08,-1.43,11.76
31999,13.98,167,0.72,2162,0.00,0.00,-0.052,16,25.23,-1.43,9.80
32170,13.76,169,0.58,2160,0.00,0.00,-0.052,16,17.42,-1.43,5.49
32342,13.03,169,0.40,2179,0.00,0.00,-0.052,16,11.41,-1.43,4.31
32514,14.12,169,0.33,2168,0.00,0.00,-0.052,16,11.66,-1.45,3.14
32686,15.47,169,0.26,2169,0.00,0.00,-0.052,16,7.99,-1.43,1.57
32858,15.50,169,0.24,2168,0.00,0.00,-0.052,16,8.83,-1.43,0.78
33033,14.87,169,0.22,2172,0.00,0.00,-0.052,16,7.95,-1.43,0.78
33205,15.33,169,0.20,2164,0.00,0.00,-0.052,16,6.62,-1.43,0.39
33377,16.62,169,0.19,2130,0.00,0.00,-0.052,16,6.92,-1.45,0.00
33553,21.46,169,0.16,2152,0.00,0.00,-0.052,16,5.59,-1.41,0.00
33725,23.19,169,0.17,2114,0.00,0.00,-0.052,16,6.30,-1.39,0.00
33896,23.40,169,0.18,2120,0.00,0.00,-0.052,16,6.30,-1.39,0.00
34068,23.42,169,0.17,2094,0.00,0.00,-0.052,16,6.12,-1.39,0.00
34240,23.24,169,0.16,2074,0.00,0.00,-0.052,16,4.92,-1.39,0.00
