Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Gear (Calculated)* (position)
32591,7.03,-4.69,15.16,8,0.45,1355,0.00,0.00,14.69,16,27.46,27.00,118,8.13,-6.65,9.77,1.70,0.00,-1.39,5.10,0.82,0.00,0.00,15.30,6
32679,7.03,-4.69,15.16,8,0.44,1413,0.00,0.00,14.70,16,28.16,27.00,118,7.98,-6.85,9.81,1.70,0.00,-1.39,4.71,0.82,0.00,0.00,15.30,6
32768,7.03,-4.69,15.16,8,0.42,1439,0.00,0.00,14.70,16,28.52,27.50,118,7.69,-7.06,9.81,1.70,0.00,-1.39,5.10,0.82,0.00,0.00,15.30,6
32858,6.25,-4.69,14.81,8,0.40,1478,0.00,0.00,14.70,16,28.87,28.00,118,7.55,-7.19,9.81,1.70,0.00,-1.39,5.10,0.82,0.00,0.00,15.00,6
32947,5.47,-4.69,14.81,8,0.40,1499,0.00,0.00,14.70,16,29.22,28.50,118,7.55,-7.31,9.86,1.70,0.00,-1.39,5.10,0.82,0.00,0.00,15.00,6
33036,6.25,-4.69,14.70,8,0.40,1536,0.00,0.00,14.70,16,29.57,28.50,118,7.25,-7.46,9.86,1.70,0.00,-1.39,5.10,0.82,0.00,0.00,14.80,6
33125,6.25,-4.69,14.70,8,0.38,1568,0.00,0.00,14.71,16,29.57,29.00,118,7.11,-7.60,9.86,1.70,0.00,-1.39,5.10,0.82,0.00,0.00,14.70,6
33214,7.03,-4.69,14.81,8,0.37,1588,0.00,0.00,14.71,16,29.92,29.00,118,7.11,-7.72,9.67,1.68,0.00,-1.39,5.10,0.82,0.00,0.00,14.80,6
33303,7.81,-4.69,14.81,8,0.37,1610,0.00,0.00,14.71,16,30.27,29.50,118,6.82,-7.83,9.77,1.70,0.00,-1.39,5.10,0.82,0.00,0.00,14.90,6
33392,7.81,-4.69,14.93,8,0.36,1643,0.00,0.00,14.71,16,30.27,29.50,118,6.82,-7.97,9.72,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,15.00,6
33481,7.81,-4.69,14.93,8,0.36,1667,0.00,0.00,14.71,16,30.98,29.50,118,6.67,-8.14,9.99,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,15.10,6
33570,7.81,-4.69,14.93,8,0.36,1691,0.00,0.00,14.71,16,30.98,30.50,118,6.53,-8.30,9.90,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,15.10,6
33660,7.81,-4.69,14.93,8,0.36,1712,0.00,0.00,14.71,16,31.33,30.50,118,6.38,-8.39,9.85,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,15.00,6
33749,6.25,-4.69,14.81,8,0.34,1715,0.00,0.00,14.71,16,31.68,30.50,118,6.24,-8.49,10.14,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,14.90,6
33837,7.03,-4.69,14.59,8,0.33,1734,0.00,0.00,14.71,16,31.68,30.50,118,6.24,-8.59,9.90,1.68,0.00,-1.70,5.10,0.82,0.00,0.00,14.70,6
33927,6.25,-4.69,14.47,8,0.33,1762,0.00,0.00,14.71,16,32.03,31.00,118,6.09,-8.62,9.72,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,14.60,6
34016,7.03,-3.91,14.47,8,0.34,1783,0.00,0.00,14.71,16,32.03,31.00,118,5.95,-8.72,9.81,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,14.60,6
34105,7.03,-3.91,14.59,8,0.33,1802,0.00,0.00,14.71,16,32.03,31.50,118,5.95,-8.78,10.18,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,14.60,6
34194,7.03,-3.91,14.70,8,0.33,1806,0.00,0.00,14.71,16,32.38,32.00,118,5.95,-8.78,9.90,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,14.70,6
34283,7.03,-3.91,14.70,8,0.33,1814,0.00,0.00,14.71,16,32.38,32.00,118,5.95,-8.82,9.81,1.70,0.00,-1.70,5.10,0.82,0.00,0.00,14.70,6
34372,6.25,-3.91,14.47,8,0.34,1859,0.00,0.00,14.71,16,32.73,32.00,118,5.95,-8.80,10.34,1.72,0.00,-1.70,5.49,0.82,0.00,0.00,14.70,6
34461,6.25,-3.91,14.47,8,0.34,1886,0.00,0.00,14.71,16,33.09,32.00,118,5.95,-8.72,10.49,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.60,6
34550,5.47,-3.91,14.47,8,0.33,1893,0.00,0.00,14.71,16,33.09,32.50,118,5.95,-8.70,10.71,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.60,6
34640,4.69,-3.91,14.24,8,0.33,1880,0.00,0.00,14.71,16,33.09,32.50,118,5.95,-8.68,10.49,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.60,6
34729,3.91,-3.91,14.13,8,0.34,1894,0.00,0.00,14.70,16,33.44,32.50,118,6.09,-8.66,10.46,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.50,6
34818,4.69,-3.91,14.24,8,0.33,1920,0.00,0.00,14.71,16,33.79,33.00,118,5.95,-8.68,10.71,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.50,6
34907,5.47,-3.91,14.47,8,0.32,1978,0.00,0.00,14.71,16,33.79,33.00,118,5.95,-8.68,10.46,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.50,6
34996,5.47,-3.91,14.59,8,0.32,1972,0.00,0.00,14.71,16,33.79,33.50,118,5.95,-8.68,10.61,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.60,6
35085,5.47,-3.91,14.81,8,0.32,1947,0.00,0.00,14.71,16,33.79,33.00,117,5.95,-8.68,10.49,1.72,0.00,-1.70,5.49,0.82,0.00,0.00,14.70,6
35174,6.25,-3.91,14.81,8,0.32,1986,0.00,0.00,14.71,16,34.49,33.00,117,5.95,-8.68,10.46,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.80,6
35263,6.25,-3.91,14.81,8,0.32,2044,0.00,0.00,14.70,16,34.84,33.50,117,5.95,-8.76,10.55,1.74,0.00,-1.70,5.49,0.82,0.00,0.00,14.80,6
35352,6.25,-3.91,14.81,8,0.31,2040,0.00,0.00,14.71,16,34.49,34.00,117,5.95,-8.78,10.71,1.74,0.00,-2.01,5.49,0.82,0.00,0.00,14.90,6
35441,6.25,-3.91,14.81,8,0.32,2024,0.00,0.00,14.70,16,34.49,34.00,117,5.95,-8.80,10.50,1.74,0.00,-2.01,5.49,0.82,0.00,0.00,14.90,6
35530,5.47,-3.91,14.81,8,0.32,2038,0.00,0.00,14.71,16,34.84,34.00,117,5.95,-8.82,10.75,1.74,0.00,-2.01,5.49,0.82,0.00,0.00,14.90,6
35619,4.69,-3.91,14.59,8,0.31,2099,0.00,0.00,14.70,16,35.20,34.50,117,5.95,-8.86,11.01,1.76,0.00,-2.01,5.49,0.82,0.00,0.00,14.80,6
35708,4.69,-3.91,14.47,8,0.31,2098,0.00,0.00,14.71,16,35.20,34.50,117,5.80,-8.89,10.55,1.74,0.00,-2.01,5.49,0.82,0.00,0.00,14.60,6
35797,3.91,-3.91,14.36,8,0.31,2104,0.00,0.00,14.70,16,35.20,34.50,117,5.80,-8.91,10.65,1.74,0.00,-2.01,5.49,0.82,0.00,0.00,14.50,6
35887,3.91,-3.91,14.24,8,0.30,2120,0.00,0.00,14.71,16,35.55,34.50,117,5.80,-8.93,10.65,1.74,0.00,-2.01,5.49,0.82,0.00,0.00,14.50,6
35975,3.12,-3.91,14.36,8,0.30,2153,0.00,0.00,14.70,16,35.90,35.00,117,5.66,-8.99,10.65,1.74,0.00,-2.01,5.49,0.82,0.00,0.00,14.50,6
36064,3.12,-3.91,14.36,8,0.30,2154,0.00,0.00,14.70,16,35.90,35.50,117,5.66,-8.97,10.91,1.76,0.00,-2.01,5.49,0.82,0.00,0.00,14.50,6
36154,3.12,-3.91,14.47,8,0.31,2180,0.00,0.00,14.70,16,35.90,35.00,117,5.80,-8.97,11.11,1.76,0.00,-2.01,5.49,0.82,0.00,0.00,14.50,6
36243,3.12,-3.91,14.36,8,0.31,2193,0.00,0.00,14.70,16,36.25,35.50,117,5.66,-8.95,11.07,1.76,0.00,-2.01,5.49,0.82,0.00,0.00,14.50,6
36332,2.34,-3.91,14.36,8,0.30,2196,0.00,0.00,14.70,16,36.25,35.50,117,5.80,-8.91,11.11,1.76,0.00,-2.01,5.49,0.82,0.00,0.00,14.50,6
36421,2.34,-3.91,14.47,8,0.31,2206,0.00,0.00,14.70,16,36.60,35.50,117,5.80,-8.89,11.01,1.76,0.00,-2.01,5.49,0.82,0.00,0.00,14.50,6
36510,2.34,-3.91,14.47,8,0.31,2248,0.00,0.00,14.70,16,36.60,35.50,117,5.80,-8.93,11.52,1.78,0.00,-2.01,5.49,0.82,0.00,0.00,14.60,6
36599,2.34,-3.91,14.47,8,0.32,2244,0.00,0.00,14.70,16,36.60,36.50,117,5.80,-8.89,11.73,1.80,0.00,-2.01,5.49,0.82,0.00,0.00,14.60,6
36689,2.34,-3.91,14.47,8,0.32,2255,0.00,0.00,14.70,16,36.60,36.00,117,5.80,-8.88,11.95,1.80,0.00,-2.01,5.49,0.82,0.00,0.00,14.60,6
42462,0.78,-3.12,15.27,8,0.27,1461,0.00,0.00,14.70,16,28.87,28.00,113,5.37,-9.34,6.09,1.46,0.00,-1.39,1.96,0.70,0.00,0.00,15.20,6
42551,0.78,-3.12,15.16,8,0.26,1434,0.00,0.00,14.70,16,28.52,28.00,113,5.22,-9.51,5.96,1.46,0.00,-1.39,1.57,0.70,0.00,0.00,15.10,6
42640,0.78,-3.12,15.04,8,0.25,1428,0.00,0.00,14.71,16,28.52,28.00,113,5.08,-9.71,5.70,1.44,0.00,-1.39,1.57,0.70,0.00,0.00,15.20,6
42729,0.78,-3.12,15.16,8,0.24,1440,0.00,0.00,14.71,16,28.52,28.00,113,4.79,-9.86,5.46,1.44,0.00,-1.39,1.57,0.70,0.00,0.00,15.20,6
42819,0.78,-3.12,14.81,8,0.23,1412,0.00,0.00,14.71,16,28.52,28.00,113,4.79,-9.96,5.46,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,15.10,6
42908,0.00,-3.12,14.81,8,0.23,1404,0.00,0.00,14.71,16,28.16,28.00,113,4.64,-10.04,5.46,1.44,0.00,-1.39,1.57,0.70,0.00,0.00,15.00,6
42996,0.78,-3.12,14.70,8,0.24,1397,0.00,0.00,14.71,16,28.52,28.00,113,4.64,-10.06,5.46,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.90,6
43086,0.00,-3.12,14.70,8,0.23,1416,0.00,0.00,14.71,16,28.52,28.00,113,4.64,-10.09,5.40,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.80,6
43174,0.00,-2.34,14.59,8,0.23,1392,0.00,0.00,14.71,16,28.16,28.00,113,4.64,-10.11,5.40,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.70,6
43264,0.00,-2.34,14.59,8,0.23,1370,0.00,0.00,14.71,16,28.16,27.50,113,4.64,-10.11,5.40,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.70,6
43353,0.00,-2.34,14.59,8,0.23,1382,0.00,0.00,14.71,16,28.16,27.50,113,4.64,-10.11,5.33,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.60,6
43442,0.00,-2.34,14.59,8,0.24,1357,0.00,0.00,14.71,16,27.81,27.50,113,4.64,-10.11,5.37,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.60,6
43531,0.00,0.00,14.59,8,0.24,1342,0.00,0.00,14.70,16,27.81,27.00,113,4.64,-10.09,5.37,1.44,0.00,-1.39,1.57,0.70,0.00,0.00,14.60,6
43620,0.00,0.00,14.59,8,0.24,1352,0.00,0.00,14.70,16,27.81,27.00,113,4.64,-10.06,5.50,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.60,6
43708,0.00,0.00,14.59,8,0.25,1327,0.00,0.00,14.70,16,27.46,27.00,113,4.64,-10.04,5.40,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.50,6
43798,0.00,0.00,14.70,8,0.24,1317,0.00,0.00,14.70,16,27.81,27.00,113,4.64,-10.02,5.37,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.60,6
43887,-0.78,0.00,14.59,8,0.25,1324,0.00,0.00,14.70,16,27.46,27.00,113,4.64,-10.02,5.43,1.42,0.00,-1.39,1.57,0.70,0.00,0.00,14.60,6
43976,-0.78,0.00,14.47,8,0.26,1306,0.00,0.00,14.70,16,27.11,27.00,111,4.64,-9.98,5.46,1.44,0.00,-1.39,1.57,0.70,0.00,0.00,14.60,6
44065,-0.78,0.00,14.47,8,0.26,1304,0.00,0.00,14.70,16,27.46,27.00,111,4.79,-9.90,5.60,1.44,0.00,-1.39,1.96,0.70,0.00,0.00,14.60,6
44154,-1.56,0.00,14.36,8,0.27,1303,0.00,0.00,14.70,16,27.11,27.00,111,4.79,-9.82,5.63,1.44,0.00,-1.39,1.96,0.70,0.00,0.00,14.60,6
44243,-1.56,0.00,14.36,8,0.28,1296,0.00,0.00,14.70,16,27.46,27.00,111,4.93,-14.70,5.76,1.44,0.00,-1.39,1.96,0.70,0.00,0.00,14.60,6
44332,-2.34,0.00,14.36,8,0.28,1291,0.00,0.00,14.69,16,27.11,27.00,111,4.93,-9.67,6.02,1.46,0.00,-1.39,1.96,0.72,0.00,0.00,14.50,6
44421,-2.34,-0.78,14.24,8,0.29,1276,0.00,0.00,14.69,16,27.11,26.50,111,5.08,-9.59,6.05,1.48,0.00,-1.39,1.96,0.72,0.00,0.00,14.50,6
44510,-2.34,-0.78,14.36,8,0.28,1306,0.00,0.00,14.69,16,27.11,27.00,111,5.08,-9.53,6.24,1.48,0.00,-1.39,1.96,0.72,0.00,0.00,14.50,6
44599,-3.12,-0.78,14.36,8,0.29,1266,0.00,0.00,14.69,16,26.76,26.50,111,5.22,-9.48,6.13,1.48,0.00,-1.39,1.96,0.72,0.00,0.00,14.40,6
44688,-3.12,-0.78,14.24,8,0.30,1262,0.00,0.00,14.69,16,27.11,26.00,111,5.37,-9.38,6.13,1.48,0.00,-1.39,2.35,0.72,0.00,0.00,14.40,6
44777,-3.91,-0.78,14.24,8,0.31,1273,0.00,0.00,14.69,16,27.11,26.50,111,5.37,-9.26,6.13,1.50,0.00,-1.39,2.75,0.74,0.00,0.00,14.40,6
44866,-3.91,-0.78,14.13,8,0.33,1274,0.00,0.00,14.69,16,27.11,26.50,111,5.51,-9.17,6.71,1.52,0.00,-1.39,2.75,0.74,0.00,0.00,14.40,6
44955,-3.12,-1.56,14.24,8,0.33,1254,0.00,0.00,14.69,16,26.41,26.00,111,5.66,-9.07,6.91,1.52,0.00,-1.39,2.75,0.74,0.00,0.00,14.40,6
45044,-3.12,-1.56,14.36,8,0.33,1255,0.00,0.00,14.69,16,26.76,26.00,111,5.66,-8.88,6.68,1.52,0.00,-1.39,3.14,0.74,0.00,0.00,14.40,6
45133,-3.12,-3.12,14.47,8,0.35,1295,0.00,0.00,14.69,16,27.11,26.00,111,5.80,-8.72,7.17,1.56,0.00,-1.39,3.14,0.76,0.00,0.00,14.50,6
45222,-2.34,-3.12,14.59,8,0.35,1284,0.00,0.00,14.69,16,26.76,26.50,111,6.09,-8.64,7.48,1.56,0.00,-1.39,3.14,0.76,0.00,0.00,14.60,6
45312,-2.34,-3.12,14.70,8,0.36,1259,0.00,0.00,14.69,16,26.76,26.00,111,6.09,-8.49,7.70,1.56,0.00,-1.39,3.53,0.76,0.00,0.00,14.50,6
45401,-2.34,-3.12,14.70,8,0.37,1263,0.00,0.00,14.69,16,26.76,26.00,111,6.24,-8.35,7.65,1.58,0.00,-1.39,3.53,0.76,0.00,0.00,14.60,6
45490,-1.56,-3.12,14.81,8,0.36,1286,0.00,0.00,14.69,16,27.11,26.00,111,6.38,-8.28,7.81,1.60,0.00,-1.39,3.53,0.76,0.00,0.00,14.70,6
45579,-1.56,-3.12,14.81,8,0.37,1301,0.00,0.00,14.69,16,27.11,26.50,111,6.38,-8.22,7.78,1.58,0.00,-1.39,3.92,0.78,0.00,0.00,14.80,6
45668,-2.34,-3.12,14.81,8,0.39,1304,0.00,0.00,14.68,16,27.11,26.50,111,6.53,-8.10,8.03,1.60,0.00,-1.39,3.92,0.78,0.00,0.00,14.80,6
45757,-2.34,-3.12,14.81,8,0.41,1298,0.00,0.00,14.68,16,26.76,26.50,111,6.67,-7.95,8.27,1.64,0.00,-1.39,4.31,0.78,0.00,0.00,14.90,6
45846,-1.56,-3.12,14.81,8,0.42,1304,0.00,0.00,14.68,16,27.11,26.00,111,6.82,-7.73,8.87,1.66,0.00,-1.39,4.71,0.80,0.00,0.00,14.80,6
45935,-0.78,-3.12,14.93,8,0.45,1333,0.00,0.00,13.91,16,27.11,26.50,111,7.25,-7.44,9.22,1.66,0.00,-1.39,5.10,0.82,0.00,0.00,14.80,6
46024,0.00,-3.12,15.16,8,0.50,1322,0.00,0.00,13.87,16,27.11,26.50,111,7.55,-7.10,9.95,1.74,0.00,-1.39,5.88,0.84,0.00,0.00,15.00,6
46113,0.78,-3.12,15.27,8,0.52,1349,0.00,0.00,14.00,16,27.11,26.50,109,7.84,-6.61,11.42,1.78,0.00,-1.39,6.27,0.84,0.00,0.00,15.20,6
46202,0.00,-3.12,15.27,8,0.53,1342,0.00,0.00,14.66,16,27.11,26.50,109,8.42,-6.23,11.52,1.78,0.00,-1.39,6.67,0.86,0.00,0.00,15.20,6
46291,-0.78,-3.12,15.04,8,0.52,1386,0.00,0.00,14.66,16,27.46,27.00,109,8.56,-5.96,11.90,1.80,0.00,-1.39,6.67,0.86,0.00,0.00,14.70,6
46380,-1.56,-3.12,14.70,8,0.53,1404,0.00,0.00,14.66,16,27.46,27.00,109,8.85,-5.84,11.95,1.82,0.00,-1.39,6.67,0.86,0.00,0.00,14.60,6
46469,-0.78,-3.12,14.47,8,0.54,1362,0.00,0.00,14.66,16,27.81,27.00,109,9.00,-5.70,12.23,1.82,0.00,-1.39,7.06,0.86,0.00,0.00,14.60,6
46558,0.78,-3.12,14.70,8,0.55,1446,0.00,0.00,14.66,16,28.16,27.00,109,9.14,-5.55,12.95,1.86,0.00,-1.39,7.06,0.88,0.00,0.00,14.50,6
46647,2.34,-3.12,15.04,8,0.55,1419,0.00,0.00,14.66,16,27.81,27.50,109,9.14,-5.47,13.34,1.86,0.00,-1.39,7.45,0.88,0.00,0.00,14.80,6
46736,3.12,-3.12,15.27,8,0.54,1452,0.00,0.00,14.66,16,28.52,27.50,109,9.29,-5.38,12.99,1.86,0.00,-1.39,7.45,0.88,0.00,0.00,15.40,6
46825,2.34,-3.12,15.39,8,0.57,1470,0.00,0.00,13.86,16,28.16,28.00,109,9.29,-5.24,13.27,1.88,0.00,-1.39,7.84,0.90,0.00,0.00,15.50,6
46914,2.34,-3.12,15.39,8,0.57,1497,0.00,0.00,14.66,16,28.52,28.00,109,9.43,-5.09,13.87,1.90,0.00,-1.39,7.84,0.90,0.00,0.00,15.30,6
47003,2.34,-2.34,15.16,8,0.57,1507,0.00,0.00,14.66,16,28.87,28.00,109,9.72,-4.99,14.11,1.90,0.00,-1.39,8.24,0.90,0.00,0.00,15.40,6
47092,2.34,-2.34,15.04,8,0.56,1556,0.00,0.00,14.67,16,29.22,28.50,109,9.72,-4.91,14.29,1.90,0.00,-1.39,8.24,0.90,0.00,0.00,15.10,6
47181,3.12,-2.34,14.93,8,0.58,1552,0.00,0.00,14.66,16,28.87,28.50,109,9.87,-4.85,14.48,1.92,0.00,-1.39,8.63,0.92,0.00,0.00,15.00,6
47270,3.91,0.00,15.04,8,0.58,1586,0.00,0.00,14.67,16,29.57,28.50,109,9.87,-4.80,14.90,1.92,0.00,-1.39,8.63,0.92,0.00,0.00,15.00,6
47359,4.69,0.00,15.04,8,0.57,1609,0.00,0.00,14.67,16,29.92,29.00,109,9.87,-4.78,15.14,1.94,0.00,-1.39,8.63,0.94,0.00,0.00,15.10,6
47449,3.91,0.00,15.04,8,0.58,1601,0.00,0.00,14.67,16,29.57,29.00,109,9.87,-4.78,15.41,1.94,0.00,-1.39,9.02,0.94,0.00,0.00,15.20,6
47538,3.91,0.00,14.93,8,0.59,1676,0.00,0.00,14.67,16,30.27,29.50,109,10.01,-4.70,15.75,1.98,0.00,-1.70,9.41,0.94,0.00,0.00,15.10,6
47626,4.69,0.00,14.93,8,0.59,1669,0.00,0.00,14.67,16,30.27,29.50,109,10.01,-4.70,16.24,1.98,0.00,-1.70,9.41,0.96,0.00,0.00,14.90,6
47717,3.91,0.00,14.81,8,0.59,1671,0.00,0.00,14.68,16,30.62,29.50,109,10.01,-4.70,16.51,1.98,0.00,-1.70,9.41,0.96,0.00,0.00,14.80,6
47805,3.91,0.00,14.70,8,0.59,1708,0.00,0.00,14.68,16,30.62,30.00,109,10.01,-4.80,16.71,2.00,0.00,-1.70,9.41,0.96,0.00,0.00,14.70,6
47894,4.69,0.00,14.59,8,0.58,1724,0.00,0.00,14.68,16,30.98,30.00,108,9.87,-4.83,16.78,1.98,0.00,-1.70,9.41,0.96,0.00,0.00,14.70,6
47984,4.69,0.00,14.81,8,0.58,1747,0.00,0.00,14.68,16,31.33,30.50,108,9.87,-4.91,16.71,2.00,0.00,-1.70,9.41,0.96,0.00,0.00,14.80,6
48072,4.69,0.00,14.81,8,0.57,1766,0.00,0.00,14.69,16,31.33,30.50,108,9.72,-4.95,16.86,2.00,0.00,-1.70,9.41,0.96,0.00,0.00,14.80,6
48161,5.47,0.00,14.81,8,0.57,1807,0.00,0.00,14.69,16,31.68,30.50,108,9.72,-5.05,16.86,2.00,0.00,-1.70,9.41,0.96,0.00,0.00,14.90,6
48251,5.47,0.00,14.81,8,0.57,1814,0.00,0.00,14.69,16,32.03,31.00,108,9.58,-5.16,16.99,2.00,0.00,-1.70,9.41,0.96,0.00,0.00,15.00,6
48339,5.47,0.00,14.81,8,0.57,1840,0.00,0.00,14.69,16,32.03,31.50,108,9.58,-5.18,17.07,2.00,0.00,-1.70,9.41,0.96,0.00,0.00,14.90,6
48429,4.69,0.00,14.81,8,0.56,1866,0.00,0.00,15.01,16,32.38,31.50,108,9.43,-5.26,17.35,2.02,0.00,-1.70,9.41,0.96,0.00,0.00,14.80,6
48518,5.47,0.00,14.70,8,0.56,1874,0.00,0.00,14.69,16,32.38,32.00,108,9.43,-5.28,17.21,2.00,0.00,-1.70,9.41,0.96,0.00,0.00,14.70,6
48607,4.69,0.00,14.70,8,0.55,1902,0.00,0.00,14.69,16,32.73,32.00,108,9.43,-5.34,17.27,2.02,0.00,-1.70,9.41,0.96,0.00,0.00,14.60,6
48696,5.47,0.00,14.70,8,0.54,1911,0.00,0.00,14.69,16,32.73,32.00,108,9.29,-5.39,17.42,2.02,0.00,-1.70,9.41,0.96,0.00,0.00,14.60,6
48784,4.69,0.00,14.70,8,0.53,1935,0.00,0.00,14.70,16,33.09,32.50,108,9.29,-5.41,17.42,2.02,0.00,-1.70,9.41,0.96,0.00,0.00,14.70,6
48874,4.69,0.00,14.70,8,0.53,1951,0.00,0.00,14.70,16,33.44,33.00,108,9.29,-5.45,17.48,2.02,0.00,-1.70,9.41,0.96,0.00,0.00,14.60,6
48964,4.69,0.00,14.47,8,0.53,1957,0.00,0.00,14.70,16,33.44,33.00,108,9.29,-5.49,17.34,2.02,0.00,-1.70,9.41,0.96,0.00,0.00,14.60,6
49052,4.69,0.00,14.47,8,0.53,2006,0.00,0.00,14.70,16,33.79,33.00,108,9.29,-5.47,17.48,2.04,0.00,-1.70,9.41,0.96,0.00,0.00,14.60,6
49141,3.91,0.00,14.47,8,0.53,2010,0.00,0.00,14.70,16,34.14,33.00,108,9.14,-5.57,17.55,2.02,0.00,-1.70,9.41,0.96,0.00,0.00,14.60,6
49231,3.91,0.00,14.47,8,0.52,1999,0.00,0.00,14.70,16,34.14,33.50,108,9.14,-5.55,17.63,2.02,0.00,-2.01,9.41,0.96,0.00,0.00,14.60,6
49319,3.91,0.00,14.47,8,0.52,2032,0.00,0.00,14.70,16,34.14,33.50,108,9.14,-5.61,17.71,2.02,0.00,-2.01,9.41,0.96,0.00,0.00,14.60,6
49409,3.91,0.00,14.47,8,0.52,2048,0.00,0.00,14.70,16,34.49,33.50,106,9.00,-5.65,17.55,2.02,0.00,-2.01,9.41,0.96,0.00,0.00,14.60,6
49498,3.12,0.00,14.59,8,0.52,2084,0.00,0.00,14.70,16,34.84,34.00,106,9.00,-5.70,17.71,2.04,0.00,-2.01,9.41,0.96,0.00,0.00,14.60,6
49587,3.91,0.00,14.47,8,0.50,2084,0.00,0.00,14.70,16,34.84,34.00,106,9.00,-5.88,17.71,2.02,0.00,-2.01,7.84,0.92,0.00,0.00,14.60,6
49676,2.34,0.00,14.47,8,0.46,2098,0.00,0.00,15.08,16,34.84,34.00,106,8.27,-6.48,16.92,1.98,0.00,-2.01,7.45,0.90,0.00,0.00,14.50,6
49765,1.56,-0.78,14.36,8,0.43,2100,0.00,0.00,14.71,16,35.20,34.50,106,7.98,-6.90,14.66,1.90,0.00,-2.01,7.45,0.90,0.00,0.00,14.50,6
49855,0.00,-0.78,14.13,8,0.42,2121,0.00,0.00,14.71,16,35.20,34.50,106,7.69,-7.14,14.35,1.92,0.00,-2.01,7.45,0.90,0.00,0.00,14.40,6
49944,0.78,-0.78,14.13,8,0.41,2136,0.00,0.00,14.71,16,35.55,34.50,106,7.55,-7.25,14.41,1.92,0.00,-2.01,7.45,0.90,0.00,0.00,14.30,6
50033,1.56,-0.78,14.24,8,0.41,2144,0.00,0.00,14.71,16,35.55,35.00,106,7.40,-7.35,14.48,1.92,0.00,-2.01,7.45,0.90,0.00,0.00,14.30,6
50122,1.56,-0.78,14.47,8,0.39,2144,0.00,0.00,14.71,16,35.55,35.00,106,7.40,-7.43,14.48,1.92,0.00,-2.01,7.45,0.88,0.00,0.00,14.60,6
50211,1.56,-0.78,14.70,8,0.39,2168,0.00,0.00,14.71,16,35.55,35.50,106,7.25,-7.50,14.41,1.90,0.00,-2.01,7.06,0.88,0.00,0.00,14.70,6
50300,1.56,-1.56,14.70,8,0.36,2162,0.00,0.00,14.71,16,35.90,35.50,106,7.11,-7.95,14.11,1.88,0.00,-2.01,4.31,0.82,0.00,0.00,14.70,6
50389,0.78,-1.56,14.59,8,0.31,2178,0.00,0.00,15.34,16,36.25,35.50,106,6.09,-8.80,10.91,1.74,0.00,-2.01,3.53,0.76,0.00,0.00,14.60,6
50479,-2.34,-1.56,14.24,8,0.27,2170,0.00,0.00,15.14,16,35.90,35.50,106,5.51,-9.44,9.31,1.62,0.00,-2.01,3.14,0.76,0.00,0.00,14.60,6
50567,-5.47,-3.12,13.78,8,0.24,2186,0.00,0.00,14.72,16,36.25,35.50,106,5.08,-9.78,8.27,1.60,0.00,-2.01,3.14,0.76,0.00,0.00,14.60,6
50656,-7.81,-3.12,13.32,8,0.22,2198,0.00,0.00,14.72,16,36.25,35.50,106,4.64,-10.13,7.98,1.60,0.00,-2.01,1.96,0.72,0.00,0.00,14.30,6
