Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Coolant Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value)
0,0.13,819,196,3.52,14.47,14.10,16.00,5.08,-9.63,1.28,0.00,0.66,0.00,0.00,0.00,16
64,0.13,820,196,3.47,14.59,14.10,16.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
128,0.12,823,196,3.42,14.59,14.10,15.50,5.08,-9.61,1.26,0.00,0.66,0.00,0.00,0.00,16
192,0.12,826,196,3.47,14.81,14.10,15.00,5.08,-9.63,1.26,0.00,0.66,0.00,0.00,0.00,16
257,0.13,828,196,3.47,14.70,14.10,14.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
321,0.12,828,196,3.42,14.70,14.10,14.50,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
385,0.12,834,196,3.42,14.70,14.10,14.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
449,0.12,833,196,3.40,14.81,14.10,14.00,5.08,-9.63,1.24,0.00,0.64,0.00,0.00,0.00,16
513,0.12,842,196,3.40,14.70,14.10,13.00,5.08,-9.67,1.24,0.00,0.64,0.00,0.00,0.00,16
577,0.12,835,196,3.36,14.81,14.10,14.00,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
638,0.12,828,196,3.40,14.70,14.10,14.50,5.08,-9.67,1.26,0.00,0.64,0.00,0.00,0.00,16
702,0.12,829,196,3.42,14.70,14.10,14.00,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
766,0.12,830,196,3.42,14.59,14.10,14.00,5.08,-9.67,1.26,0.00,0.66,0.00,0.00,0.00,16
831,0.12,824,196,3.36,14.59,14.10,15.00,5.08,-9.67,1.24,0.00,0.66,0.00,0.00,0.00,16
895,0.12,818,196,3.38,14.47,14.10,15.50,5.08,-9.67,1.24,0.00,0.64,0.00,0.00,0.00,16
959,0.12,822,196,3.36,14.47,14.10,15.00,5.08,-9.65,1.26,0.00,0.66,0.00,0.00,0.00,16
1023,0.12,821,196,3.38,14.36,14.10,15.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
1087,0.13,824,196,3.38,14.36,14.10,14.50,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
1152,0.13,819,196,3.42,14.36,14.10,15.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
1216,0.12,823,196,3.38,14.36,14.10,14.00,5.08,-9.65,1.24,0.00,0.66,0.00,0.00,0.00,16
1281,0.12,814,196,3.36,14.47,14.10,15.50,5.08,-9.63,1.24,0.00,0.64,0.00,0.00,0.00,16
1345,0.13,811,196,3.38,14.47,14.10,15.50,5.08,-9.63,1.26,0.00,0.66,0.00,0.00,0.00,16
1405,0.13,803,196,3.45,14.59,14.10,16.50,5.08,-9.61,1.26,0.00,0.64,0.00,0.00,0.00,16
1473,0.13,805,196,3.38,14.59,14.10,16.00,5.08,-9.59,1.24,0.00,0.64,0.00,0.00,0.00,16
1537,0.13,814,196,3.42,14.59,14.10,15.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
1597,0.13,812,196,3.45,14.70,14.10,15.00,5.08,-9.59,1.26,0.00,0.64,0.00,0.00,0.00,16
1662,0.12,818,196,3.40,14.59,14.10,14.00,5.08,-9.61,1.26,0.00,0.64,0.00,0.00,0.00,16
1726,0.12,820,196,3.33,14.59,14.10,14.00,5.08,-9.61,1.24,0.00,0.64,0.00,0.00,0.00,16
1790,0.12,827,196,3.33,14.47,14.10,13.00,5.08,-9.63,1.24,0.00,0.66,0.00,0.00,0.00,16
1853,0.12,814,196,3.36,14.47,14.10,14.50,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
1921,0.12,816,194,3.36,14.47,14.10,14.00,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
1981,0.13,802,194,3.36,14.47,14.10,15.50,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
2046,0.13,801,194,3.40,14.24,14.10,15.50,5.08,-9.63,1.24,0.00,0.64,0.00,0.00,0.00,16
2110,0.13,806,194,3.42,14.24,14.10,15.00,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
2174,0.13,797,194,3.47,14.24,14.10,16.00,5.08,-9.61,1.26,0.00,0.66,0.00,0.00,0.00,16
2238,0.13,797,194,3.38,14.24,14.10,15.50,5.08,-9.59,1.26,0.00,0.64,0.00,0.00,0.00,16
2302,0.13,797,194,3.40,14.36,14.10,15.50,5.08,-9.59,1.24,0.00,0.64,0.00,0.00,0.00,16
2366,0.13,799,194,3.40,14.36,14.10,16.00,5.08,-9.57,1.26,0.00,0.64,0.00,0.00,0.00,16
2431,0.13,794,194,3.45,14.36,14.10,16.00,5.08,-9.57,1.26,0.00,0.64,0.00,0.00,0.00,16
2492,0.13,791,194,3.42,14.36,14.10,16.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
2557,0.13,791,194,3.40,14.47,14.10,16.00,5.08,-9.57,1.24,0.00,0.64,0.00,0.00,0.00,16
2621,0.13,800,194,3.36,14.47,14.10,15.00,5.08,-9.57,1.24,0.00,0.66,0.00,0.00,0.00,16
2685,0.12,805,194,3.36,14.47,14.10,14.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
2749,0.12,814,194,3.28,14.47,14.10,13.00,5.08,-9.57,1.24,0.00,0.64,0.00,0.00,0.00,16
2813,0.12,812,194,3.33,14.47,14.10,13.50,5.08,-9.57,1.24,0.00,0.66,0.00,0.00,0.00,16
2877,0.13,808,194,3.38,14.47,14.10,14.00,5.08,-9.57,1.26,0.00,0.64,0.00,0.00,0.00,16
2941,0.13,792,194,3.42,14.47,14.10,15.50,5.08,-9.57,1.28,0.00,0.64,0.00,0.00,0.00,16
3005,0.13,791,194,3.47,14.36,14.10,15.50,5.08,-9.57,1.26,0.00,0.64,0.00,0.00,0.00,16
3069,0.13,796,194,3.38,14.47,14.10,15.00,5.08,-9.57,1.24,0.00,0.64,0.00,0.00,0.00,16
3134,0.12,802,194,3.38,14.47,14.10,14.00,5.08,-9.57,1.26,0.00,0.66,0.00,0.00,0.00,16
3194,0.13,812,194,3.42,14.47,14.10,13.00,5.08,-9.57,1.26,0.00,0.64,0.00,0.00,0.00,16
3258,0.12,813,194,3.36,14.47,14.10,13.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
3322,0.13,808,194,3.45,14.47,14.10,13.50,5.08,-9.59,1.24,0.00,0.64,0.00,0.00,0.00,16
3387,0.13,790,194,3.40,14.59,14.10,15.50,5.08,-9.55,1.26,0.00,0.66,0.00,0.00,0.00,16
3451,0.13,783,194,3.45,14.59,14.10,16.50,5.08,-9.57,1.28,0.00,0.64,0.00,0.00,0.00,16
3515,0.13,778,194,3.45,14.70,14.10,16.50,5.08,-9.55,1.26,0.00,0.66,0.00,0.00,0.00,16
3579,0.13,778,194,3.45,14.59,14.10,16.50,5.08,-9.53,1.26,0.00,0.64,0.00,0.00,0.00,16
3643,0.13,785,194,3.45,14.70,14.10,15.00,5.22,-9.53,1.26,0.00,0.64,0.00,0.00,0.00,16
3707,0.13,794,194,3.45,14.70,14.10,14.00,5.22,-9.49,1.26,0.00,0.64,0.00,0.00,0.00,16
3772,0.13,799,194,3.42,14.70,14.10,14.00,5.22,-9.51,1.26,0.00,0.64,0.00,0.00,0.00,16
3836,0.13,806,194,3.47,14.81,14.10,13.00,5.22,-9.51,1.26,0.00,0.66,0.00,0.00,0.00,16
3900,0.13,802,194,3.47,14.70,14.10,13.50,5.22,-9.51,1.24,0.00,0.64,0.00,0.00,0.00,16
3961,0.13,802,194,3.36,14.70,14.10,13.50,5.22,-9.51,1.26,0.00,0.64,0.00,0.00,0.00,16
4025,0.13,806,194,3.42,14.47,14.10,13.00,5.22,-9.53,1.26,0.00,0.64,0.00,0.00,0.00,16
4090,0.13,801,194,3.40,14.59,14.10,14.00,5.08,-9.55,1.24,0.00,0.64,0.00,0.00,0.00,16
4154,0.13,797,194,3.40,14.47,14.10,13.50,5.22,-9.53,1.24,0.00,0.64,0.00,0.00,0.00,16
4219,0.13,808,194,3.40,14.47,14.10,13.00,5.08,-9.55,1.28,0.00,0.66,0.00,0.00,0.00,16
4283,0.13,796,194,3.52,14.59,14.10,14.00,5.22,-9.53,1.28,0.00,0.64,0.00,0.00,0.00,16
4347,0.14,795,194,3.47,14.59,14.10,14.00,5.22,-9.53,1.26,0.00,0.64,0.00,0.00,0.00,16
4411,0.13,789,194,3.56,14.70,14.10,15.00,5.22,-9.53,1.26,0.00,0.64,0.00,0.00,0.00,16
4471,0.13,794,194,3.47,14.47,14.10,14.50,5.22,-9.51,1.28,0.00,0.64,0.00,0.00,0.00,16
4536,0.13,801,194,3.47,14.59,14.10,13.50,5.22,-9.53,1.28,0.00,0.64,0.00,0.00,0.00,16
4600,0.13,801,194,3.42,14.47,14.10,14.00,5.22,-9.51,1.24,0.00,0.64,0.00,0.00,0.00,16
4664,0.13,806,194,3.40,14.59,14.10,13.00,5.22,-9.53,1.26,0.00,0.66,0.00,0.00,0.00,16
4728,0.13,814,194,3.49,14.47,14.10,12.50,5.22,-9.53,1.26,0.00,0.64,0.00,0.00,0.00,16
4793,0.13,814,194,3.42,14.47,14.10,13.00,5.08,-9.55,1.26,0.00,0.66,0.00,0.00,0.00,16
4857,0.13,811,194,3.38,14.47,14.10,13.50,5.08,-9.55,1.24,0.00,0.64,0.00,0.00,0.00,16
4921,0.13,804,194,3.38,14.47,14.10,13.00,5.08,-9.55,1.24,0.00,0.64,0.00,0.00,0.00,16
4985,0.13,809,194,3.45,14.70,14.10,14.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
5050,0.13,801,194,3.45,14.59,14.10,14.00,5.22,-9.53,1.26,0.00,0.66,0.00,0.00,0.00,16
5114,0.13,802,194,3.38,14.70,14.10,14.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
5174,0.13,809,194,3.49,14.59,14.10,13.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
5239,0.13,810,194,3.49,14.70,14.10,13.00,5.08,-9.55,1.26,0.00,0.66,0.00,0.00,0.00,16
5303,0.13,817,194,3.40,14.59,14.10,12.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
5367,0.12,809,194,3.40,14.59,14.10,13.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
5432,0.13,820,194,3.42,14.47,14.10,12.00,5.08,-9.57,1.24,0.00,0.66,0.00,0.00,0.00,16
5496,0.12,808,194,3.40,14.47,14.10,13.50,5.08,-9.55,1.24,0.00,0.66,0.00,0.00,0.00,16
5561,0.13,807,194,3.38,14.47,14.10,13.50,5.08,-9.57,1.26,0.00,0.64,0.00,0.00,0.00,16
5625,0.13,808,194,3.40,14.47,14.10,13.50,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
5685,0.13,809,194,3.42,14.36,14.10,13.50,5.08,-9.57,1.26,0.00,0.66,0.00,0.00,0.00,16
5749,0.13,807,194,3.42,14.47,14.10,14.00,5.08,-9.57,1.24,0.00,0.64,0.00,0.00,0.00,16
5813,0.13,801,194,3.45,14.47,14.10,14.00,5.08,-9.57,1.26,0.00,0.64,0.00,0.00,0.00,16
5877,0.13,804,194,3.45,14.47,14.10,14.00,5.08,-9.57,1.28,0.00,0.64,0.00,0.00,0.00,16
5941,0.13,801,194,3.42,14.47,14.10,14.00,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
6006,0.13,802,194,3.40,14.59,14.10,14.00,5.08,-9.55,1.24,0.00,0.66,0.00,0.00,0.00,16
6070,0.13,802,194,3.40,14.59,14.10,14.50,5.08,-9.55,1.26,0.00,0.64,0.00,0.00,0.00,16
6134,0.13,796,194,3.45,14.59,14.10,14.50,5.08,-9.55,1.26,0.00,0.66,0.00,0.00,0.00,16
6198,0.13,788,194,3.45,14.70,14.10,15.50,5.08,-9.51,1.26,0.00,0.64,0.00,0.00,0.00,16
6263,0.13,781,194,3.42,14.70,14.10,16.00,5.22,-9.44,1.26,0.00,0.64,0.00,0.00,0.00,16
6327,0.13,786,194,3.49,14.70,14.10,15.50,5.22,-9.40,1.26,0.00,0.64,0.00,0.00,0.00,16
6392,0.13,775,194,3.45,14.70,14.10,16.50,5.37,-9.36,1.26,0.00,0.64,0.00,0.00,0.00,16
6452,0.13,777,194,3.40,14.81,14.10,16.00,5.37,-9.34,1.26,0.00,0.66,0.00,0.00,0.00,16
6517,0.13,767,194,3.45,14.81,14.10,17.00,5.37,-9.32,1.24,0.00,0.64,0.00,0.00,0.00,16
6582,0.13,773,194,3.33,14.70,14.10,16.50,5.37,-9.36,1.26,0.00,0.64,0.00,0.00,0.00,16
6646,0.13,783,194,3.45,14.81,14.10,15.00,5.37,-9.36,1.26,0.00,0.64,0.00,0.00,0.00,16
6706,0.13,781,194,3.52,14.81,14.10,15.50,5.37,-9.36,1.26,0.00,0.66,0.00,0.00,0.00,16
6771,0.13,793,194,3.49,14.70,14.10,14.00,5.37,-9.36,1.26,0.00,0.64,0.00,0.00,0.00,16
6835,0.13,795,194,3.49,14.70,14.10,13.50,5.37,-9.36,1.26,0.00,0.66,0.00,0.00,0.00,16
6899,0.13,802,194,3.40,14.70,14.10,13.00,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
6963,0.13,796,194,3.36,14.81,14.10,14.00,5.37,-9.38,1.24,0.00,0.64,0.00,0.00,0.00,16
7028,0.13,789,194,3.31,14.81,14.10,14.00,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
7092,0.13,785,194,3.42,14.81,14.10,14.50,5.37,-9.40,1.28,0.00,0.66,0.00,0.00,0.00,16
7156,0.13,784,194,3.45,14.81,14.10,14.50,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
7220,0.13,792,194,3.47,14.81,14.10,14.00,5.22,-9.44,1.26,0.00,0.66,0.00,0.00,0.00,16
7284,0.13,792,194,3.52,14.81,14.10,15.00,5.37,-9.40,1.28,0.00,0.64,0.00,0.00,0.00,16
7349,0.13,782,194,3.45,14.81,14.10,15.00,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
7409,0.14,778,194,3.49,14.81,14.10,16.00,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
7478,0.13,776,194,3.47,14.81,14.10,15.50,5.37,-9.38,1.26,0.00,0.66,0.00,0.00,0.00,16
7538,0.13,772,194,3.40,15.04,14.10,14.50,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
7603,0.13,780,194,3.33,14.81,14.10,14.00,5.37,-9.36,1.24,0.00,0.64,0.00,0.00,0.00,16
7667,0.13,783,194,3.33,14.81,14.10,14.00,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
7731,0.13,793,194,3.52,14.81,14.10,13.00,5.37,-9.38,1.28,0.00,0.64,0.00,0.00,0.00,16
7792,0.13,789,194,3.47,14.81,14.10,13.50,5.37,-9.40,1.26,0.00,0.64,0.00,0.00,0.00,16
7856,0.14,794,194,3.56,14.81,14.10,13.00,5.37,-9.42,1.26,0.00,0.66,0.00,0.00,0.00,16
7920,0.13,785,194,3.52,14.81,14.10,14.50,5.37,-9.38,1.28,0.00,0.66,0.00,0.00,0.00,16
7984,0.13,785,194,3.47,14.81,14.10,14.00,5.37,-9.38,1.28,0.00,0.64,0.00,0.00,0.00,16
8049,0.13,778,194,3.49,14.81,14.10,14.50,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
8113,0.13,788,194,3.45,14.70,14.10,13.50,5.37,-9.40,1.26,0.00,0.64,0.00,0.00,0.00,16
8177,0.13,796,194,3.40,14.70,14.10,13.00,5.37,-9.40,1.26,0.00,0.64,0.00,0.00,0.00,16
8242,0.13,794,194,3.38,14.59,14.10,13.00,5.22,-9.40,1.26,0.00,0.64,0.00,0.00,0.00,16
8306,0.13,797,194,3.47,14.47,14.10,13.00,5.22,-9.44,1.24,0.00,0.64,0.00,0.00,0.00,16
8370,0.13,790,194,3.45,14.36,14.10,13.50,5.37,-9.40,1.26,0.00,0.66,0.00,0.00,0.00,16
8434,0.14,783,194,3.66,14.36,14.10,14.00,5.37,-9.42,1.38,0.00,0.72,0.00,0.00,0.00,16
8494,0.22,788,194,6.18,14.36,14.10,14.00,6.24,-9.01,1.62,0.00,0.88,0.00,0.00,0.00,16
8559,0.29,790,194,14.31,14.36,17.97,14.00,9.29,-7.17,2.00,0.00,1.02,0.00,0.00,0.00,16
8623,0.36,799,194,17.43,14.59,18.32,17.50,10.59,-4.12,2.02,0.00,1.02,0.00,0.00,0.00,16
8687,0.39,842,194,17.43,14.47,16.91,16.50,10.59,-3.69,2.02,0.00,0.64,0.00,0.00,0.00,16
8751,0.20,1119,194,7.85,14.70,22.54,15.50,9.72,-5.76,1.46,0.00,0.64,0.00,0.00,0.00,16
8815,0.16,1338,192,4.02,14.59,20.43,13.00,7.69,-7.56,1.28,0.00,0.64,0.00,0.00,0.00,16
8879,0.13,1313,192,3.38,13.90,17.97,10.50,6.38,-8.62,1.24,0.00,0.64,0.00,0.00,0.00,16
8944,0.11,1350,192,3.08,13.67,15.86,8.00,5.80,-9.42,1.24,0.00,0.64,0.00,0.00,0.00,16
9008,0.10,1356,192,3.23,14.24,14.10,6.00,5.08,-9.75,1.24,0.00,0.66,0.00,0.00,0.00,16
9073,0.10,1280,192,3.43,12.75,14.10,6.00,4.79,-10.00,1.26,0.00,0.66,0.00,0.00,0.00,16
9137,0.09,1209,192,3.45,13.09,14.10,6.00,4.64,-10.19,1.26,0.00,0.66,0.00,0.00,0.00,16
9201,0.10,1149,192,3.58,14.24,14.10,6.00,4.50,-10.21,1.28,0.00,0.66,0.00,0.00,0.00,16
9262,0.11,1060,192,3.73,15.27,14.10,10.50,4.50,-10.19,1.28,0.00,0.66,0.00,0.00,0.00,16
9326,0.11,1020,192,3.72,17.11,14.10,15.00,4.50,-10.21,1.28,0.00,0.64,0.00,0.00,0.00,16
9390,0.11,984,192,3.70,17.11,14.10,19.00,4.50,-10.13,1.30,0.00,0.66,0.00,0.00,0.00,16
9455,0.11,1007,192,3.62,17.11,14.10,16.00,4.50,-10.15,1.28,0.00,0.66,0.00,0.00,0.00,16
9519,0.10,1035,192,3.56,17.23,14.10,13.00,4.50,-10.19,1.26,0.00,0.64,0.00,0.00,0.00,16
9583,0.10,1037,192,3.49,17.46,14.10,13.00,4.50,-10.25,1.26,0.00,0.66,0.00,0.00,0.00,16
9648,0.10,1039,192,3.45,17.57,14.10,12.50,4.35,-10.35,1.26,0.00,0.66,0.00,0.00,0.00,16
9708,0.10,1036,192,3.40,17.23,14.10,13.00,4.35,-10.38,1.26,0.00,0.66,0.00,0.00,0.00,16
9777,0.10,1036,192,3.40,17.34,14.10,15.00,4.35,-10.40,1.24,0.00,0.66,0.00,0.00,0.00,16
9837,0.10,1017,192,3.36,16.77,14.10,16.00,4.35,-10.40,1.24,0.00,0.64,0.00,0.00,0.00,16
9901,0.10,1008,192,3.30,17.00,14.10,16.00,4.21,-10.46,1.24,0.00,0.66,0.00,0.00,0.00,16
9965,0.10,1006,192,3.36,16.65,14.10,16.00,4.21,-10.44,1.26,0.00,0.66,0.00,0.00,0.00,16
10030,0.10,1004,192,3.38,16.65,14.10,16.50,4.21,-10.48,1.26,0.00,0.66,0.00,0.00,0.00,16
10094,0.10,1000,192,3.36,16.19,14.10,15.50,4.21,-10.50,1.24,0.00,0.66,0.00,0.00,0.00,16
10158,0.10,1004,192,3.33,15.96,14.10,16.00,4.21,-10.50,1.24,0.00,0.66,0.00,0.00,0.00,16
10223,0.10,998,192,3.30,15.73,14.10,16.00,4.21,-10.52,1.24,0.00,0.66,0.00,0.00,0.00,16
10287,0.10,999,192,3.30,15.50,14.10,16.00,4.21,-10.52,1.24,0.00,0.66,0.00,0.00,0.00,16
10351,0.10,992,192,3.30,15.16,14.10,16.50,4.21,-10.54,1.24,0.00,0.66,0.00,0.00,0.00,16
10412,0.10,993,192,3.25,15.04,14.10,16.00,4.21,-10.54,1.24,0.00,0.66,0.00,0.00,0.00,16
10476,0.10,978,192,3.25,14.93,14.10,17.50,4.21,-10.56,1.24,0.00,0.66,0.00,0.00,0.00,16
10540,0.10,970,192,3.25,14.93,14.10,17.00,4.21,-10.52,1.24,0.00,0.66,0.00,0.00,0.00,16
10608,0.10,963,192,3.25,14.81,14.10,18.50,4.21,-10.52,1.24,0.00,0.66,0.00,0.00,0.00,16
10668,0.10,956,192,3.28,14.70,14.10,19.00,4.21,-10.50,1.24,0.00,0.66,0.00,0.00,0.00,16
10732,0.11,949,192,3.49,14.47,14.10,19.50,4.21,-10.48,1.28,0.00,0.68,0.00,0.00,0.00,16
10796,0.13,946,192,4.15,14.47,14.10,19.50,4.35,-10.40,1.36,0.00,0.70,0.00,0.00,0.00,16
10861,0.15,940,192,4.79,13.90,14.10,14.00,4.64,-10.13,1.40,0.00,0.70,0.00,0.00,0.00,16
10925,0.16,944,192,5.08,14.01,14.80,14.00,4.93,-9.88,1.42,0.00,0.72,0.00,0.00,0.00,16
10986,0.16,956,192,5.27,13.67,15.16,14.50,5.22,-9.49,1.44,0.00,0.72,0.00,0.00,0.00,16
11050,0.16,977,192,5.36,13.67,15.86,15.50,5.37,-9.30,1.44,0.00,0.72,0.00,0.00,0.00,16
11114,0.15,1009,192,5.55,13.44,16.56,15.50,5.51,-9.17,1.44,0.00,0.72,0.00,0.00,0.00,16
11178,0.15,1088,192,5.65,13.09,16.91,16.50,5.66,-9.09,1.46,0.00,0.74,0.00,0.00,0.00,16
11243,0.15,1135,192,5.85,13.09,17.62,17.00,5.66,-9.07,1.46,0.00,0.74,0.00,0.00,0.00,16
11307,0.15,1191,192,5.85,12.52,18.67,18.00,5.66,-9.05,1.46,0.00,0.74,0.00,0.00,0.00,16
11372,0.15,1233,192,6.07,12.29,19.38,19.50,5.66,-9.01,1.48,0.00,0.74,0.00,0.00,0.00,16
11436,0.15,1252,192,6.26,12.29,20.78,20.00,5.66,-9.03,1.50,0.00,0.76,0.00,0.00,0.00,16
11500,0.15,1259,192,6.48,12.17,21.84,21.00,5.66,-9.03,1.50,0.00,0.76,0.00,0.00,0.00,16
11565,0.16,1275,192,6.59,12.63,22.54,22.50,5.66,-9.03,1.52,0.00,0.76,0.00,0.00,0.00,16
11625,0.16,1273,192,6.77,13.21,22.89,22.50,5.66,-8.99,1.52,0.00,0.76,0.00,0.00,0.00,16
11689,0.16,1275,192,6.88,13.44,22.89,22.50,5.66,-8.97,1.54,0.00,0.76,0.00,0.00,0.00,16
11754,0.17,1274,192,7.06,14.24,22.54,22.50,5.80,-8.88,1.56,0.00,0.78,0.00,0.00,0.00,16
11818,0.18,1258,192,7.21,14.70,22.54,22.50,5.95,-8.76,1.56,0.00,0.78,0.00,0.00,0.00,16
11882,0.18,1256,192,7.46,15.04,22.54,22.50,6.09,-8.60,1.58,0.00,0.78,0.00,0.00,0.00,16
11946,0.19,1238,192,7.66,15.16,21.84,22.00,6.09,-8.47,1.60,0.00,0.78,0.00,0.00,0.00,16
12010,0.20,1200,192,7.94,15.27,21.48,21.00,6.38,-8.22,1.62,0.00,0.80,0.00,0.00,0.00,16
12075,0.22,1177,192,8.39,15.16,22.89,22.50,6.67,-7.99,1.64,0.00,0.80,0.00,0.00,0.00,16
12139,0.23,1158,192,8.69,15.04,24.30,24.00,6.96,-7.60,1.66,0.00,0.82,0.00,0.00,0.00,16
12203,0.25,1107,192,9.00,14.81,26.05,26.00,7.40,-7.37,1.66,0.00,0.82,0.00,0.00,0.00,16
12263,0.26,1080,192,9.13,14.47,27.11,27.00,7.69,-7.08,1.66,0.00,0.82,0.00,0.00,0.00,16
12328,0.27,1062,192,9.31,14.01,27.81,27.50,7.98,-6.65,1.70,0.00,0.82,0.00,0.00,0.00,16
12392,0.28,1062,192,9.56,13.44,28.16,28.00,8.42,-6.32,1.70,0.00,0.82,0.00,0.00,0.00,16
12456,0.28,1052,192,9.79,12.86,27.81,27.50,8.56,-6.09,1.70,0.00,0.82,0.00,0.00,0.00,16
12520,0.28,1052,192,9.75,12.98,27.81,27.50,8.85,-5.86,1.70,0.00,0.82,0.00,0.00,0.00,16
12584,0.28,1056,192,9.84,12.86,28.16,28.00,9.00,-5.61,1.70,0.00,0.82,0.00,0.00,0.00,16
12649,0.28,1064,192,9.93,13.32,27.81,27.50,9.14,-5.53,1.70,0.00,0.84,0.00,0.00,0.00,16
12713,0.28,1068,192,10.03,13.44,27.81,27.50,9.29,-5.39,1.72,0.00,0.84,0.00,0.00,0.00,16
12773,0.28,1074,192,10.13,14.01,28.16,27.50,9.29,-5.36,1.72,0.00,0.84,0.00,0.00,0.00,16
12841,0.27,1098,192,10.03,14.59,28.52,28.50,9.43,-5.34,1.72,0.00,0.84,0.00,0.00,0.00,16
12906,0.27,1113,192,10.17,14.81,28.87,28.50,9.43,-5.34,1.72,0.00,0.84,0.00,0.00,0.00,16
12970,0.27,1126,192,10.33,15.16,29.22,28.50,9.29,-5.36,1.74,0.00,0.84,0.00,0.00,0.00,16
13031,0.26,1138,192,10.33,15.16,29.22,29.00,9.29,-5.36,1.72,0.00,0.84,0.00,0.00,0.00,16
13095,0.26,1150,192,10.28,15.16,28.87,29.00,9.29,-5.39,1.72,0.00,0.84,0.00,0.00,0.00,16
13159,0.26,1172,192,10.33,15.39,28.16,28.50,9.29,-5.41,1.72,0.00,0.84,0.00,0.00,0.00,16
13224,0.27,1169,192,10.38,15.50,28.87,28.00,9.29,-5.45,1.74,0.00,0.84,0.00,0.00,0.00,16
13287,0.27,1167,192,10.38,15.39,28.87,28.50,9.29,-5.49,1.74,0.00,0.84,0.00,0.00,0.00,16
13351,0.27,1175,192,10.43,15.39,28.87,28.50,9.29,-5.45,1.74,0.00,0.84,0.00,0.00,0.00,16
13416,0.27,1173,192,10.43,15.39,29.22,28.50,9.29,-5.45,1.74,0.00,0.84,0.00,0.00,0.00,16
13480,0.27,1152,192,10.33,15.27,29.22,29.00,9.29,-5.43,1.74,0.00,0.84,0.00,0.00,0.00,16
13541,0.28,1130,192,10.28,15.16,27.81,28.50,9.43,-5.34,1.72,0.00,0.84,0.00,0.00,0.00,16
13609,0.30,1084,192,10.38,15.04,27.46,27.50,9.43,-5.30,1.74,0.00,0.84,0.00,0.00,0.00,16
13669,0.29,1048,192,10.33,14.81,26.05,26.00,9.58,-5.14,1.74,0.00,0.84,0.00,0.00,0.00,16
13738,0.28,1060,192,10.38,14.81,27.46,26.50,9.72,-5.05,1.72,0.00,0.84,0.00,0.00,0.00,16
13798,0.28,1114,192,10.48,14.59,28.52,28.50,9.58,-5.09,1.74,0.00,0.84,0.00,0.00,0.00,16
13862,0.28,1111,192,10.48,14.36,28.16,28.50,9.58,-5.10,1.74,0.00,0.84,0.00,0.00,0.00,16
13927,0.26,1140,192,10.38,14.13,29.22,28.00,9.58,-5.18,1.74,0.00,0.82,0.00,0.00,0.00,16
13991,0.25,1192,192,10.33,13.90,28.16,28.50,9.43,-5.96,1.72,0.00,0.70,0.00,0.00,0.00,16
