Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),TGV Sensor Left (V),TGV Sensor Right (V)
2595,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2691,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2787,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2883,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2979,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3074,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3171,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3268,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3364,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3460,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3556,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3652,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3748,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3844,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3940,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4036,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4132,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4228,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4324,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4419,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4516,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4611,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4707,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4804,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4900,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
4996,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5092,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5188,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5283,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5379,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5475,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5572,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5669,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5764,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5860,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
5956,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6052,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6148,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6244,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6340,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6436,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6532,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6628,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6724,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6820,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
6916,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
7012,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
7108,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
7204,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
7300,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
7396,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
7492,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
7588,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
7684,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
