Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
10477,14.36,0.17,1352,0.00,0.00,16,11.29,13.00,5.66,-9.07,7.50,-1.39,0.64
10665,14.24,0.17,1349,0.00,0.00,16,11.29,14.00,5.66,-9.09,7.62,-1.39,0.64
10852,14.13,0.17,1356,0.00,0.00,16,11.29,12.50,5.66,-9.09,7.54,-1.39,0.64
11040,14.24,0.17,1348,0.00,0.00,16,11.29,13.00,5.66,-9.11,7.57,-1.39,0.64
11227,14.24,0.17,1347,0.00,0.00,16,11.29,13.50,5.66,-9.07,7.57,-1.39,0.64
11430,14.13,0.17,1349,0.00,0.00,16,11.29,13.50,5.66,-9.09,7.54,-1.39,0.64
11618,14.24,0.17,1355,0.00,0.00,16,11.29,14.00,5.66,-9.11,7.54,-1.39,0.64
11806,14.36,0.17,1356,0.00,0.00,16,11.29,13.00,5.66,-9.09,7.50,-1.39,0.64
11993,14.47,0.17,1334,0.00,0.00,16,11.29,15.00,5.66,-9.09,7.57,-1.39,0.64
12187,14.36,0.17,1349,0.00,0.00,16,11.29,13.00,5.66,-9.09,7.57,-1.39,0.64
12375,14.24,0.17,1350,0.00,0.00,16,11.29,13.00,5.66,-9.09,7.50,-1.39,0.64
12562,14.24,0.17,1352,0.00,0.00,16,11.29,13.00,5.66,-9.09,7.50,-1.39,0.64
12750,14.36,0.17,1343,0.00,0.00,16,11.29,14.50,5.66,-9.11,7.57,-1.39,0.64
12937,14.36,0.17,1347,0.00,0.00,16,11.29,14.00,5.66,-9.11,7.50,-1.39,0.64
13125,14.24,0.17,1339,0.00,0.00,16,10.94,14.00,5.66,-9.11,7.46,-1.39,0.64
13312,14.24,0.17,1354,0.00,0.00,16,11.29,12.50,5.66,-9.11,7.57,-1.39,0.64
13516,14.36,0.17,1344,0.00,0.00,16,11.29,13.50,5.66,-9.11,7.50,-1.39,0.64
13703,14.24,0.16,1350,0.00,0.00,16,11.29,13.00,5.51,-9.11,7.37,-1.39,0.64
13891,14.13,0.17,1348,0.00,0.00,16,11.29,12.50,5.66,-9.11,7.50,-1.39,0.64
14080,14.36,0.17,1336,0.00,0.00,16,11.29,14.50,5.66,-9.11,7.50,-1.39,0.64
14271,14.36,0.17,1349,0.00,0.00,16,11.29,13.00,5.66,-9.13,7.46,-1.39,0.64
14458,14.24,0.17,1341,0.00,0.00,16,11.29,13.00,5.51,-9.11,7.50,-1.39,0.64
14646,14.24,0.17,1334,0.00,0.00,16,10.94,15.00,5.66,-8.93,7.50,-1.39,0.64
14833,14.36,0.17,1328,0.00,0.00,16,10.94,15.50,5.80,-8.88,7.46,-1.39,0.64
15035,14.70,0.17,1334,0.00,0.00,16,10.94,13.50,5.80,-8.91,7.54,-1.39,0.64
15222,14.93,0.17,1329,0.00,0.00,16,10.94,14.00,5.66,-8.99,7.46,-1.39,0.64
15410,14.81,0.17,1330,0.00,0.00,16,11.29,13.00,5.66,-9.01,7.57,-1.39,0.64
15597,14.59,0.17,1342,0.00,0.00,16,11.29,12.50,5.66,-9.07,7.50,-1.39,0.64
15785,14.13,0.17,1324,0.00,0.00,16,10.94,14.00,5.66,-9.11,7.41,-1.39,0.64
15972,13.90,0.17,1333,0.00,0.00,16,10.94,13.00,5.66,-9.11,7.50,-1.39,0.64
16175,14.13,0.17,1331,0.00,0.00,16,11.29,13.50,5.66,-9.11,7.41,-1.39,0.64
16363,14.13,0.17,1333,0.00,0.00,16,10.94,13.00,5.66,-9.11,7.54,-1.39,0.64
16551,14.01,0.17,1328,0.00,0.00,16,10.94,15.00,5.66,-9.11,7.41,-1.39,0.64
16738,14.01,0.17,1332,0.00,0.00,16,10.94,12.50,5.66,-9.11,7.41,-1.39,0.64
16926,14.13,0.17,1330,0.00,0.00,16,10.94,12.50,5.66,-9.09,7.37,-1.39,0.64
17113,14.24,0.17,1318,0.00,0.00,16,10.94,13.00,5.66,-9.09,7.50,-1.39,0.64
17316,14.24,0.17,1314,0.00,0.00,16,10.94,13.50,5.66,-9.07,7.50,-1.39,0.64
17504,14.24,0.17,1310,0.00,0.00,16,10.94,14.00,5.66,-9.07,7.41,-1.39,0.64
17691,14.13,0.17,1303,0.00,0.00,16,10.94,14.00,5.66,-9.07,7.50,-1.39,0.64
17879,14.24,0.17,1309,0.00,0.00,16,10.94,14.50,5.66,-9.01,7.57,-1.39,0.64
18070,14.36,0.16,1310,0.00,0.00,16,10.94,13.50,5.66,-9.01,7.50,-1.39,0.64
