Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.70,0.14,1021,0.00,0.00,16,14.10,14.50,4.93,-9.71,4.91,-1.08,0.64
192,14.70,0.14,1024,0.00,0.00,16,14.10,14.00,5.08,-9.69,4.91,-1.08,0.64
381,14.70,0.14,1032,0.00,0.00,16,14.10,13.00,4.93,-9.69,4.91,-1.08,0.64
569,14.59,0.14,1044,0.00,0.00,16,14.10,12.00,5.08,-9.73,4.91,-1.08,0.64
757,14.47,0.14,1038,0.00,0.00,16,14.10,13.00,4.93,-9.73,4.95,-1.08,0.64
946,14.59,0.14,1041,0.00,0.00,16,14.10,13.00,4.93,-9.77,4.91,-1.08,0.64
1138,14.70,0.14,1044,0.00,0.00,16,14.10,13.00,4.93,-9.77,4.91,-1.08,0.64
1326,14.59,0.14,1032,0.00,0.00,16,14.10,14.00,4.93,-9.77,4.88,-1.08,0.64
1513,14.70,0.14,1042,0.00,0.00,16,14.10,13.50,4.93,-9.75,4.88,-1.08,0.64
1701,14.70,0.14,1027,0.00,0.00,16,14.10,15.00,4.93,-9.75,4.88,-1.08,0.64
1904,14.59,0.14,1040,0.00,0.00,16,14.10,13.50,4.93,-9.73,4.91,-1.08,0.64
2091,14.70,0.14,1051,0.00,0.00,16,14.10,12.50,4.93,-9.75,4.91,-1.08,0.64
2279,14.70,0.14,1026,0.00,0.00,16,14.10,14.00,4.93,-9.75,4.91,-1.08,0.64
2466,14.70,0.14,1041,0.00,0.00,16,14.10,13.50,4.93,-9.71,4.91,-1.08,0.64
2654,14.70,0.14,1041,0.00,0.00,16,14.10,13.50,4.93,-9.75,4.91,-1.08,0.64
2846,14.70,0.14,1052,0.00,0.00,16,14.10,12.50,4.93,-9.75,4.91,-1.08,0.64
3034,14.70,0.14,1051,0.00,0.00,16,14.10,13.00,4.93,-9.77,4.88,-1.08,0.64
3221,14.70,0.14,1038,0.00,0.00,16,14.10,14.50,4.93,-9.78,4.88,-1.08,0.64
3409,14.81,0.15,1022,0.00,0.00,16,14.10,15.50,5.08,-9.67,4.91,-1.08,0.64
3612,14.70,0.14,1034,0.00,0.00,16,14.10,14.00,5.22,-9.51,4.85,-1.08,0.64
3799,14.81,0.14,1028,0.00,0.00,16,14.10,15.00,5.08,-9.57,4.91,-1.08,0.64
3987,14.81,0.14,1036,0.00,0.00,16,14.10,13.00,5.08,-9.59,4.97,-1.08,0.64
