#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Intake Air Temperature	Manifold Absolute Pressure	Manifold Relative Sea Level Pressure (Direct)*	Mass Airflow	Mass Airflow Sensor Voltage	Primary Wastegate Duty Cycle	Target Boost*	Throttle Opening Angle	Throttle Sensor Voltage	Turbo Dynamics Integral Cumulative*	Turbo Dynamics Proportional*	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	F	psi	psi rela	g/s	V	%	psi rela	%	V	absolute	absolute	9600 bau
495880.000	-0.78	-1.56	15.39	8.0	0.25	1932.0	0.000	0.000	15.64	16.0	20.43	35.0	108.0	4.64	-9.96	4.75	1.36	0.0	-1.39	0.0	0.66	0.0	0.0	15.36
495968.000	-0.78	-1.56	15.16	8.0	0.2	1925.0	0.000	0.000	15.2	16.0	6.37	26.0	108.0	4.06	-10.6	4.53	1.36	0.0	-1.39	0.0	0.66	0.0	0.0	15.34
496055.000	-1.56	-1.56	14.93	8.0	0.18	1867.0	0.000	0.000	14.71	16.0	2.85	3.5	108.0	3.77	-11.08	5.33	1.4	0.0	-1.39	0.0	0.66	0.0	0.0	15.18
496141.000	0.0	-1.56	14.24	8.0	0.18	1693.0	0.000	0.000	14.71	16.0	11.99	2.5	108.0	3.34	-11.35	5.7	1.44	0.0	-1.39	0.0	0.66	0.0	0.0	15.00
496228.000	0.0	0.0	13.21	10.0	0.22	1654.0	0.000	0.000	14.7	16.0	11.99	11.5	108.0	3.34	-11.41	5.99	1.48	0.0	-1.39	0.0	0.66	0.0	0.0	14.76
496315.000	0.0	0.0	12.98	10.0	0.23	1574.0	0.000	0.000	14.7	16.0	11.64	11.5	108.0	3.34	-11.37	5.98	1.46	0.0	-1.39	0.0	0.66	0.0	0.0	14.46
496401.000	0.0	0.0	12.75	10.0	0.24	1445.0	0.000	0.000	14.7	16.0	11.29	11.5	108.0	3.48	-11.25	5.89	1.46	0.0	-1.39	0.0	0.64	0.0	0.0	14.12
496488.000	0.0	0.0	12.63	10.0	0.24	1368.0	0.000	0.000	14.7	16.0	11.29	11.5	108.0	3.48	-11.18	5.56	1.44	0.0	-1.39	0.0	0.66	0.0	0.0	13.84
496575.000	0.0	0.0	12.75	10.0	0.25	1337.0	0.000	0.000	14.7	16.0	10.94	19.0	108.0	3.63	-11.1	5.43	1.44	0.0	-1.39	0.0	0.64	0.0	0.0	13.60
496662.000	0.0	0.0	12.4	10.0	0.25	1264.0	0.000	0.000	14.7	16.0	10.94	19.0	108.0	3.63	-11.06	5.37	1.42	0.0	-1.39	0.0	0.66	0.0	0.0	13.38
496749.000	0.0	0.0	12.06	10.0	0.26	1241.0	0.000	0.000	14.7	16.0	10.59	19.0	108.0	3.63	-11.0	5.3	1.42	0.0	-1.39	0.0	0.64	0.0	0.0	13.18
496835.000	-2.34	-0.78	11.6	8.0	0.27	1177.0	0.000	0.000	14.69	16.0	10.23	18.5	108.0	3.77	-10.89	5.21	1.42	0.0	-1.39	0.0	0.64	0.0	0.0	13.00
496921.000	-4.69	-0.78	11.37	8.0	0.27	1130.0	0.000	0.000	14.69	16.0	10.23	18.0	108.0	4.06	-10.75	5.11	1.4	0.0	-1.08	0.0	0.64	0.0	0.0	12.80
497008.000	-7.03	-0.78	11.25	8.0	0.27	1100.0	0.000	0.000	14.7	16.0	9.88	18.0	108.0	4.06	-10.62	4.99	1.38	0.0	-1.08	0.0	0.64	0.0	0.0	12.54
497096.000	-8.59	-1.56	11.14	8.0	0.27	1062.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.21	-10.52	4.75	1.36	0.0	-1.08	0.0	0.66	0.0	0.0	12.30
497182.000	-10.16	-1.56	11.14	8.0	0.26	1044.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.35	-10.42	4.46	1.34	0.0	-1.08	0.0	0.64	0.0	0.0	12.04
497269.000	-10.94	-1.56	11.14	8.0	0.26	994.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.35	-10.35	4.35	1.34	0.0	-1.08	0.0	0.66	0.0	0.0	11.82
497356.000	-12.5	-1.56	11.14	8.0	0.25	998.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.5	-10.23	4.24	1.32	0.0	-1.08	0.0	0.66	0.0	0.0	11.62
497442.000	-13.28	-2.34	11.14	8.0	0.25	997.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.5	-10.19	4.02	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	11.44
497528.000	-14.06	-2.34	11.14	8.0	0.24	995.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.5	-10.15	3.93	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	11.30
497615.000	-15.62	-2.34	11.14	8.0	0.24	992.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.5	-10.15	3.91	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	11.20
497703.000	-17.19	-2.34	11.14	8.0	0.24	977.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.5	-10.13	3.83	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	11.12
497790.000	-17.97	-2.34	11.37	8.0	0.25	909.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.64	-10.11	3.85	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	11.10
497876.000	-18.75	-2.34	11.48	8.0	0.26	903.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.64	-10.0	3.85	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	11.12
497963.000	-18.75	-3.12	11.6	8.0	0.27	884.0	0.000	0.000	14.7	16.0	9.88	17.5	108.0	4.79	-9.94	3.83	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	11.16
498050.000	-17.97	-4.69	12.29	8.0	0.27	846.0	0.000	0.000	14.69	16.0	9.88	17.5	108.0	4.93	-9.78	3.8	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	11.26
498136.000	-17.97	-4.69	12.63	8.0	0.28	831.0	0.000	0.000	14.69	16.0	9.88	17.5	108.0	5.08	-9.69	3.83	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	11.40
498223.000	-17.19	-4.69	13.09	8.0	0.25	817.0	0.000	0.000	14.69	16.0	9.88	17.5	108.0	5.08	-9.57	3.78	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	11.56
498310.000	-16.41	-4.69	13.21	8.0	0.29	793.0	0.000	0.000	14.69	16.0	9.88	17.5	108.0	5.22	-9.46	3.83	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	11.78
498397.000	-16.41	-4.69	13.9	8.0	0.29	790.0	0.000	0.000	14.69	16.0	9.88	17.5	108.0	5.37	-9.36	3.83	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	12.06
498483.000	-15.62	-3.91	14.24	8.0	0.29	798.0	0.000	0.000	14.69	16.0	9.88	17.5	108.0	5.37	-9.3	3.85	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	12.30
498570.000	-14.84	-3.91	14.36	8.0	0.29	800.0	0.000	0.000	14.69	16.0	9.88	17.5	108.0	5.51	-9.2	3.88	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	12.54
498657.000	-14.06	-3.91	14.81	8.0	0.29	807.0	0.000	0.000	14.69	16.0	9.88	17.5	108.0	5.51	-9.17	3.85	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	12.82
498743.000	-14.06	-3.91	14.93	8.0	0.29	814.0	0.000	0.000	14.69	16.0	9.88	17.0	108.0	5.66	-9.09	3.88	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	13.14
498830.000	-13.28	-3.91	15.04	8.0	0.28	816.0	0.000	0.000	14.69	16.0	9.88	16.0	108.0	5.66	-9.11	3.88	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	13.46
498917.000	-11.72	-3.91	15.62	8.0	0.28	828.0	0.000	0.000	14.69	16.0	9.88	16.0	108.0	5.66	-9.07	3.91	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	13.86
499003.000	-12.5	-3.12	15.5	8.0	0.28	822.0	0.000	0.000	14.69	16.0	9.88	15.0	108.0	5.66	-9.09	3.91	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	14.28
