Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-1.56,0.78,14.59,8,0.22,836,0.00,0.00,14.70,16,9.88,10.00,106,4.64,-10.09,3.05,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
86,-1.56,0.78,14.47,8,0.22,892,0.00,0.00,14.70,16,9.88,10.00,106,4.64,-10.06,3.07,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
173,-1.56,0.78,14.70,8,0.22,833,0.00,0.00,14.70,16,9.88,10.00,106,4.64,-10.06,3.05,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
259,-1.56,0.78,14.70,8,0.22,839,0.00,0.00,14.70,16,9.88,9.50,106,4.64,-10.06,3.05,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
346,-1.56,0.78,14.70,8,0.22,840,0.00,0.00,14.70,16,9.88,9.50,106,4.64,-10.06,3.02,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
433,-1.56,0.78,14.70,8,0.22,832,0.00,0.00,14.70,16,9.88,10.00,106,4.64,-10.06,3.02,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
519,-1.56,0.78,14.70,8,0.22,823,0.00,0.00,14.70,16,9.88,11.00,106,4.64,-10.06,3.02,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
607,-1.56,0.78,14.70,8,0.22,833,0.00,0.00,14.70,16,9.88,9.50,106,4.64,-10.04,3.05,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
3389,-0.78,0.78,14.59,8,0.22,821,0.00,0.00,14.70,16,9.88,10.50,106,4.64,-10.02,3.07,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
3476,-1.56,0.78,14.70,8,0.22,830,0.00,0.00,14.70,16,9.88,9.50,106,4.64,-10.02,3.07,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
3562,-0.78,0.78,14.70,8,0.22,830,0.00,0.00,14.70,16,9.88,10.50,106,4.64,-10.02,3.05,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
3649,-1.56,0.78,14.70,8,0.22,818,0.00,0.00,14.70,16,9.88,10.50,106,4.64,-10.02,3.07,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
3736,-0.78,0.78,14.70,8,0.22,828,0.00,0.00,14.70,16,9.88,9.50,106,4.64,-10.02,3.05,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
3822,-0.78,0.78,14.70,8,0.22,834,0.00,0.00,14.70,16,9.88,9.00,106,4.64,-10.02,3.07,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
3909,-0.78,0.78,14.81,8,0.22,838,0.00,0.00,14.70,16,9.88,8.50,106,4.64,-10.02,3.07,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
