Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.00,14.70,7,0.27,928,0.00,0.00,13.97,16,9.88,17.50,61,4.50,-10.09,4.09,1.32,-1.08,0.00,0.64,14.80
74,0.00,0.00,14.70,7,0.28,914,0.00,0.00,13.98,16,9.88,17.50,61,4.64,-9.94,4.20,1.34,-1.08,0.00,0.64,14.80
150,0.00,0.00,14.70,7,0.29,908,0.00,0.00,13.97,16,9.88,17.50,61,4.79,-9.84,4.33,1.36,-1.08,0.00,0.64,14.80
226,0.00,0.00,14.70,7,0.30,909,0.00,0.00,14.00,16,9.88,17.50,61,4.93,-9.75,4.47,1.36,-1.08,0.00,0.64,14.80
301,0.00,0.00,14.70,7,0.28,935,0.00,0.00,14.00,16,9.88,17.50,61,5.08,-9.55,4.53,1.36,-1.08,0.00,0.64,14.80
376,0.00,0.00,14.70,7,0.29,954,0.00,0.00,14.00,16,9.88,17.50,61,5.08,-9.48,4.36,1.38,-1.08,0.00,0.64,14.80
451,0.00,0.00,14.70,7,0.28,967,0.00,0.00,14.01,16,9.88,15.50,61,5.22,-9.46,4.60,1.38,-1.08,0.00,0.64,14.80
527,0.00,0.00,14.70,7,0.27,989,0.00,0.00,14.02,16,9.88,12.50,61,5.22,-9.44,4.51,1.36,-1.08,0.00,0.64,14.80
602,0.00,0.00,14.70,7,0.28,996,0.00,0.00,14.04,16,9.88,10.50,61,5.22,-9.48,4.60,1.34,-1.08,0.00,0.64,14.80
677,0.00,0.00,14.70,7,0.28,979,0.00,0.00,14.03,16,9.88,11.50,61,5.22,-9.46,4.39,1.36,-1.08,0.00,0.64,14.80
753,0.00,0.00,14.70,7,0.30,971,0.00,0.00,14.02,16,9.88,12.50,61,5.22,-9.46,4.60,1.38,-1.08,0.00,0.64,14.80
828,0.00,0.00,14.70,7,0.31,933,0.00,0.00,14.03,16,9.88,15.00,61,5.22,-9.32,4.73,1.38,-1.08,0.00,0.64,14.80
904,0.00,0.00,14.70,7,0.32,928,0.00,0.00,14.04,16,9.88,16.00,61,5.37,-9.20,4.82,1.40,-1.08,0.00,0.64,14.80
979,0.00,0.00,14.70,7,0.35,920,0.00,0.00,11.53,16,9.88,16.00,61,5.51,-9.05,5.11,1.42,-1.08,0.39,0.64,14.80
1054,0.00,0.00,14.70,7,0.41,911,0.00,0.00,10.60,16,9.88,16.50,61,5.80,-8.72,5.63,1.48,-1.08,1.57,0.68,14.80
1130,0.00,0.00,14.70,7,0.45,903,0.00,0.00,14.00,16,10.94,10.00,61,6.09,-8.39,6.79,1.52,-1.08,2.75,0.72,14.80
1205,0.00,0.00,14.70,7,0.48,906,0.00,0.00,11.90,16,13.40,11.50,61,6.53,-8.08,6.68,1.54,-1.08,3.14,0.74,14.80
1280,0.00,0.00,14.70,7,0.50,894,0.00,0.00,13.99,16,15.16,13.00,61,6.82,-7.79,7.21,1.58,-1.08,3.14,0.76,14.80
1355,0.00,0.00,14.70,7,0.48,929,0.00,0.00,14.00,16,17.27,15.00,61,7.11,-7.27,7.53,1.58,-1.08,3.92,0.76,14.80
