Time (msec),A/F Sensor #1 (AFR),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
111129,14.59,0.24,878,0.00,0.00,14.70,16,4.93,-9.67,0.00,-1.08,0.64,0.00,0.00,14.60
111193,14.81,0.25,876,0.00,0.00,14.69,16,4.93,-9.73,0.00,-1.08,0.64,0.00,0.00,14.60
111257,14.70,0.25,869,0.00,0.00,14.69,16,5.08,-9.67,0.00,-1.08,0.64,0.00,0.00,14.60
111320,14.81,0.25,870,0.00,0.00,14.69,16,5.08,-9.67,0.00,-1.08,0.64,0.00,0.00,14.60
111385,14.81,0.25,868,0.00,0.00,14.69,16,5.08,-9.67,0.00,-1.08,0.64,0.00,0.00,14.60
111449,14.93,0.24,864,0.00,0.00,14.70,16,5.08,-9.65,0.00,-1.08,0.64,0.00,0.00,14.70
111512,14.81,0.25,854,0.00,0.00,14.69,16,5.08,-9.65,0.00,-1.08,0.64,0.00,0.00,14.70
111576,14.93,0.25,854,0.00,0.00,14.69,16,5.08,-9.63,0.00,-1.08,0.64,0.00,0.00,14.70
111640,14.81,0.26,851,0.00,0.00,14.69,16,5.08,-9.63,0.00,-1.08,0.64,0.00,0.00,14.80
111704,14.93,0.26,839,0.00,0.00,14.69,16,5.08,-9.57,0.00,-1.08,0.64,0.00,0.00,14.80
111768,14.81,0.26,841,0.00,0.00,14.69,16,5.08,-9.57,0.00,-1.08,0.64,0.00,0.00,14.80
111832,14.81,0.25,836,0.00,0.00,14.69,16,5.22,-9.53,0.00,-1.08,0.64,0.00,0.00,14.80
111896,14.93,0.26,842,0.00,0.00,14.69,16,5.22,-9.53,0.00,-1.08,0.64,0.00,0.00,14.80
111959,14.93,0.27,842,0.00,0.00,14.69,16,5.22,-9.51,0.00,-1.08,0.64,0.00,0.00,14.80
112023,14.81,0.26,842,0.00,0.00,14.69,16,5.22,-9.48,0.00,-1.08,0.64,0.00,0.00,14.80
112087,14.93,0.26,836,0.00,0.00,14.69,16,5.22,-9.46,0.00,-1.08,0.64,0.00,0.00,14.70
112151,14.81,0.26,835,0.00,0.00,14.69,16,5.22,-9.44,0.00,-1.08,0.64,0.00,0.00,14.90
112214,14.93,0.26,840,0.00,0.00,14.69,16,5.22,-9.42,0.00,-1.08,0.64,0.00,0.00,14.90
112279,14.81,0.26,841,0.00,0.00,14.69,16,5.37,-9.38,0.00,-1.08,0.64,0.00,0.00,14.80
112343,14.93,0.26,840,0.00,0.00,14.69,16,5.37,-9.38,0.00,-1.08,0.64,0.00,0.00,14.80
112406,14.81,0.27,834,0.00,0.00,14.69,16,5.37,-9.36,0.00,-1.08,0.64,0.00,0.00,14.80
112470,14.93,0.27,836,0.00,0.00,14.69,16,5.37,-9.38,0.00,-1.08,0.64,0.00,0.00,14.80
112534,14.81,0.27,834,0.00,0.00,14.69,16,5.37,-9.36,0.00,-1.08,0.64,0.00,0.00,14.80
112598,14.81,0.27,838,0.00,0.00,14.69,16,5.37,-9.34,0.00,-1.08,0.64,0.00,0.00,14.80
112662,14.70,0.28,840,0.00,0.00,14.69,16,5.37,-9.32,0.00,-1.08,0.64,0.00,0.00,14.70
112726,14.70,0.28,833,0.00,0.00,14.69,16,5.37,-9.28,0.00,-1.08,0.64,0.00,0.00,14.70
112790,14.81,0.28,822,0.00,0.00,14.69,16,5.51,-9.26,0.00,-1.08,0.64,0.00,0.00,14.90
112854,14.70,0.28,820,0.00,0.00,14.69,16,5.51,-9.20,0.00,-1.08,0.64,0.00,0.00,14.80
112917,14.81,0.29,816,0.00,0.00,14.69,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.80
112981,14.81,0.29,814,0.00,0.00,14.69,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.80
113045,14.81,0.29,826,0.00,0.00,14.69,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.90
113108,14.81,0.29,833,0.00,0.00,14.69,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.90
113173,14.93,0.28,842,0.00,0.00,14.69,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
113237,14.81,0.28,847,0.00,0.00,14.69,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
113300,14.93,0.28,854,0.00,0.00,14.69,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.80
113364,14.81,0.28,849,0.00,0.00,14.69,16,5.66,-9.13,0.00,-1.08,0.64,0.00,0.00,14.80
113428,14.70,0.29,830,0.00,0.00,14.69,16,5.51,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
113492,14.70,0.29,824,0.00,0.00,14.69,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.80
113556,14.59,0.30,818,0.00,0.00,14.69,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.70
113620,14.59,0.30,824,0.00,0.00,14.69,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.70
113684,14.47,0.30,826,0.00,0.00,14.69,16,5.66,-8.93,0.00,-1.08,0.64,0.00,0.00,14.70
113747,14.70,0.29,850,0.00,0.00,14.69,16,5.80,-8.91,0.00,-1.08,0.64,0.00,0.00,14.60
113812,14.59,0.29,848,0.00,0.00,14.69,16,5.80,-8.95,0.00,-1.08,0.64,0.00,0.00,14.60
113876,14.70,0.28,869,0.00,0.00,14.69,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.60
113940,14.70,0.28,861,0.00,0.00,14.69,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.70
114003,14.70,0.28,863,0.00,0.00,14.69,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.70
114068,14.70,0.29,848,0.00,0.00,14.69,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
114131,14.70,0.29,848,0.00,0.00,14.69,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.70
114195,14.70,0.30,846,0.00,0.00,14.69,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.70
114259,14.70,0.30,844,0.00,0.00,14.69,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.70
114323,14.81,0.30,845,0.00,0.00,14.69,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.70
114387,14.81,0.29,850,0.00,0.00,14.69,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.70
114450,14.93,0.29,860,0.00,0.00,14.69,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.70
114514,14.93,0.29,868,0.00,0.00,14.69,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.70
114579,14.93,0.29,870,0.00,0.00,14.69,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
114643,15.04,0.29,866,0.00,0.00,14.69,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.90
114706,14.70,0.29,864,0.00,0.00,14.69,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.90
114770,14.81,0.30,860,0.00,0.00,14.69,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.90
114834,14.81,0.31,828,0.00,0.00,14.69,16,5.80,-8.95,0.00,-1.08,0.64,0.00,0.00,14.90
114897,14.81,0.30,818,0.00,0.00,14.69,16,5.80,-8.93,0.00,-1.08,0.64,0.00,0.00,15.00
114961,14.70,0.32,816,0.00,0.00,14.69,16,5.80,-8.88,0.00,-1.08,0.64,0.00,0.00,14.90
115025,14.81,0.31,816,0.00,0.00,14.69,16,5.95,-8.80,0.00,-1.08,0.64,0.00,0.00,14.90
115089,14.93,0.31,824,0.00,0.00,14.69,16,5.95,-8.76,0.00,-1.08,0.64,0.00,0.00,14.90
115153,14.70,0.30,832,0.00,0.00,14.69,16,5.95,-8.72,0.00,-1.08,0.64,0.00,0.00,14.90
115216,14.81,0.31,845,0.00,0.00,14.69,16,5.95,-8.72,0.00,-1.08,0.64,0.00,0.00,14.90
115281,14.81,0.30,844,0.00,0.00,14.69,16,5.95,-8.72,0.00,-1.08,0.64,0.00,0.00,14.90
115345,14.81,0.31,851,0.00,0.00,14.69,16,5.95,-8.76,0.00,-1.08,0.64,0.00,0.00,14.80
115408,14.70,0.30,850,0.00,0.00,14.69,16,5.95,-8.72,0.00,-1.08,0.64,0.00,0.00,14.80
115472,14.81,0.31,846,0.00,0.00,14.69,16,5.95,-8.76,0.00,-1.08,0.64,0.00,0.00,14.80
115537,14.70,0.31,826,0.00,0.00,14.69,16,5.95,-8.68,0.00,-1.08,0.64,0.00,0.00,14.80
115600,14.81,0.31,836,0.00,0.00,14.69,16,5.95,-8.70,0.00,-1.08,0.64,0.00,0.00,14.80
115663,14.70,0.30,844,0.00,0.00,14.69,16,5.95,-8.70,0.00,-1.08,0.64,0.00,0.00,14.90
115728,14.81,0.29,864,0.00,0.00,14.70,16,5.95,-8.70,0.00,-1.08,0.64,0.00,0.00,14.90
115792,14.93,0.29,876,0.00,0.00,14.70,16,5.95,-8.78,0.00,-1.08,0.64,0.00,0.00,14.80
115856,15.04,0.29,887,0.00,0.00,14.70,16,5.95,-8.84,0.00,-1.08,0.64,0.00,0.00,14.90
115919,14.93,0.29,874,0.00,0.00,14.70,16,5.80,-8.89,0.00,-1.08,0.64,0.00,0.00,14.90
115984,15.27,0.30,868,0.00,0.00,14.70,16,5.80,-8.89,0.00,-1.08,0.64,0.00,0.00,15.10
116047,15.16,0.31,862,0.00,0.00,14.69,16,5.80,-8.89,0.00,-1.08,0.64,0.00,0.00,15.00
116111,15.04,0.31,852,0.00,0.00,14.69,16,5.80,-8.86,0.00,-1.08,0.64,0.00,0.00,15.00
116175,15.16,0.32,841,0.00,0.00,14.69,16,5.95,-8.82,0.00,-1.08,0.64,0.00,0.00,15.10
116239,15.04,0.32,825,0.00,0.00,14.69,16,5.95,-8.76,0.00,-1.08,0.64,0.00,0.00,15.30
116303,15.27,0.32,832,0.00,0.00,14.69,16,5.95,-8.72,0.00,-1.08,0.64,0.00,0.00,15.30
116366,15.27,0.32,836,0.00,0.00,14.69,16,5.95,-8.68,0.00,-1.08,0.64,0.00,0.00,15.00
116430,15.39,0.31,840,0.00,0.00,14.69,16,6.09,-8.64,0.00,-1.08,0.64,0.00,0.00,15.00
116494,15.16,0.31,850,0.00,0.00,14.69,16,6.09,-8.62,0.00,-1.08,0.64,0.00,0.00,15.20
116559,15.39,0.31,862,0.00,0.00,14.69,16,6.09,-8.68,0.00,-1.08,0.64,0.00,0.00,15.30
116622,15.16,0.31,857,0.00,0.00,14.69,16,5.95,-8.70,0.00,-1.08,0.64,0.00,0.00,15.30
116685,15.39,0.30,857,0.00,0.00,14.70,16,5.95,-8.70,0.00,-1.08,0.64,0.00,0.00,15.30
116750,14.93,0.30,862,0.00,0.00,14.69,16,5.95,-8.74,0.00,-1.08,0.64,0.00,0.00,15.40
116813,14.93,0.31,848,0.00,0.00,14.69,16,5.95,-8.70,0.00,-1.08,0.64,0.00,0.00,15.40
116878,14.93,0.31,839,0.00,0.00,14.69,16,5.95,-8.70,0.00,-1.08,0.64,0.00,0.00,15.30
116941,14.70,0.32,836,0.00,0.00,14.69,16,5.95,-8.68,0.00,-1.08,0.64,0.00,0.00,15.10
117005,14.81,0.32,834,0.00,0.00,14.69,16,6.09,-8.62,0.00,-1.08,0.64,0.00,0.00,15.10
117068,14.81,0.32,837,0.00,0.00,14.69,16,6.09,-8.60,0.00,-1.08,0.64,0.00,0.00,15.00
117132,14.70,0.31,847,0.00,0.00,14.70,16,6.09,-8.60,0.00,-1.08,0.64,0.00,0.00,15.00
117196,14.81,0.31,870,0.00,0.00,14.70,16,5.95,-8.68,0.00,-1.08,0.64,0.00,0.00,14.90
117261,14.70,0.30,888,0.00,0.00,14.70,16,5.95,-8.74,0.00,-1.08,0.64,0.00,0.00,14.80
117324,14.93,0.30,903,0.00,0.00,14.70,16,5.95,-8.80,0.00,-1.08,0.64,0.00,0.00,14.80
117388,14.81,0.28,909,0.00,0.00,15.27,16,5.80,-8.88,0.00,-1.08,0.64,0.00,0.00,14.90
117452,14.81,0.28,914,0.00,0.00,14.70,16,5.80,-8.91,0.00,-1.08,0.64,0.00,0.00,14.80
117516,14.70,0.29,898,0.00,0.00,14.70,16,5.80,-8.91,0.00,-1.08,0.64,0.00,0.00,14.80
117580,14.81,0.29,875,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
117644,14.70,0.31,854,0.00,0.00,14.70,16,5.80,-8.91,0.00,-1.08,0.64,0.00,0.00,14.80
117708,14.70,0.31,862,0.00,0.00,14.69,16,5.80,-8.89,0.00,-1.08,0.64,0.00,0.00,14.80
117771,14.70,0.31,855,0.00,0.00,14.70,16,5.80,-8.86,0.00,-1.08,0.64,0.00,0.00,14.80
117836,14.70,0.30,865,0.00,0.00,14.70,16,5.80,-8.88,0.00,-1.08,0.64,0.00,0.00,14.80
117899,14.70,0.29,890,0.00,0.00,14.70,16,5.80,-8.89,0.00,-1.08,0.64,0.00,0.00,14.80
117963,14.81,0.29,903,0.00,0.00,14.70,16,5.66,-8.93,0.00,-1.08,0.64,0.00,0.00,14.80
118027,14.81,0.28,896,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
118092,14.93,0.28,897,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,15.00
118155,14.81,0.28,888,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
118219,14.93,0.29,892,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
118282,14.81,0.29,878,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.90
118347,14.93,0.29,886,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.90
118410,14.81,0.29,884,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.90
118475,14.93,0.29,882,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,15.10
118538,14.93,0.29,891,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.90
118601,14.81,0.28,897,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.90
118666,14.93,0.28,905,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,15.00
118730,14.70,0.28,907,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,15.00
118793,14.93,0.28,907,0.00,0.00,14.70,16,5.66,-9.13,0.00,-1.08,0.64,0.00,0.00,14.90
118857,14.70,0.28,906,0.00,0.00,14.70,16,5.51,-9.11,0.00,-1.08,0.64,0.00,0.00,14.80
118922,14.81,0.28,907,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.80
118984,14.81,0.29,882,0.00,0.00,14.70,16,5.51,-9.11,0.00,-1.08,0.64,0.00,0.00,14.80
119049,14.93,0.29,882,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.90
119113,14.81,0.29,879,0.00,0.00,14.70,16,5.51,-9.09,0.00,-1.08,0.64,0.00,0.00,14.90
119177,14.93,0.29,876,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.80
119241,14.93,0.29,876,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.90
119304,15.04,0.28,888,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.90
119368,14.81,0.31,894,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,15.10
119433,14.93,0.27,906,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,15.10
119496,14.81,0.27,908,0.00,0.00,14.70,16,5.51,-9.20,0.00,-1.08,0.64,0.00,0.00,14.90
119560,14.81,0.27,906,0.00,0.00,14.70,16,5.51,-9.20,0.00,-1.08,0.64,0.00,0.00,14.90
119624,14.81,0.27,907,0.00,0.00,14.70,16,5.51,-9.24,0.00,-1.08,0.64,0.00,0.00,14.90
119688,14.59,0.28,902,0.00,0.00,14.70,16,5.51,-9.22,0.00,-1.08,0.64,0.00,0.00,14.80
119751,14.81,0.29,893,0.00,0.00,14.70,16,5.51,-9.24,0.00,-1.08,0.64,0.00,0.00,14.80
119815,14.59,0.28,885,0.00,0.00,14.70,16,5.51,-9.20,0.00,-1.08,0.64,0.00,0.00,14.80
119880,14.70,0.31,880,0.00,0.00,14.70,16,5.51,-9.22,0.00,-1.08,0.64,0.00,0.00,14.80
119944,14.59,0.27,878,0.00,0.00,14.70,16,5.51,-9.22,0.00,-1.08,0.64,0.00,0.00,14.70
120007,14.70,0.27,899,0.00,0.00,14.70,16,5.51,-9.24,0.00,-1.08,0.64,0.00,0.00,14.70
120071,14.59,0.26,910,0.00,0.00,14.70,16,5.51,-9.24,0.00,-1.08,0.64,0.00,0.00,14.70
120135,14.70,0.26,919,0.00,0.00,14.70,16,5.37,-9.32,0.00,-1.08,0.64,0.00,0.00,14.70
120199,14.59,0.26,907,0.00,0.00,14.70,16,5.37,-9.32,0.00,-1.08,0.64,0.00,0.00,14.70
120263,14.70,0.27,901,0.00,0.00,14.70,16,5.37,-9.36,0.00,-1.08,0.64,0.00,0.00,14.70
120327,14.47,0.28,873,0.00,0.00,14.70,16,5.37,-9.30,0.00,-1.08,0.64,0.00,0.00,14.70
120390,14.70,0.29,861,0.00,0.00,14.70,16,5.37,-9.28,0.00,-1.08,0.64,0.00,0.00,14.70
120454,14.59,0.29,861,0.00,0.00,14.70,16,5.51,-9.24,0.00,-1.08,0.64,0.00,0.00,14.60
120518,14.59,0.29,864,0.00,0.00,14.70,16,5.51,-9.24,0.00,-1.08,0.64,0.00,0.00,14.60
120582,14.47,0.28,866,0.00,0.00,14.70,16,5.51,-9.22,0.00,-1.08,0.64,0.00,0.00,14.70
120645,14.70,0.27,879,0.00,0.00,14.70,16,5.51,-9.24,0.00,-1.08,0.64,0.00,0.00,14.60
120710,14.59,0.27,890,0.00,0.00,14.70,16,5.37,-9.26,0.00,-1.08,0.64,0.00,0.00,14.60
120773,14.70,0.26,899,0.00,0.00,14.70,16,5.37,-9.30,0.00,-1.08,0.64,0.00,0.00,14.60
120837,14.47,0.26,896,0.00,0.00,14.70,16,5.37,-9.34,0.00,-1.08,0.64,0.00,0.00,14.60
120901,14.59,0.26,889,0.00,0.00,14.70,16,5.37,-9.36,0.00,-1.08,0.64,0.00,0.00,14.70
120966,14.24,0.28,865,0.00,0.00,14.70,16,5.37,-9.36,0.00,-1.08,0.64,0.00,0.00,14.60
121029,14.36,0.28,868,0.00,0.00,14.70,16,5.37,-9.34,0.00,-1.08,0.64,0.00,0.00,14.60
121092,14.59,0.29,861,0.00,0.00,14.70,16,5.37,-9.32,0.00,-1.08,0.64,0.00,0.00,14.60
121156,14.24,0.28,855,0.00,0.00,14.70,16,5.37,-9.26,0.00,-1.08,0.64,0.00,0.00,14.60
121220,14.47,0.28,855,0.00,0.00,14.70,16,5.37,-9.26,0.00,-1.08,0.64,0.00,0.00,14.60
121284,14.36,0.28,861,0.00,0.00,14.70,16,5.51,-9.22,0.00,-1.08,0.64,0.00,0.00,14.60
