Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
87,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
173,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
261,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
348,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
435,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
521,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
609,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
696,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
783,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
870,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
957,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1044,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1130,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1218,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1304,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1391,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1478,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1565,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1651,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1738,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1825,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1911,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
1999,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2085,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2172,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2259,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2347,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2433,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2520,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2607,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2694,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2781,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2867,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
2954,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3041,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3128,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3215,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3301,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3388,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3475,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3562,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3649,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3736,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3823,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3909,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
3996,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4083,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4170,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4256,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4343,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4430,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4517,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4604,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4691,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4786,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4864,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
4952,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5039,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5126,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5212,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.19,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5299,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5385,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5473,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5559,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5646,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5733,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.68,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5820,0.00,0.00,14.70,7,0.43,0,0.00,0.00,0.00,16,-20.00,9.50,90,14.51,-0.14,3.59,0.94,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5906,0.00,0.00,14.70,7,0.43,114,0.00,0.00,12.46,16,12.70,9.50,90,14.51,-0.17,1.64,1.08,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
5993,0.00,0.00,14.70,7,0.43,114,0.00,0.00,12.46,16,12.70,9.50,90,14.51,-0.17,1.64,1.20,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6080,0.00,0.00,14.70,7,0.43,174,0.00,0.00,12.46,16,12.70,9.50,90,14.51,-0.19,2.39,1.08,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6166,0.00,0.00,14.70,7,0.43,174,0.00,0.00,12.46,16,12.70,9.50,90,14.51,-0.19,2.75,1.20,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6254,0.00,0.00,14.70,7,0.43,212,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.21,2.75,1.22,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6340,0.00,0.00,14.70,7,0.43,212,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.21,2.75,1.18,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6426,0.00,0.00,14.70,7,0.43,174,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.19,3.03,1.06,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6513,0.00,0.00,14.70,7,0.43,174,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.19,3.03,1.04,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6600,0.00,0.00,14.70,7,0.43,174,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.19,3.03,1.00,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6686,0.00,0.00,14.70,7,0.43,174,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.19,3.03,0.78,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6774,0.00,0.00,14.70,7,0.43,174,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.19,3.03,0.66,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6860,0.00,0.00,14.70,7,0.43,174,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.19,3.03,0.66,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
6947,0.00,0.00,14.70,7,0.43,0,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.14,3.59,0.66,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
7033,0.00,0.00,14.70,7,0.43,0,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.14,3.59,0.68,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
7121,0.00,0.00,14.70,7,0.43,0,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.14,3.59,0.68,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
7208,0.00,0.00,14.70,7,0.43,0,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.14,3.59,0.68,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
7295,0.00,0.00,14.70,7,0.43,0,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.19,3.59,0.68,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
7381,0.00,0.00,14.70,7,0.43,0,0.00,0.00,8.00,16,12.70,9.50,90,14.51,-0.19,3.59,0.68,0.00,-1.70,0.00,0.68,0.00,0.00,0.00
