Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%)
9868,14.01,0.28,1556,0.00,0.00,16,30.62,30.00,9.00,14.73,-1.39,0.88,13.68,15.00
10055,14.81,0.28,1602,0.00,0.00,16,30.62,30.50,9.14,15.05,-1.39,0.88,13.68,14.00
10243,15.04,0.28,1629,0.00,0.00,16,30.98,30.50,9.29,14.99,-1.39,0.88,13.68,12.00
10430,15.04,0.28,1688,0.00,0.00,16,32.38,32.00,9.14,15.62,-1.39,0.88,13.60,11.00
10633,15.04,0.27,1721,0.00,0.00,16,33.09,32.00,9.00,15.48,-1.39,0.88,13.68,9.00
10821,14.93,0.27,1777,0.00,0.00,16,33.79,33.50,8.85,16.00,-1.39,0.88,13.60,7.00
11008,14.93,0.27,1793,0.00,0.00,16,34.49,34.00,8.56,16.00,-1.39,0.88,13.60,5.00
11193,14.70,0.26,1822,0.00,0.00,16,35.55,35.00,8.56,15.85,-1.39,0.88,13.68,4.00
11381,14.81,0.26,1861,0.00,0.00,16,35.90,35.50,8.42,15.85,-1.39,0.88,13.52,2.00
11569,14.59,0.25,1886,0.00,0.00,16,36.25,36.50,8.27,15.77,-1.39,0.88,13.68,0.00
11759,14.59,0.24,1914,0.00,0.00,16,36.95,36.50,8.13,15.63,-1.39,0.88,13.60,0.00
11946,14.70,0.24,1942,0.00,0.00,16,38.01,37.00,8.13,15.33,-1.39,0.88,13.60,0.00
12145,14.47,0.24,1986,0.00,0.00,16,38.36,38.00,7.98,15.48,-1.39,0.88,13.60,0.00
12338,14.36,0.23,1994,0.00,0.00,16,38.36,38.00,7.84,15.19,-1.39,0.86,13.68,0.00
12526,14.59,0.21,2021,0.00,0.00,16,38.01,38.00,7.40,13.90,-1.70,0.86,13.68,0.00
12715,14.13,0.19,2051,0.00,0.00,16,36.95,36.50,7.11,13.09,-1.70,0.84,13.52,0.00
12904,14.47,0.19,2057,0.00,0.00,16,36.95,37.50,6.82,13.39,-1.70,0.84,13.68,0.00
13085,14.13,0.19,2078,0.00,0.00,16,36.95,37.00,6.67,13.08,-1.70,0.82,13.68,0.00
13272,13.78,0.17,2106,0.00,0.00,16,33.44,33.50,6.38,11.88,-2.01,0.82,13.68,0.00
13464,13.55,0.16,2122,0.00,0.00,16,29.92,31.00,5.95,10.84,-2.01,0.80,13.52,0.00
13652,13.32,0.15,2124,0.00,0.00,16,27.81,29.50,5.80,10.43,-2.01,0.78,13.68,0.00
13839,13.21,0.15,2135,0.00,0.00,16,26.41,28.50,5.37,10.43,-2.01,0.78,13.68,0.00
14042,13.21,0.14,2130,0.00,0.00,16,27.11,27.50,5.37,10.17,-2.01,0.78,13.60,0.00
14231,12.86,0.14,2114,0.00,0.00,16,27.46,25.00,5.22,9.31,-2.01,0.78,13.60,0.00
14418,13.09,0.14,2125,0.00,0.00,16,25.70,26.00,5.22,10.13,-2.01,0.78,13.68,0.00
14606,12.98,0.14,2110,0.00,0.00,16,26.41,27.00,5.22,9.93,-2.01,0.78,13.60,0.00
14793,12.98,0.14,2108,0.00,0.00,16,27.11,26.00,5.22,9.88,-2.01,0.78,13.68,0.00
14981,13.09,0.14,2116,0.00,0.00,16,26.41,27.00,5.22,10.07,-2.01,0.78,13.52,0.00
15168,13.09,0.14,2120,0.00,0.00,16,27.46,26.00,5.22,9.97,-2.01,0.78,13.68,0.00
15356,13.09,0.14,2117,0.00,0.00,16,28.16,26.00,5.22,9.92,-2.01,0.78,13.60,0.00
15559,13.09,0.14,2117,0.00,0.00,16,27.46,27.00,5.22,10.17,-2.01,0.78,13.68,0.00
15747,13.32,0.14,2112,0.00,0.00,16,27.81,27.50,5.22,10.03,-2.01,0.78,13.60,0.00
15934,13.21,0.14,2109,0.00,0.00,16,28.52,27.00,5.22,9.74,-2.01,0.80,13.60,0.00
16129,13.44,0.15,2118,0.00,0.00,16,28.52,28.00,5.37,10.45,-2.01,0.80,13.68,0.00
16308,13.55,0.17,2121,0.00,0.00,16,32.38,31.00,5.66,11.55,-2.01,0.84,13.68,0.00
16496,13.67,0.18,2131,0.00,0.00,16,35.55,34.00,6.24,12.79,-2.01,0.84,13.68,0.00
