Time (msec),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
0,15.62,115,0.24,1413,0.00,0.00,16,27.81,27.50,7.25,-7.44,11.15,1.78,0.00,0.82,0.00
63,15.50,115,0.24,1390,0.00,0.00,16,27.81,27.50,7.25,-7.37,11.15,1.78,0.00,0.82,0.00
125,15.39,115,0.23,1396,0.00,0.00,16,27.46,27.00,7.40,-7.44,10.94,1.74,0.00,0.72,0.00
188,15.27,115,0.19,1398,0.00,0.00,16,25.00,30.00,6.24,-8.82,6.49,1.44,0.00,0.64,0.00
250,15.16,115,0.16,1446,0.00,0.00,16,22.19,21.50,5.37,-9.48,4.40,1.34,0.00,0.64,0.00
313,15.04,115,0.12,1475,0.00,0.00,16,19.38,16.50,5.08,-10.02,3.96,1.30,0.00,0.64,0.00
391,14.81,115,0.11,1480,0.00,0.00,16,17.27,14.00,4.50,-10.40,3.78,1.30,0.00,0.64,0.00
453,14.24,115,0.10,1442,0.00,0.00,16,14.80,15.50,4.21,-10.58,3.93,1.32,0.00,0.64,0.00
516,13.78,115,0.10,1398,0.00,0.00,16,14.10,19.50,4.06,-10.69,3.99,1.32,0.00,0.64,0.00
578,13.21,115,0.09,1376,0.00,0.00,16,14.10,21.00,3.92,-10.77,4.04,1.32,0.00,0.64,0.00
641,12.52,115,0.09,1347,0.00,0.00,16,14.10,23.50,3.92,-10.81,4.24,1.34,0.00,0.64,0.00
703,12.29,115,0.10,1329,0.00,0.00,16,14.10,23.50,3.92,-10.85,4.35,1.34,0.00,0.64,0.00
766,12.06,115,0.10,1322,0.00,0.00,16,14.10,23.50,3.92,-10.87,4.40,1.36,0.00,0.64,0.00
828,11.94,115,0.12,1278,0.00,0.00,16,14.10,23.50,3.77,-10.87,4.46,1.36,0.00,0.64,0.00
891,11.94,115,0.13,1252,0.00,0.00,16,14.10,23.50,3.92,-10.73,5.17,1.44,0.00,0.68,0.00
953,11.94,115,0.15,1226,0.00,0.00,16,14.10,14.00,4.21,-10.56,5.94,1.48,0.00,0.68,0.00
1016,11.94,115,0.15,1214,0.00,0.00,16,14.80,14.50,4.35,-10.36,5.94,1.46,0.00,0.70,0.00
1081,11.83,115,0.15,1200,0.00,0.00,16,15.16,15.00,4.50,-10.25,5.85,1.46,0.00,0.70,0.00
1143,11.94,115,0.15,1180,0.00,0.00,16,15.86,15.00,4.64,-10.09,5.85,1.46,0.00,0.70,0.00
1221,11.94,115,0.15,1172,0.00,0.00,16,16.21,15.50,4.79,-9.98,5.91,1.48,0.00,0.70,0.00
1283,11.94,115,0.16,1161,0.00,0.00,16,16.91,16.00,4.93,-9.82,5.98,1.48,0.00,0.70,0.00
1346,12.06,115,0.16,1158,0.00,0.00,16,17.62,17.00,4.93,-9.73,6.04,1.48,0.00,0.70,0.00
1409,12.06,115,0.17,1134,0.00,0.00,16,17.97,17.50,5.08,-9.55,6.26,1.50,0.00,0.72,0.00
1471,12.17,115,0.17,1123,0.00,0.00,16,19.02,18.00,5.22,-9.46,6.33,1.50,0.00,0.72,0.00
1534,12.52,115,0.17,1123,0.00,0.00,16,19.38,19.00,5.51,-9.24,6.55,1.52,0.00,0.72,0.00
1596,12.52,115,0.19,1136,0.00,0.00,16,20.78,19.00,5.66,-9.11,6.92,1.56,0.00,0.74,0.00
1659,12.75,115,0.21,1127,0.00,0.00,16,21.48,20.50,5.80,-8.88,7.46,1.60,0.00,0.76,0.00
1721,12.63,115,0.23,1109,0.00,0.00,16,23.95,21.00,6.24,-8.49,8.56,1.64,0.00,0.76,0.00
1784,13.09,115,0.24,1105,0.00,0.00,16,25.35,24.50,6.53,-8.20,9.04,1.70,0.00,0.78,0.00
1846,13.67,115,0.25,1154,0.00,0.00,16,26.76,25.00,6.96,-7.75,10.28,1.76,0.00,0.82,0.00
1909,14.01,115,0.28,1240,0.00,0.00,16,29.57,27.00,6.96,-7.33,11.93,1.76,0.00,0.84,0.00
1987,14.13,115,0.27,1282,0.00,0.00,16,29.57,29.50,7.55,-6.98,12.42,1.82,0.00,0.84,0.00
2049,14.24,115,0.25,1388,0.00,0.00,16,28.87,29.50,7.84,-6.79,12.48,1.84,0.00,0.84,0.00
2112,14.59,115,0.25,1474,0.00,0.00,16,29.22,28.50,7.98,-6.73,12.75,1.84,0.00,0.84,0.00
2174,14.59,115,0.25,1524,0.00,0.00,16,29.22,29.00,7.98,-6.73,12.75,1.86,0.00,0.84,0.00
2237,15.04,115,0.25,1542,0.00,0.00,16,29.22,29.00,7.98,-6.77,12.96,1.86,0.00,0.84,0.00
2299,15.50,115,0.25,1546,0.00,0.00,16,29.22,29.00,7.98,-6.79,12.96,1.86,0.00,0.84,0.00
2362,16.42,115,0.25,1566,0.00,0.00,16,29.22,29.00,7.84,-6.83,13.02,1.86,0.00,0.84,0.00
2424,17.34,115,0.25,1573,0.00,0.00,16,29.22,29.50,7.84,-6.85,12.97,1.86,0.00,0.84,0.00
2487,17.69,115,0.24,1581,0.00,0.00,16,29.57,29.50,7.84,-6.94,13.14,1.86,0.00,0.84,0.00
2549,17.46,115,0.24,1608,0.00,0.00,16,30.27,29.50,7.69,-7.06,12.96,1.86,0.00,0.84,0.00
2612,17.23,115,0.24,1646,0.00,0.00,16,30.62,30.50,7.69,-7.17,12.96,1.86,0.00,0.84,0.00
2690,16.54,115,0.22,1660,0.00,0.00,16,30.62,30.50,7.40,-7.95,12.48,1.82,0.00,0.74,0.00
2752,15.96,115,0.18,1652,0.00,0.00,16,29.57,30.50,5.95,-9.17,6.87,1.48,0.00,0.64,0.00
2815,15.62,115,0.14,1622,0.00,0.00,16,24.65,19.50,4.93,-10.13,4.69,1.34,0.00,0.64,0.00
2877,15.27,115,0.12,1591,0.00,0.00,16,20.78,14.50,4.50,-10.40,4.10,1.32,0.00,0.64,0.00
2940,14.81,115,0.10,1570,0.00,0.00,16,17.27,14.00,4.06,-10.85,3.93,1.30,0.00,0.64,0.00
3002,14.36,115,0.10,1516,0.00,0.00,16,15.51,17.00,3.77,-11.06,4.02,1.34,0.00,0.64,0.00
3065,13.32,115,0.10,1444,0.00,0.00,16,14.10,20.00,3.63,-11.10,4.57,1.38,0.00,0.64,0.00
3127,12.75,115,0.11,1404,0.00,0.00,16,14.10,23.50,3.63,-11.08,4.88,1.40,0.00,0.64,0.00
3190,12.40,115,0.11,1355,0.00,0.00,16,14.10,23.50,3.63,-11.06,4.91,1.40,0.00,0.64,0.00
3252,12.40,115,0.12,1320,0.00,0.00,16,14.10,23.50,3.63,-11.04,5.01,1.40,0.00,0.64,0.00
3330,11.94,115,0.12,1301,0.00,0.00,16,14.10,23.50,3.63,-11.02,5.08,1.42,0.00,0.64,0.00
3378,11.94,115,0.12,1268,0.00,0.00,16,14.10,23.50,3.77,-10.96,5.14,1.42,0.00,0.64,0.00
3456,11.60,115,0.13,1244,0.00,0.00,16,14.10,23.50,3.77,-10.91,5.14,1.40,0.00,0.64,0.00
3518,11.48,115,0.13,1210,0.00,0.00,16,14.10,23.50,3.77,-10.87,5.10,1.40,0.00,0.64,0.00
3581,11.37,115,0.13,1194,0.00,0.00,16,14.10,23.50,3.92,-10.73,5.14,1.42,0.00,0.64,0.00
3643,11.25,115,0.14,1176,0.00,0.00,16,14.10,23.50,4.06,-10.65,5.21,1.42,0.00,0.64,0.00
3706,11.25,115,0.14,1159,0.00,0.00,16,14.10,23.50,4.06,-10.56,5.27,1.42,0.00,0.64,0.00
3768,11.25,115,0.14,1116,0.00,0.00,16,14.10,23.50,4.21,-10.44,5.27,1.42,0.00,0.64,0.00
3831,11.25,115,0.14,1107,0.00,0.00,16,14.10,23.50,4.35,-10.36,5.17,1.42,0.00,0.64,0.00
3893,11.25,115,0.14,1103,0.00,0.00,16,14.10,23.50,4.50,-10.25,5.01,1.40,0.00,0.64,0.00
3959,11.25,115,0.14,1081,0.00,0.00,16,14.10,23.50,4.50,-10.17,5.01,1.40,0.00,0.64,0.00
4022,11.37,115,0.14,1071,0.00,0.00,16,14.10,23.50,4.64,-10.07,4.95,1.40,0.00,0.64,0.00
4088,11.37,115,0.15,1022,0.00,0.00,16,14.10,23.50,4.64,-10.04,4.91,1.42,0.00,0.64,0.00
4150,11.60,115,0.17,1022,0.00,0.00,16,14.10,23.50,4.93,-9.80,5.68,1.46,0.00,0.64,0.00
4213,11.83,115,0.19,982,0.00,0.00,16,14.10,23.00,5.22,-9.51,5.94,1.48,0.00,0.64,0.00
4275,11.83,115,0.20,924,0.00,0.00,16,14.10,23.00,5.51,-9.20,6.26,1.50,0.00,0.64,0.00
4338,12.29,115,0.19,948,0.00,0.00,16,14.10,23.00,5.80,-8.95,6.15,1.48,0.00,0.64,0.00
4416,12.17,115,0.18,991,0.00,0.00,16,14.10,20.00,5.80,-8.89,6.04,1.48,0.00,0.64,0.00
4478,12.63,115,0.18,1015,0.00,0.00,16,14.10,17.00,5.80,-8.84,6.15,1.48,0.00,0.64,0.00
4541,12.86,115,0.20,1020,0.00,0.00,16,14.10,16.50,5.80,-8.80,6.51,1.50,0.00,0.64,0.00
4603,13.32,115,0.21,985,0.00,0.00,16,14.10,20.00,5.95,-8.60,6.88,1.52,0.00,0.64,0.00
4666,13.78,115,0.21,960,0.00,0.00,16,14.10,22.00,6.24,-8.37,7.10,1.54,0.00,0.64,0.00
4728,14.01,115,0.19,1008,0.00,0.00,16,14.10,16.50,6.38,-8.22,6.66,1.54,0.00,0.64,0.00
4791,14.24,115,0.19,1067,0.00,0.00,16,14.10,10.50,6.53,-8.39,6.29,1.50,0.00,0.64,0.00
4853,14.47,115,0.18,1060,0.00,0.00,16,14.10,11.50,6.24,-8.55,5.33,1.44,0.00,0.64,0.00
6905,14.47,115,0.18,1060,0.00,0.00,16,14.10,11.50,6.24,-8.55,5.33,1.44,0.00,0.64,0.00
7552,14.70,117,0.28,1325,0.00,0.00,16,29.22,29.50,8.42,-6.25,12.48,1.84,0.00,0.84,0.00
7599,14.70,117,0.29,1315,0.00,0.00,16,29.22,29.00,8.42,-6.17,12.42,1.84,0.00,0.84,0.00
7677,14.70,117,0.29,1286,0.00,0.00,16,29.22,29.00,8.56,-6.09,12.53,1.84,0.00,0.84,0.00
7729,14.81,117,0.30,1281,0.00,0.00,16,28.87,28.50,8.71,-5.99,12.42,1.84,0.00,0.84,0.00
7791,14.70,117,0.30,1254,0.00,0.00,16,28.87,28.50,8.71,-5.90,12.42,1.84,0.00,0.84,0.00
7869,14.59,117,0.30,1242,0.00,0.00,16,28.52,28.50,8.85,-5.78,12.42,1.84,0.00,0.84,0.00
7932,14.47,117,0.31,1234,0.00,0.00,16,28.16,28.50,9.00,-5.65,12.42,1.84,0.00,0.84,0.00
7994,14.47,117,0.31,1208,0.00,0.00,16,27.81,27.50,9.14,-5.53,12.53,1.84,0.00,0.84,0.00
8057,14.36,117,0.31,1190,0.00,0.00,16,27.46,27.00,9.29,-5.38,12.37,1.84,0.00,0.84,0.00
8119,14.13,117,0.32,1174,0.00,0.00,16,26.41,26.50,9.43,-5.22,12.48,1.84,0.00,0.84,0.00
8182,14.24,117,0.30,1156,0.00,0.00,16,27.11,26.00,9.58,-5.76,12.26,1.80,0.00,0.74,0.00
8244,14.13,117,0.25,1138,0.00,0.00,16,27.81,35.50,8.42,-6.79,7.52,1.46,0.00,0.64,0.00
8307,14.01,117,0.22,1160,0.00,0.00,16,22.19,33.00,7.40,-8.01,4.86,1.34,0.00,0.64,0.00
8369,13.90,117,0.17,1281,0.00,0.00,16,18.32,16.50,6.24,-8.68,3.96,1.30,0.00,0.64,0.00
8432,13.67,117,0.14,1360,0.00,0.00,16,16.21,10.50,5.51,-9.42,3.80,1.30,0.00,0.64,0.00
8494,12.98,117,0.12,1384,0.00,0.00,16,14.10,8.00,5.22,-9.63,3.93,1.30,0.00,0.64,0.00
8572,12.63,117,0.11,1360,0.00,0.00,16,14.10,7.00,4.79,-10.07,4.02,1.32,0.00,0.64,0.00
8635,12.40,117,0.11,1331,0.00,0.00,16,14.10,9.50,4.50,-10.35,3.96,1.32,0.00,0.64,0.00
8701,12.06,117,0.10,1294,0.00,0.00,16,14.10,14.00,4.21,-10.56,4.13,1.34,0.00,0.64,0.00
8763,12.06,117,0.10,1274,0.00,0.00,16,14.10,16.50,4.06,-10.64,4.37,1.34,0.00,0.64,0.00
8826,12.06,117,0.11,1256,0.00,0.00,16,14.10,18.00,3.92,-10.73,4.43,1.36,0.00,0.64,0.00
8888,11.94,117,0.11,1222,0.00,0.00,16,14.10,21.00,3.92,-10.77,4.60,1.38,0.00,0.64,0.00
8951,11.83,117,0.12,1206,0.00,0.00,16,14.10,22.50,3.92,-10.73,4.79,1.40,0.00,0.64,0.00
9013,11.83,117,0.14,1184,0.00,0.00,16,14.10,23.00,4.06,-10.56,5.21,1.44,0.00,0.66,0.00
9076,11.71,117,0.15,1158,0.00,0.00,16,14.10,23.00,4.35,-10.36,5.74,1.46,0.00,0.66,0.00
9138,11.71,117,0.16,1144,0.00,0.00,16,14.10,23.00,4.50,-10.07,5.91,1.48,0.00,0.68,0.00
9201,11.71,117,0.16,1154,0.00,0.00,16,14.10,23.00,4.79,-9.90,6.07,1.48,0.00,0.68,0.00
9263,11.71,117,0.15,1164,0.00,0.00,16,14.45,15.00,4.93,-9.73,6.04,1.46,0.00,0.70,0.00
9326,11.71,117,0.15,1156,0.00,0.00,16,15.16,14.00,5.08,-9.67,5.85,1.46,0.00,0.70,0.00
9388,11.71,117,0.15,1153,0.00,0.00,16,15.51,15.00,5.08,-9.63,5.85,1.46,0.00,0.70,0.00
9466,11.60,117,0.16,1153,0.00,0.00,16,16.21,15.50,5.08,-9.55,5.87,1.46,0.00,0.70,0.00
9529,11.60,117,0.17,1143,0.00,0.00,16,16.91,16.00,5.22,-9.51,6.01,1.50,0.00,0.70,0.00
9591,11.60,117,0.18,1134,0.00,0.00,16,17.27,16.50,5.37,-9.30,6.55,1.52,0.00,0.72,0.00
9654,11.60,117,0.18,1108,0.00,0.00,16,18.32,17.50,5.51,-9.17,6.73,1.54,0.00,0.72,0.00
9716,11.94,117,0.18,1112,0.00,0.00,16,19.02,18.00,5.80,-9.01,6.99,1.54,0.00,0.74,0.00
9779,12.06,117,0.19,1139,0.00,0.00,16,19.73,19.00,5.80,-8.86,7.03,1.56,0.00,0.74,0.00
9841,12.29,117,0.20,1136,0.00,0.00,16,20.78,20.00,5.80,-8.72,7.41,1.56,0.00,0.74,0.00
9904,12.75,117,0.21,1117,0.00,0.00,16,21.84,21.00,6.09,-8.49,7.74,1.58,0.00,0.76,0.00
9971,12.98,117,0.22,1099,0.00,0.00,16,23.59,22.50,6.24,-8.33,8.48,1.60,0.00,0.76,0.00
10034,13.55,117,0.23,1132,0.00,0.00,16,24.30,23.50,6.53,-8.06,8.74,1.64,0.00,0.76,0.00
10101,13.90,117,0.23,1162,0.00,0.00,16,24.65,24.00,6.67,-7.83,8.95,1.66,0.00,0.78,0.00
10163,14.24,117,0.22,1190,0.00,0.00,16,24.30,24.00,6.96,-7.73,9.00,1.66,0.00,0.78,0.00
10226,14.59,117,0.24,1205,0.00,0.00,16,25.70,24.00,6.96,-7.60,9.79,1.68,0.00,0.78,0.00
10288,14.70,117,0.25,1227,0.00,0.00,16,27.11,26.00,7.11,-7.44,7.87,1.72,0.00,0.80,0.00
10351,14.81,117,0.25,1228,0.00,0.00,16,27.46,27.50,7.40,-7.31,10.49,1.74,0.00,0.80,0.00
10413,15.04,117,0.25,1261,0.00,0.00,16,27.46,27.00,7.40,-7.21,10.45,1.74,0.00,0.80,0.00
10476,15.16,117,0.26,1263,0.00,0.00,16,28.16,27.00,7.55,-7.12,10.45,1.74,0.00,0.82,0.00
10538,15.50,117,0.27,1208,0.00,0.00,16,28.87,28.50,7.69,-6.96,10.59,1.74,0.00,0.82,0.00
10616,15.62,117,0.27,1181,0.00,0.00,16,29.22,29.50,7.84,-6.67,10.64,1.76,0.00,0.82,0.00
10679,15.85,117,0.28,1173,0.00,0.00,16,28.87,29.00,8.13,-6.52,10.64,1.76,0.00,0.82,0.00
10741,15.85,117,0.28,1149,0.00,0.00,16,28.52,28.50,8.42,-6.27,10.74,1.76,0.00,0.82,0.00
10804,15.73,117,0.29,1145,0.00,0.00,16,28.52,28.50,8.42,-6.15,10.79,1.76,0.00,0.82,0.00
10866,15.96,117,0.29,1148,0.00,0.00,16,28.16,28.00,8.71,-5.99,10.94,1.76,0.00,0.82,0.00
10929,15.73,117,0.28,1153,0.00,0.00,16,28.16,28.50,8.71,-5.88,10.94,1.76,0.00,0.82,0.00
10991,15.85,117,0.28,1157,0.00,0.00,16,28.52,28.50,8.85,-5.78,11.05,1.76,0.00,0.82,0.00
11054,15.73,117,0.28,1167,0.00,0.00,16,28.87,28.50,9.00,-5.76,11.09,1.76,0.00,0.82,0.00
11116,15.73,117,0.28,1184,0.00,0.00,16,28.87,28.50,9.00,-5.72,11.05,1.76,0.00,0.82,0.00
11179,15.73,117,0.28,1195,0.00,0.00,16,29.22,29.00,9.00,-5.76,11.05,1.78,0.00,0.82,0.00
11241,15.62,117,0.28,1205,0.00,0.00,16,29.22,29.00,9.00,-5.80,11.25,1.78,0.00,0.82,0.00
11319,15.62,117,0.27,1224,0.00,0.00,16,29.57,29.50,8.85,-5.84,11.19,1.78,0.00,0.82,0.00
11382,15.62,117,0.27,1235,0.00,0.00,16,29.57,29.50,8.85,-5.94,11.25,1.80,0.00,0.82,0.00
11445,15.73,117,0.27,1246,0.00,0.00,16,29.57,29.50,8.71,-6.03,11.29,1.78,0.00,0.82,0.00
11507,15.96,117,0.27,1259,0.00,0.00,16,29.57,29.50,8.56,-6.09,11.25,1.78,0.00,0.82,0.00
11570,15.73,117,0.27,1265,0.00,0.00,16,29.57,29.50,8.56,-6.21,11.45,1.78,0.00,0.82,0.00
11633,15.73,117,0.27,1271,0.00,0.00,16,29.57,29.50,8.42,-6.27,11.35,1.80,0.00,0.82,0.00
11695,15.62,117,0.26,1291,0.00,0.00,16,29.22,29.50,8.42,-6.32,11.25,1.78,0.00,0.82,0.00
11757,15.62,117,0.26,1284,0.00,0.00,16,28.87,29.00,8.27,-6.40,11.25,1.78,0.00,0.82,0.00
11820,15.50,117,0.26,1295,0.00,0.00,16,28.87,28.50,8.27,-6.46,11.25,1.78,0.00,0.82,0.00
11883,15.27,117,0.26,1288,0.00,0.00,16,28.87,28.50,8.13,-6.52,11.29,1.78,0.00,0.82,0.00
11945,15.16,117,0.26,1306,0.00,0.00,16,28.87,28.50,8.13,-6.59,11.15,1.78,0.00,0.82,0.00
12007,15.16,117,0.25,1306,0.00,0.00,16,28.52,28.50,7.84,-6.77,10.49,1.74,0.00,0.80,0.00
12070,14.93,117,0.22,1463,0.00,0.00,16,29.22,28.50,6.82,-7.85,8.82,1.60,0.00,0.74,0.00
12148,14.81,117,0.18,1619,0.00,0.00,16,29.92,29.50,5.22,-9.07,5.04,1.38,0.00,0.64,0.00
12210,14.70,117,0.13,1759,0.00,0.00,16,26.41,21.50,4.64,-10.13,4.04,1.32,0.00,0.64,0.00
12273,14.36,117,0.11,1779,0.00,0.00,16,21.84,18.00,4.21,-10.54,3.93,1.30,0.00,0.64,0.00
12336,14.01,117,0.09,1752,0.00,0.00,16,17.97,13.50,4.21,-11.02,4.07,1.30,0.00,0.64,0.00
12398,13.09,117,0.10,1683,0.00,0.00,16,14.80,10.00,3.63,-11.20,5.17,1.34,0.00,0.64,0.00
12461,12.40,117,0.11,1572,0.00,0.00,16,14.10,7.00,3.48,-11.25,5.30,1.42,0.00,0.64,0.00
12528,11.94,117,0.12,1500,0.00,0.00,16,14.10,13.00,3.48,-11.22,5.46,1.42,0.00,0.64,0.00
12590,11.83,117,0.13,1397,0.00,0.00,16,14.10,23.00,3.48,-11.08,5.62,1.44,0.00,0.64,0.00
14616,11.83,117,0.13,1397,0.00,0.00,16,14.10,23.00,3.48,-11.08,5.62,1.44,0.00,0.64,0.00
21648,14.81,118,0.17,1154,0.00,0.00,16,21.13,20.00,5.66,-9.03,6.51,1.52,0.00,0.72,0.00
21711,14.81,118,0.17,1152,0.00,0.00,16,21.13,21.00,5.66,-8.99,6.59,1.52,0.00,0.72,0.00
21773,14.81,118,0.17,1152,0.00,0.00,16,21.48,21.00,5.80,-8.89,6.59,1.52,0.00,0.72,0.00
21839,14.81,118,0.18,1148,0.00,0.00,16,21.13,21.00,5.80,-8.84,6.70,1.52,0.00,0.72,0.00
21902,14.81,118,0.18,1148,0.00,0.00,16,21.48,21.00,5.95,-8.74,6.81,1.52,0.00,0.74,0.00
21964,14.81,118,0.18,1136,0.00,0.00,16,21.48,21.00,6.09,-8.66,6.84,1.54,0.00,0.74,0.00
22027,14.70,118,0.19,1134,0.00,0.00,16,21.48,21.00,6.09,-8.60,6.95,1.54,0.00,0.74,0.00
22089,14.47,118,0.19,1120,0.00,0.00,16,21.48,21.00,6.24,-8.53,6.99,1.56,0.00,0.74,0.00
22152,14.59,118,0.20,1113,0.00,0.00,16,21.48,21.00,6.24,-8.41,7.14,1.56,0.00,0.74,0.00
22217,14.36,118,0.21,1078,0.00,0.00,16,21.84,21.00,6.24,-8.35,7.14,1.54,0.00,0.74,0.00
22279,14.36,118,0.21,1044,0.00,0.00,16,22.54,21.50,6.38,-8.26,7.10,1.56,0.00,0.74,0.00
22357,14.47,118,0.22,1022,0.00,0.00,16,22.89,22.00,6.53,-8.06,7.14,1.56,0.00,0.74,0.00
22420,14.36,118,0.22,996,0.00,0.00,16,23.24,22.50,6.67,-7.91,7.14,1.56,0.00,0.74,0.00
22486,14.36,118,0.23,972,0.00,0.00,16,23.95,23.00,6.82,-7.77,7.21,1.56,0.00,0.74,0.00
22548,14.24,118,0.23,952,0.00,0.00,16,24.30,23.50,6.96,-7.58,7.26,1.56,0.00,0.74,0.00
22611,14.24,118,0.24,931,0.00,0.00,16,24.65,24.00,7.11,-7.43,7.26,1.56,0.00,0.74,0.00
22673,14.24,118,0.24,914,0.00,0.00,16,25.00,24.50,7.25,-7.25,7.21,1.56,0.00,0.74,0.00
22736,14.24,118,0.23,907,0.00,0.00,16,24.65,25.00,7.40,-7.21,7.17,1.56,0.00,0.74,0.00
22798,14.36,118,0.21,920,0.00,0.00,16,24.30,24.00,7.55,-7.10,6.48,1.56,0.00,0.68,0.00
22861,14.36,118,0.20,935,0.00,0.00,16,21.13,22.00,7.55,-7.72,6.48,1.40,0.00,0.64,0.00
22923,14.36,118,0.18,961,0.00,0.00,16,19.38,26.50,6.82,-8.53,4.49,1.32,0.00,0.64,0.00
22986,14.36,118,0.15,1080,0.00,0.00,16,17.27,10.50,5.95,-8.62,3.78,1.28,0.00,0.64,0.00
23048,14.24,118,0.14,1117,0.00,0.00,16,15.51,9.00,5.95,-9.01,3.69,1.30,0.00,0.64,0.00
23111,14.13,118,0.13,1126,0.00,0.00,16,14.45,7.00,5.37,-9.44,3.82,1.30,0.00,0.64,0.00
23189,14.13,118,0.12,1119,0.00,0.00,16,14.10,7.00,5.08,-9.63,3.96,1.34,0.00,0.64,0.00
23251,14.13,118,0.12,1094,0.00,0.00,16,14.10,8.50,5.08,-9.73,4.13,1.32,0.00,0.64,0.00
23314,14.13,118,0.12,1058,0.00,0.00,16,14.10,13.00,4.79,-9.86,4.21,1.34,0.00,0.64,0.00
23376,14.13,118,0.13,1044,0.00,0.00,16,14.10,14.50,4.79,-9.86,4.43,1.36,0.00,0.64,0.00
23439,14.24,118,0.14,1040,0.00,0.00,16,14.10,15.00,4.79,-9.84,4.64,1.38,0.00,0.64,0.00
23501,14.24,118,0.14,1044,0.00,0.00,16,14.10,14.50,4.93,-9.82,4.73,1.38,0.00,0.64,0.00
23564,14.24,118,0.14,1038,0.00,0.00,16,14.10,15.50,4.93,-9.80,4.79,1.38,0.00,0.64,0.00
23626,14.24,118,0.14,1052,0.00,0.00,16,14.10,13.50,4.93,-9.75,4.95,1.42,0.00,0.64,0.00
23689,14.13,118,0.15,1046,0.00,0.00,16,14.10,14.00,4.93,-9.67,5.17,1.42,0.00,0.66,0.00
23751,14.13,118,0.16,1052,0.00,0.00,16,14.10,13.50,5.08,-9.59,5.52,1.44,0.00,0.68,0.00
23814,14.13,118,0.17,1055,0.00,0.00,16,14.10,13.50,5.22,-9.38,5.87,1.48,0.00,0.68,0.00
23876,13.90,118,0.17,1068,0.00,0.00,16,14.10,12.50,5.37,-9.26,6.07,1.50,0.00,0.68,0.00
23943,13.90,118,0.16,1101,0.00,0.00,16,14.45,12.50,5.51,-9.13,6.22,1.46,0.00,0.68,0.00
24006,13.78,118,0.15,1124,0.00,0.00,16,14.80,14.00,5.51,-9.20,5.72,1.44,0.00,0.68,0.00
24073,13.78,120,0.15,1136,0.00,0.00,16,15.51,14.50,5.37,-9.26,5.59,1.44,0.00,0.70,0.00
24135,13.78,120,0.15,1141,0.00,0.00,16,15.86,15.50,5.37,-9.28,5.65,1.46,0.00,0.70,0.00
24198,13.67,120,0.15,1148,0.00,0.00,16,16.21,15.50,5.37,-9.30,5.74,1.46,0.00,0.70,0.00
24260,13.78,120,0.15,1160,0.00,0.00,16,17.27,16.50,5.37,-9.30,5.85,1.48,0.00,0.70,0.00
24338,13.90,120,0.15,1160,0.00,0.00,16,17.62,17.00,5.37,-9.30,5.98,1.48,0.00,0.70,0.00
24401,13.90,120,0.15,1168,0.00,0.00,16,18.67,17.50,5.37,-9.32,6.04,1.50,0.00,0.72,0.00
24463,14.13,120,0.16,1185,0.00,0.00,16,19.02,18.50,5.37,-9.28,6.48,1.52,0.00,0.72,0.00
24526,14.24,120,0.17,1207,0.00,0.00,16,20.08,19.00,5.51,-9.22,6.81,1.54,0.00,0.74,0.00
24588,14.36,120,0.18,1214,0.00,0.00,16,21.48,20.00,5.51,-9.13,7.34,1.60,0.00,0.76,0.00
24651,14.59,120,0.19,1241,0.00,0.00,16,22.54,21.00,5.66,-8.99,7.94,1.62,0.00,0.76,0.00
24713,14.70,120,0.19,1286,0.00,0.00,16,23.95,23.00,5.66,-8.88,8.39,1.62,0.00,0.76,0.00
24776,14.81,120,0.19,1333,0.00,0.00,16,24.65,23.50,5.80,-8.78,8.69,1.64,0.00,0.78,0.00
24838,14.93,120,0.19,1379,0.00,0.00,16,25.35,25.00,5.95,-8.70,9.00,1.66,0.00,0.78,0.00
24901,14.93,120,0.19,1410,0.00,0.00,16,26.05,25.50,5.95,-8.60,9.22,1.66,0.00,0.78,0.00
24963,14.81,120,0.19,1450,0.00,0.00,16,26.76,26.00,6.09,-8.53,9.44,1.68,0.00,0.78,0.00
25026,14.70,120,0.19,1488,0.00,0.00,16,27.11,27.00,6.24,-8.51,9.53,1.68,0.00,0.78,0.00
25104,14.70,120,0.19,1508,0.00,0.00,16,27.81,27.00,6.24,-8.51,9.61,1.68,0.00,0.78,0.00
25166,14.70,120,0.19,1534,0.00,0.00,16,28.16,27.50,6.24,-8.47,9.75,1.70,0.00,0.78,0.00
25229,14.81,120,0.19,1553,0.00,0.00,16,28.16,28.00,6.24,-8.49,9.66,1.70,0.00,0.80,0.00
25292,14.81,120,0.19,1550,0.00,0.00,16,28.52,28.00,6.24,-8.51,9.70,1.70,0.00,0.80,0.00
25354,14.93,120,0.19,1565,0.00,0.00,16,28.52,28.50,6.24,-8.51,9.75,1.70,0.00,0.80,0.00
