Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.36,0.16,1316,0.00,0.00,16,10.94,13.00,5.37,-9.36,6.95,-1.39,0.64
188,14.36,0.16,1309,0.00,0.00,16,10.94,13.00,5.37,-9.36,7.03,-1.39,0.64
375,14.47,0.16,1319,0.00,0.00,16,10.94,13.50,5.37,-9.38,6.95,-1.39,0.64
563,14.36,0.16,1325,0.00,0.00,16,10.94,11.50,5.37,-9.40,6.84,-1.39,0.64
750,14.36,0.16,1305,0.00,0.00,16,10.94,13.00,5.22,-9.42,6.92,-1.39,0.64
953,14.36,0.16,1294,0.00,0.00,16,10.94,14.00,5.37,-9.38,6.92,-1.39,0.64
1141,14.47,0.16,1312,0.00,0.00,16,10.94,11.50,5.37,-9.40,6.95,-1.39,0.64
1329,14.47,0.16,1296,0.00,0.00,16,10.94,14.00,5.37,-9.38,6.88,-1.39,0.64
1516,14.36,0.16,1298,0.00,0.00,16,10.94,12.50,5.37,-9.38,6.99,-1.39,0.64
1708,14.36,0.16,1304,0.00,0.00,16,10.94,12.00,5.37,-9.38,6.99,-1.39,0.64
1896,14.47,0.16,1283,0.00,0.00,16,10.94,14.50,5.37,-9.38,6.99,-1.39,0.64
2083,14.47,0.16,1305,0.00,0.00,16,10.94,11.50,5.37,-9.38,6.95,-1.39,0.64
15093,14.47,0.16,1269,0.00,0.00,16,10.94,13.00,5.37,-9.36,6.81,-1.39,0.64
15282,14.47,0.16,1272,0.00,0.00,16,10.94,12.50,5.37,-9.36,6.77,-1.39,0.64
15469,14.47,0.16,1268,0.00,0.00,16,10.94,13.50,5.37,-9.36,6.84,-1.39,0.64
15661,14.36,0.16,1272,0.00,0.00,16,10.94,12.50,5.37,-9.36,6.77,-1.39,0.64
15849,14.47,0.16,1264,0.00,0.00,16,10.94,13.00,5.37,-9.34,6.84,-1.39,0.64
16054,14.36,0.16,1291,0.00,0.00,16,10.94,10.00,5.37,-9.36,6.73,-1.39,0.64
16241,14.36,0.16,1274,0.00,0.00,16,10.94,12.50,5.37,-9.38,6.81,-1.39,0.64
16429,14.36,0.16,1274,0.00,0.00,16,10.94,12.00,5.37,-9.38,6.77,-1.39,0.64
16616,14.47,0.16,1269,0.00,0.00,16,10.94,13.00,5.37,-9.38,6.84,-1.39,0.64
16804,14.47,0.16,1264,0.00,0.00,16,10.94,13.50,5.37,-9.38,6.84,-1.39,0.64
19677,14.24,0.16,1270,0.00,0.00,16,10.94,11.50,5.37,-9.38,6.77,-1.39,0.64
19868,14.24,0.16,1272,0.00,0.00,16,10.94,12.50,5.37,-9.38,6.66,-1.39,0.64
20055,14.24,0.16,1268,0.00,0.00,16,10.94,13.00,5.37,-9.36,6.77,-1.39,0.64
20243,14.36,0.16,1257,0.00,0.00,16,10.94,13.00,5.37,-9.36,6.81,-1.39,0.64
20446,14.24,0.16,1286,0.00,0.00,16,10.94,10.00,5.37,-9.38,6.70,-1.39,0.64
20634,14.24,0.16,1271,0.00,0.00,16,10.94,11.50,5.37,-9.38,6.84,-1.39,0.64
20821,14.36,0.16,1266,0.00,0.00,16,10.94,12.50,5.37,-9.38,6.81,-1.39,0.64
21015,14.36,0.17,1268,0.00,0.00,16,10.94,12.00,5.37,-9.32,7.06,-1.39,0.64
21202,14.36,0.19,1267,0.00,0.00,16,10.94,12.50,5.51,-9.07,7.70,-1.39,0.68
21390,14.36,0.17,1309,0.00,0.00,16,12.70,11.50,5.66,-9.11,6.62,-1.39,0.70
21577,14.24,0.24,1276,0.00,0.00,16,19.73,17.00,5.51,-8.80,7.70,-1.39,0.80
21780,13.90,0.24,1424,0.00,0.00,16,28.16,27.00,6.82,-7.64,11.15,-1.39,0.82
21968,12.98,0.25,1505,0.00,0.00,16,28.87,28.50,7.25,-7.29,11.77,-1.39,0.84
22155,14.81,0.26,1535,0.00,0.00,16,29.57,29.00,7.69,-6.92,12.90,-1.39,0.86
22343,15.73,0.26,1584,0.00,0.00,16,29.57,29.50,7.98,-6.69,13.78,-1.39,0.86
22531,15.50,0.27,1589,0.00,0.00,16,29.57,29.50,8.13,-6.61,14.28,-1.39,0.86
22734,15.16,0.27,1601,0.00,0.00,16,29.92,29.50,8.13,-6.52,14.47,-1.39,0.86
22921,14.81,0.27,1621,0.00,0.00,16,30.62,30.00,8.27,-6.52,14.72,-1.39,0.88
23112,14.70,0.28,1664,0.00,0.00,16,31.33,31.00,8.13,-6.57,15.05,-1.39,0.88
23300,14.47,0.28,1636,0.00,0.00,16,30.98,30.50,8.27,-6.46,15.19,-1.39,0.88
23487,14.13,0.29,1570,0.00,0.00,16,30.98,31.00,8.56,-6.15,15.41,-1.39,0.88
23675,14.13,0.31,1494,0.00,0.00,16,30.98,31.00,8.71,-5.78,15.26,-1.39,0.88
23862,14.01,0.32,1416,0.00,0.00,16,30.27,30.50,9.14,-5.41,15.19,-1.39,0.88
24054,13.67,0.32,1320,0.00,0.00,16,29.22,29.50,9.58,-5.03,14.86,-1.39,0.84
24242,13.55,0.23,1452,0.00,0.00,16,31.68,29.50,8.13,-7.46,9.49,-1.39,0.72
24445,13.09,0.11,1863,0.00,0.00,16,23.59,30.50,4.79,-10.11,4.72,-1.39,0.64
27389,14.24,0.17,1226,0.00,0.00,16,10.59,10.50,5.66,-9.01,7.14,-1.39,0.64
27576,14.36,0.18,1220,0.00,0.00,16,10.59,11.50,5.66,-8.99,7.14,-1.39,0.64
27779,14.47,0.18,1241,0.00,0.00,16,10.94,9.50,5.80,-8.93,7.29,-1.39,0.64
27968,14.47,0.17,1255,0.00,0.00,16,10.94,9.50,5.80,-8.97,7.24,-1.39,0.64
28156,14.59,0.17,1264,0.00,0.00,16,10.94,9.50,5.66,-9.01,7.24,-1.39,0.64
28346,14.70,0.17,1275,0.00,0.00,16,10.94,8.50,5.66,-9.01,7.24,-1.39,0.64
28534,14.81,0.17,1268,0.00,0.00,16,10.94,10.00,5.66,-9.07,7.24,-1.39,0.64
