Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.01,0.22,3381,0.00,0.00,16,44.34,43.50,7.84,24.51,-4.18,0.96
172,14.01,0.22,3358,0.00,0.00,16,44.34,43.50,7.84,25.58,-4.18,0.96
344,13.90,0.20,3364,0.00,0.00,16,44.34,43.50,7.98,24.02,-4.18,0.96
517,14.59,0.22,3368,0.00,0.00,16,44.34,43.50,7.84,24.41,-4.18,0.96
689,14.13,0.22,3372,0.00,0.00,16,44.34,43.50,7.84,25.09,-4.18,0.96
866,13.90,0.22,3380,0.00,0.00,16,44.34,43.50,7.84,24.41,-4.18,0.96
1038,13.90,0.20,3360,0.00,0.00,16,44.34,43.50,7.84,22.14,-4.18,0.96
1225,14.70,0.21,3354,0.00,0.00,16,44.34,43.50,7.84,25.01,-4.18,0.96
1397,14.36,0.21,3358,0.00,0.00,16,44.34,43.50,7.84,24.33,-4.18,0.96
1569,14.13,0.22,3374,0.00,0.00,16,44.34,43.50,7.84,24.71,-4.18,0.96
1741,13.67,0.22,3372,0.00,0.00,16,44.34,43.50,7.84,25.01,-4.18,0.96
1913,13.90,0.23,3372,0.00,0.00,16,44.34,43.50,7.84,25.69,-4.18,0.96
2100,13.78,0.22,3370,0.00,0.00,16,44.34,43.50,7.84,25.01,-4.18,0.96
2272,14.01,0.22,3370,0.00,0.00,16,44.34,43.50,7.84,23.73,-4.18,0.96
2444,13.90,0.22,3368,0.00,0.00,16,44.34,43.50,7.98,25.01,-4.18,0.96
2616,14.01,0.23,3350,0.00,0.00,16,44.34,43.50,7.98,25.68,-4.18,0.96
2788,13.78,0.24,3346,0.00,0.00,16,44.34,43.50,8.13,25.99,-3.87,0.98
