Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
10917,14.59,0.11,835,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
11089,14.47,0.11,840,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
11261,14.47,0.11,832,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
11432,14.47,0.11,828,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
11614,14.47,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
11787,14.59,0.12,834,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
11958,14.47,0.11,829,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
12130,14.59,0.12,826,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
12302,14.47,0.11,836,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
12474,14.47,0.12,834,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
12646,14.47,0.11,828,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
12818,14.47,0.11,827,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
12990,14.59,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
13165,14.59,0.11,834,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
13337,14.70,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
13512,14.59,0.11,834,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
13684,14.59,0.11,838,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64
13856,14.59,0.11,841,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
14027,14.70,0.11,839,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
14204,14.70,0.11,829,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
14376,14.70,0.11,829,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
14548,14.70,0.11,839,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64
14720,14.47,0.11,847,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64
14891,14.47,0.11,828,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
15063,14.47,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
15235,14.47,0.11,839,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
15407,14.59,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
15579,14.59,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
15751,14.70,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
15923,14.70,0.11,830,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
