Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,5.47,1.56,14.70,8,0.63,2620,0.00,0.00,14.87,16,44.34,44.00,75,10.01,-4.68,27.57,2.32,-0.77,12.94,1.06,14.80
75,5.47,1.56,14.59,8,0.63,2660,0.00,0.00,14.87,16,43.98,44.00,75,10.01,-4.66,28.31,2.32,-0.46,12.94,1.06,14.80
151,5.47,1.56,14.70,8,0.65,2760,0.00,0.00,14.87,16,43.63,43.50,75,10.01,-4.64,28.52,2.34,-0.46,13.33,1.08,14.80
226,4.69,1.56,14.70,8,0.64,2807,0.00,0.00,14.87,16,43.63,43.50,75,10.01,-4.62,29.60,2.34,-0.77,13.73,1.08,14.80
302,4.69,1.56,14.59,8,0.63,2859,0.00,0.00,14.87,16,43.63,43.50,75,10.01,-4.66,30.60,2.36,-0.77,13.73,1.08,14.80
377,4.69,1.56,14.47,8,0.63,2896,0.00,0.00,14.87,16,43.63,43.50,75,10.01,-4.68,30.26,2.36,-0.15,13.73,1.08,14.80
452,5.47,1.56,14.47,8,0.63,2930,0.00,0.00,14.87,16,43.63,43.50,75,10.01,-4.70,30.94,2.38,-0.15,13.73,1.08,14.80
528,5.47,1.56,14.70,8,0.63,2994,0.00,0.00,15.27,16,43.63,43.50,75,10.01,-4.72,31.38,2.38,-0.15,13.73,1.08,14.80
603,4.69,1.56,14.59,8,0.61,3010,0.00,0.00,14.87,16,43.98,43.50,75,10.01,-4.72,31.95,2.38,-0.15,13.73,1.10,14.80
679,3.91,1.56,14.36,8,0.61,3136,0.00,0.00,14.90,16,43.98,43.50,75,10.01,-4.72,31.39,2.38,-0.15,14.12,1.10,14.80
754,4.69,1.56,14.47,8,0.61,3152,0.00,0.00,15.22,16,43.98,43.50,75,10.01,-4.72,32.40,2.40,-0.15,14.12,1.10,14.80
830,4.69,1.56,14.59,8,0.60,3214,0.00,0.00,14.62,16,43.98,43.50,75,10.01,-4.68,31.73,2.40,-0.15,14.12,1.10,14.80
906,4.69,1.56,14.59,8,0.59,3248,0.00,0.00,14.90,16,43.98,43.50,75,10.01,-4.70,32.73,2.40,-0.15,14.12,1.10,14.80
981,4.69,1.56,14.70,8,0.58,3312,0.00,0.00,14.90,16,43.98,43.50,75,10.01,-4.76,31.84,2.40,0.46,14.12,1.10,14.80
1057,4.69,1.56,14.70,8,0.58,3306,0.00,0.00,15.55,16,43.98,43.50,75,10.01,0.12,32.51,2.34,0.46,10.98,1.08,14.80
1131,4.69,0.78,14.70,8,0.41,3386,0.00,0.00,16.73,16,43.63,43.50,75,9.72,-7.81,31.49,1.76,-4.18,0.00,0.68,14.80
1208,0.00,0.78,13.44,10,0.25,3324,0.00,0.00,15.74,16,33.09,44.00,75,6.82,-9.49,8.96,1.66,-4.18,0.00,0.64,14.80
1283,0.00,-0.78,12.29,10,0.20,3209,0.00,0.00,14.90,16,25.00,28.00,75,4.64,-10.19,8.95,1.68,-4.18,0.00,0.64,14.80
1358,0.00,-0.78,12.75,10,0.19,3065,0.00,0.00,13.75,16,17.62,22.00,75,4.35,-10.48,9.70,1.70,-4.18,0.00,0.64,14.80
1432,0.00,-0.78,13.67,10,0.23,2952,0.00,0.00,14.76,16,11.99,17.50,75,4.21,-10.62,10.49,1.74,-4.18,0.00,0.64,14.80
1508,0.00,-0.78,14.93,10,0.24,2838,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.67,11.15,1.76,-4.18,0.00,0.64,14.80
1583,0.00,-0.78,23.08,10,0.25,2726,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.69,11.05,1.76,-4.18,0.00,0.64,14.80
1659,0.00,-0.78,24.58,10,0.25,2479,0.00,0.00,14.70,16,11.99,11.50,75,3.92,-10.71,10.85,1.74,-3.56,0.00,0.64,14.80
1734,0.00,-0.78,23.54,10,0.25,2386,0.00,0.00,14.70,16,11.99,11.50,75,3.92,-10.69,9.88,1.72,-3.56,0.00,0.64,14.80
1810,0.00,-0.78,23.54,10,0.24,2262,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.69,9.48,1.68,-2.63,0.00,0.64,14.80
1885,0.00,-0.78,23.89,10,0.22,2162,0.00,0.00,13.55,16,11.99,11.50,75,3.92,-10.79,8.11,1.58,-2.01,0.78,0.66,14.80
1961,0.00,-0.78,23.89,10,0.28,2016,0.00,0.00,13.70,16,13.75,11.50,75,3.92,-10.56,7.98,1.60,-2.01,3.14,0.74,14.80
2036,0.00,-0.78,23.66,10,0.31,1900,0.00,0.00,14.68,16,17.62,13.50,75,4.21,-10.23,9.17,1.74,-1.39,5.10,0.80,14.80
2111,0.00,-0.78,23.77,10,0.33,1944,0.00,0.00,14.68,16,23.95,17.50,75,4.50,-9.78,10.08,1.78,-1.39,5.88,0.84,14.80
2187,0.00,0.78,23.89,10,0.35,2046,0.00,0.00,13.55,16,36.60,22.50,75,4.93,-9.28,11.15,1.80,-1.70,7.06,0.86,14.80
2262,0.00,0.78,23.43,10,0.40,1975,0.00,0.00,13.41,16,36.25,36.50,75,5.95,-8.64,12.75,1.86,-1.70,7.84,0.88,14.80
2337,0.00,0.78,22.28,10,0.45,1918,0.00,0.00,14.66,16,37.66,36.00,75,6.53,-7.93,13.96,1.92,-1.39,8.63,0.92,14.80
2413,-1.56,0.78,15.04,10,0.47,1994,0.00,0.00,14.66,16,39.06,38.00,75,7.11,-7.33,15.12,1.94,-1.70,8.63,0.92,14.80
2487,-5.47,0.78,13.78,8,0.50,2000,0.00,0.00,13.16,16,38.01,38.50,75,7.55,-6.92,15.77,2.02,-1.70,10.20,0.96,14.80
2563,-4.69,0.78,13.32,8,0.59,1960,0.00,0.00,14.64,16,40.12,38.00,75,7.84,-6.13,16.44,2.08,-0.77,10.98,1.00,14.80
2639,-3.12,1.56,14.13,8,0.57,2047,0.00,0.00,14.64,16,40.47,40.00,75,8.71,-5.61,19.58,2.08,-0.77,10.98,1.00,14.80
2714,-2.34,1.56,14.24,8,0.58,1996,0.00,0.00,14.64,16,40.12,40.50,75,9.14,-5.32,19.35,2.08,-0.15,10.98,1.00,14.80
2789,-2.34,1.56,14.36,8,0.57,2004,0.00,0.00,14.65,16,40.82,40.00,75,9.58,-5.10,19.35,2.08,-0.15,11.37,1.02,14.80
2865,-1.56,1.56,14.70,8,0.57,2050,0.00,0.00,14.65,16,40.82,40.00,75,9.72,-5.01,19.20,2.08,-0.15,11.37,1.02,14.80
2940,-0.78,1.56,14.81,8,0.60,2060,0.00,0.00,14.65,16,40.82,40.50,75,9.72,-4.93,19.57,2.10,-0.46,11.76,1.02,14.80
3016,1.56,1.56,15.04,8,0.61,2056,0.00,0.00,14.65,16,41.17,40.50,75,9.72,-4.81,20.40,2.14,-0.46,11.76,1.04,14.80
3091,0.78,1.56,15.39,8,0.62,2108,0.00,0.00,14.65,16,41.52,41.00,75,9.87,-4.68,21.10,2.16,0.15,12.16,1.04,14.80
3167,0.78,1.56,15.16,8,0.62,2106,0.00,0.00,14.66,16,41.52,41.50,75,10.01,-4.54,21.63,2.16,0.15,12.16,1.04,14.80
