Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
0,14.53,0.13,1232,0.00,0.00,16,10.59,10.50,5.36,-1.39,0.64,192,0.00
192,14.63,0.13,1230,0.00,0.00,16,10.59,8.50,5.40,-1.39,0.64,192,0.00
379,14.73,0.13,1225,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,192,0.00
582,14.77,0.13,1226,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,192,0.00
770,14.60,0.13,1224,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,192,0.00
958,14.63,0.13,1244,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,192,0.00
1145,14.65,0.13,1246,0.00,0.00,16,10.59,9.00,5.40,-1.39,0.64,192,0.00
1348,14.64,0.13,1224,0.00,0.00,16,10.59,11.00,5.46,-1.39,0.64,192,0.00
1536,14.74,0.13,1251,0.00,0.00,16,10.23,8.00,5.43,-1.39,0.64,192,0.00
1723,14.70,0.13,1250,0.00,0.00,16,10.59,8.50,5.43,-1.39,0.64,192,0.00
1911,14.72,0.13,1240,0.00,0.00,16,10.59,10.00,5.43,-1.39,0.64,192,0.00
2114,14.79,0.14,1248,0.00,0.00,16,10.59,9.00,5.52,-1.39,0.66,192,0.00
2306,14.84,0.15,1261,0.00,0.00,16,10.23,7.50,6.22,-1.39,0.68,192,0.00
2493,14.81,0.15,1284,0.00,0.00,16,10.23,6.00,6.66,-1.39,0.68,192,0.00
2681,14.37,0.16,1291,0.00,0.00,16,11.29,10.50,6.88,-1.39,0.70,192,0.00
2868,14.12,0.17,1317,0.00,0.00,16,15.16,14.50,7.33,-1.39,0.70,192,0.00
3056,14.14,0.17,1387,0.00,0.00,16,19.02,18.00,7.82,-1.39,0.70,192,0.00
3259,14.30,0.17,1454,0.00,0.00,16,23.59,23.00,8.27,-1.39,0.72,192,0.00
3446,14.35,0.16,1534,0.00,0.00,16,27.81,26.00,8.47,-1.39,0.72,194,0.00
3634,14.30,0.16,1604,0.00,0.00,16,28.52,27.50,8.47,-1.39,0.72,194,0.00
3821,14.37,0.16,1651,0.00,0.00,16,29.22,28.50,8.60,-1.39,0.72,194,0.00
4024,14.69,0.16,1655,0.00,0.00,16,29.57,28.50,8.74,-1.39,0.72,194,0.00
4216,14.58,0.14,1682,0.00,0.00,16,23.95,20.00,7.78,-1.39,0.64,194,0.00
4409,14.35,0.11,1683,0.00,0.00,16,10.59,4.50,6.40,-1.39,0.64,194,0.00
4596,13.98,0.12,1568,0.00,0.00,16,9.18,14.50,6.29,-1.39,0.64,194,0.00
4784,14.31,0.12,1561,0.00,0.00,16,6.02,14.00,6.07,-1.39,0.64,194,0.00
4971,15.05,0.17,1525,0.00,0.00,16,9.88,8.50,8.36,-1.39,0.74,194,0.00
5159,14.90,0.19,1537,0.00,0.00,16,17.97,16.50,9.04,-1.39,0.76,194,0.00
5362,13.46,0.22,1631,0.00,0.00,16,30.98,29.00,11.35,-1.39,0.82,194,0.00
5550,13.62,0.24,1712,0.00,0.00,16,32.73,32.00,13.32,-1.39,0.84,194,0.00
5737,13.97,0.27,1762,0.00,0.00,16,34.14,33.00,15.63,-1.39,0.88,194,0.00
5925,13.96,0.28,1809,0.00,0.00,16,35.55,34.50,17.03,-1.39,0.90,194,0.00
6128,13.92,0.30,1754,0.00,0.00,16,34.49,34.00,17.33,-1.39,0.90,194,0.00
6320,13.74,0.33,1626,0.00,0.00,16,33.79,33.00,17.42,-1.39,0.90,194,0.00
6508,13.36,0.35,1500,0.00,0.00,16,32.38,32.50,17.48,-1.39,0.90,194,0.00
6695,13.00,0.36,1399,0.00,0.00,16,29.57,29.50,16.58,-1.39,0.92,194,0.00
6887,13.82,0.35,1427,0.00,0.00,16,32.73,30.50,16.89,-1.39,0.92,194,0.00
7074,14.12,0.34,1584,0.00,0.00,16,35.55,34.50,18.41,-1.39,0.94,194,0.00
7277,14.51,0.34,1748,0.00,0.00,16,37.66,36.50,20.07,-1.39,0.98,194,0.00
7465,14.39,0.34,1894,0.00,0.00,16,39.77,39.00,21.63,-0.77,1.00,194,0.00
7653,14.39,0.34,2062,0.00,0.00,16,41.17,40.50,22.87,-0.15,1.02,194,0.00
7840,14.72,0.33,2219,0.00,0.00,16,42.93,42.50,24.80,-0.46,1.04,194,0.00
8028,14.46,0.33,2364,0.00,0.00,16,43.98,43.50,26.09,-0.77,1.04,194,0.00
8230,14.63,0.33,2515,0.00,0.00,16,43.28,43.00,28.30,-1.08,1.04,194,0.00
8418,14.15,0.33,2685,0.00,0.00,16,42.93,42.50,29.82,-1.39,1.04,194,0.00
8606,13.75,0.30,2831,0.00,0.00,16,43.63,42.50,28.50,-2.63,1.00,194,0.00
8793,13.66,0.28,2946,0.00,0.00,16,43.98,43.00,28.61,-3.25,1.00,194,1.57
8981,13.63,0.27,3070,0.00,0.00,16,44.34,43.50,28.61,-3.25,0.98,194,1.57
9184,12.33,0.12,3004,0.00,0.00,16,24.65,31.50,8.52,-4.18,0.64,194,0.00
9371,11.77,0.14,2841,0.00,0.00,16,4.96,5.00,12.79,-4.18,0.64,194,0.00
9574,15.12,0.14,2598,0.00,0.00,16,3.55,3.50,11.66,-3.56,0.64,194,0.00
9762,23.48,0.14,2266,0.00,0.00,16,2.85,2.50,10.08,-2.63,0.64,194,0.00
9949,23.86,0.13,1974,0.00,0.00,16,3.91,3.50,9.13,-1.39,0.64,194,0.00
10137,23.62,0.15,1675,0.00,0.00,16,6.02,13.50,8.22,-1.39,0.64,194,0.00
10324,24.07,0.17,1370,0.00,0.00,16,6.72,14.50,7.37,-1.39,0.64,194,0.00
10527,23.91,0.17,1234,0.00,0.00,16,6.72,15.00,7.26,-1.39,0.64,194,0.00
10715,23.81,0.21,1383,0.00,0.00,16,10.59,7.00,8.83,-1.39,0.76,194,0.00
10902,15.35,0.21,1653,0.00,0.00,16,23.24,16.50,11.36,-1.39,0.80,194,0.00
11090,14.18,0.21,1961,0.00,0.00,16,37.30,36.50,13.65,-1.39,0.84,196,0.00
11293,14.56,0.24,1999,0.00,0.00,16,39.06,38.00,15.62,-1.70,0.88,196,0.00
11481,13.69,0.27,1942,0.00,0.00,16,36.95,37.50,17.03,-1.70,0.90,196,0.00
11668,13.28,0.30,1828,0.00,0.00,16,36.60,35.50,17.95,-1.39,0.90,196,0.00
11856,13.73,0.32,1852,0.00,0.00,16,38.01,36.50,19.67,-1.39,0.98,196,0.00
12048,13.65,0.38,1911,0.00,0.00,16,36.25,36.00,24.32,0.46,1.06,196,0.00
12251,13.61,0.41,1978,0.00,0.00,16,35.55,35.00,26.42,1.70,1.12,196,0.00
12438,13.86,0.42,2051,0.00,0.00,16,35.20,34.50,28.19,3.25,1.18,196,0.00
12626,14.15,0.42,2128,0.00,0.00,16,34.84,35.00,29.93,3.87,1.20,196,0.00
12813,14.37,0.43,2202,0.00,0.00,16,35.20,34.50,31.48,3.56,1.20,196,0.00
13001,14.46,0.43,2282,0.00,0.00,16,35.90,35.00,32.84,3.56,1.18,196,0.00
13204,14.37,0.42,2382,0.00,0.00,16,36.60,35.50,33.81,3.25,1.18,196,0.00
13391,14.46,0.43,2466,0.00,0.00,16,35.55,35.00,36.02,2.63,1.18,196,0.00
13579,14.18,0.44,2542,0.00,0.00,16,35.90,35.00,37.62,2.63,1.16,196,0.00
13766,14.02,0.43,2614,0.00,0.00,16,36.60,35.50,37.74,2.01,1.14,196,0.00
13954,13.82,0.42,2700,0.00,0.00,16,36.95,36.50,38.35,1.39,1.14,196,0.00
14157,13.91,0.41,2747,0.00,0.00,16,37.66,37.00,38.35,1.08,1.12,196,7.06
14344,13.89,0.41,2831,0.00,0.00,16,38.01,37.00,39.03,1.08,1.12,196,7.06
14532,13.89,0.41,2909,0.00,0.00,16,38.36,38.00,38.89,0.46,1.12,196,6.27
14719,13.58,0.40,2975,0.00,0.00,16,38.71,38.00,39.72,0.46,1.12,196,6.27
14922,13.59,0.42,3041,0.00,0.00,16,37.30,37.00,42.47,1.70,1.16,196,8.24
15110,13.48,0.46,3121,0.00,0.00,16,35.20,35.00,46.47,2.63,1.24,196,9.80
15297,13.18,0.53,3231,0.00,0.00,16,30.98,32.00,54.71,8.20,1.40,196,12.94
15485,12.12,0.63,3338,0.00,0.00,16,22.89,25.00,66.70,10.67,1.72,196,18.04
15676,11.69,0.74,3462,0.00,0.00,16,17.62,18.50,82.53,13.77,2.12,196,19.61
15879,11.22,0.87,3578,0.00,0.00,16,11.29,12.50,101.62,14.08,2.38,196,22.75
