Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%)
0,-3.12,0.00,14.81,8,0.24,782,0.00,0.00,13.54,16,9.88,10.50,151,4.50,-10.15,3.14,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
96,-3.12,0.00,14.81,8,0.24,780,0.00,0.00,13.54,16,9.88,10.50,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
191,-3.12,0.00,14.93,8,0.24,789,0.00,0.00,13.54,16,9.88,9.50,151,4.50,-10.15,3.11,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
287,-3.12,0.00,14.70,8,0.24,779,0.00,0.00,13.54,16,9.88,10.50,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
383,-3.91,0.00,14.59,8,0.24,780,0.00,0.00,13.54,16,9.88,10.50,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,57.7,21.4
479,-3.91,0.00,14.70,8,0.24,782,0.00,0.00,13.54,16,9.88,10.00,151,4.50,-10.13,3.14,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,57.6,21.4
575,-3.91,0.00,14.59,8,0.24,777,0.00,0.00,13.54,16,9.88,10.50,151,4.50,-10.13,3.16,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
671,-3.91,0.00,14.70,8,0.24,796,0.00,0.00,13.54,16,9.88,8.50,151,4.50,-10.15,3.11,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
767,-3.12,0.00,14.59,8,0.24,793,0.00,0.00,13.54,16,9.88,9.00,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.3
862,-3.91,0.00,14.59,8,0.24,789,0.00,0.00,13.54,16,9.88,9.00,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.3
958,-3.91,0.00,14.70,8,0.24,788,0.00,0.00,13.54,16,9.88,9.50,151,4.50,-10.15,3.11,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.6,21.3
1055,-3.12,0.00,14.70,8,0.24,793,0.00,0.00,13.54,16,9.88,10.00,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.6,21.3
1151,-3.91,0.00,14.70,8,0.24,794,0.00,0.00,13.54,16,9.88,9.00,151,4.50,-10.15,3.11,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.6,21.3
1247,-3.91,0.00,14.59,8,0.24,794,0.00,0.00,13.54,16,9.88,9.00,151,4.50,-10.15,3.14,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.6,21.3
1342,-3.91,0.00,14.47,8,0.23,790,0.00,0.00,13.54,16,9.88,9.50,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
1438,-3.91,0.00,14.59,8,0.23,790,0.00,0.00,13.54,16,9.88,9.50,151,4.50,-10.15,3.09,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.7,21.4
1534,-3.12,0.00,14.70,8,0.24,786,0.00,0.00,13.54,16,9.88,9.50,151,4.50,-10.15,3.09,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.6,21.4
1631,-3.91,0.00,14.59,8,0.24,791,0.00,0.00,13.54,16,9.88,9.50,151,4.50,-10.17,3.09,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
1725,-3.12,0.00,14.81,8,0.23,788,0.00,0.00,13.54,16,9.88,9.50,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.6,21.4
1821,-3.12,0.00,14.70,8,0.24,783,0.00,0.00,13.54,16,9.88,10.00,151,4.50,-10.17,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.6,21.3
1918,-3.91,0.00,14.70,8,0.24,788,0.00,0.00,13.54,16,9.88,9.50,151,4.50,-10.15,3.09,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.3
2014,-3.12,0.00,14.81,8,0.23,798,0.00,0.00,13.54,16,9.88,8.50,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.3
2110,-3.91,0.00,14.59,8,0.23,782,0.00,0.00,13.54,16,9.88,8.00,151,4.50,-10.17,3.11,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.6,21.4
2205,-3.91,0.00,14.70,8,0.24,783,0.00,0.00,13.54,16,9.88,10.00,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,57.7,21.4
2302,-3.91,0.00,14.70,8,0.24,779,0.00,0.00,13.54,16,9.88,10.50,151,4.50,-10.15,3.11,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
2397,-3.91,0.00,14.70,8,0.24,781,0.00,0.00,13.54,16,9.88,10.00,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
2493,-3.12,0.00,14.70,8,0.23,793,0.00,0.00,13.54,16,9.88,8.50,151,4.50,-10.15,3.11,1.20,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
2589,-3.91,0.00,14.59,8,0.23,807,0.00,0.00,13.54,16,9.88,7.00,151,4.50,-10.15,3.11,1.18,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,57.6,21.4
