Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.70,0.12,778,0.00,0.00,16,14.10,18.00,5.08,3.19,-1.30,0.64
172,14.93,0.12,799,0.00,0.00,16,14.10,16.50,5.08,3.19,-1.30,0.64
338,15.27,0.12,790,0.00,0.00,16,14.10,16.00,5.08,3.11,-1.30,0.64
509,15.39,0.12,801,0.00,0.00,16,14.10,16.50,5.08,3.17,-1.30,0.64
697,15.50,0.12,790,0.00,0.00,16,14.10,16.50,5.08,3.20,-1.30,0.64
869,15.39,0.12,796,0.00,0.00,16,14.10,16.00,5.08,3.27,-1.30,0.64
1041,15.39,0.13,794,0.00,0.00,16,14.10,15.50,5.08,3.29,-1.30,0.64
1213,15.27,0.12,796,0.00,0.00,16,14.10,14.50,5.08,3.29,-1.30,0.64
1384,15.50,0.12,804,0.00,0.00,16,14.10,14.00,5.08,3.27,-1.30,0.64
1556,15.50,0.12,805,0.00,0.00,16,14.10,13.50,5.08,3.23,-1.30,0.64
1728,15.39,0.13,791,0.00,0.00,16,14.10,15.00,5.08,3.34,-1.30,0.64
1915,15.27,0.12,799,0.00,0.00,16,14.10,13.50,5.08,3.34,-1.30,0.64
2087,15.16,0.13,801,0.00,0.00,16,14.10,14.00,5.08,3.29,-1.30,0.64
2259,15.16,0.12,802,0.00,0.00,16,14.10,14.00,5.08,3.29,-1.30,0.64
2431,15.04,0.12,803,0.00,0.00,16,14.10,13.00,5.08,3.34,-1.30,0.64
2603,15.04,0.12,827,0.00,0.00,16,14.10,11.50,5.22,3.34,-1.30,0.70
2775,15.04,0.31,830,0.00,0.00,16,17.62,17.00,7.69,10.65,-1.30,0.90
2947,15.16,0.36,1074,0.00,0.00,16,25.00,24.50,10.30,14.79,-1.30,0.96
3134,12.52,0.30,1656,0.00,0.00,16,34.49,33.00,10.30,16.00,-1.60,0.98
3306,15.16,0.29,1913,0.00,0.00,16,38.36,37.50,9.43,18.26,-1.30,0.98
3474,15.50,0.30,1965,0.00,0.00,16,38.71,38.00,9.43,19.51,-0.99,1.00
3646,14.36,0.32,1854,0.00,0.00,16,37.30,37.00,9.58,19.50,-0.99,1.00
3818,14.24,0.35,1703,0.00,0.00,16,36.25,35.50,10.01,19.51,-0.99,1.00
