Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-0.78,-5.47,14.59,8,0.23,815,0.00,0.00,14.70,16,9.88,9.50,109,4.64,-10.02,3.14,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.50
88,-0.78,-5.47,14.70,8,0.23,820,0.00,0.00,14.70,16,9.88,9.50,109,4.64,-10.02,3.12,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
174,-0.78,-5.47,14.70,8,0.23,816,0.00,0.00,14.70,16,9.88,10.00,109,4.64,-10.02,3.14,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
261,-0.78,-5.47,14.81,8,0.23,824,0.00,0.00,14.70,16,9.88,9.50,109,4.64,-10.04,3.14,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
348,-0.78,-5.47,14.81,8,0.23,819,0.00,0.00,14.70,16,9.88,8.50,109,4.64,-10.02,3.14,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
434,-1.56,-5.47,14.59,8,0.23,817,0.00,0.00,14.70,16,9.88,10.00,109,4.64,-10.02,3.14,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
521,-0.78,-5.47,14.70,8,0.23,824,0.00,0.00,14.70,16,9.88,10.00,109,4.64,-10.04,3.14,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
608,-1.56,-5.47,14.47,8,0.23,817,0.00,0.00,14.70,16,9.88,9.00,109,4.64,-10.02,3.14,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
694,-1.56,-5.47,14.59,8,0.23,816,0.00,0.00,14.70,16,9.88,10.00,109,4.64,-10.04,3.14,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
781,-0.78,-5.47,14.59,8,0.23,819,0.00,0.00,14.70,16,9.88,9.50,109,4.64,-10.02,3.14,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
868,-0.78,-5.47,14.70,8,0.23,825,0.00,0.00,14.70,16,9.88,9.50,109,4.64,-10.02,3.14,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
954,-0.78,-5.47,14.81,8,0.23,831,0.00,0.00,14.70,16,9.88,8.50,109,4.64,-10.04,3.12,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
