Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.00,14.70,7,0.21,974,0.00,0.00,14.07,16,9.88,17.50,99,4.21,-10.46,3.41,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
87,0.00,0.00,14.70,7,0.21,958,0.00,0.00,14.08,16,9.88,17.50,99,4.21,-10.40,3.38,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
174,0.00,0.00,14.70,7,0.21,946,0.00,0.00,14.09,16,9.88,17.50,99,4.35,-10.40,3.36,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
261,0.00,0.00,14.70,7,0.21,948,0.00,0.00,14.10,16,9.88,17.50,99,4.35,-10.40,3.33,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
348,0.00,0.00,14.70,7,0.21,941,0.00,0.00,14.11,16,9.88,17.50,99,4.35,-10.40,3.33,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
434,0.00,0.00,14.59,7,0.21,936,0.00,0.00,14.11,16,9.88,17.50,99,4.35,-10.38,3.30,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
521,0.00,0.00,14.59,7,0.21,936,0.00,0.00,14.12,16,9.88,17.50,99,4.35,-10.40,3.27,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
608,0.00,0.00,14.59,7,0.21,934,0.00,0.00,14.13,16,9.88,17.50,99,4.35,-10.40,3.19,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
694,0.00,0.00,14.59,7,0.20,928,0.00,0.00,14.13,16,9.88,17.50,99,4.35,-10.40,3.16,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
782,0.00,0.00,14.59,7,0.20,919,0.00,0.00,14.14,16,9.88,17.50,99,4.35,-10.44,3.11,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
868,0.00,0.00,14.59,7,0.21,912,0.00,0.00,14.15,16,9.88,17.50,99,4.21,-10.44,3.11,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
955,0.00,0.00,14.59,7,0.21,901,0.00,0.00,14.16,16,9.88,17.50,99,4.21,-10.40,3.11,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1042,0.00,0.00,14.59,7,0.22,893,0.00,0.00,14.16,16,9.88,17.50,99,4.21,-10.40,3.14,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1128,0.00,0.00,14.59,7,0.22,878,0.00,0.00,14.17,16,9.88,17.50,99,4.35,-10.36,3.14,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1215,0.00,0.00,14.59,7,0.22,880,0.00,0.00,14.18,16,9.88,17.50,99,4.35,-10.35,3.16,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.50
1302,0.00,0.00,14.59,7,0.21,880,0.00,0.00,14.19,16,9.88,17.50,99,4.35,-10.36,3.16,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.50
1389,0.00,0.00,14.59,7,0.21,881,0.00,0.00,14.19,16,9.88,17.50,99,4.35,-10.35,3.11,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.50
1475,0.00,0.00,14.47,7,0.21,878,0.00,0.00,14.19,16,9.88,16.50,99,4.35,-10.36,3.05,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.50
1562,0.00,0.00,14.47,7,0.21,876,0.00,0.00,14.21,16,9.88,16.50,99,4.35,-10.36,3.05,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.50
1649,0.00,0.00,14.47,7,0.21,867,0.00,0.00,14.21,16,9.88,16.50,99,4.35,-10.36,3.03,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
