Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,3.12,0.00,14.70,8,0.42,1900,0.00,0.00,14.70,16,35.90,35.50,7.55,13.39,1.88,0.88,14.70
61,3.12,0.00,14.70,8,0.41,1916,0.00,0.00,14.70,16,36.25,35.50,7.55,13.32,1.88,0.88,14.70
123,3.12,0.00,14.70,8,0.41,1946,0.00,0.00,14.70,16,36.60,36.00,7.55,13.32,1.88,0.88,14.70
184,3.12,0.00,14.59,8,0.41,1947,0.00,0.00,14.70,16,36.60,36.50,7.55,13.45,1.88,0.88,14.70
246,3.12,0.00,14.70,8,0.41,1960,0.00,0.00,14.70,16,36.95,36.50,7.55,13.39,1.86,0.88,14.70
308,3.12,0.00,14.70,8,0.41,1971,0.00,0.00,14.70,16,36.95,36.50,7.40,13.32,1.88,0.88,14.70
369,3.12,0.00,14.70,8,0.41,1977,0.00,0.00,14.70,16,37.30,36.50,7.40,13.52,1.88,0.88,14.70
431,3.12,0.00,14.70,8,0.40,1984,0.00,0.00,14.70,16,37.30,36.50,7.40,13.52,1.88,0.88,14.60
493,3.12,0.00,14.70,8,0.41,1989,0.00,0.00,14.70,16,37.66,37.00,7.40,13.52,1.88,0.88,14.60
554,3.12,0.00,14.59,8,0.40,2014,0.00,0.00,14.70,16,37.66,37.50,7.40,13.39,1.88,0.88,14.70
616,2.34,0.00,14.47,8,0.40,2027,0.00,0.00,14.70,16,38.01,37.50,7.40,13.52,1.88,0.88,14.70
677,2.34,0.00,14.47,8,0.39,2027,0.00,0.00,14.70,16,37.66,37.00,7.40,13.45,1.88,0.88,14.70
739,3.12,0.00,14.59,8,0.40,2019,0.00,0.00,14.70,16,38.01,37.50,7.40,13.26,1.88,0.88,14.60
800,3.12,0.00,14.59,8,0.40,2030,0.00,0.00,14.70,16,38.36,37.50,7.40,13.45,1.88,0.88,14.60
862,3.91,0.00,14.59,8,0.39,2041,0.00,0.00,14.70,16,38.36,38.00,7.25,13.45,1.88,0.88,14.70
924,3.91,0.00,14.70,8,0.39,2064,0.00,0.00,14.70,16,38.36,38.00,7.25,13.58,1.88,0.90,14.80
985,3.91,0.00,14.81,8,0.39,2068,0.00,0.00,14.70,16,38.01,38.00,7.25,13.39,1.88,0.90,14.80
1047,3.91,0.00,14.70,8,0.40,2071,0.00,0.00,14.70,16,38.71,38.00,7.25,13.71,1.88,0.88,14.80
1108,3.91,0.00,14.70,8,0.39,2094,0.00,0.00,14.70,16,38.71,38.00,7.25,13.71,1.88,0.88,14.70
1171,3.91,0.00,14.70,8,0.38,2103,0.00,0.00,14.70,16,38.36,38.00,7.25,13.58,1.88,0.88,14.70
1231,3.12,0.00,14.70,8,0.39,2092,0.00,0.00,14.70,16,38.71,38.00,7.11,13.65,1.88,0.88,14.80
1293,3.12,0.00,14.47,8,0.39,2102,0.00,0.00,14.70,16,38.71,38.00,7.11,13.65,1.88,0.88,14.80
1355,2.34,0.00,14.47,8,0.39,2131,0.00,0.00,14.70,16,38.71,38.00,7.11,13.65,1.90,0.88,14.60
1417,3.12,0.00,14.47,8,0.40,2117,0.00,0.00,14.70,16,39.06,38.50,7.11,14.02,1.90,0.88,14.60
1479,3.12,0.00,14.59,8,0.39,2122,0.00,0.00,14.70,16,39.06,38.50,7.11,13.90,1.90,0.88,14.60
1540,2.34,0.00,14.47,8,0.39,2150,0.00,0.00,14.70,16,39.41,38.50,7.11,13.90,1.90,0.88,14.60
1601,2.34,0.00,14.47,8,0.38,2140,0.00,0.00,14.70,16,39.06,38.50,7.11,14.02,1.88,0.88,14.60
1663,2.34,0.00,14.47,8,0.38,2140,0.00,0.00,14.70,16,39.06,38.00,7.11,13.78,1.88,0.88,14.60
1724,2.34,0.00,14.47,8,0.38,2145,0.00,0.00,14.70,16,39.06,38.50,7.11,13.64,1.88,0.88,14.60
1786,2.34,0.78,14.47,8,0.38,2168,0.00,0.00,14.70,16,39.06,38.50,7.11,13.78,1.90,0.88,14.60
1847,3.12,0.78,14.59,8,0.38,2164,0.00,0.00,14.70,16,39.06,38.50,7.11,13.77,1.90,0.88,14.60
1909,3.12,0.78,14.70,8,0.39,2189,0.00,0.00,14.70,16,39.77,39.00,7.11,13.95,1.90,0.88,14.70
1971,3.12,0.78,14.70,8,0.39,2201,0.00,0.00,14.70,16,39.77,39.00,7.11,14.28,1.92,0.88,14.70
2033,3.12,0.78,14.70,8,0.39,2192,0.00,0.00,14.70,16,39.77,39.00,7.11,14.28,1.90,0.88,14.80
2094,3.12,0.78,14.81,8,0.40,2210,0.00,0.00,14.70,16,40.12,39.50,7.11,14.47,1.92,0.88,14.80
2155,2.34,0.78,14.70,8,0.39,2220,0.00,0.00,14.70,16,40.12,39.50,7.11,14.47,1.92,0.88,14.80
2217,1.56,0.78,14.47,8,0.39,2229,0.00,0.00,14.70,16,40.12,39.50,7.11,14.66,1.92,0.88,14.60
2279,1.56,0.78,14.36,8,0.39,2230,0.00,0.00,14.70,16,40.12,39.50,7.11,14.60,1.92,0.88,14.60
2340,1.56,0.78,14.36,8,0.40,2237,0.00,0.00,14.70,16,40.47,39.50,7.11,14.60,1.92,0.88,14.60
2402,1.56,0.78,14.47,8,0.40,2262,0.00,0.00,14.70,16,40.47,40.00,7.11,14.92,1.94,0.88,14.60
2463,1.56,0.78,14.59,8,0.40,2246,0.00,0.00,14.70,16,40.82,40.00,7.11,14.98,1.94,0.88,14.70
2525,1.56,0.78,14.59,8,0.40,2282,0.00,0.00,14.70,16,41.17,40.50,7.11,15.19,1.94,0.88,14.70
2586,2.34,0.78,14.70,8,0.40,2282,0.00,0.00,14.70,16,41.17,40.50,7.11,15.19,1.94,0.88,14.70
2648,2.34,0.78,14.59,8,0.41,2298,0.00,0.00,14.70,16,41.52,41.00,7.11,15.18,1.96,0.88,14.80
2710,1.56,0.78,14.59,8,0.40,2298,0.00,0.00,14.70,16,41.52,41.00,7.11,15.78,1.96,0.88,14.70
2772,2.34,0.78,14.59,8,0.40,2304,0.00,0.00,14.70,16,41.88,41.50,7.11,15.78,1.96,0.88,14.70
2833,1.56,0.78,14.59,8,0.41,2338,0.00,0.00,14.69,16,42.23,41.50,7.11,15.78,1.96,0.88,14.70
2895,0.78,0.78,14.36,8,0.41,2332,0.00,0.00,14.70,16,42.23,41.50,7.25,16.07,1.98,0.88,14.70
2956,1.56,0.78,14.47,8,0.41,2361,0.00,0.00,14.69,16,42.58,41.50,7.25,16.07,1.98,0.88,14.60
3018,1.56,0.78,14.47,8,0.41,2380,0.00,0.00,14.70,16,42.93,42.00,7.25,16.51,1.98,0.88,14.70
3080,1.56,0.78,14.59,8,0.41,2361,0.00,0.00,14.70,16,42.58,42.00,7.25,16.51,1.98,0.88,14.70
3141,1.56,0.78,14.70,8,0.41,2388,0.00,0.00,14.70,16,42.93,42.50,7.25,16.58,2.00,0.88,14.80
3202,1.56,0.78,14.70,8,0.42,2394,0.00,0.00,14.70,16,42.93,42.50,7.25,16.67,2.00,0.88,14.80
3265,1.56,0.78,14.59,8,0.42,2387,0.00,0.00,14.69,16,42.93,42.50,7.25,16.82,2.00,0.88,14.80
3326,1.56,0.78,14.70,8,0.42,2404,0.00,0.00,14.70,16,42.93,42.50,7.25,16.66,2.00,0.88,14.90
3388,1.56,0.78,14.70,8,0.41,2395,0.00,0.00,14.70,16,42.93,42.50,7.25,16.67,1.98,0.88,14.90
3449,1.56,0.78,14.59,8,0.41,2414,0.00,0.00,14.70,16,42.93,42.50,7.25,16.44,1.98,0.88,14.90
3510,1.56,0.78,14.59,8,0.42,2419,0.00,0.00,14.70,16,42.93,42.50,7.11,16.67,2.00,0.88,14.70
3572,1.56,0.78,14.59,8,0.41,2428,0.00,0.00,14.70,16,42.93,42.50,7.11,16.67,2.00,0.88,14.70
3634,0.78,0.78,14.47,8,0.40,2464,0.00,0.00,14.70,16,42.93,42.50,7.11,16.58,2.00,0.88,14.80
3695,1.56,0.78,14.70,8,0.40,2464,0.00,0.00,14.70,16,42.93,42.50,6.96,16.58,2.00,0.88,14.80
3757,1.56,0.78,14.70,8,0.41,2468,0.00,0.00,14.70,16,42.93,42.50,6.96,16.81,2.00,0.88,14.70
3819,1.56,0.78,14.70,8,0.40,2454,0.00,0.00,14.70,16,42.93,42.50,6.96,16.74,2.00,0.88,14.80
3881,1.56,0.78,14.70,8,0.41,2481,0.00,0.00,14.70,16,42.93,42.50,6.96,16.51,2.00,0.88,14.80
3942,0.78,0.78,14.70,8,0.41,2471,0.00,0.00,14.70,16,42.93,42.50,6.96,16.88,2.00,0.88,14.70
4003,1.56,0.78,14.70,8,0.40,2449,0.00,0.00,14.70,16,42.93,42.50,6.96,16.66,2.00,0.88,14.70
4065,0.78,0.78,14.59,8,0.41,2490,0.00,0.00,14.70,16,42.93,42.50,6.96,16.66,2.00,0.88,14.80
4127,1.56,0.78,14.70,8,0.40,2521,0.00,0.00,14.70,16,43.28,42.50,6.96,16.96,2.00,0.88,14.80
6800,-0.78,0.78,14.59,8,0.39,2750,0.00,0.00,14.70,16,43.98,43.50,6.82,18.18,2.04,0.88,14.70
6861,-0.78,0.78,14.70,8,0.40,2763,0.00,0.00,14.70,16,44.34,43.50,6.67,18.49,2.06,0.88,14.70
6923,0.00,0.78,14.70,8,0.41,2765,0.00,0.00,14.70,16,44.34,43.50,6.67,18.73,2.06,0.88,14.80
6985,0.00,0.78,14.81,8,0.40,2762,0.00,0.00,14.70,16,43.98,43.50,6.67,18.18,2.06,0.88,14.80
7046,0.00,0.78,14.81,8,0.39,2788,0.00,0.00,14.70,16,44.34,43.50,6.67,18.33,2.04,0.88,14.90
7107,0.00,0.78,14.70,8,0.40,2788,0.00,0.00,14.70,16,44.34,43.50,6.67,18.33,2.06,0.88,14.90
7169,-0.78,0.78,14.59,8,0.39,2778,0.00,0.00,14.70,16,44.34,43.50,6.67,18.57,2.06,0.88,14.80
7231,-0.78,0.78,14.59,8,0.40,2778,0.00,0.00,14.70,16,44.34,43.50,6.67,18.49,2.06,0.88,14.70
7294,0.00,0.78,14.70,8,0.39,2795,0.00,0.00,14.70,16,43.98,43.50,6.67,18.65,2.06,0.88,14.70
7355,0.00,0.78,14.70,8,0.40,2821,0.00,0.00,14.70,16,43.98,43.50,6.67,18.49,2.06,0.88,14.70
7416,-0.78,0.78,14.59,8,0.39,2817,0.00,0.00,14.70,16,43.98,43.50,6.67,18.57,2.06,0.88,14.60
