Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.36,0.15,1151,0.00,0.00,16,10.59,10.00,5.37,-9.34,5.78,-1.18,0.64
190,14.36,0.15,1154,0.00,0.00,16,10.23,11.50,5.37,-9.36,5.68,-1.18,0.64
379,14.59,0.15,1172,0.00,0.00,16,10.59,11.00,5.37,-9.38,5.72,-1.18,0.64
569,14.59,0.15,1164,0.00,0.00,16,10.23,11.00,5.37,-9.38,5.74,-1.18,0.64
759,14.70,0.15,1186,0.00,0.00,16,10.59,9.00,5.22,-9.44,5.74,-1.18,0.64
949,14.59,0.15,1176,0.00,0.00,16,10.59,11.00,5.37,-9.40,5.68,-1.18,0.64
1139,14.47,0.15,1165,0.00,0.00,16,10.59,11.00,5.37,-9.38,5.81,-1.18,0.64
1328,14.47,0.15,1169,0.00,0.00,16,10.59,11.00,5.22,-9.40,5.72,-1.18,0.64
1519,14.36,0.15,1166,0.00,0.00,16,10.23,10.50,5.51,-9.17,5.74,-1.18,0.64
1708,14.36,0.15,1149,0.00,0.00,16,10.23,11.50,5.66,-9.07,5.72,-1.18,0.64
1900,14.59,0.15,1155,0.00,0.00,16,10.23,13.00,5.51,-9.17,5.72,-1.18,0.64
2089,14.81,0.15,1151,0.00,0.00,16,10.23,10.50,5.51,-9.20,5.74,-1.18,0.64
2280,15.04,0.15,1167,0.00,0.00,16,10.23,10.50,5.37,-9.26,5.78,-1.18,0.64
2468,14.93,0.15,1165,0.00,0.00,16,10.23,10.00,5.37,-9.26,5.72,-1.18,0.64
2658,14.81,0.15,1142,0.00,0.00,16,10.23,12.50,5.51,-9.24,5.72,-1.18,0.64
2848,14.47,0.15,1153,0.00,0.00,16,10.23,11.50,5.37,-9.28,5.74,-1.18,0.64
3042,14.24,0.15,1158,0.00,0.00,16,10.23,10.00,5.37,-9.30,5.81,-1.18,0.64
3232,14.24,0.15,1166,0.00,0.00,16,10.23,10.00,5.37,-9.30,5.78,-1.18,0.64
3422,14.24,0.15,1167,0.00,0.00,16,10.59,10.50,5.37,-9.32,5.87,-1.18,0.64
3612,14.24,0.15,1171,0.00,0.00,16,10.59,10.00,5.37,-9.34,5.78,-1.18,0.64
3802,14.24,0.15,1161,0.00,0.00,16,10.23,11.50,5.37,-9.24,5.72,-1.18,0.64
3991,14.24,0.15,1158,0.00,0.00,16,10.59,11.00,5.51,-9.22,5.74,-1.18,0.64
4183,14.36,0.15,1142,0.00,0.00,16,10.23,11.00,5.51,-9.18,5.78,-1.18,0.64
4370,14.59,0.15,1159,0.00,0.00,16,10.23,10.50,5.51,-9.17,5.78,-1.18,0.64
4561,14.59,0.15,1154,0.00,0.00,16,10.23,10.50,5.51,-9.17,5.78,-1.18,0.64
4751,14.70,0.15,1166,0.00,0.00,16,10.23,9.50,5.51,-9.18,5.78,-1.18,0.64
4941,14.70,0.15,1165,0.00,0.00,16,10.23,9.50,5.51,-9.20,5.78,-1.18,0.64
5131,14.59,0.15,1146,0.00,0.00,16,10.23,11.00,5.51,-9.18,5.81,-1.18,0.64
5321,14.47,0.15,1156,0.00,0.00,16,10.23,10.50,5.51,-9.18,5.81,-1.18,0.64
5510,14.36,0.15,1177,0.00,0.00,16,10.23,10.50,5.51,-9.18,5.74,-1.18,0.64
5701,14.47,0.15,1166,0.00,0.00,16,10.23,10.50,5.51,-9.09,5.78,-1.18,0.64
5890,14.59,0.15,1151,0.00,0.00,16,10.23,10.00,5.51,-9.13,5.85,-1.18,0.64
6080,14.59,0.15,1153,0.00,0.00,16,10.23,10.50,5.51,-9.18,5.74,-1.18,0.64
