Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,-0.78,15.04,8,0.38,1148,0.00,0.00,14.68,16,21.48,21.00,0.78,6.82,7.21,1.56,0.00,14.30
49,0.78,-0.78,15.16,8,0.39,1144,0.00,0.00,14.68,16,21.48,21.00,0.78,6.96,7.37,1.58,0.00,14.30
126,1.56,0.78,15.50,8,0.40,1133,0.00,0.00,14.67,16,21.84,21.00,0.78,7.11,7.50,1.58,0.00,14.70
187,2.34,0.78,15.62,8,0.42,1134,0.00,0.00,14.67,16,22.54,21.00,0.78,7.25,7.74,1.60,0.00,15.20
250,2.34,0.78,15.62,8,0.44,1134,0.00,0.00,14.00,16,23.59,22.00,0.80,7.55,7.94,1.62,0.00,15.20
317,2.34,0.78,15.50,8,0.45,1131,0.00,0.00,14.66,16,23.95,23.50,0.80,7.69,8.36,1.62,0.00,15.50
381,1.56,0.78,15.50,8,0.46,1130,0.00,0.00,14.66,16,24.65,23.50,0.80,7.98,8.44,1.64,0.00,15.60
447,0.78,0.78,15.16,8,0.47,1120,0.00,0.00,14.66,16,25.35,24.50,0.82,7.98,8.69,1.64,0.00,15.60
510,0.00,0.78,14.81,8,0.48,1120,0.00,0.00,14.66,16,25.70,25.00,0.82,8.27,8.87,1.66,0.00,15.40
573,-0.78,0.78,14.70,8,0.49,1129,0.00,0.00,14.69,16,26.05,25.00,0.82,8.27,9.04,1.66,0.00,15.00
637,0.00,0.78,14.59,8,0.49,1136,0.00,0.00,14.69,16,26.41,25.50,0.82,8.42,9.13,1.68,0.00,15.00
693,-0.78,0.78,14.36,8,0.49,1131,0.00,0.00,14.69,16,26.76,26.00,0.82,8.56,9.35,1.68,0.00,14.70
766,-0.78,0.78,14.47,8,0.50,1135,0.00,0.00,14.69,16,27.11,26.00,0.82,8.71,9.39,1.68,0.00,14.50
829,0.00,0.78,14.47,8,0.51,1138,0.00,0.00,14.69,16,27.46,26.50,0.82,8.85,9.56,1.68,0.00,14.50
893,0.00,0.78,14.59,8,0.52,1136,0.00,0.00,14.69,16,27.81,27.00,0.82,8.85,9.66,1.70,0.00,14.50
947,0.78,0.78,14.70,8,0.52,1119,0.00,0.00,14.69,16,27.81,27.00,0.82,9.14,9.75,1.70,0.00,14.50
1007,0.78,1.56,14.70,8,0.53,1110,0.00,0.00,14.69,16,28.52,28.00,0.82,9.14,9.79,1.70,0.00,14.70
1074,1.56,1.56,14.81,8,0.54,1099,0.00,0.00,14.11,16,28.16,28.00,0.84,9.29,9.84,1.72,0.00,15.00
1148,1.56,1.56,14.93,8,0.56,1078,0.00,0.00,14.69,16,27.81,27.50,0.84,9.43,9.99,1.70,0.00,15.00
1213,0.78,1.56,14.93,8,0.57,1055,0.00,0.00,14.69,16,27.46,27.00,0.84,9.58,9.99,1.72,0.00,14.90
1275,1.56,1.56,14.93,8,0.58,1042,0.00,0.00,14.68,16,27.11,26.50,0.84,9.72,9.99,1.72,0.00,14.90
1340,0.78,1.56,14.81,8,0.59,1017,0.00,0.00,14.69,16,26.41,26.00,0.84,9.87,9.99,1.70,0.00,14.90
1404,1.56,1.56,14.93,8,0.58,1037,0.00,0.00,14.69,16,27.81,26.50,0.84,10.01,10.03,1.72,0.00,14.90
1467,0.78,1.56,14.81,8,0.54,1084,0.00,0.00,15.31,16,28.87,27.50,0.84,10.16,10.13,1.72,0.00,14.90
1531,0.78,1.56,14.70,8,0.53,1180,0.00,0.00,14.70,16,28.87,28.50,0.84,10.01,10.28,1.74,0.00,14.90
1596,0.78,2.34,14.59,8,0.53,1202,0.00,0.00,14.70,16,28.87,28.50,0.86,9.87,10.43,1.74,0.00,14.70
1648,0.78,2.34,14.59,8,0.53,1216,0.00,0.00,14.70,16,28.87,28.50,0.86,9.87,10.64,1.76,0.00,14.70
1720,1.56,2.34,14.70,8,0.52,1276,0.00,0.00,13.07,16,28.87,28.50,0.86,9.72,10.64,1.76,0.00,14.60
1789,2.34,2.34,14.93,8,0.51,1335,0.00,0.00,14.71,16,28.52,28.00,0.86,9.43,10.94,1.76,0.00,14.80
1848,3.12,4.69,15.04,8,0.50,1385,0.00,0.00,14.71,16,28.52,28.00,0.86,9.29,11.15,1.76,0.00,14.80
1917,3.91,4.69,15.27,8,0.50,1392,0.00,0.00,14.71,16,28.16,27.50,0.86,9.00,11.29,1.78,0.00,15.20
1976,4.69,4.69,15.50,8,0.49,1423,0.00,0.00,14.74,16,28.16,27.50,0.86,9.00,11.61,1.78,0.00,15.40
2030,4.69,4.69,15.27,8,0.48,1464,0.00,0.00,14.74,16,28.52,28.00,0.88,9.00,11.88,1.80,0.00,15.40
2097,3.12,4.69,15.04,8,0.48,1531,0.00,0.00,14.74,16,28.87,28.00,0.88,8.85,12.26,1.82,0.00,15.30
2163,3.12,4.69,14.81,8,0.49,1571,0.00,0.00,14.74,16,29.22,28.50,0.90,8.85,12.75,1.84,0.00,15.30
2231,3.12,3.91,14.81,8,0.49,1572,0.00,0.00,14.74,16,29.22,28.50,0.90,8.85,10.34,1.86,0.00,15.10
2299,3.91,3.91,14.81,8,0.49,1613,0.00,0.00,14.74,16,29.92,28.50,0.90,8.85,13.26,1.86,0.00,14.80
2363,3.91,3.91,14.93,8,0.48,1670,0.00,0.00,14.74,16,31.33,29.50,0.90,8.85,13.26,1.86,0.00,14.80
2426,4.69,3.91,14.93,8,0.48,1721,0.00,0.00,14.75,16,32.38,30.50,0.90,8.71,13.26,1.88,0.00,14.80
2490,4.69,3.91,14.93,8,0.48,1742,0.00,0.00,14.75,16,32.73,32.00,0.92,8.56,13.65,1.90,0.00,15.10
2548,4.69,3.91,14.93,8,0.48,1760,0.00,0.00,14.75,16,32.73,32.00,0.92,8.56,13.90,1.90,0.00,15.10
2619,4.69,3.12,14.93,8,0.50,1782,0.00,0.00,14.74,16,33.79,32.00,0.92,8.56,14.15,1.90,0.00,15.00
2681,4.69,3.12,14.81,8,0.50,1847,0.00,0.00,13.10,16,35.55,33.00,0.94,8.56,14.73,1.94,0.00,14.90
2747,4.69,3.12,14.81,8,0.51,1847,0.00,0.00,14.74,16,36.60,35.00,0.94,8.71,15.85,1.96,0.00,14.90
2807,4.69,3.12,14.81,8,0.52,1899,0.00,0.00,14.74,16,36.95,36.00,0.96,8.85,16.07,1.98,0.00,14.80
2872,3.91,3.12,14.70,8,0.53,1916,0.00,0.00,14.74,16,37.66,36.50,0.98,8.85,16.67,2.00,0.00,14.70
2936,3.12,3.12,14.47,8,0.55,1947,0.00,0.00,14.19,16,39.06,38.00,1.00,9.14,17.26,2.02,0.00,14.70
3001,2.34,4.69,14.36,8,0.58,1992,0.00,0.00,14.73,16,40.82,39.00,1.02,9.58,18.57,2.06,0.00,14.40
3065,1.56,4.69,14.01,8,0.58,2047,0.00,0.00,16.27,16,41.17,40.00,1.04,9.72,20.07,2.10,0.00,14.30
3130,0.00,4.69,13.90,8,0.62,2088,0.00,0.00,14.74,16,41.52,40.50,1.04,10.01,20.67,2.12,0.00,14.30
3195,-0.78,4.69,13.78,8,0.60,2128,0.00,0.00,14.74,16,41.88,41.50,1.04,10.01,20.84,2.14,0.00,14.10
3249,0.00,4.69,14.01,8,0.60,2147,0.00,0.00,15.02,16,42.58,41.50,1.04,10.01,21.54,2.14,0.00,14.10
3321,0.78,4.69,14.24,8,0.59,2197,0.00,0.00,14.76,16,43.28,42.00,1.04,10.01,21.54,2.16,0.00,14.30
3384,1.56,4.69,14.59,8,0.60,2277,0.00,0.00,14.76,16,43.98,43.00,1.06,10.16,22.32,2.18,0.00,14.60
3438,1.56,4.69,14.70,8,0.61,2312,0.00,0.00,14.76,16,44.69,43.50,1.04,10.16,23.35,2.20,0.00,14.60
3507,2.34,4.69,14.81,8,0.62,2360,0.00,0.00,14.76,16,44.69,44.00,1.06,10.16,23.74,2.22,0.00,15.10
3574,1.56,4.69,14.81,8,0.61,2401,0.00,0.00,14.76,16,45.04,45.00,1.06,10.30,24.42,2.22,0.00,15.10
3627,1.56,4.69,14.81,8,0.61,2438,0.00,0.00,14.77,16,45.04,44.50,1.06,10.30,24.99,2.24,0.00,15.10
3694,2.34,4.69,14.81,8,0.60,2506,0.00,0.00,14.77,16,45.04,44.50,1.04,10.16,24.62,2.24,0.00,15.00
3769,2.34,4.69,14.81,8,0.59,2552,0.00,0.00,14.77,16,44.69,44.50,1.04,9.87,25.00,2.24,0.00,15.00
3832,2.34,4.69,14.70,8,0.58,2590,0.00,0.00,14.78,16,44.69,44.50,1.04,9.72,24.80,2.24,0.00,15.00
3887,2.34,4.69,14.70,8,0.57,2617,0.00,0.00,14.78,16,44.69,44.00,1.02,9.58,25.10,2.24,0.00,14.80
3950,2.34,4.69,14.70,8,0.57,2666,0.00,0.00,14.78,16,44.69,44.00,1.02,9.43,25.10,2.24,0.00,14.80
4029,2.34,4.69,14.70,8,0.56,2698,0.00,0.00,14.79,16,44.69,44.00,1.02,9.29,25.29,2.24,0.00,14.70
4090,2.34,4.69,14.70,8,0.56,2737,0.00,0.00,14.79,16,44.34,43.50,1.02,9.29,25.48,2.26,0.00,14.70
4147,2.34,4.69,14.70,8,0.54,2793,0.00,0.00,14.79,16,44.34,43.50,1.02,9.14,24.99,2.24,0.00,14.70
4217,2.34,4.69,14.70,8,0.53,2830,0.00,0.00,14.79,16,44.34,43.50,1.02,9.00,25.20,2.24,1.57,14.70
4280,2.34,4.69,14.59,8,0.53,2852,0.00,0.00,14.79,16,44.34,43.50,1.00,8.85,25.20,2.24,1.57,14.70
4335,2.34,3.91,14.70,8,0.53,2908,0.00,0.00,15.05,16,44.34,43.50,1.00,8.71,25.38,2.24,1.57,14.70
4401,2.34,3.91,14.59,8,0.50,2944,0.00,0.00,15.06,16,44.34,43.50,1.00,8.56,24.80,2.24,3.92,14.70
4468,1.56,3.91,14.47,8,0.50,2980,0.00,0.00,14.79,16,44.34,43.50,1.00,8.42,25.00,2.22,3.92,14.50
4521,1.56,3.91,14.47,8,0.50,3006,0.00,0.00,14.79,16,44.34,43.50,1.00,8.42,25.20,2.24,2.75,14.50
4599,1.56,3.91,14.59,8,0.49,3050,0.00,0.00,14.79,16,44.34,43.50,1.00,8.42,24.80,2.24,2.75,14.60
4664,0.78,3.91,14.36,8,0.49,3072,0.00,0.00,15.02,16,44.34,43.50,1.00,8.27,25.20,2.24,3.92,14.60
4727,0.78,3.12,14.47,8,0.49,3091,0.00,0.00,14.79,16,44.34,43.50,1.00,8.27,25.00,2.24,3.92,14.60
4791,0.78,3.12,14.47,8,0.47,3147,0.00,0.00,14.79,16,44.34,43.50,1.00,8.27,24.71,2.24,3.92,14.70
4848,0.00,3.12,14.47,8,0.44,3148,0.00,0.00,15.53,16,44.34,43.50,0.82,7.40,23.69,2.22,3.92,14.70
4919,0.00,3.12,14.13,8,0.32,3128,0.00,0.00,16.02,16,37.30,43.50,0.64,5.51,19.32,2.00,0.00,14.50
4983,0.00,3.12,13.21,10,0.22,3098,0.00,0.00,15.29,16,28.16,37.00,0.64,4.64,8.06,1.64,0.00,14.40
5047,0.00,3.12,12.40,10,0.19,3054,0.00,0.00,14.70,16,21.48,28.00,0.64,4.21,9.21,1.62,0.00,14.40
5111,0.00,3.12,12.06,10,0.19,3007,0.00,0.00,14.70,16,16.56,21.00,0.64,3.92,9.21,1.68,0.00,13.60
5175,0.00,2.34,12.06,10,0.21,2911,0.00,0.00,14.70,16,11.99,14.50,0.64,3.77,10.03,1.72,0.00,12.90
5239,0.00,2.34,13.09,10,0.22,2796,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,10.43,1.74,0.00,12.90
5303,0.00,2.34,14.24,10,0.24,2680,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,10.49,1.74,0.00,12.80
5369,0.00,2.34,15.27,10,0.24,2557,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,10.59,1.74,0.00,13.60
5422,0.00,1.56,17.57,10,0.24,2438,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,10.43,1.72,0.00,13.60
5495,0.00,1.56,17.57,10,0.24,2438,0.00,0.00,14.70,16,11.99,11.50,0.64,4.06,9.79,1.70,0.00,15.40
5560,0.00,1.56,22.74,10,0.24,2315,0.00,0.00,14.70,16,11.99,11.50,0.64,4.06,9.26,1.68,0.00,15.40
5610,0.00,1.56,24.12,10,0.22,2217,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,8.39,1.62,0.00,18.50
5674,0.00,0.78,23.66,10,0.21,2131,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,7.45,1.56,0.00,22.40
5748,0.00,0.78,23.89,10,0.22,2002,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,7.21,1.56,0.00,22.40
5830,0.00,0.78,23.54,10,0.28,1904,0.00,0.00,12.46,16,13.05,11.50,0.74,3.92,7.62,1.60,0.00,30.50
5871,0.00,0.78,24.00,10,0.31,1805,0.00,0.00,14.69,16,15.16,13.00,0.78,4.35,9.44,1.68,0.00,39.60
5942,0.00,0.78,24.00,10,0.30,1813,0.00,0.00,14.69,16,18.32,16.00,0.80,4.64,9.18,1.66,0.00,39.60
6007,0.00,0.00,23.66,10,0.30,1860,0.00,0.00,14.69,16,22.19,19.50,0.82,4.93,9.21,1.68,0.00,77.40
6068,0.00,0.78,23.77,10,0.33,1895,0.00,0.00,13.70,16,27.81,24.50,0.84,5.22,9.84,1.72,0.00,92.80
6122,0.00,0.78,23.66,10,0.36,1886,0.00,0.00,13.92,16,32.38,29.00,0.86,5.51,10.89,1.78,0.00,92.80
6197,0.00,0.78,20.33,10,0.35,1835,0.00,0.00,14.67,16,33.44,33.00,0.86,5.95,11.40,1.78,0.00,53.40
6248,0.00,0.78,15.16,10,0.38,1804,0.00,0.00,14.67,16,33.44,33.00,0.86,6.24,11.61,1.80,0.00,53.40
6323,-3.12,0.78,14.01,8,0.39,1836,0.00,0.00,14.09,16,34.49,33.50,0.88,6.38,11.88,1.82,0.00,18.50
6389,-3.91,0.78,13.78,8,0.43,1866,0.00,0.00,13.37,16,35.20,34.50,0.92,6.67,12.75,1.88,0.00,15.20
6442,-3.12,0.78,13.78,8,0.49,1858,0.00,0.00,13.54,16,35.90,35.00,0.96,7.11,14.92,1.96,0.00,15.20
6509,-2.34,0.78,14.13,8,0.55,1864,0.00,0.00,13.29,16,37.66,36.00,1.02,7.98,17.10,2.04,0.00,14.50
6581,-0.78,0.78,14.70,8,0.65,1913,0.00,0.00,13.61,16,39.41,38.00,1.06,9.29,21.11,2.14,0.00,14.70
6645,-3.12,0.78,14.59,8,0.72,1914,0.00,0.00,14.16,16,38.01,38.00,1.12,10.45,23.55,2.22,0.00,14.70
6709,-5.47,0.78,14.13,8,0.76,1920,0.00,0.00,14.61,16,38.01,37.50,1.12,11.17,24.22,2.22,0.00,14.80
6770,-7.81,1.56,13.55,8,0.72,1939,0.00,0.00,14.61,16,38.36,38.00,1.14,11.61,24.13,2.22,0.00,14.20
6821,-7.03,1.56,13.55,8,0.75,1950,0.00,0.00,14.62,16,38.71,38.00,1.16,11.90,24.13,2.22,0.00,14.20
6900,-3.91,1.56,14.36,8,0.75,1956,0.00,0.00,14.62,16,39.06,38.50,1.16,12.04,24.42,2.22,0.00,14.30
6964,-2.34,1.56,14.81,8,0.74,1987,0.00,0.00,14.63,16,39.41,39.00,1.18,12.19,24.51,2.22,0.00,15.30
7029,-0.78,1.56,15.27,8,0.75,2008,0.00,0.00,14.63,16,39.41,39.00,1.20,12.33,25.00,2.24,0.00,15.30
7093,0.00,1.56,15.50,8,0.78,2044,0.00,0.00,14.64,16,39.06,39.00,1.20,12.33,25.48,2.24,0.00,15.80
7156,0.78,1.56,15.50,8,0.76,2078,0.00,0.00,14.64,16,39.41,39.00,1.22,12.48,26.21,2.26,0.00,15.80
7208,0.78,1.56,15.50,8,0.77,2091,0.00,0.00,14.32,16,39.06,38.50,1.24,12.62,27.04,2.28,0.00,15.50
7284,1.56,2.34,15.50,8,0.79,2111,0.00,0.00,14.64,16,38.71,38.00,1.26,12.77,27.98,2.28,0.00,15.40
7347,2.34,2.34,15.39,8,0.80,2157,0.00,0.00,14.64,16,38.36,38.00,1.30,13.06,26.16,2.32,0.00,15.40
7399,1.56,3.12,15.04,8,0.78,2173,0.00,0.00,14.64,16,38.36,38.00,1.32,13.20,29.47,2.34,0.00,15.30
7473,0.78,3.12,14.81,8,0.82,2204,0.00,0.00,14.64,16,38.36,38.00,1.34,13.35,30.14,2.34,0.00,14.90
7526,1.56,3.12,14.93,8,0.82,2228,0.00,0.00,14.64,16,38.36,38.00,1.38,13.49,30.69,2.36,0.00,14.90
7593,2.34,3.12,14.93,8,0.84,2252,0.00,0.00,14.64,16,37.66,38.00,1.40,13.49,29.03,2.36,0.00,14.90
7667,2.34,3.12,14.81,8,0.84,2288,0.00,0.00,14.64,16,38.36,37.00,1.40,13.64,31.59,2.40,0.00,14.90
7731,2.34,3.12,14.93,8,0.87,2298,0.00,0.00,13.19,16,38.01,38.00,1.40,13.64,31.92,2.40,0.00,14.90
7795,2.34,3.12,14.81,8,0.84,2339,0.00,0.00,14.65,16,38.36,37.50,1.40,13.64,32.15,2.40,0.00,15.00
7849,2.34,3.12,14.93,8,0.86,2376,0.00,0.00,14.65,16,37.66,38.00,1.42,13.78,33.20,2.42,0.00,15.00
