Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-5.47,1.56,14.47,8,0.23,887,0.00,0.00,14.70,16,9.88,9.50,81,4.50,-10.11,3.34,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
87,-5.47,1.56,14.59,8,0.23,888,0.00,0.00,14.70,16,9.88,9.50,81,4.64,-10.11,3.36,1.24,0.00,-1.08,0.78,0.66,0.00,0.00,14.50
174,-4.69,1.56,14.47,8,0.26,887,0.00,0.00,13.04,16,9.88,9.50,81,4.64,-9.88,3.58,1.30,0.00,-1.08,1.18,0.68,0.00,0.00,14.50
260,-5.47,1.56,14.59,8,0.30,892,0.00,0.00,13.68,16,9.88,9.00,81,4.79,-9.57,4.20,1.34,0.00,-1.08,1.18,0.68,0.00,0.00,14.60
347,-5.47,1.56,14.70,8,0.30,928,0.00,0.00,14.69,16,10.23,8.50,81,5.22,-9.42,4.60,1.36,0.00,-1.08,1.57,0.70,0.00,0.00,14.60
434,-4.69,0.78,14.59,8,0.30,971,0.00,0.00,14.69,16,10.94,10.50,81,5.37,-9.24,4.79,1.38,0.00,-1.08,1.57,0.70,0.00,0.00,14.60
520,-4.69,0.78,14.59,8,0.30,1006,0.00,0.00,14.69,16,11.99,10.50,81,5.51,-9.13,4.94,1.40,0.00,-1.08,1.96,0.72,0.00,0.00,14.70
607,-5.47,0.78,14.59,8,0.31,1066,0.00,0.00,14.69,16,12.70,11.00,81,5.66,-9.03,5.58,1.44,0.00,-1.08,2.35,0.72,0.00,0.00,14.80
694,-5.47,0.78,14.59,8,0.32,1080,0.00,0.00,14.68,16,13.40,12.50,81,5.66,-8.91,5.77,1.46,0.00,-1.08,2.75,0.74,0.00,0.00,14.80
781,-5.47,0.78,14.47,8,0.35,1068,0.00,0.00,14.68,16,14.10,13.00,81,5.80,-8.72,5.94,1.48,0.00,-1.08,2.75,0.74,0.00,0.00,14.80
867,-6.25,0.78,14.36,8,0.37,1062,0.00,0.00,13.73,16,14.45,14.00,81,6.09,-8.45,6.22,1.48,0.00,-1.08,2.75,0.74,0.00,0.00,14.60
954,-6.25,0.78,14.36,8,0.40,963,0.00,0.00,13.72,16,14.80,14.50,81,6.38,-8.14,6.29,1.50,0.00,-1.08,3.14,0.74,0.00,0.00,14.60
1041,-5.47,0.78,14.47,8,0.44,926,0.00,0.00,13.69,16,14.45,14.50,81,6.53,-7.75,6.44,1.50,0.00,-1.08,3.14,0.74,0.00,0.00,14.60
1128,-4.69,0.78,14.59,8,0.47,850,0.00,0.00,13.31,16,13.75,14.00,81,7.25,-7.23,6.77,1.50,0.00,-1.08,3.53,0.76,0.00,0.00,14.70
1214,-5.47,0.78,14.70,8,0.53,829,0.00,0.00,13.27,16,13.40,13.50,81,7.40,-6.73,6.84,1.54,0.00,-1.08,3.92,0.78,0.00,0.00,14.60
1301,-4.69,0.78,14.70,8,0.58,804,0.00,0.00,13.37,16,13.40,13.00,81,7.98,-5.96,7.26,1.58,0.00,-1.08,4.31,0.78,0.00,0.00,14.70
1387,-7.81,0.78,14.01,8,0.61,792,0.00,0.00,13.70,16,13.40,13.00,81,9.00,-5.53,8.11,1.60,0.00,-1.08,4.71,0.80,0.00,0.00,14.70
1474,-10.94,0.00,14.01,8,0.61,808,0.00,0.00,14.63,16,13.75,13.00,81,9.14,-5.14,8.23,1.62,0.00,-1.08,5.10,0.82,0.00,0.00,14.70
1561,-11.72,0.00,13.44,8,0.62,841,0.00,0.00,14.63,16,14.80,13.50,81,9.58,-4.62,8.61,1.66,0.00,-1.08,5.88,0.82,0.00,0.00,14.60
1648,-12.50,0.00,12.98,8,0.61,895,0.00,0.00,14.64,16,15.16,14.00,81,10.16,-4.39,9.61,1.70,0.00,-1.08,5.88,0.84,0.00,0.00,14.20
1735,-12.50,0.00,13.21,8,0.59,994,0.00,0.00,14.64,16,15.51,14.50,81,10.30,-4.33,9.79,1.70,0.00,-1.08,5.88,0.84,0.00,0.00,13.90
1821,-10.16,0.00,13.90,8,0.61,989,0.00,0.00,14.07,16,15.51,15.50,81,10.30,-4.22,9.84,1.70,0.00,-1.08,5.88,0.84,0.00,0.00,13.70
1908,-7.03,0.00,14.59,8,0.62,990,0.00,0.00,14.64,16,15.16,15.50,81,10.45,-4.12,9.97,1.72,0.00,-1.08,5.88,0.84,0.00,0.00,13.90
1995,-4.69,0.00,14.93,8,0.62,970,0.00,0.00,14.64,16,15.16,15.00,81,10.59,-4.00,9.99,1.72,0.00,-1.08,5.88,0.84,0.00,0.00,14.40
2082,-0.78,0.00,16.31,8,0.63,954,0.00,0.00,14.64,16,15.16,15.00,81,10.74,-3.87,9.99,1.72,0.00,-1.08,5.88,0.84,0.00,0.00,15.60
2168,1.56,0.00,16.42,8,0.63,956,0.00,0.00,14.64,16,15.16,15.00,81,10.88,-3.75,10.08,1.72,0.00,-1.08,6.27,0.84,0.00,0.00,15.60
2255,0.78,0.00,17.00,8,0.63,960,0.00,0.00,14.64,16,15.16,14.50,81,10.88,-3.75,10.08,1.72,0.00,-1.08,6.27,0.84,0.00,0.00,16.00
2342,0.00,0.00,16.65,8,0.61,986,0.00,0.00,16.73,16,15.51,15.50,81,11.03,-3.77,10.08,1.72,0.00,-1.08,6.27,0.84,0.00,0.00,16.50
2428,-0.78,0.00,16.08,8,0.60,999,0.00,0.00,14.66,16,15.86,15.50,81,10.88,-3.81,10.17,1.72,0.00,-1.08,6.27,0.84,0.00,0.00,16.50
2516,-0.78,0.00,15.73,8,0.60,1022,0.00,0.00,14.66,16,15.86,15.50,81,10.88,-3.89,10.17,1.72,0.00,-1.08,6.27,0.84,0.00,0.00,16.00
