Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-2.34,-4.69,15.62,8,0.24,858,0.00,0.00,14.70,16,9.88,10.50,113,4.79,-9.90,3.45,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.70
86,-3.12,-4.69,15.50,8,0.24,853,0.00,0.00,14.70,16,9.88,11.00,113,4.79,-9.90,3.39,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,15.70
173,-3.12,-4.69,15.39,8,0.24,858,0.00,0.00,14.70,16,9.88,10.50,113,4.79,-9.92,3.42,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,15.70
260,-2.34,-4.69,15.39,8,0.24,852,0.00,0.00,14.70,16,9.88,10.50,113,4.79,-9.92,3.39,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,15.70
346,-2.34,-4.69,15.50,8,0.24,859,0.00,0.00,14.70,16,9.88,10.00,113,4.79,-9.92,3.39,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,15.60
433,-2.34,-4.69,15.50,8,0.24,861,0.00,0.00,14.70,16,9.88,9.50,111,4.79,-9.96,3.39,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.50
519,-2.34,-4.69,15.27,8,0.23,857,0.00,0.00,14.70,16,9.88,10.00,111,4.79,-9.92,3.38,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.60
606,-1.56,-4.69,15.50,8,0.24,865,0.00,0.00,14.70,16,9.88,9.50,111,4.79,-9.94,3.34,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,15.50
693,-0.78,-4.69,15.62,8,0.24,858,0.00,0.00,14.70,16,9.88,10.00,111,4.79,-9.94,3.39,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,15.50
780,-0.78,-4.69,15.50,8,0.24,838,0.00,0.00,14.70,16,9.88,12.00,111,4.79,-9.92,3.38,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,15.50
867,-0.78,-4.69,15.50,8,0.23,843,0.00,0.00,14.70,16,9.88,11.00,111,4.79,-9.94,3.34,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.50
953,0.00,-4.69,15.50,8,0.23,849,0.00,0.00,14.70,16,9.88,10.50,113,4.79,-9.94,3.34,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.50
1041,-0.78,-4.69,15.39,8,0.23,855,0.00,0.00,14.70,16,9.88,9.50,113,4.79,-9.96,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,15.40
1127,-0.78,-4.69,15.27,8,0.27,858,0.00,0.00,13.51,16,11.29,9.50,113,4.79,-9.32,5.36,1.58,0.00,-1.08,5.10,0.88,0.00,0.00,15.50
1214,-1.56,-4.69,15.16,8,0.57,848,0.00,0.00,10.83,16,15.86,11.00,113,7.69,-7.08,11.57,1.84,0.00,-1.08,8.24,0.92,0.00,0.00,15.60
1301,-1.56,-3.91,15.04,8,0.64,870,0.00,0.00,12.59,16,22.54,19.00,113,8.56,-5.57,13.24,1.88,0.00,-1.08,0.39,0.64,0.00,0.00,15.30
1387,-2.34,-3.91,14.70,8,0.42,985,0.00,0.00,19.27,16,21.13,17.50,113,8.56,-7.17,4.49,1.32,0.00,-1.08,0.00,0.64,0.00,0.00,15.10
1474,-1.56,-3.91,14.59,8,0.32,1165,0.00,0.00,16.51,16,16.56,13.00,111,6.24,-8.39,3.80,1.28,0.00,-1.39,0.00,0.64,0.00,0.00,15.10
1561,-2.34,-3.91,14.36,8,0.28,1380,0.00,0.00,16.15,16,11.99,6.00,111,5.37,-9.55,3.39,1.24,0.00,-1.39,0.00,0.64,0.00,0.00,14.80
1648,-4.69,-3.91,13.67,8,0.20,1409,0.00,0.00,15.64,16,11.29,3.00,111,5.08,-10.13,3.25,1.24,0.00,-1.39,0.00,0.64,0.00,0.00,14.30
1734,-5.47,-4.69,13.78,8,0.19,1371,0.00,0.00,14.71,16,10.94,3.00,113,4.21,-10.56,3.30,1.24,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
1821,-6.25,-4.69,13.55,8,0.18,1310,0.00,0.00,14.71,16,10.59,2.50,113,3.92,-10.77,3.44,1.28,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
