Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%)
0,14.93,0.24,1798,0.00,0.00,16,33.79,34.00,7.25,14.02,-1.39,0.86,13.68,0.00
188,14.70,0.26,1675,0.00,0.00,16,31.33,31.00,7.55,14.60,-1.39,0.86,13.76,0.00
368,14.13,0.28,1593,0.00,0.00,16,30.62,30.00,8.13,14.92,-1.39,0.86,13.68,0.00
571,13.90,0.30,1480,0.00,0.00,16,30.98,30.50,8.56,14.98,-1.39,0.88,13.84,0.00
759,14.01,0.32,1397,0.00,0.00,16,30.27,30.50,9.14,15.11,-1.39,0.88,13.68,0.00
954,13.78,0.34,1378,0.00,0.00,16,30.27,29.50,9.72,15.70,-1.39,0.90,13.76,0.00
1136,14.70,0.34,1439,0.00,0.00,16,30.98,30.50,10.30,15.85,-1.39,0.90,13.84,0.00
1327,14.81,0.33,1516,0.00,0.00,16,32.38,32.00,10.30,16.29,-1.39,0.90,13.76,0.00
1514,14.81,0.33,1571,0.00,0.00,16,33.44,33.00,10.16,16.89,-1.39,0.92,13.84,0.00
1701,14.70,0.32,1621,0.00,0.00,16,33.79,33.50,9.87,17.41,-1.39,0.92,13.84,0.00
1904,14.70,0.32,1664,0.00,0.00,16,34.49,34.00,9.72,17.86,-1.39,0.92,13.84,0.00
2092,14.81,0.33,1660,0.00,0.00,16,35.20,34.50,9.72,18.33,-1.39,0.92,13.84,0.00
2280,14.36,0.34,1631,0.00,0.00,16,35.20,35.00,9.87,18.49,-1.39,0.92,13.76,0.00
2467,14.24,0.36,1535,0.00,0.00,16,33.09,33.00,10.30,18.49,-1.39,0.94,13.84,0.00
2655,13.90,0.36,1586,0.00,0.00,16,34.84,31.50,10.59,18.26,-1.39,0.94,13.76,0.00
2859,14.47,0.34,1670,0.00,0.00,16,35.55,35.50,10.30,18.80,-1.39,0.94,13.76,0.00
3051,14.93,0.32,1853,0.00,0.00,16,37.66,36.50,10.01,19.97,-1.39,0.96,13.68,0.00
3233,14.81,0.33,1941,0.00,0.00,16,38.71,38.00,9.87,20.67,-1.39,0.96,13.68,0.00
3421,14.70,0.32,2016,0.00,0.00,16,40.12,40.00,9.87,21.63,-0.77,0.98,13.76,0.00
3624,14.70,0.35,2159,0.00,0.00,16,41.52,41.50,10.16,24.80,-0.15,1.04,13.76,0.00
3797,14.36,0.36,2290,0.00,0.00,16,41.52,41.00,10.59,27.68,0.46,1.06,13.76,0.00
4002,14.47,0.37,2428,0.00,0.00,16,41.52,41.50,10.59,29.71,0.15,1.06,13.68,0.00
4190,14.24,0.37,2598,0.00,0.00,16,41.52,41.50,10.45,31.49,-0.46,1.06,13.76,0.00
4378,14.01,0.36,2722,0.00,0.00,16,41.88,41.50,10.30,32.40,-1.08,1.06,13.76,0.00
4565,13.78,0.35,2882,0.00,0.00,16,42.23,42.00,10.01,33.22,-1.39,1.04,13.76,0.00
4752,13.67,0.33,3001,0.00,0.00,16,42.58,42.50,9.87,33.10,-1.39,1.04,13.76,0.00
4953,13.21,0.24,3047,0.00,0.00,16,41.17,43.00,9.00,11.07,-3.87,0.64,13.84,0.00
5144,11.48,0.12,2728,0.00,0.00,16,-8.75,-8.50,4.50,11.35,-4.18,0.64,13.84,0.00
5335,13.32,0.14,2343,0.00,0.00,16,1.09,-10.50,3.92,11.71,-3.56,0.64,13.84,0.00
5523,14.93,0.15,1958,0.00,0.00,16,14.10,14.00,3.92,10.47,-1.70,0.64,13.84,0.00
5714,19.87,0.16,1739,0.00,0.00,16,14.10,14.00,4.21,9.13,-1.39,0.64,13.84,0.00
5908,24.69,0.17,1391,0.00,0.00,16,14.10,22.00,4.64,8.19,-1.39,0.64,13.84,0.00
6087,24.00,0.16,1212,0.00,0.00,16,14.10,21.00,5.37,6.77,-1.08,0.64,13.84,33.00
6290,23.54,0.18,1304,0.00,0.00,16,15.86,15.50,5.51,7.70,-1.39,0.76,13.76,32.00
6477,15.85,0.22,1520,0.00,0.00,16,25.70,24.50,6.53,11.15,-1.39,0.82,13.84,30.00
6665,13.21,0.23,1886,0.00,0.00,16,36.60,35.50,7.25,14.22,-1.39,0.86,13.68,28.00
6862,14.81,0.25,1964,0.00,0.00,16,38.36,37.50,7.55,16.36,-1.39,0.90,13.84,26.00
7056,14.93,0.29,1776,0.00,0.00,16,34.84,35.50,7.98,16.88,-1.39,0.90,13.68,25.00
7232,14.24,0.31,1812,0.00,0.00,16,36.25,36.00,8.71,18.96,-1.39,0.94,13.84,23.00
7435,14.59,0.36,1862,0.00,0.00,16,37.30,38.00,9.87,21.63,-0.77,1.02,13.84,22.00
7623,14.47,0.37,1905,0.00,0.00,16,36.95,37.00,10.74,22.96,0.15,1.02,13.76,20.00
7810,14.59,0.38,1930,0.00,0.00,16,37.30,37.00,11.03,24.02,0.15,1.04,13.76,18.00
8008,14.93,0.38,1967,0.00,0.00,16,38.36,37.00,11.17,24.91,0.77,1.04,13.76,16.00
8199,14.81,0.37,2030,0.00,0.00,16,38.71,38.50,11.17,24.80,0.77,1.04,13.76,15.00
11063,13.67,0.25,2728,0.00,0.00,16,44.34,44.00,7.55,22.49,-4.18,0.90,13.76,0.00
11266,13.67,0.24,2744,0.00,0.00,16,44.34,44.00,7.40,22.31,-4.18,0.90,13.84,0.00
11454,13.78,0.24,2755,0.00,0.00,16,44.34,44.00,7.25,21.62,-4.18,0.90,13.76,0.00
11641,13.78,0.23,2767,0.00,0.00,16,44.34,44.00,7.11,21.10,-4.18,0.88,13.84,0.00
11838,13.78,0.22,2776,0.00,0.00,16,44.34,44.00,7.11,21.10,-4.18,0.88,13.76,0.00
12028,13.78,0.23,2806,0.00,0.00,16,44.34,44.00,6.96,21.00,-4.18,0.88,13.84,0.00
12219,13.55,0.21,2816,0.00,0.00,16,44.34,44.00,6.82,19.74,-4.18,0.86,13.84,0.00
12411,13.78,0.20,2830,0.00,0.00,16,44.34,44.00,6.67,19.03,-4.18,0.86,13.84,0.00
12599,13.90,0.20,2818,0.00,0.00,16,44.34,44.00,6.53,18.96,-4.18,0.84,13.84,0.00
12786,13.67,0.20,2825,0.00,0.00,16,42.93,43.00,6.24,18.65,-4.18,0.84,13.84,0.00
12984,13.55,0.18,2849,0.00,0.00,16,34.14,35.50,6.24,17.64,-4.18,0.82,13.76,0.00
13164,13.55,0.18,2836,0.00,0.00,16,31.68,32.00,5.95,16.74,-4.18,0.82,13.84,0.00
13367,13.32,0.16,2818,0.00,0.00,16,20.43,20.00,5.51,15.11,-4.18,0.78,13.76,0.00
13554,12.86,0.15,2820,0.00,0.00,16,15.16,14.00,5.22,14.21,-4.18,0.78,13.84,0.00
13742,12.86,0.14,2812,0.00,0.00,16,5.66,5.00,4.79,12.75,-4.18,0.74,13.76,0.00
13942,12.29,0.13,2770,0.00,0.00,16,-0.31,0.50,4.50,11.88,-4.18,0.72,13.84,0.00
14130,12.40,0.11,2718,0.00,0.00,16,-8.75,-5.50,4.21,10.43,-3.87,0.68,13.76,0.00
14321,12.63,0.12,2674,0.00,0.00,16,-6.64,-7.50,3.92,10.59,-3.87,0.68,13.84,0.00
14508,14.81,0.12,2612,0.00,0.00,16,-8.75,-10.50,4.06,10.28,-3.87,0.66,13.76,0.00
14696,22.62,0.11,2573,0.00,0.00,16,-10.16,-10.50,3.92,9.26,-3.56,0.64,13.76,0.00
14893,25.61,0.11,2532,0.00,0.00,16,-10.16,-10.50,3.77,8.91,-3.56,0.66,13.84,0.00
15075,23.77,0.13,2485,0.00,0.00,16,-9.45,-10.50,3.92,10.54,-3.25,0.70,13.76,0.00
15262,23.89,0.14,2448,0.00,0.00,16,-4.18,-6.00,4.06,11.50,-3.25,0.72,13.84,0.00
15465,13.32,0.15,2415,0.00,0.00,16,3.91,1.00,4.21,11.77,-2.94,0.74,13.84,0.00
