Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,9.38,0.00,14.36,8,0.26,1234,0.00,0.00,12.71,16,10.59,11.50,79,4.79,-9.92,5.35,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
87,9.38,0.00,14.59,8,0.26,1238,0.00,0.00,12.71,16,10.59,11.00,79,4.79,-9.92,5.35,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
174,9.38,0.00,14.36,8,0.26,1232,0.00,0.00,12.71,16,10.59,11.50,79,4.79,-9.92,5.43,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
261,9.38,0.00,14.47,8,0.26,1251,0.00,0.00,12.71,16,10.59,10.00,79,4.79,-9.92,5.39,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
347,9.38,0.00,14.47,8,0.26,1238,0.00,0.00,12.71,16,10.59,9.50,79,4.79,-9.92,5.35,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
434,9.38,0.00,14.47,8,0.26,1224,0.00,0.00,12.71,16,10.59,12.00,79,4.79,-9.92,5.35,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
521,8.59,0.00,14.47,8,0.26,1236,0.00,0.00,12.71,16,10.59,11.00,79,4.79,-9.88,5.39,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
607,9.38,0.00,14.47,8,0.26,1238,0.00,0.00,12.71,16,10.59,11.00,79,4.79,-9.88,5.35,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
695,9.38,0.00,14.59,8,0.26,1224,0.00,0.00,12.71,16,10.59,12.00,79,4.79,-9.88,5.39,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
781,9.38,0.00,14.47,8,0.26,1236,0.00,0.00,12.71,16,10.59,11.00,79,4.79,-9.92,5.39,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,0.00
