Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,13.55,0.21,3204,0.00,0.00,16,44.34,44.00,7.55,22.41,-4.18,0.92
172,13.67,0.21,3194,0.00,0.00,16,44.34,44.00,7.40,21.71,-4.18,0.92
344,13.90,0.21,3200,0.00,0.00,16,44.34,44.00,7.40,22.41,-4.18,0.92
515,13.44,0.21,3180,0.00,0.00,16,44.34,44.00,7.40,21.80,-4.18,0.92
687,13.78,0.20,3183,0.00,0.00,16,43.63,44.00,7.25,21.19,-4.18,0.90
859,13.55,0.19,3198,0.00,0.00,16,43.28,37.50,7.11,19.74,-4.18,0.90
1046,13.78,0.20,3187,0.00,0.00,16,41.52,42.50,7.11,21.27,-4.18,0.90
1218,13.44,0.19,3184,0.00,0.00,16,40.47,40.00,6.96,20.49,-4.18,0.90
1390,13.78,0.19,3198,0.00,0.00,16,36.25,42.00,6.96,20.92,-4.18,0.90
1562,13.67,0.20,3178,0.00,0.00,16,41.52,42.50,6.96,20.67,-4.18,0.90
1734,13.32,0.20,3182,0.00,0.00,16,37.66,36.00,6.82,19.42,-4.18,0.90
1906,14.01,0.17,3194,0.00,0.00,16,36.95,34.00,6.82,19.35,-4.18,0.88
2078,14.01,0.17,3190,0.00,0.00,16,35.20,35.50,6.82,19.66,-4.18,0.88
2265,13.67,0.18,3194,0.00,0.00,16,33.79,35.50,6.82,19.81,-4.18,0.88
2422,13.78,0.18,3170,0.00,0.00,16,29.22,34.00,6.82,19.42,-4.18,0.88
2609,14.13,0.19,3187,0.00,0.00,16,36.60,28.50,6.82,19.89,-4.18,0.88
2781,13.90,0.18,3191,0.00,0.00,16,34.49,36.50,6.82,19.82,-4.18,0.90
2953,13.55,0.18,3167,0.00,0.00,16,30.98,32.00,6.82,19.04,-4.18,0.90
3125,14.13,0.18,3180,0.00,0.00,16,34.84,31.00,6.82,19.51,-4.18,0.90
3296,14.13,0.18,3166,0.00,0.00,16,30.98,36.50,6.82,18.80,-4.18,0.90
3468,14.01,0.18,3178,0.00,0.00,16,32.38,33.50,6.82,19.35,-4.18,0.90
3656,13.78,0.18,3159,0.00,0.00,16,34.14,36.00,6.96,19.97,-4.18,0.90
3828,14.59,0.18,3151,0.00,0.00,16,33.79,34.00,6.82,19.35,-4.18,0.90
3999,14.59,0.19,3179,0.00,0.00,16,40.82,38.50,6.96,20.15,-4.18,0.90
4171,14.59,0.19,3166,0.00,0.00,16,35.90,43.00,6.96,19.42,-4.18,0.90
4343,14.01,0.20,3166,0.00,0.00,16,41.88,40.50,6.96,20.49,-4.18,0.90
4515,14.01,0.19,3151,0.00,0.00,16,39.41,36.00,7.11,19.96,-4.18,0.90
4687,14.47,0.18,3144,0.00,0.00,16,30.27,32.00,7.11,19.26,-4.18,0.90
4859,14.70,0.20,3144,0.00,0.00,16,43.28,35.50,7.11,19.50,-4.18,0.92
5031,14.70,0.20,3167,0.00,0.00,16,41.52,30.50,7.25,18.71,-4.18,0.92
5218,14.47,0.21,3163,0.00,0.00,16,44.34,43.50,7.40,21.63,-4.18,0.92
5379,14.13,0.20,3166,0.00,0.00,16,44.34,44.00,7.40,22.31,-4.18,0.92
5566,13.78,0.21,3143,0.00,0.00,16,44.34,44.00,7.40,21.89,-4.18,0.92
5738,14.24,0.21,3144,0.00,0.00,16,44.34,44.00,7.55,22.42,-4.18,0.94
5910,14.13,0.22,3166,0.00,0.00,16,44.34,44.00,7.55,23.05,-4.18,0.94
6082,13.55,0.22,3160,0.00,0.00,16,44.34,44.00,7.55,23.53,-4.18,0.94
6254,13.67,0.22,3159,0.00,0.00,16,44.34,44.00,7.55,23.34,-4.18,0.94
9123,13.78,0.24,3146,0.00,0.00,16,44.34,44.00,8.13,25.20,-4.18,0.96
9287,13.67,0.23,3163,0.00,0.00,16,44.34,44.00,8.13,23.73,-4.18,0.96
9459,14.01,0.24,3140,0.00,0.00,16,44.34,44.00,8.13,25.11,-4.18,0.96
9631,13.55,0.24,3155,0.00,0.00,16,44.34,44.00,8.13,23.74,-4.18,0.96
9803,13.90,0.24,3148,0.00,0.00,16,44.34,44.00,8.27,25.68,-3.87,0.98
9987,14.01,0.25,3143,0.00,0.00,16,44.34,44.00,8.42,25.78,-3.87,0.98
10156,14.24,0.24,3144,0.00,0.00,16,44.34,44.00,8.42,26.09,-3.87,0.96
10328,14.13,0.24,3166,0.00,0.00,16,44.34,44.00,8.42,25.58,-3.87,0.96
10504,13.90,0.23,3166,0.00,0.00,16,44.34,44.00,8.42,25.80,-3.87,0.96
10676,13.90,0.25,3167,0.00,0.00,16,44.34,44.00,8.42,25.89,-3.87,0.96
10848,13.67,0.25,3148,0.00,0.00,16,44.34,44.00,8.27,25.99,-4.18,0.96
11020,13.67,0.27,3148,0.00,0.00,16,44.34,44.00,8.27,25.79,-3.87,0.96
11207,13.55,0.25,3171,0.00,0.00,16,44.34,44.00,8.27,25.89,-3.87,0.96
11379,13.67,0.24,3168,0.00,0.00,16,44.34,44.00,8.27,26.10,-3.87,0.96
11551,13.67,0.25,3170,0.00,0.00,16,44.34,44.00,8.27,25.59,-3.87,0.96
11723,13.44,0.22,3151,0.00,0.00,16,44.34,44.00,8.27,23.34,-3.87,0.96
14555,13.67,0.27,3140,0.00,0.00,16,44.34,44.00,8.71,27.57,-3.25,1.00
14742,13.67,0.28,3163,0.00,0.00,16,43.98,44.00,8.85,28.73,-3.25,1.00
14914,13.67,0.25,3143,0.00,0.00,16,44.34,44.00,8.85,27.89,-3.25,1.00
15086,13.78,0.27,3155,0.00,0.00,16,44.34,44.00,8.85,28.94,-3.25,1.00
15258,13.78,0.28,3144,0.00,0.00,16,43.98,43.50,9.00,29.15,-3.25,1.00
15433,13.78,0.27,3143,0.00,0.00,16,44.34,43.50,9.14,28.84,-3.25,1.00
15605,13.55,0.28,3142,0.00,0.00,16,43.98,43.50,9.14,29.15,-3.25,1.00
15777,13.67,0.28,3162,0.00,0.00,16,43.98,43.50,9.14,29.27,-2.63,1.00
15949,13.67,0.27,3160,0.00,0.00,16,43.98,43.50,9.14,29.71,-3.25,1.00
16121,13.44,0.28,3163,0.00,0.00,16,44.34,43.50,9.14,29.49,-3.25,1.00
16308,13.90,0.28,3143,0.00,0.00,16,43.98,44.00,9.14,28.41,-3.25,1.00
16480,14.01,0.28,3142,0.00,0.00,16,43.98,44.00,9.14,29.60,-3.25,1.00
16652,13.90,0.28,3146,0.00,0.00,16,43.98,43.50,9.29,30.26,-2.63,1.00
16824,13.67,0.28,3160,0.00,0.00,16,43.98,43.50,9.14,29.26,-3.25,1.00
16996,13.78,0.27,3164,0.00,0.00,16,44.34,43.50,9.29,28.95,-2.63,1.00
17168,13.90,0.29,3163,0.00,0.00,16,43.98,43.50,9.29,29.38,-2.63,1.00
