Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,5.47,0.00,15.96,8,185,0.81,1937,63.9,35.4,0.00,0.00,14.28,16,32.73,32.50,73,12.04,-2.71,26.19,2.24,0.00,-1.70,1.14,0.00,0.00,99.90
95,7.81,0.00,16.19,8,185,0.81,1986,63.9,34.0,0.00,0.00,14.61,16,33.44,33.00,73,12.33,-2.38,26.86,2.26,0.00,-1.70,1.16,0.00,0.00,99.90
191,7.03,0.00,15.85,8,185,0.82,1994,63.9,33.6,0.00,0.00,14.62,16,33.44,33.00,73,12.48,-2.26,27.10,2.26,0.00,-1.70,1.16,0.00,0.00,99.90
287,8.59,0.00,15.27,8,185,0.81,1994,63.9,33.6,0.00,0.00,14.62,16,33.44,33.00,73,12.48,-2.17,27.33,2.28,0.00,-1.70,1.16,0.00,0.00,99.90
383,8.59,0.00,15.27,8,185,0.81,2051,63.9,33.4,0.00,0.00,14.63,16,34.14,34.00,73,12.62,-2.15,27.81,2.28,0.00,-1.70,1.16,0.00,0.00,99.90
479,8.59,0.00,15.27,8,185,0.82,2065,63.9,33.4,0.00,0.00,14.63,16,33.79,33.50,73,12.62,-2.13,28.16,2.30,0.00,-1.70,1.18,0.00,0.00,99.90
575,8.59,0.00,15.04,8,185,0.82,2072,63.9,33.4,0.00,0.00,14.64,16,34.14,34.00,73,12.62,-2.05,28.74,2.30,0.00,-1.70,1.18,0.00,0.00,99.90
671,7.81,0.00,14.70,8,185,0.82,2147,63.9,33.1,0.00,0.00,14.64,16,34.49,34.00,73,12.62,-2.07,29.32,2.30,0.00,-1.70,1.18,0.00,0.00,99.90
767,7.81,0.00,14.59,8,185,0.83,2135,63.9,33.2,0.00,0.00,14.64,16,34.49,34.00,73,12.77,-2.03,29.91,2.32,0.00,-1.70,1.18,0.00,0.00,99.90
863,8.59,0.00,14.70,8,185,0.85,2197,63.9,32.9,0.00,0.00,14.64,16,34.49,34.50,73,12.77,-1.91,31.05,2.32,0.00,-1.70,1.20,0.00,0.00,99.90
959,8.59,0.00,14.70,8,185,0.88,2213,63.9,32.9,0.00,0.00,14.65,16,34.49,34.00,73,12.91,-1.90,32.13,2.36,0.00,-1.70,1.20,0.00,0.00,99.90
1055,7.03,0.00,14.47,8,185,0.90,2235,63.9,32.9,0.00,0.00,14.43,16,34.14,34.00,73,12.91,-1.76,33.39,2.36,0.00,-1.70,1.22,0.00,0.00,99.90
1152,6.25,0.00,14.24,8,185,0.91,2284,63.9,32.9,0.00,0.00,14.30,16,34.14,34.50,73,13.06,-1.66,34.84,2.40,0.00,-1.70,1.24,0.00,0.00,99.90
1247,5.47,0.00,14.13,8,185,0.93,2310,63.9,33.0,0.00,0.00,14.45,16,34.14,33.50,73,13.20,-1.59,35.74,2.40,0.00,-1.70,1.24,0.00,0.00,99.90
1343,3.91,0.00,14.13,8,185,0.94,2324,63.9,33.0,0.00,0.00,13.17,16,34.49,33.50,73,13.20,-1.47,36.87,2.42,0.00,-1.70,1.26,0.00,0.00,99.90
1439,4.69,0.00,14.24,8,185,0.95,2384,63.9,33.0,0.00,0.00,14.66,16,34.49,34.00,73,13.20,-1.41,37.54,2.44,0.00,-1.70,1.26,0.00,0.00,99.90
1535,3.12,0.00,13.90,8,185,0.95,2387,63.9,33.0,0.00,0.00,14.66,16,34.49,34.00,73,13.35,-1.37,38.23,2.44,0.00,-1.70,1.26,0.00,0.00,99.90
1632,3.12,0.00,13.78,8,185,0.96,2426,63.9,33.0,0.00,0.00,14.66,16,34.84,34.00,73,13.35,-1.35,38.90,2.46,0.00,-1.70,1.26,0.00,0.00,99.90
1727,3.12,0.00,14.36,8,185,0.97,2460,63.9,33.0,0.00,0.00,14.66,16,35.20,34.00,73,13.35,-1.31,39.85,2.46,0.00,-1.70,1.26,0.00,0.00,99.90
1823,1.56,0.00,14.13,8,185,0.95,2484,63.9,33.0,0.00,0.00,14.66,16,35.20,34.50,73,13.49,-1.30,40.39,2.48,0.00,-1.70,1.26,0.00,0.00,99.90
1919,1.56,0.00,14.36,8,185,0.97,2508,63.9,33.0,0.00,0.00,14.44,16,35.20,34.00,73,13.49,-1.28,40.53,2.48,0.00,-1.70,1.28,0.00,0.00,99.90
2015,2.34,0.00,14.59,8,185,0.97,2552,63.9,33.0,0.00,0.00,14.46,16,35.55,34.50,73,13.49,-1.24,41.48,2.50,0.00,-1.70,1.28,0.00,0.00,99.90
2112,2.34,0.00,14.70,8,185,0.96,2604,63.9,33.0,0.00,0.00,14.67,16,35.55,35.00,73,13.49,-1.20,41.47,2.52,0.00,-1.70,1.28,0.00,0.00,99.90
2207,2.34,0.00,14.70,8,185,0.98,2628,63.9,33.0,0.00,0.00,14.43,16,35.55,35.00,73,13.49,-1.18,42.60,2.52,0.00,-1.70,1.28,0.00,0.00,99.90
