Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,23.92,180,0.18,2568,0.00,0.00,-0.059,16,7.86,-3.00,0.00
172,23.77,180,0.17,2560,0.00,0.00,-0.059,16,7.10,-2.92,0.00
345,24.08,180,0.17,2548,0.00,0.00,-0.059,16,6.34,-2.90,0.00
517,24.08,180,0.18,2528,0.00,0.00,-0.059,16,8.15,-2.88,0.00
704,23.65,180,0.20,2528,0.00,0.00,-0.059,16,8.56,-2.88,0.00
876,23.51,180,0.20,2515,0.00,0.00,-0.063,16,8.31,-2.84,0.39
1048,23.82,180,0.19,2490,0.00,0.00,-0.059,16,7.99,-2.78,0.39
1220,23.58,180,0.19,2492,0.00,0.00,-0.059,16,8.40,-2.73,0.39
1392,23.82,180,0.18,2484,0.00,0.00,-0.059,16,7.86,-2.75,1.18
1564,23.74,180,0.19,2464,0.00,0.00,-0.059,16,7.26,-2.69,1.96
1736,23.45,180,0.23,2455,0.00,0.00,-0.059,16,9.67,-2.65,2.75
1907,18.62,180,0.24,2427,0.00,0.00,-0.059,16,9.99,-2.69,3.53
2079,15.12,180,0.24,2440,0.00,0.00,-0.059,16,9.62,-2.22,4.31
2251,15.83,181,0.26,2466,0.00,0.00,-0.059,16,12.12,-2.40,4.71
2423,16.46,181,0.29,2433,0.00,0.00,-0.059,16,12.31,-2.51,5.49
2610,13.92,181,0.32,2439,0.00,0.00,-0.059,16,13.66,-2.48,5.49
2782,13.36,181,0.34,2437,0.00,0.00,-0.059,16,14.99,-2.44,6.27
2954,13.05,181,0.36,2440,0.00,0.00,-0.059,16,14.74,-2.19,6.27
3126,12.95,181,0.37,2418,0.00,0.00,-0.059,16,15.26,-2.15,6.67
3298,14.00,181,0.39,2410,0.00,0.00,-0.059,16,16.82,-2.30,7.06
3470,14.16,181,0.40,2434,0.00,0.00,-0.059,16,16.74,-1.95,7.06
3642,14.62,181,0.41,2413,0.00,0.00,-0.059,16,17.72,-2.07,7.45
3829,14.87,181,0.45,2418,0.00,0.00,-0.059,16,18.91,-2.15,7.45
4001,13.35,181,0.42,2404,0.00,0.00,-0.059,16,15.60,-2.09,7.84
4173,14.70,181,0.42,2403,0.00,0.00,-0.059,16,16.51,-1.91,7.84
4345,15.67,181,0.44,2408,0.00,0.00,-0.059,16,18.50,-2.19,7.84
4517,14.43,181,0.45,2396,0.00,0.00,-0.059,16,17.74,-1.95,7.84
4689,14.13,181,0.47,2400,0.00,0.00,-0.059,16,18.99,-1.88,7.84
4860,14.16,181,0.47,2409,0.00,0.00,-0.059,16,19.23,-2.01,7.45
5048,14.36,181,0.44,2420,0.00,0.00,-0.059,16,16.90,-2.19,7.06
5220,14.49,181,0.41,2394,0.00,0.00,-0.059,16,16.14,-1.76,6.27
5392,15.04,181,0.40,2398,0.00,0.00,-0.059,16,16.59,-1.91,6.27
5563,14.76,181,0.38,2416,0.00,0.00,-0.059,16,14.68,-2.11,6.27
5739,14.54,183,0.39,2393,0.00,0.00,-0.059,16,15.06,-1.76,6.27
5911,14.60,183,0.35,2393,0.00,0.00,-0.059,16,12.64,-1.90,6.27
6083,14.83,183,0.34,2407,0.00,0.00,-0.059,16,11.90,-1.70,6.27
6258,16.20,183,0.35,2375,0.00,0.00,-0.059,16,13.30,-1.55,6.27
6430,14.65,183,0.36,2372,0.00,0.00,-0.059,16,15.33,-1.55,6.27
6602,13.51,183,0.37,2376,0.00,0.00,-0.059,16,15.28,-1.55,6.27
6774,14.35,183,0.36,2372,0.00,0.00,-0.059,16,14.02,-1.55,6.27
6945,14.41,183,0.36,2386,0.00,0.00,-0.059,16,15.26,-1.55,6.27
7117,14.40,183,0.38,2363,0.00,0.00,-0.059,16,15.99,-1.55,6.27
7289,14.43,183,0.35,2371,0.00,0.00,-0.056,16,14.60,-1.55,5.88
