Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-3.12,0.00,15.16,7,180,0.58,1917,64.4,39.9,0.00,0.00,14.65,16,34.14,34.00,77,8.85,-5.80,18.02,2.06,0.00,-2.01,0.98,0.00,0.00,99.90
96,-0.78,0.00,15.27,7,180,0.61,1875,64.4,39.9,0.00,0.00,14.17,16,33.79,33.50,77,9.14,-5.55,18.49,2.08,0.00,-2.01,1.00,0.00,0.00,99.90
191,1.56,0.00,15.96,7,180,0.64,1863,64.4,39.3,0.00,0.00,14.64,16,33.44,33.00,77,9.43,-5.12,19.20,2.10,0.00,-2.01,1.00,0.00,0.00,99.90
287,2.34,0.00,15.85,7,180,0.67,1839,64.4,38.5,0.00,0.00,14.63,16,33.09,33.00,77,10.01,-4.76,20.25,2.12,0.00,-2.01,1.02,0.00,0.00,99.90
383,1.56,0.00,15.39,7,180,0.69,1828,64.4,37.8,0.00,0.00,14.63,16,32.73,33.00,77,10.16,-4.47,20.54,2.12,0.00,-2.01,1.04,0.00,0.00,99.90
479,4.69,0.00,15.50,7,180,0.73,1850,64.4,37.8,0.00,0.00,14.03,16,32.38,32.50,77,10.59,-4.14,21.19,2.16,0.00,-2.01,1.06,0.00,0.00,99.90
575,4.69,0.00,15.62,7,180,0.75,1759,64.4,37.3,0.00,0.00,14.62,16,32.38,32.00,77,10.88,-3.69,21.86,2.18,0.00,-2.01,1.06,0.00,0.00,99.90
671,5.47,0.00,15.50,7,180,0.76,1770,64.4,36.2,0.00,0.00,14.63,16,32.38,32.00,77,11.46,-3.31,22.22,2.18,0.00,-2.01,1.08,0.00,0.00,99.90
767,4.69,0.00,15.16,7,180,0.75,1794,64.4,35.7,0.00,0.00,14.63,16,32.73,32.00,77,11.46,-3.17,22.61,2.18,0.00,-2.01,1.08,0.00,0.00,99.90
862,7.03,0.00,15.27,7,180,0.77,1796,64.4,35.7,0.00,0.00,14.64,16,32.38,32.00,77,11.75,-3.06,22.70,2.18,0.00,-2.01,1.08,0.00,0.00,99.90
