Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,13.78,0.17,1364,0.00,0.00,16,14.10,17.50,5.37,-9.32,7.54,-1.39,0.64
203,13.78,0.16,1360,0.00,0.00,16,14.10,16.50,5.37,-9.32,7.41,-1.39,0.64
391,14.01,0.17,1344,0.00,0.00,16,14.10,17.50,5.37,-9.30,7.54,-1.39,0.64
578,14.01,0.16,1365,0.00,0.00,16,14.10,15.50,5.37,-9.28,7.50,-1.39,0.64
766,14.01,0.17,1338,0.00,0.00,16,14.10,18.00,5.37,-9.28,7.54,-1.39,0.64
969,14.13,0.17,1344,0.00,0.00,16,14.10,16.00,5.37,-9.28,7.50,-1.39,0.64
1157,14.01,0.17,1350,0.00,0.00,16,14.10,17.50,5.37,-9.28,7.57,-1.39,0.64
1344,13.90,0.17,1347,0.00,0.00,16,14.10,16.50,5.37,-9.26,7.50,-1.39,0.64
1532,13.90,0.17,1344,0.00,0.00,16,14.10,17.00,5.37,-9.26,7.54,-1.39,0.64
1751,14.13,0.17,1347,0.00,0.00,16,14.10,16.50,5.37,-9.26,7.46,-1.39,0.64
1938,14.24,0.17,1332,0.00,0.00,16,14.10,17.00,5.51,-9.24,7.57,-1.39,0.64
2141,14.13,0.17,1354,0.00,0.00,16,14.10,17.50,5.51,-9.22,7.57,-1.39,0.64
2328,14.01,0.17,1340,0.00,0.00,16,14.10,17.00,5.51,-9.17,7.82,-1.39,0.64
2518,14.01,0.17,1350,0.00,0.00,16,14.10,16.50,5.51,-9.11,7.90,-1.39,0.64
2706,14.24,0.17,1371,0.00,0.00,16,14.10,14.00,5.66,-9.09,7.90,-1.39,0.64
2893,14.36,0.18,1351,0.00,0.00,16,14.10,16.50,5.66,-9.03,8.06,-1.39,0.64
3096,14.36,0.18,1363,0.00,0.00,16,14.10,15.50,5.66,-8.99,8.14,-1.39,0.64
3284,14.24,0.17,1374,0.00,0.00,16,14.10,15.00,5.66,-8.99,7.98,-1.39,0.64
3471,14.36,0.18,1372,0.00,0.00,16,14.10,15.50,5.66,-9.01,8.06,-1.39,0.64
3659,14.47,0.18,1373,0.00,0.00,16,14.10,15.50,5.66,-9.01,8.14,-1.39,0.64
3862,14.36,0.17,1391,0.00,0.00,16,14.10,14.00,5.66,-9.01,8.06,-1.39,0.64
4050,14.24,0.17,1373,0.00,0.00,16,14.10,16.50,5.66,-9.05,7.98,-1.39,0.64
4237,14.24,0.17,1388,0.00,0.00,16,14.10,15.50,5.66,-9.03,7.98,-1.39,0.64
4425,14.24,0.17,1386,0.00,0.00,16,14.10,16.00,5.66,-9.05,8.06,-1.39,0.64
4617,14.24,0.17,1372,0.00,0.00,16,14.10,16.50,5.66,-9.05,7.98,-1.39,0.64
4820,14.24,0.17,1382,0.00,0.00,16,14.10,15.50,5.66,-9.05,7.98,-1.39,0.64
5008,14.24,0.17,1373,0.00,0.00,16,14.10,16.50,5.66,-9.05,7.98,-1.39,0.64
5198,14.13,0.17,1378,0.00,0.00,16,14.10,15.50,5.66,-9.07,7.94,-1.39,0.64
5386,14.13,0.17,1391,0.00,0.00,16,14.10,15.50,5.66,-9.11,7.86,-1.39,0.64
5578,14.24,0.17,1382,0.00,0.00,16,14.10,16.00,5.66,-9.09,7.90,-1.39,0.64
5765,14.24,0.17,1379,0.00,0.00,16,14.10,16.50,5.66,-9.11,7.90,-1.39,0.64
5968,14.24,0.17,1369,0.00,0.00,16,14.10,17.50,5.66,-9.09,7.90,-1.39,0.64
6156,14.24,0.17,1389,0.00,0.00,16,14.10,15.50,5.66,-9.11,7.90,-1.39,0.64
6348,14.13,0.17,1381,0.00,0.00,16,14.10,16.50,5.51,-9.17,7.90,-1.39,0.64
6536,14.01,0.17,1388,0.00,0.00,16,14.10,15.50,5.51,-9.18,7.74,-1.39,0.64
6723,13.90,0.17,1370,0.00,0.00,16,14.10,17.50,5.51,-9.18,7.78,-1.39,0.64
6911,14.13,0.17,1377,0.00,0.00,16,14.10,16.00,5.51,-9.18,7.82,-1.39,0.64
7114,14.24,0.17,1377,0.00,0.00,16,14.10,16.50,5.51,-9.17,7.78,-1.39,0.64
7301,14.13,0.17,1384,0.00,0.00,16,14.10,15.50,5.51,-9.18,7.74,-1.39,0.64
7489,14.01,0.17,1380,0.00,0.00,16,14.10,16.50,5.51,-9.20,7.70,-1.39,0.64
7676,14.13,0.17,1380,0.00,0.00,16,14.10,16.00,5.51,-9.18,7.74,-1.39,0.64
7880,14.13,0.17,1379,0.00,0.00,16,14.10,16.00,5.51,-9.18,7.66,-1.39,0.64
8067,14.01,0.17,1362,0.00,0.00,16,14.10,17.50,5.51,-9.18,7.74,-1.39,0.64
8255,14.13,0.17,1375,0.00,0.00,16,14.10,16.00,5.51,-9.18,7.74,-1.39,0.64
8442,14.24,0.17,1362,0.00,0.00,16,14.10,17.00,5.51,-9.17,7.70,-1.39,0.64
8645,14.13,0.17,1363,0.00,0.00,16,14.10,16.50,5.51,-9.17,7.62,-1.39,0.64
8833,14.01,0.17,1360,0.00,0.00,16,14.10,17.00,5.51,-9.17,7.66,-1.39,0.64
9020,14.24,0.17,1362,0.00,0.00,16,14.10,16.50,5.51,-9.17,7.62,-1.39,0.64
9208,14.36,0.17,1368,0.00,0.00,16,14.10,17.00,5.51,-9.17,7.70,-1.39,0.64
9411,14.24,0.17,1362,0.00,0.00,16,14.10,15.00,5.51,-9.17,7.66,-1.39,0.64
9614,14.24,0.17,1357,0.00,0.00,16,14.10,16.50,5.51,-9.17,7.70,-1.39,0.64
9802,14.36,0.17,1362,0.00,0.00,16,14.10,17.00,5.51,-9.13,7.66,-1.39,0.64
10005,14.36,0.17,1360,0.00,0.00,16,14.10,16.50,5.66,-9.09,7.66,-1.39,0.64
10193,14.36,0.17,1354,0.00,0.00,16,14.10,16.50,5.66,-9.09,7.74,-1.39,0.64
10380,14.47,0.17,1361,0.00,0.00,16,14.10,16.00,5.51,-9.13,7.78,-1.39,0.64
10568,14.36,0.17,1370,0.00,0.00,16,14.10,15.50,5.51,-9.17,7.66,-1.39,0.64
10755,14.24,0.17,1356,0.00,0.00,16,14.10,16.50,5.51,-9.15,7.78,-1.39,0.64
10958,14.13,0.17,1355,0.00,0.00,16,14.10,16.50,5.51,-9.15,7.74,-1.39,0.64
11146,14.24,0.17,1359,0.00,0.00,16,14.10,16.50,5.51,-9.15,7.66,-1.39,0.64
11333,14.13,0.17,1366,0.00,0.00,16,14.10,15.50,5.66,-9.11,7.78,-1.39,0.64
11521,14.24,0.17,1367,0.00,0.00,16,14.10,15.50,5.51,-9.17,7.70,-1.39,0.64
11724,14.13,0.17,1362,0.00,0.00,16,14.10,16.00,5.51,-9.15,7.74,-1.39,0.64
11912,14.13,0.17,1361,0.00,0.00,16,14.10,15.50,5.51,-9.13,7.62,-1.39,0.64
12099,14.13,0.17,1346,0.00,0.00,16,14.10,17.50,5.51,-9.13,7.74,-1.39,0.64
12287,14.36,0.17,1354,0.00,0.00,16,14.10,16.50,5.51,-9.11,7.70,-1.39,0.64
12490,14.36,0.17,1353,0.00,0.00,16,14.10,16.50,5.66,-9.11,7.74,-1.39,0.64
12666,14.24,0.17,1348,0.00,0.00,16,14.10,16.50,5.51,-9.11,7.74,-1.39,0.64
12853,14.24,0.17,1358,0.00,0.00,16,14.10,15.50,5.66,-9.09,7.74,-1.39,0.64
13056,14.24,0.17,1345,0.00,0.00,16,14.10,17.00,5.66,-9.11,7.66,-1.39,0.64
13248,14.24,0.17,1340,0.00,0.00,16,14.10,17.50,5.66,-9.09,7.74,-1.39,0.64
13436,14.13,0.18,1276,0.00,0.00,16,14.10,23.00,5.66,-9.03,7.78,-1.39,0.64
13623,14.24,0.18,1308,0.00,0.00,16,14.10,18.50,5.80,-8.89,8.06,-1.39,0.64
13814,14.01,0.18,1325,0.00,0.00,16,14.10,16.50,5.80,-8.84,8.14,-1.39,0.64
14017,14.13,0.19,1334,0.00,0.00,16,14.10,15.50,5.95,-8.80,8.31,-1.39,0.64
14205,14.36,0.19,1334,0.00,0.00,16,14.10,15.50,5.95,-8.68,8.65,-1.39,0.64
14392,14.36,0.19,1335,0.00,0.00,16,14.10,14.50,6.09,-8.62,8.65,-1.39,0.64
14580,14.47,0.18,1353,0.00,0.00,16,14.10,14.00,6.09,-8.62,8.39,-1.39,0.64
14783,14.47,0.19,1362,0.00,0.00,16,14.10,16.50,6.09,-8.64,8.56,-1.39,0.64
14960,14.70,0.19,1348,0.00,0.00,16,14.10,15.50,6.09,-8.60,8.60,-1.39,0.64
15163,14.59,0.19,1363,0.00,0.00,16,14.10,14.50,6.09,-8.66,8.47,-1.39,0.64
15367,14.36,0.19,1356,0.00,0.00,16,14.10,16.00,6.09,-8.64,8.52,-1.39,0.64
15555,14.36,0.19,1368,0.00,0.00,16,14.10,15.00,5.95,-8.66,8.47,-1.39,0.64
15758,14.36,0.19,1365,0.00,0.00,16,14.10,15.50,5.95,-8.66,8.52,-1.39,0.64
15946,14.24,0.18,1378,0.00,0.00,16,14.10,14.50,5.95,-8.68,8.39,-1.39,0.64
16134,14.13,0.18,1372,0.00,0.00,16,14.10,15.50,5.95,-8.72,8.47,-1.39,0.64
16321,14.36,0.18,1408,0.00,0.00,16,14.10,12.00,5.95,-8.74,8.47,-1.39,0.64
16524,14.13,0.18,1401,0.00,0.00,16,14.10,14.00,5.95,-8.82,8.39,-1.39,0.64
16712,14.13,0.18,1417,0.00,0.00,16,14.10,13.00,5.80,-8.88,8.23,-1.39,0.64
16899,14.01,0.18,1424,0.00,0.00,16,14.10,13.00,5.80,-8.89,8.31,-1.39,0.64
17087,14.01,0.17,1402,0.00,0.00,16,14.10,16.00,5.66,-8.99,8.14,-1.39,0.64
17274,14.01,0.18,1389,0.00,0.00,16,14.10,17.00,5.80,-8.91,8.23,-1.39,0.64
17465,14.01,0.17,1392,0.00,0.00,16,14.10,17.00,5.80,-8.93,8.06,-1.39,0.64
17653,14.01,0.18,1378,0.00,0.00,16,14.10,16.00,5.80,-8.97,8.14,-1.39,0.64
17856,14.01,0.18,1394,0.00,0.00,16,14.10,15.50,5.66,-8.97,8.14,-1.39,0.64
18043,14.01,0.17,1389,0.00,0.00,16,14.10,16.50,5.66,-9.01,7.98,-1.39,0.64
