Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.81,0.26,3304,0.00,0.00,16,44.34,43.50,8.71,-6.01,28.74,-3.35,1.00
191,14.70,0.26,3307,0.00,0.00,16,44.34,43.50,8.71,-6.03,28.63,-3.35,1.00
381,14.70,0.26,3301,0.00,0.00,16,44.34,43.50,8.71,-6.01,28.52,-3.35,0.98
572,14.59,0.26,3301,0.00,0.00,16,44.34,43.50,8.71,-6.07,28.31,-3.94,0.98
766,14.36,0.26,3286,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.09,-3.94,0.98
954,14.70,0.26,3284,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.85,-3.35,0.98
1148,14.36,0.24,3302,0.00,0.00,16,44.34,43.50,8.56,-6.11,27.89,-3.94,0.98
1337,14.81,0.26,3298,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.52,-3.94,0.98
1530,14.70,0.26,3301,0.00,0.00,16,44.34,43.50,8.56,-6.09,28.31,-3.94,0.98
1720,14.59,0.24,3285,0.00,0.00,16,44.34,43.50,8.56,-6.13,28.09,-3.94,0.98
1911,14.70,0.26,3276,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.41,-3.94,0.98
2102,14.59,0.26,3301,0.00,0.00,16,44.34,43.50,8.56,-6.13,28.09,-3.94,0.98
2296,14.70,0.26,3302,0.00,0.00,16,44.34,43.50,8.56,-6.13,28.20,-3.94,0.98
2486,14.81,0.26,3278,0.00,0.00,16,44.34,43.50,8.56,-6.11,27.89,-3.35,0.98
2676,14.70,0.25,3296,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.41,-3.94,0.98
2872,14.70,0.26,3284,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.52,-3.35,0.98
3062,14.47,0.26,3280,0.00,0.00,16,44.34,43.50,8.56,-6.13,27.79,-3.94,0.98
3251,14.59,0.26,3301,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.09,-3.35,0.98
3444,14.70,0.26,3299,0.00,0.00,16,44.34,43.50,8.56,-6.13,27.15,-3.35,0.98
3635,14.81,0.26,3302,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.09,-3.35,0.98
3825,14.59,0.26,3278,0.00,0.00,16,44.34,43.50,8.56,-6.13,28.20,-3.94,0.98
4017,14.36,0.25,3278,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.31,-3.94,0.98
4205,14.70,0.26,3296,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.09,-3.35,0.98
4400,14.47,0.26,3299,0.00,0.00,16,44.34,43.50,8.56,-6.11,28.41,-3.94,0.98
4590,14.81,0.26,3275,0.00,0.00,16,44.34,43.50,8.56,-6.11,27.89,-3.94,0.98
4781,14.59,0.26,3276,0.00,0.00,16,44.34,43.50,8.56,-6.09,28.31,-3.35,0.98
4973,14.59,0.25,3296,0.00,0.00,16,44.34,43.50,8.56,-6.11,27.99,-3.35,0.98
5164,14.81,0.26,3279,0.00,0.00,16,44.34,43.50,8.56,-6.05,28.31,-3.35,0.98
5354,14.47,0.26,3291,0.00,0.00,16,44.34,43.50,8.71,-6.05,28.41,-3.35,0.98
5547,14.70,0.26,3294,0.00,0.00,16,44.34,43.50,8.56,-6.05,28.41,-3.35,0.98
5735,14.59,0.26,3278,0.00,0.00,16,44.34,43.50,8.71,-6.05,28.52,-3.35,1.00
5930,14.59,0.26,3275,0.00,0.00,16,44.34,43.50,8.71,-5.98,28.63,-3.35,1.00
6119,14.70,0.28,3294,0.00,0.00,16,44.34,43.50,8.71,-5.96,28.96,-3.35,1.00
6310,14.59,0.26,3296,0.00,0.00,16,44.34,43.50,8.71,-5.96,28.63,-3.35,1.00
6501,14.59,0.26,3274,0.00,0.00,16,44.34,43.50,8.71,-5.96,28.63,-3.35,1.00
6693,14.81,0.26,3276,0.00,0.00,16,44.34,43.50,8.85,-5.88,29.48,-3.35,1.00
6889,14.81,0.25,3291,0.00,0.00,16,44.34,43.50,8.85,-5.82,29.26,-3.35,1.00
7083,14.70,0.27,3292,0.00,0.00,16,44.34,43.50,8.85,-5.82,29.05,-3.35,1.00
7276,14.81,0.26,3292,0.00,0.00,16,44.34,43.50,8.85,-5.82,28.94,-3.35,1.00
7466,14.70,0.28,3276,0.00,0.00,16,44.34,43.50,9.00,-5.76,29.37,-3.35,1.00
7658,14.59,0.27,3275,0.00,0.00,16,44.34,43.50,8.85,-5.76,29.82,-3.35,1.00
7851,14.59,0.27,3275,0.00,0.00,16,44.34,43.50,9.00,-5.78,29.71,-3.35,1.00
8040,14.59,0.27,3296,0.00,0.00,16,44.34,43.50,8.85,-5.74,29.93,-3.35,1.00
8230,14.59,0.27,3294,0.00,0.00,16,44.34,43.50,9.00,-5.74,29.82,-3.35,1.00
8421,14.70,0.27,3296,0.00,0.00,16,44.34,43.50,9.00,-5.74,29.15,-3.35,1.00
8615,14.59,0.27,3280,0.00,0.00,16,44.34,43.50,8.85,-5.74,29.05,-3.35,1.00
8805,14.59,0.27,3276,0.00,0.00,16,44.34,43.50,9.00,-5.76,29.71,-3.35,1.00
8995,14.59,0.27,3296,0.00,0.00,16,44.34,43.50,9.00,-5.74,29.82,-3.35,1.00
9186,14.70,0.27,3299,0.00,0.00,16,44.34,43.50,9.00,-5.76,29.71,-3.35,1.00
9379,14.47,0.27,3278,0.00,0.00,16,44.34,43.50,9.00,-5.76,29.93,-3.35,1.00
9572,14.81,0.27,3275,0.00,0.00,16,44.34,43.50,9.00,-5.76,29.60,-3.35,1.00
9763,14.70,0.27,3298,0.00,0.00,16,44.34,43.50,9.00,-5.70,29.27,-3.35,1.00
9952,14.70,0.25,3280,0.00,0.00,16,44.34,43.50,9.00,-5.74,28.41,-3.35,1.00
10145,14.81,0.27,3296,0.00,0.00,16,44.34,43.50,9.00,-5.74,29.93,-3.35,1.00
10334,14.70,0.27,3299,0.00,0.00,16,44.34,43.50,9.00,-5.76,29.60,-3.35,1.00
10524,14.59,0.27,3278,0.00,0.00,16,44.34,43.50,9.00,-5.74,29.60,-3.35,1.00
10717,14.47,0.27,3282,0.00,0.00,16,44.34,43.50,9.00,-5.70,29.93,-3.35,1.00
10908,14.70,0.26,3279,0.00,0.00,16,44.34,43.50,9.00,-5.76,29.71,-3.35,1.00
11100,14.81,0.27,3296,0.00,0.00,16,44.34,43.50,9.00,-5.74,29.93,-3.35,1.00
11291,14.70,0.27,3298,0.00,0.00,16,44.34,43.50,9.00,-5.70,29.60,-3.35,1.00
11486,14.59,0.27,3279,0.00,0.00,16,44.34,43.50,9.00,-5.74,30.05,-2.73,1.00
11675,14.36,0.28,3278,0.00,0.00,16,44.34,43.50,9.00,-5.74,29.71,-3.35,1.00
11867,14.70,0.28,3295,0.00,0.00,16,44.34,43.50,9.00,-5.72,29.38,-3.35,1.00
12057,14.70,0.28,3294,0.00,0.00,16,44.34,43.50,9.00,-5.65,29.82,-3.35,1.00
12246,14.47,0.28,3274,0.00,0.00,16,44.34,43.50,9.00,-5.61,30.16,-3.35,1.00
12438,14.70,0.27,3289,0.00,0.00,16,43.98,43.50,9.14,-5.61,30.49,-3.35,1.00
12632,14.70,0.28,3279,0.00,0.00,16,43.98,43.50,9.14,-5.55,30.60,-2.73,1.02
12819,14.70,0.28,3274,0.00,0.00,16,43.98,43.50,9.14,-5.51,30.83,-2.73,1.02
13012,14.59,0.28,3291,0.00,0.00,16,43.98,43.50,9.29,-5.45,31.17,-2.73,1.02
13201,14.59,0.28,3291,0.00,0.00,16,43.98,43.50,9.29,-5.41,31.05,-2.73,1.02
13396,14.59,0.29,3275,0.00,0.00,16,43.98,43.50,9.29,-5.39,31.16,-2.73,1.02
13584,14.70,0.29,3270,0.00,0.00,16,43.98,43.50,9.43,-5.32,31.50,-2.73,1.02
13777,14.59,0.29,3291,0.00,0.00,16,43.98,43.50,9.43,-5.28,31.73,-2.73,1.02
13967,14.70,0.30,3292,0.00,0.00,16,43.63,43.00,9.58,-5.10,32.07,-2.11,1.02
14156,14.47,0.30,3274,0.00,0.00,16,43.63,43.00,9.58,-5.09,32.07,-2.11,1.02
14350,14.70,0.30,3269,0.00,0.00,16,43.63,43.00,9.58,-5.09,32.73,-2.11,1.02
14539,14.70,0.30,3289,0.00,0.00,16,43.63,43.00,9.72,-5.05,32.97,-2.11,1.02
14731,14.70,0.30,3272,0.00,0.00,16,43.63,43.00,9.72,-5.01,32.73,-2.11,1.02
14925,14.70,0.30,3291,0.00,0.00,16,43.28,42.50,9.72,-4.91,33.47,-2.11,1.04
15113,14.70,0.30,3266,0.00,0.00,16,43.63,42.50,9.87,-4.89,33.10,-2.11,1.04
15306,14.81,0.31,3272,0.00,0.00,16,43.63,43.00,9.87,-4.83,33.22,-2.11,1.04
15496,14.81,0.31,3288,0.00,0.00,16,43.28,42.50,9.87,-4.81,33.22,-2.11,1.04
15687,14.59,0.31,3286,0.00,0.00,16,43.28,42.50,9.87,-4.80,33.83,-2.11,1.04
15878,14.70,0.30,3266,0.00,0.00,16,43.28,42.50,10.01,-4.68,34.33,-2.11,1.04
16073,14.70,0.33,3270,0.00,0.00,16,43.28,42.50,10.01,-4.64,33.96,-2.11,1.04
16265,14.70,0.32,3292,0.00,0.00,16,43.28,42.50,10.01,-4.60,34.34,-2.11,1.04
16457,14.36,0.32,3285,0.00,0.00,16,43.28,42.50,10.16,-4.56,34.45,-1.49,1.04
16649,14.70,0.32,3268,0.00,0.00,16,43.28,42.50,10.16,-4.56,34.45,-1.49,1.04
16843,14.70,0.32,3270,0.00,0.00,16,43.28,42.50,10.16,-4.52,34.58,-1.49,1.04
17031,14.59,0.33,3289,0.00,0.00,16,42.93,42.50,10.30,-4.43,35.44,-1.49,1.04
17222,14.59,0.32,3269,0.00,0.00,16,42.93,42.50,10.30,-4.39,35.31,-1.49,1.04
17413,14.70,0.32,3285,0.00,0.00,16,42.93,42.50,10.30,-4.37,35.57,-1.49,1.04
17605,14.59,0.32,3291,0.00,0.00,16,42.93,42.50,10.30,-4.35,35.94,-1.49,1.04
17793,14.59,0.32,3270,0.00,0.00,16,42.93,42.50,10.30,-4.33,35.94,-1.49,1.04
17988,14.59,0.33,3269,0.00,0.00,16,42.93,42.50,10.45,-4.31,35.31,-1.49,1.04
18178,14.59,0.33,3289,0.00,0.00,16,42.93,42.00,10.45,-4.23,36.30,-1.49,1.06
18370,14.70,0.34,3288,0.00,0.00,16,42.58,42.00,10.59,-4.16,36.43,-1.49,1.06
18563,14.59,0.33,3269,0.00,0.00,16,42.58,42.00,10.59,-4.14,36.30,-1.49,1.06
18752,14.70,0.34,3274,0.00,0.00,16,42.58,42.00,10.59,-4.10,36.81,-1.49,1.06
18943,14.81,0.33,3301,0.00,0.00,16,42.58,42.00,10.59,-4.12,36.55,-1.49,1.06
19134,14.59,0.33,3289,0.00,0.00,16,42.58,42.00,10.59,-4.06,36.30,-1.49,1.06
19325,14.70,0.33,3268,0.00,0.00,16,42.58,42.50,10.59,-4.06,36.68,-1.49,1.06
19519,14.70,0.33,3270,0.00,0.00,16,42.58,42.00,10.59,-4.00,37.17,-1.49,1.06
19707,14.59,0.34,3270,0.00,0.00,16,42.58,42.00,10.74,-3.91,37.29,-0.89,1.06
19898,14.70,0.34,3289,0.00,0.00,16,42.23,42.00,10.74,-3.85,37.05,-0.89,1.06
20091,14.59,0.34,3289,0.00,0.00,16,42.58,41.50,10.88,-3.87,37.79,-0.89,1.06
20280,14.59,0.35,3292,0.00,0.00,16,42.23,41.50,10.88,-3.85,37.54,-0.89,1.06
20471,14.59,0.34,3275,0.00,0.00,16,42.23,41.50,10.88,-3.85,37.92,-0.89,1.06
20663,14.81,0.36,3274,0.00,0.00,16,42.23,42.00,10.88,-3.81,37.54,-0.89,1.06
20854,14.70,0.34,3296,0.00,0.00,16,42.58,42.00,10.88,-3.85,37.41,-0.89,1.06
21047,14.70,0.36,3296,0.00,0.00,16,42.23,41.50,10.88,-3.81,38.04,-0.89,1.06
21237,14.47,0.36,3279,0.00,0.00,16,42.23,42.00,10.88,-3.83,37.54,-0.89,1.06
21429,14.59,0.33,3275,0.00,0.00,16,42.58,42.00,10.88,-3.85,37.41,-1.49,1.06
21619,14.70,0.33,3298,0.00,0.00,16,42.93,41.50,10.88,-3.85,36.68,-1.49,1.06
21807,14.81,0.34,3282,0.00,0.00,16,42.58,42.00,10.88,-3.89,37.18,-1.49,1.06
21999,14.59,0.33,3296,0.00,0.00,16,42.58,42.00,10.88,-3.85,37.41,-1.49,1.06
22191,14.59,0.34,3298,0.00,0.00,16,42.58,41.50,10.88,-3.85,37.41,-1.49,1.06
22383,14.59,0.34,3279,0.00,0.00,16,42.58,42.00,10.88,-3.89,37.29,-0.89,1.06
22573,14.70,0.34,3285,0.00,0.00,16,42.58,42.00,10.88,-3.85,37.05,-1.49,1.06
22766,14.70,0.34,3299,0.00,0.00,16,42.58,41.50,10.88,-3.87,37.92,-0.89,1.06
22956,14.70,0.34,3299,0.00,0.00,16,42.58,41.50,10.88,-3.85,38.04,-0.89,1.06
23147,14.59,0.34,3280,0.00,0.00,16,42.58,42.00,10.88,-3.89,36.93,-1.49,1.06
23339,14.70,0.34,3284,0.00,0.00,16,42.58,41.50,10.88,-3.87,37.67,-1.49,1.06
23529,14.70,0.34,3284,0.00,0.00,16,42.58,42.00,10.88,-3.89,37.29,-1.49,1.06
23720,14.70,0.34,3301,0.00,0.00,16,42.58,42.00,10.88,-3.89,37.29,-1.49,1.06
23914,14.70,0.34,3299,0.00,0.00,16,42.58,42.00,10.74,-3.89,36.80,-1.49,1.06
24103,14.59,0.34,3284,0.00,0.00,16,42.58,42.00,10.88,-3.91,37.54,-1.49,1.06
24291,14.47,0.34,3302,0.00,0.00,16,42.58,42.00,10.88,-3.93,37.54,-1.49,1.06
24485,14.59,0.34,3288,0.00,0.00,16,42.58,42.00,10.74,-3.91,37.29,-1.49,1.06
24677,14.70,0.33,3288,0.00,0.00,16,42.58,42.00,10.74,-3.98,36.43,-1.49,1.06
24869,14.70,0.33,3288,0.00,0.00,16,42.58,42.00,10.59,-4.04,36.93,-1.49,1.06
25059,14.81,0.34,3307,0.00,0.00,16,42.58,42.00,10.59,-4.04,36.80,-1.49,1.06
25250,14.47,0.34,3312,0.00,0.00,16,42.58,42.00,10.59,-4.12,36.18,-1.49,1.04
25443,14.70,0.31,3294,0.00,0.00,16,42.93,42.50,10.59,-4.18,35.95,-1.49,1.04
25631,14.47,0.32,3295,0.00,0.00,16,42.93,42.50,10.45,-4.25,35.69,-1.49,1.04
25824,14.59,0.32,3295,0.00,0.00,16,42.93,42.50,10.30,-4.43,34.83,-1.49,1.04
26013,14.59,0.31,3317,0.00,0.00,16,43.28,42.50,10.16,-4.54,34.33,-2.11,1.04
26204,14.70,0.31,3311,0.00,0.00,16,43.28,42.50,10.16,-4.58,34.45,-2.11,1.04
26395,14.59,0.31,3296,0.00,0.00,16,43.28,43.00,10.01,-4.74,34.08,-2.11,1.04
26585,14.81,0.30,3320,0.00,0.00,16,43.28,43.00,9.87,-4.78,33.72,-2.11,1.02
26776,14.70,0.30,3318,0.00,0.00,16,43.28,43.00,9.87,-4.81,33.34,-2.11,1.02
26968,14.59,0.30,3320,0.00,0.00,16,43.63,43.50,9.72,-4.97,30.94,-2.73,1.02
27159,14.81,0.29,3301,0.00,0.00,16,43.63,43.00,9.58,-5.09,32.40,-2.73,1.02
27349,14.59,0.29,3298,0.00,0.00,16,43.63,43.50,9.58,-5.18,31.61,-2.73,1.02
27539,14.47,0.29,3296,0.00,0.00,16,43.98,43.00,9.43,-5.26,32.06,-2.73,1.02
27733,14.47,0.30,3318,0.00,0.00,16,43.63,43.50,9.43,-5.26,32.07,-2.73,1.02
27924,14.36,0.28,3317,0.00,0.00,16,43.98,43.50,9.43,-5.30,31.50,-2.73,1.02
28115,14.70,0.28,3316,0.00,0.00,16,43.98,43.50,9.29,-5.38,31.28,-2.73,1.00
28305,14.70,0.28,3299,0.00,0.00,16,43.98,43.50,9.29,-5.45,30.72,-2.73,1.00
28500,14.47,0.28,3301,0.00,0.00,16,43.98,43.50,9.29,-5.47,30.95,-2.73,1.00
28685,14.59,0.27,3296,0.00,0.00,16,43.98,43.50,9.29,-5.49,30.60,-2.73,1.00
28878,14.47,0.30,3298,0.00,0.00,16,44.34,43.50,9.14,-5.51,31.06,-2.73,1.00
29070,14.70,0.27,3298,0.00,0.00,16,43.98,43.50,9.14,-5.55,30.49,-2.73,1.00
29264,14.59,0.28,3317,0.00,0.00,16,44.34,43.50,9.14,-5.59,30.26,-2.73,1.00
29453,14.70,0.27,3312,0.00,0.00,16,44.34,43.50,9.00,-5.67,30.05,-3.35,1.00
29646,14.59,0.27,3317,0.00,0.00,16,44.34,43.50,9.00,-5.70,29.05,-3.35,1.00
