Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%)
0,0.00,0.00,23.54,10,0.17,1760,0.00,0.00,13.07,16,14.10,14.00,136,3.63,-11.12,5.10,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,99.90,58.1,21.6
97,0.00,0.00,23.89,10,0.18,1742,0.00,0.00,13.07,16,14.10,14.00,136,3.63,-11.10,5.15,1.36,0.00,-1.70,0.00,0.66,0.00,0.00,99.90,58.2,21.6
193,0.00,0.00,23.54,10,0.18,1726,0.00,0.00,13.07,16,14.10,14.00,136,3.63,-11.10,5.18,1.38,0.00,-1.70,0.00,0.66,0.00,0.00,99.90,58.1,21.6
288,0.00,0.00,23.54,10,0.19,1678,0.00,0.00,13.07,16,14.10,14.00,136,3.63,-11.00,5.19,1.38,0.00,-1.70,0.00,0.66,0.00,0.00,99.90,58.1,21.5
384,0.00,0.00,23.89,10,0.20,1655,0.00,0.00,13.07,16,14.10,14.00,136,3.77,-10.91,5.37,1.40,0.00,-1.70,0.39,0.68,0.00,0.00,99.90,58.1,21.6
480,0.00,0.00,23.66,10,0.23,1635,0.00,0.00,12.05,16,14.10,14.00,136,3.77,-10.65,5.63,1.42,0.00,-1.70,1.18,0.72,0.00,0.00,99.90,58.1,21.5
576,0.00,0.00,23.54,10,0.27,1614,0.00,0.00,13.06,16,15.86,15.50,136,4.21,-10.25,6.41,1.46,0.00,-1.70,2.75,0.76,0.00,0.00,99.90,58.1,21.5
672,0.00,0.00,23.54,10,0.30,1692,0.00,0.00,13.06,16,19.38,20.50,136,4.64,-9.86,7.92,1.56,0.00,-1.70,3.53,0.78,0.00,0.00,99.90,58.1,21.5
768,0.00,0.00,23.89,10,0.31,1723,0.00,0.00,13.05,16,22.89,22.50,136,4.93,-9.69,8.58,1.60,0.00,-1.70,3.92,0.78,0.00,0.00,99.90,58.1,21.6
864,0.00,0.00,23.54,10,0.34,1588,0.00,0.00,13.05,16,26.76,27.00,136,5.08,-9.40,9.05,1.62,0.00,-1.70,3.92,0.78,0.00,0.00,96.00,58.1,21.6
