Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%)
960,0.00,0.00,23.43,10,0.35,1605,0.00,0.00,13.05,16,30.27,30.00,136,5.51,-9.09,9.13,1.62,0.00,-1.70,3.92,0.80,0.00,0.00,80.60,58.1,21.6
1056,0.00,0.00,17.00,10,0.33,1698,0.00,0.00,13.06,16,33.44,33.00,136,5.66,-9.01,9.34,1.64,0.00,-1.70,4.71,0.80,0.00,0.00,26.80,58.1,21.8
1152,-0.78,0.00,15.16,10,0.35,1753,0.00,0.00,13.05,16,33.44,33.00,136,5.66,-8.93,9.79,1.66,0.00,-1.70,4.71,0.82,0.00,0.00,18.80,58.1,21.9
1247,-0.78,0.00,14.81,8,0.36,1719,0.00,0.00,13.05,16,32.73,32.50,136,5.80,-8.74,10.24,1.68,0.00,-1.70,5.10,0.82,0.00,0.00,16.20,58.1,21.9
1343,0.78,0.00,14.93,8,0.35,1783,0.00,0.00,13.05,16,33.44,33.50,136,5.95,-8.64,10.32,1.68,0.00,-1.70,5.10,0.82,0.00,0.00,15.60,58.1,22.0
1439,1.56,0.00,15.04,8,0.36,1826,0.00,0.00,13.05,16,34.14,34.00,136,6.09,-8.59,10.89,1.72,0.00,-1.70,5.49,0.84,0.00,0.00,15.70,58.1,22.1
1535,2.34,0.00,15.16,8,0.38,1814,0.00,0.00,13.05,16,33.79,33.50,135,6.24,-8.43,11.18,1.74,0.00,-1.70,5.88,0.84,0.00,0.00,15.70,58.2,22.1
1631,2.34,0.00,15.16,8,0.39,1840,0.00,0.00,13.05,16,34.14,33.50,135,6.38,-8.33,11.69,1.76,0.00,-1.70,5.88,0.84,0.00,0.00,15.60,58.2,22.1
1727,3.12,0.00,15.16,8,0.39,1912,0.00,0.00,13.05,16,34.49,34.50,135,6.38,-8.24,11.87,1.76,0.00,-1.70,6.27,0.86,0.00,0.00,15.50,58.2,22.2
1822,1.56,0.00,14.59,8,0.40,1920,0.00,0.00,13.05,16,34.84,34.50,135,6.53,-8.10,12.46,1.80,0.00,-1.70,6.27,0.86,0.00,0.00,15.50,58.1,22.3
1919,0.78,0.00,14.47,8,0.39,1952,0.00,0.00,13.06,16,34.84,35.00,135,6.67,-8.01,12.57,1.80,0.00,-1.70,6.27,0.86,0.00,0.00,15.30,58.2,22.4
2014,0.78,0.00,14.36,8,0.39,1986,0.00,0.00,13.06,16,35.55,35.50,135,6.82,-7.93,12.83,1.80,0.00,-1.70,6.67,0.86,0.00,0.00,14.70,58.1,22.4
2110,0.00,0.00,14.36,8,0.39,2009,0.00,0.00,13.06,16,35.55,35.50,135,6.82,-7.93,13.05,1.82,0.00,-1.70,6.67,0.86,0.00,0.00,14.70,58.1,22.4
2206,0.00,0.00,14.47,8,0.39,2040,0.00,0.00,13.06,16,35.90,35.50,135,6.82,-7.93,13.10,1.82,0.00,-2.01,6.67,0.86,0.00,0.00,14.60,58.1,22.4
2302,0.00,0.00,14.47,8,0.38,2077,0.00,0.00,13.06,16,36.25,36.00,135,6.82,-7.97,13.32,1.84,0.00,-2.01,6.67,0.86,0.00,0.00,14.60,58.1,22.4
2398,0.00,0.00,14.36,8,0.38,2120,0.00,0.00,13.06,16,36.60,36.50,135,6.67,-8.04,13.21,1.82,0.00,-2.01,6.67,0.86,0.00,0.00,14.70,58.1,22.4
2494,0.78,0.00,14.59,8,0.38,2120,0.00,0.00,13.06,16,36.95,36.50,135,6.67,-8.06,13.43,1.82,0.00,-2.01,6.67,0.86,0.00,0.00,14.60,58.1,22.3
2590,0.00,0.00,14.70,8,0.38,2152,0.00,0.00,13.06,16,36.95,36.50,135,6.67,-8.08,13.43,1.84,0.00,-2.01,6.67,0.86,0.00,0.00,14.70,58.1,22.3
2686,-0.78,0.00,14.59,8,0.39,2207,0.00,0.00,13.06,16,37.66,37.00,135,6.53,-8.08,13.87,1.86,0.00,-2.01,6.67,0.86,0.00,0.00,14.70,58.1,22.3
2782,-0.78,0.00,14.24,8,0.39,2239,0.00,0.00,13.06,16,37.66,38.00,135,6.67,-8.02,14.15,1.86,0.00,-2.01,6.67,0.88,0.00,0.00,14.60,58.1,22.3
2878,-1.56,0.00,14.47,8,0.40,2234,0.00,0.00,13.06,16,38.01,37.50,133,6.67,-7.93,14.91,1.90,0.00,-2.01,7.06,0.88,0.00,0.00,14.50,58.1,22.4
2974,-1.56,0.00,14.36,8,0.40,2279,0.00,0.00,13.06,16,38.01,38.00,133,6.82,-7.87,14.84,1.88,0.00,-2.01,6.67,0.88,0.00,0.00,14.60,57.9,22.3
3069,-3.12,0.00,14.13,8,0.41,2325,0.00,0.00,13.06,16,38.71,38.50,133,6.82,-7.79,15.86,1.94,0.00,-2.01,7.06,0.88,0.00,0.00,14.50,57.8,22.3
3165,-3.12,0.00,14.36,8,0.43,2368,0.00,0.00,13.06,16,38.71,38.50,133,6.96,-7.72,16.39,1.96,0.00,-2.01,7.45,0.90,0.00,0.00,14.40,57.8,22.3
3262,-4.69,0.00,14.13,8,0.44,2365,0.00,0.00,13.06,16,39.06,38.50,133,7.11,-7.50,16.76,1.98,0.00,-2.01,7.45,0.90,0.00,0.00,14.50,57.7,22.3
3357,-4.69,0.00,14.47,8,0.46,2438,0.00,0.00,13.06,16,39.06,39.00,133,7.25,-7.31,18.16,2.00,0.00,-2.01,8.24,0.90,0.00,0.00,14.60,57.6,22.4
3454,-5.47,0.00,14.47,8,0.47,2460,0.00,0.00,13.06,16,39.77,39.50,133,7.40,-7.19,18.72,2.02,0.00,-2.01,8.24,0.94,0.00,0.00,14.60,57.6,22.4
3550,-3.91,0.00,14.59,8,0.49,2520,0.00,0.00,13.05,16,40.12,40.00,133,7.55,-6.98,19.90,2.08,0.00,-2.01,9.02,0.96,0.00,0.00,14.60,57.7,22.5
3646,-3.12,0.00,14.70,8,0.49,2554,0.00,0.00,13.05,16,40.47,40.00,133,7.98,-6.73,20.41,2.10,0.00,-2.01,9.41,0.96,0.00,0.00,14.70,57.7,22.6
3742,-2.34,0.00,15.04,8,0.50,2611,0.00,0.00,13.05,16,40.82,40.50,133,7.98,-6.59,21.55,2.14,0.00,-2.01,9.41,0.98,0.00,0.00,15.30,57.6,22.6
3838,-0.78,0.00,15.04,8,0.51,2641,0.00,0.00,13.05,16,41.88,41.50,131,8.27,-6.48,22.08,2.16,0.00,-2.01,9.80,0.98,0.00,0.00,15.30,57.6,22.6
3935,0.78,0.00,15.16,8,0.53,2678,0.00,0.00,13.05,16,41.88,41.50,131,8.27,-6.28,23.23,2.18,0.00,-2.01,10.98,1.00,0.00,0.00,15.30,57.7,22.7
4031,1.56,0.00,15.27,8,0.53,2740,0.00,0.00,13.05,16,42.58,42.50,131,8.42,-6.13,23.77,2.20,0.00,-2.01,10.98,1.00,0.00,0.00,15.30,57.7,22.8
4127,1.56,0.00,15.16,8,0.54,2778,0.00,0.00,13.06,16,43.28,42.50,131,8.56,-6.05,25.15,2.24,0.00,-2.01,10.98,1.00,0.00,0.00,15.20,57.9,22.8
4223,1.56,0.00,14.93,8,0.54,2849,0.00,0.00,13.06,16,43.28,43.00,131,8.71,-6.01,25.05,2.24,0.00,-2.01,10.98,1.02,0.00,0.00,15.10,57.9,22.9
4318,2.34,0.00,14.81,8,0.53,2881,0.00,0.00,13.06,16,43.63,43.50,131,8.71,-6.05,25.70,2.24,0.00,-2.32,11.37,1.02,0.00,0.00,14.90,58.0,22.9
4414,2.34,0.00,14.93,8,0.53,2976,0.00,0.00,13.06,16,43.63,43.50,131,8.71,-6.07,26.05,2.26,0.00,-2.32,11.37,1.02,0.00,0.00,14.90,58.1,22.9
4510,1.56,0.00,14.47,8,0.53,3001,0.00,0.00,13.06,16,43.98,43.50,131,8.56,-6.11,26.26,2.26,0.00,-2.32,11.37,1.02,0.00,0.00,14.80,58.1,22.9
4607,0.78,0.00,14.36,8,0.52,3093,0.00,0.00,13.06,16,43.98,44.00,131,8.56,-6.13,26.73,2.26,0.00,-2.32,11.37,1.02,0.00,0.00,14.60,58.1,23.0
4702,0.00,0.00,14.47,8,0.52,3112,0.00,0.00,13.06,16,44.34,44.00,131,8.56,-6.13,26.73,2.26,0.00,-2.32,11.37,1.02,0.00,0.00,14.40,58.2,23.0
4799,1.56,0.00,14.59,8,0.51,3194,0.00,0.00,13.07,16,44.69,44.50,129,8.56,-6.11,26.95,2.28,0.00,-2.63,11.76,1.04,0.00,0.00,14.50,58.2,23.0
4895,0.78,0.00,14.59,8,0.50,3245,0.00,0.00,13.07,16,44.69,44.50,129,8.56,-6.11,27.19,2.28,0.00,-2.63,11.37,1.04,0.00,0.00,14.70,58.2,23.0
4991,0.00,0.00,14.59,8,0.49,3235,0.00,0.00,13.39,16,44.69,44.50,129,8.56,-6.32,27.19,2.28,0.00,-2.63,11.37,0.86,0.00,0.00,14.70,58.1,23.0
5087,0.00,0.00,14.36,8,0.40,3289,0.00,0.00,14.00,16,45.39,45.00,129,6.82,-8.72,24.59,2.18,0.00,-2.94,0.78,0.64,0.00,0.00,14.60,58.1,22.7
5183,0.00,0.00,11.71,10,0.23,3318,0.00,0.00,13.38,16,40.12,41.50,129,5.22,-10.23,9.74,1.64,0.00,-2.94,0.00,0.64,0.00,0.00,14.00,58.1,22.7
5279,0.00,0.00,11.60,10,0.16,3105,0.00,0.00,13.07,16,30.98,29.00,129,4.50,-10.64,8.70,1.60,0.00,-2.94,0.00,0.64,0.00,0.00,13.20,58.1,21.5
5375,0.00,0.00,14.47,10,0.17,2962,0.00,0.00,13.07,16,21.48,22.50,129,3.77,-10.94,8.46,1.58,0.00,-2.63,0.00,0.64,0.00,0.00,12.90,58.1,21.5
5471,0.00,0.00,17.00,10,0.19,2788,0.00,0.00,13.07,16,20.08,20.00,129,3.77,-10.89,8.62,1.60,0.00,-2.32,0.00,0.64,0.00,0.00,13.40,58.1,21.5
5567,0.00,0.00,23.08,10,0.20,2672,0.00,0.00,13.07,16,20.08,20.00,129,3.77,-10.87,8.65,1.60,0.00,-2.01,0.00,0.64,0.00,0.00,16.60,58.1,21.5
5663,0.00,0.00,23.54,10,0.20,2436,0.00,0.00,13.07,16,15.51,15.50,129,3.92,-10.85,8.53,1.58,0.00,-2.01,0.00,0.64,0.00,0.00,21.30,58.1,21.5
5759,0.00,0.00,23.31,10,0.20,2349,0.00,0.00,13.07,16,15.51,15.50,127,3.92,-10.77,8.07,1.56,0.00,-2.01,0.00,0.66,0.00,0.00,26.00,58.1,21.5
5855,0.00,0.00,23.43,10,0.20,2144,0.00,0.00,11.99,16,15.16,15.00,127,3.92,-10.54,7.08,1.48,0.00,-2.01,1.57,0.76,0.00,0.00,32.30,58.1,21.5
5950,0.00,0.00,23.54,10,0.26,2047,0.00,0.00,13.06,16,17.97,17.50,127,4.50,-10.07,7.46,1.54,0.00,-2.01,3.92,0.78,0.00,0.00,45.70,58.2,21.5
6047,0.00,0.00,23.66,10,0.28,2044,0.00,0.00,13.05,16,22.54,24.50,127,4.79,-9.77,9.13,1.64,0.00,-2.01,4.31,0.82,0.00,0.00,78.00,58.2,21.6
6143,0.00,0.00,23.54,10,0.30,2076,0.00,0.00,13.05,16,27.81,27.50,127,5.08,-9.51,9.97,1.68,0.00,-2.01,5.10,0.82,0.00,0.00,82.20,58.2,21.6
6238,0.00,0.00,22.28,10,0.32,2130,0.00,0.00,13.04,16,35.20,37.00,127,5.37,-9.24,10.89,1.72,0.00,-2.01,5.49,0.86,0.00,0.00,82.20,58.2,21.7
6334,0.00,0.00,17.92,10,0.36,2144,0.00,0.00,13.04,16,36.95,36.50,127,5.80,-8.78,11.75,1.76,0.00,-2.01,6.67,0.88,0.00,0.00,48.40,58.2,21.7
6430,-1.56,0.00,15.04,10,0.39,2168,0.00,0.00,13.04,16,37.30,37.00,127,6.09,-8.33,13.54,1.84,0.00,-2.01,7.06,0.88,0.00,0.00,20.90,58.1,22.0
6527,-2.34,0.00,14.81,8,0.42,2154,0.00,0.00,13.04,16,36.95,36.50,127,6.67,-7.89,14.72,1.90,0.00,-2.01,7.45,0.90,0.00,0.00,16.20,58.1,22.3
6622,-3.91,0.00,14.24,8,0.43,2159,0.00,0.00,13.04,16,36.60,36.50,127,6.96,-7.64,15.16,1.90,0.00,-2.01,7.45,0.90,0.00,0.00,15.40,58.1,22.3
6718,-5.47,0.00,13.90,8,0.44,2066,0.00,0.00,13.04,16,36.25,35.50,127,7.11,-7.46,15.35,1.90,0.00,-2.01,7.45,0.90,0.00,0.00,15.00,58.1,22.5
6814,-5.47,0.00,14.13,8,0.46,2034,0.00,0.00,13.04,16,35.20,35.50,127,7.40,-7.27,15.10,1.90,0.00,-2.01,7.45,0.90,0.00,0.00,14.40,58.1,22.6
6911,-4.69,0.00,14.24,8,0.46,1979,0.00,0.00,13.04,16,34.84,34.50,127,7.40,-7.12,15.35,1.90,0.00,-1.70,7.84,0.90,0.00,0.00,14.50,58.1,22.6
7006,-5.47,0.00,14.47,8,0.45,2015,0.00,0.00,13.04,16,35.55,35.00,126,7.69,-7.08,15.41,1.92,0.00,-2.01,7.84,0.90,0.00,0.00,14.60,58.1,22.6
7102,-3.91,0.00,14.47,8,0.46,2017,0.00,0.00,13.04,16,35.55,35.00,126,7.69,-7.08,15.35,1.90,0.00,-2.01,7.84,0.90,0.00,0.00,14.60,58.1,22.7
7198,-4.69,0.00,14.59,8,0.46,2042,0.00,0.00,13.31,16,35.55,35.50,126,7.69,-7.12,15.48,1.92,0.00,-2.01,7.45,0.88,0.00,0.00,14.90,58.1,22.7
7294,-5.47,0.00,14.70,8,0.44,2044,0.00,0.00,13.31,16,35.90,35.50,126,7.55,-7.39,14.90,1.88,0.00,-2.01,6.27,0.82,0.00,0.00,14.80,58.1,22.6
7390,-4.69,0.00,14.70,8,0.39,2077,0.00,0.00,13.38,16,36.25,35.50,126,6.82,-8.06,13.65,1.82,0.00,-2.01,5.10,0.82,0.00,0.00,14.80,58.1,22.6
7486,-6.25,0.00,14.36,8,0.35,2069,0.00,0.00,13.07,16,36.60,36.50,126,6.38,-8.55,11.18,1.72,0.00,-2.01,4.71,0.76,0.00,0.00,14.80,58.1,22.3
7583,-8.59,0.00,14.13,8,0.30,2068,0.00,0.00,13.43,16,36.60,36.50,126,5.66,-9.26,10.28,1.68,0.00,-2.01,3.14,0.74,0.00,0.00,14.60,58.1,22.0
7678,-9.38,0.00,13.67,8,0.27,2076,0.00,0.00,13.08,16,36.95,36.50,126,5.08,-9.88,7.91,1.54,0.00,-2.01,2.75,0.74,0.00,0.00,14.40,58.2,22.0
7774,-11.72,0.00,13.44,8,0.24,2070,0.00,0.00,13.81,16,36.95,36.50,126,4.50,-10.17,7.65,1.54,0.00,-2.01,2.75,0.74,0.00,0.00,14.30,58.2,21.6
7871,-11.72,0.00,13.78,8,0.21,2070,0.00,0.00,13.08,16,36.95,36.50,126,4.35,-10.38,7.31,1.50,0.00,-2.01,2.35,0.72,0.00,0.00,14.10,58.2,21.6
7966,-12.50,0.00,13.90,8,0.21,2062,0.00,0.00,13.08,16,36.95,36.50,126,4.21,-10.54,7.17,1.50,0.00,-2.01,2.35,0.72,0.00,0.00,13.90,58.2,21.6
8062,-10.94,0.00,14.36,8,0.21,2065,0.00,0.00,13.08,16,36.95,36.50,126,4.06,-10.60,7.20,1.50,0.00,-2.01,2.35,0.72,0.00,0.00,13.80,58.1,21.6
8158,-9.38,0.00,14.70,8,0.21,2093,0.00,0.00,13.08,16,36.95,37.00,126,4.06,-10.67,7.24,1.52,0.00,-2.01,1.96,0.72,0.00,0.00,14.10,58.1,21.5
8254,-7.03,0.00,15.50,8,0.20,2082,0.00,0.00,13.07,16,36.95,36.50,126,4.06,-10.67,7.13,1.50,0.00,-2.01,2.35,0.72,0.00,0.00,14.30,58.1,21.5
8350,-3.91,0.00,15.73,8,0.20,2034,0.00,0.00,13.07,16,36.60,36.50,126,4.06,-10.69,7.09,1.50,0.00,-2.01,2.35,0.72,0.00,0.00,14.80,58.1,21.5
8446,-2.34,0.00,16.08,8,0.21,2064,0.00,0.00,13.07,16,36.95,36.50,126,4.06,-10.67,7.28,1.50,0.00,-2.01,2.35,0.74,0.00,0.00,15.30,57.8,21.5
8542,-2.34,0.00,15.96,8,0.21,2052,0.00,0.00,13.07,16,36.95,36.50,126,4.06,-10.65,7.24,1.50,0.00,-2.01,2.35,0.74,0.00,0.00,15.60,57.8,21.4
8638,-0.78,0.00,15.62,8,0.21,2029,0.00,0.00,13.07,16,36.60,36.50,124,4.06,-10.62,7.24,1.50,0.00,-2.01,2.75,0.74,0.00,0.00,15.70,57.8,21.4
8734,-1.56,0.00,15.39,8,0.22,2055,0.00,0.00,13.07,16,36.60,36.50,124,4.06,-10.58,7.43,1.52,0.00,-2.01,2.75,0.74,0.00,0.00,15.70,57.7,21.4
8830,-2.34,0.00,14.81,8,0.22,2046,0.00,0.00,13.07,16,36.60,36.50,124,4.21,-10.54,7.46,1.52,0.00,-2.01,2.75,0.74,0.00,0.00,15.60,57.7,21.4
8925,-3.91,0.00,14.59,8,0.22,2044,0.00,0.00,13.07,16,36.60,36.50,124,4.21,-10.46,7.43,1.52,0.00,-2.01,2.75,0.74,0.00,0.00,15.30,57.7,21.4
9022,-3.91,0.00,14.36,8,0.22,2034,0.00,0.00,13.07,16,36.60,36.50,124,4.21,-10.40,7.46,1.52,0.00,-2.01,2.75,0.74,0.00,0.00,14.80,57.7,21.4
9118,-4.69,0.00,14.24,8,0.23,2015,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.40,7.61,1.54,0.00,-2.01,2.75,0.74,0.00,0.00,14.60,57.7,21.4
9213,-3.91,0.00,14.24,8,0.22,2024,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.36,7.57,1.52,0.00,-2.01,2.75,0.74,0.00,0.00,14.50,57.7,21.4
9309,-3.91,0.00,14.59,8,0.23,2045,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.38,7.70,1.54,0.00,-2.01,2.75,0.74,0.00,0.00,14.40,57.7,21.4
9405,-3.12,0.00,14.70,8,0.23,2026,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.38,7.73,1.54,0.00,-2.01,2.75,0.74,0.00,0.00,14.50,57.6,21.4
9501,-3.12,0.00,14.81,8,0.23,2035,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.38,7.70,1.54,0.00,-2.01,2.75,0.76,0.00,0.00,14.50,57.6,21.4
9596,-3.12,0.00,14.81,8,0.23,2034,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.36,7.65,1.52,0.00,-2.01,2.75,0.74,0.00,0.00,14.70,57.6,21.4
9693,-2.34,0.00,14.81,8,0.23,2032,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.36,7.73,1.54,0.00,-2.01,2.75,0.74,0.00,0.00,14.80,57.6,21.4
9789,-3.12,0.00,14.81,8,0.23,2042,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.36,7.81,1.54,0.00,-2.01,2.75,0.74,0.00,0.00,14.80,57.7,21.4
9885,-3.12,0.00,14.70,8,0.23,2039,0.00,0.00,13.07,16,36.60,36.50,124,4.35,-10.36,7.73,1.54,0.00,-2.01,2.75,0.76,0.00,0.00,14.70,57.7,21.4
9980,-3.12,0.00,14.59,8,0.23,2017,0.00,0.00,13.07,16,36.25,36.50,124,4.35,-10.35,7.70,1.54,0.00,-2.01,3.14,0.76,0.00,0.00,14.60,57.7,21.4
10076,-3.91,0.00,14.47,8,0.25,2037,0.00,0.00,13.07,16,36.60,36.50,124,4.50,-10.21,7.80,1.54,0.00,-2.01,3.53,0.78,0.00,0.00,14.60,57.6,21.4
10172,-3.91,0.00,14.47,8,0.27,2036,0.00,0.00,13.06,16,36.60,36.00,124,4.64,-10.00,8.81,1.60,0.00,-2.01,3.92,0.78,0.00,0.00,14.50,57.7,21.4
10268,-3.91,0.00,14.47,8,0.26,2036,0.00,0.00,13.06,16,36.60,36.50,124,4.79,-9.86,9.05,1.62,0.00,-2.01,3.92,0.78,0.00,0.00,14.50,57.7,21.4
10364,-3.91,0.00,14.47,8,0.27,2048,0.00,0.00,13.06,16,36.60,36.50,124,4.93,-9.78,9.05,1.62,0.00,-2.01,3.92,0.78,0.00,0.00,14.50,57.7,21.4
10460,-3.91,0.00,14.47,8,0.27,2055,0.00,0.00,13.06,16,36.60,36.50,124,4.93,-9.75,9.13,1.64,0.00,-2.01,3.92,0.78,0.00,0.00,14.50,57.7,21.4
10556,-3.91,0.00,14.59,8,0.28,2104,0.00,0.00,13.07,16,36.60,36.50,124,4.93,-9.71,9.25,1.64,0.00,-2.01,3.92,0.78,0.00,0.00,14.60,57.7,21.4
10652,-3.12,0.00,14.70,8,0.27,2052,0.00,0.00,13.06,16,36.60,36.50,124,5.08,-9.69,9.17,1.62,0.00,-2.01,3.92,0.78,0.00,0.00,14.70,57.7,21.4
10749,-3.12,0.00,14.81,8,0.27,2062,0.00,0.00,13.07,16,36.60,36.50,124,5.08,-9.67,9.25,1.64,0.00,-2.01,3.92,0.78,0.00,0.00,14.70,57.6,21.4
10844,-2.34,0.00,14.93,8,0.27,2056,0.00,0.00,13.07,16,36.60,36.50,124,5.08,-9.67,9.13,1.64,0.00,-2.01,3.92,0.78,0.00,0.00,15.00,57.7,21.4
10940,-1.56,0.00,15.04,8,0.27,2062,0.00,0.00,13.07,16,36.95,36.50,122,5.08,-9.69,9.25,1.64,0.00,-2.01,3.92,0.78,0.00,0.00,14.90,57.7,21.4
11036,-1.56,0.00,15.04,8,0.27,2059,0.00,0.00,13.07,16,36.60,36.50,122,5.08,-9.67,9.05,1.62,0.00,-2.01,3.92,0.78,0.00,0.00,14.90,57.7,21.4
11132,-1.56,0.00,14.93,8,0.27,2054,0.00,0.00,13.07,16,36.60,36.50,122,5.08,-9.78,9.17,1.62,0.00,-2.01,2.75,0.66,0.00,0.00,15.00,57.7,21.4
11228,0.00,0.00,14.81,10,0.22,2060,0.00,0.00,13.51,16,35.90,33.00,122,4.79,-10.56,7.43,1.48,0.00,-2.01,0.00,0.64,0.00,0.00,15.00,57.7,21.4
11324,0.00,0.00,14.93,10,0.18,2018,0.00,0.00,13.07,16,27.46,28.50,122,3.77,-11.02,5.27,1.38,0.00,-2.01,0.00,0.64,0.00,0.00,15.00,57.7,21.4
11420,0.00,0.00,15.04,10,0.15,2065,0.00,0.00,13.07,16,20.08,17.00,122,3.63,-11.18,4.81,1.34,0.00,-2.01,0.00,0.64,0.00,0.00,14.90,57.7,21.4
11516,0.00,0.00,14.47,10,0.15,2038,0.00,0.00,13.07,16,14.80,14.50,122,3.34,-11.25,5.08,1.36,0.00,-2.01,0.00,0.64,0.00,0.00,14.70,57.7,21.4
11612,0.00,0.00,14.81,10,0.16,2011,0.00,0.00,13.07,16,14.45,14.00,122,3.48,-11.18,5.12,1.38,0.00,-2.01,0.00,0.64,0.00,0.00,14.80,57.6,21.4
11708,0.00,0.00,16.19,10,0.15,1984,0.00,0.00,13.07,16,14.45,14.00,122,3.63,-11.08,5.25,1.36,0.00,-2.01,0.00,0.64,0.00,0.00,14.80,57.6,21.4
11804,0.00,0.00,18.60,10,0.16,1915,0.00,0.00,13.07,16,14.45,14.00,122,3.63,-11.06,5.12,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,57.7,21.4
11900,0.00,0.00,20.21,10,0.16,1918,0.00,0.00,13.07,16,14.45,14.00,122,3.63,-11.08,5.18,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,16.00,57.7,21.4
11996,0.00,0.00,24.12,10,0.16,1895,0.00,0.00,13.07,16,14.10,14.00,122,3.63,-11.08,5.00,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,16.80,57.6,21.4
12092,0.00,0.00,25.04,10,0.16,1818,0.00,0.00,13.07,16,14.10,14.00,122,3.63,-11.12,4.81,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,18.90,57.6,21.4
12188,0.00,0.00,25.50,10,0.16,1802,0.00,0.00,13.07,16,14.10,14.00,122,3.63,-11.14,4.90,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,22.00,57.7,21.4
