Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,14.47,192,0.24,728,0.00,0.00,-0.059,16,2.85,-1.08,0.00
173,14.51,192,0.23,737,0.00,0.00,-0.059,16,2.81,-1.08,0.00
345,14.56,192,0.23,739,0.00,0.00,-0.059,16,2.79,-1.08,0.00
517,14.47,192,0.23,730,0.00,0.00,-0.059,16,2.77,-1.08,0.00
689,14.39,192,0.23,718,0.00,0.00,-0.056,16,2.79,-1.08,0.00
876,14.33,192,0.23,714,0.00,0.00,-0.056,16,2.73,-1.08,0.00
1048,14.27,192,0.23,712,0.00,0.00,-0.056,16,2.77,-1.08,0.00
1221,14.25,192,0.23,736,0.00,0.00,-0.056,16,2.77,-1.08,0.00
1393,14.56,192,0.22,748,0.00,0.00,-0.056,16,2.69,-1.08,0.00
1565,14.68,194,0.22,741,0.00,0.00,-0.056,16,2.65,-1.08,0.00
1737,14.81,194,0.22,731,0.00,0.00,-0.056,16,2.69,-1.08,0.00
1909,14.86,194,0.23,728,0.00,0.00,-0.056,16,3.02,-1.08,0.78
2080,14.84,194,0.28,715,0.00,0.00,-0.052,16,4.12,-1.08,1.96
2252,14.94,194,0.41,816,0.00,0.00,-0.052,16,8.22,-1.08,3.53
2424,15.33,194,0.51,1235,0.00,0.00,-0.052,16,11.20,-1.08,4.71
2612,14.37,194,0.49,1555,0.00,0.00,-0.052,16,12.13,-1.08,5.49
2784,14.24,194,0.47,1718,0.00,0.00,-0.052,16,13.04,-1.16,5.49
2955,14.62,194,0.49,1609,0.00,0.00,-0.052,16,13.60,-1.12,5.88
3127,14.31,194,0.54,1506,0.00,0.00,-0.049,16,14.69,-1.08,6.67
3299,13.75,194,0.62,1388,0.00,0.00,-0.049,16,15.61,-1.08,7.45
3471,13.77,194,0.70,1418,0.00,0.00,-0.049,16,17.38,-1.08,9.02
3643,14.56,194,0.74,1534,0.00,0.00,-0.049,16,19.25,-1.08,9.80
3815,14.76,194,0.73,1760,0.00,0.00,-0.049,16,20.98,-1.14,10.20
4002,14.84,194,0.71,1867,0.00,0.00,-0.045,16,21.87,-1.24,10.20
4174,14.63,194,0.72,1858,0.00,0.00,-0.045,16,22.39,-1.24,10.59
4346,14.60,194,0.74,1839,0.00,0.00,-0.045,16,22.73,-1.24,10.59
4518,14.73,194,0.76,1828,0.00,0.00,-0.045,16,23.25,-1.24,10.98
4690,14.78,194,0.78,1782,0.00,0.00,-0.045,16,23.33,-1.20,10.98
4861,14.58,194,0.77,1974,0.00,0.00,-0.045,16,24.39,-1.26,10.98
5033,14.33,194,0.75,2044,0.00,0.00,-0.045,16,25.78,-1.35,10.98
5205,14.64,194,0.74,2241,0.00,0.00,-0.045,16,28.06,-1.47,11.76
5377,14.78,194,0.75,2386,0.00,0.00,-0.045,16,29.35,-1.51,12.16
