Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.00,14.36,8,0.27,1238,0.00,0.00,14.47,16,10.59,10.50,79,4.79,-9.96,5.56,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
88,0.00,0.00,14.36,8,0.27,1226,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.96,5.54,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
173,0.00,0.00,14.36,8,0.27,1225,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.96,5.50,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
261,0.00,0.00,14.36,8,0.27,1210,0.00,0.00,14.47,16,10.59,13.00,79,4.79,-9.96,5.50,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
348,0.00,0.00,14.36,8,0.27,1232,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.96,5.54,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
435,0.00,0.00,14.36,8,0.27,1222,0.00,0.00,14.47,16,10.59,10.50,79,4.79,-9.96,5.56,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
521,0.00,0.00,14.24,8,0.27,1220,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.96,5.46,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
608,0.00,0.00,14.36,8,0.27,1211,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.96,5.46,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
695,0.00,0.00,14.24,8,0.27,1219,0.00,0.00,14.47,16,10.59,12.50,79,4.79,-9.96,5.50,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
782,0.00,0.00,14.36,8,0.27,1222,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.96,5.46,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
869,0.00,0.00,14.36,8,0.27,1227,0.00,0.00,14.47,16,10.59,12.00,79,4.79,-9.96,5.50,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
955,0.00,0.00,14.36,8,0.27,1223,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-10.00,5.50,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
1042,0.00,0.00,14.36,8,0.27,1208,0.00,0.00,14.47,16,10.59,12.50,79,4.79,-9.96,5.46,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
1129,0.00,0.00,14.36,8,0.27,1214,0.00,0.00,14.47,16,10.59,13.00,79,4.79,-9.96,5.43,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
1215,0.00,0.00,14.24,8,0.27,1212,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.96,5.43,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
1302,0.00,0.00,14.24,8,0.27,1203,0.00,0.00,14.47,16,10.59,13.00,79,4.64,-9.98,5.40,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
1389,0.00,0.00,14.36,8,0.27,1203,0.00,0.00,14.47,16,10.59,12.50,79,4.79,-9.98,5.43,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
1476,-0.78,0.00,14.36,8,0.27,1197,0.00,0.00,14.47,16,10.59,12.50,79,4.79,-9.96,5.43,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
1563,-0.78,0.00,14.36,8,0.27,1205,0.00,0.00,14.47,16,10.59,12.00,79,4.79,-9.96,5.46,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
1650,-0.78,0.00,14.24,8,0.27,1198,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.92,5.37,1.42,0.00,-1.08,0.00,0.64,0.00,0.00,14.50
1737,-0.78,0.00,14.24,8,0.27,1212,0.00,0.00,14.47,16,10.59,12.50,79,4.79,-9.94,5.46,1.44,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
1823,-0.78,0.00,14.24,8,0.27,1213,0.00,0.00,14.47,16,10.59,11.00,79,4.79,-9.94,5.43,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
1910,0.00,0.00,14.24,8,0.27,1212,0.00,0.00,14.47,16,10.59,11.50,79,4.79,-9.96,5.40,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
1997,0.00,0.00,14.36,8,0.27,1211,0.00,0.00,14.47,16,10.59,11.00,79,4.79,-9.96,5.43,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
2084,0.00,0.00,14.36,8,0.27,1196,0.00,0.00,14.47,16,10.59,13.00,79,4.79,-9.94,5.43,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.40
2171,0.00,0.00,14.47,8,0.27,1206,0.00,0.00,14.47,16,10.59,10.50,79,4.79,-9.94,5.46,1.42,0.00,-1.39,0.00,0.64,0.00,0.00,14.50
