Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-4.69,-0.78,14.70,8,0.23,867,0.00,0.00,14.70,16,9.88,11.50,111,4.64,-10.11,3.38,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
87,-4.69,-0.78,14.70,8,0.23,858,0.00,0.00,14.70,16,9.88,10.50,111,4.64,-10.06,3.38,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
174,-4.69,-0.78,14.70,8,0.23,859,0.00,0.00,14.70,16,9.88,11.00,111,4.64,-10.09,3.34,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
261,-4.69,-0.78,14.70,8,0.24,862,0.00,0.00,14.70,16,9.88,10.50,111,4.64,-10.06,3.33,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
348,-4.69,-0.78,14.59,8,0.23,855,0.00,0.00,14.70,16,9.88,10.50,111,4.64,-10.06,3.38,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
434,-4.69,-0.78,14.59,8,0.23,857,0.00,0.00,14.70,16,9.88,11.00,111,4.64,-10.06,3.38,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
521,-4.69,-0.78,14.59,8,0.23,865,0.00,0.00,14.70,16,9.88,10.00,111,4.64,-10.06,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
607,-4.69,-0.78,14.47,8,0.23,868,0.00,0.00,14.70,16,9.88,10.00,111,4.64,-10.06,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
694,-5.47,-0.78,14.59,8,0.23,868,0.00,0.00,14.70,16,9.88,9.50,111,4.64,-10.11,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
781,-4.69,-0.78,14.47,8,0.24,858,0.00,0.00,14.70,16,9.88,10.50,111,4.64,-10.06,3.33,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
868,-5.47,-0.78,14.36,8,0.23,858,0.00,0.00,14.70,16,9.88,11.00,111,4.64,-10.06,3.34,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
955,-5.47,-0.78,14.47,8,0.24,847,0.00,0.00,14.70,16,9.88,11.50,111,4.64,-10.06,3.34,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
1042,-5.47,-0.78,14.36,8,0.23,844,0.00,0.00,14.70,16,9.88,13.00,111,4.64,-10.04,3.34,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1128,-5.47,-0.78,14.36,8,0.23,851,0.00,0.00,14.70,16,9.88,11.00,111,4.64,-10.02,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
1215,-4.69,-0.78,14.47,8,0.23,859,0.00,0.00,14.70,16,9.88,9.50,111,4.64,-10.02,3.33,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1302,-5.47,-0.78,14.59,8,0.24,843,0.00,0.00,14.70,16,9.88,11.50,111,4.64,-10.04,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1388,-5.47,-0.78,14.47,8,0.24,848,0.00,0.00,14.70,16,9.88,12.00,111,4.64,-10.02,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1475,-5.47,-0.78,14.47,8,0.24,839,0.00,0.00,14.70,16,9.88,11.50,111,4.64,-10.00,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1562,-5.47,-0.78,14.59,8,0.24,844,0.00,0.00,14.70,16,9.88,11.00,111,4.64,-10.02,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1648,-4.69,-0.78,14.70,8,0.24,844,0.00,0.00,14.70,16,9.88,10.50,111,4.79,-9.98,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1735,-4.69,-0.78,14.59,8,0.23,850,0.00,0.00,14.70,16,9.88,10.00,111,4.64,-10.00,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1822,-4.69,-0.78,14.70,8,0.23,855,0.00,0.00,14.70,16,9.88,9.50,111,4.64,-10.02,3.27,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
1910,-4.69,-0.78,14.70,8,0.23,851,0.00,0.00,14.70,16,9.88,9.50,111,4.79,-9.98,3.27,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1996,-5.47,-0.78,14.70,8,0.24,843,0.00,0.00,14.70,16,9.88,10.50,111,4.64,-10.02,3.30,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
2083,-4.69,-0.78,14.70,8,0.24,846,0.00,0.00,14.70,16,9.88,10.50,111,4.64,-10.02,3.33,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
2169,-5.47,-0.78,14.59,8,0.24,832,0.00,0.00,14.70,16,9.88,10.00,111,4.79,-10.00,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
2256,-5.47,-0.78,14.59,8,0.24,837,0.00,0.00,14.70,16,9.88,10.50,111,4.79,-9.98,3.34,1.24,0.00,-1.08,0.00,0.66,0.00,0.00,14.70
2342,-4.69,-0.78,14.59,8,0.54,846,0.00,0.00,11.44,16,10.23,10.00,111,5.22,-9.94,3.38,1.28,0.00,-1.08,4.31,0.92,0.00,0.00,14.70
2429,-5.47,-0.78,14.59,8,0.76,846,0.00,0.00,11.31,16,24.30,21.00,111,9.00,-5.76,15.65,1.70,0.00,-1.08,17.25,1.34,0.00,0.00,14.70
2516,-5.47,0.00,14.70,8,0.96,886,0.00,0.00,12.94,16,26.05,24.00,111,13.93,-0.77,28.79,2.06,7.84,-4.18,28.63,1.64,0.00,0.00,14.70
