Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,13.09,0.18,2740,0.00,0.00,16,32.03,33.00,5.80,16.50,-4.25,0.82
172,13.09,0.17,2749,0.00,0.00,16,28.16,31.50,5.80,16.44,-4.25,0.82
344,13.21,0.18,2780,0.00,0.00,16,32.38,32.00,5.80,16.57,-4.25,0.82
516,12.98,0.18,2792,0.00,0.00,16,33.09,27.00,5.80,16.57,-4.25,0.82
703,13.09,0.17,2786,0.00,0.00,16,27.81,29.00,5.80,16.27,-4.25,0.82
875,13.32,0.18,2808,0.00,0.00,16,30.27,32.00,5.80,16.80,-4.25,0.82
1047,12.98,0.18,2797,0.00,0.00,16,31.68,31.00,5.80,16.72,-4.25,0.80
1219,12.86,0.17,2807,0.00,0.00,16,27.81,29.50,5.66,16.50,-4.25,0.80
1391,12.63,0.17,2817,0.00,0.00,16,27.81,28.50,5.66,16.43,-4.25,0.80
1563,12.75,0.12,2737,0.00,0.00,16,-8.40,7.00,4.79,9.53,-4.25,0.64
1735,12.06,0.12,2534,0.00,0.00,16,-10.16,-9.50,3.77,10.17,-3.35,0.64
1907,14.36,0.11,2193,0.00,0.00,16,14.80,15.00,3.92,8.22,-2.73,0.64
2094,16.65,0.09,1889,0.00,0.00,16,14.10,14.00,3.77,6.01,-1.80,0.64
2266,23.31,0.09,1668,0.00,0.00,16,14.10,14.00,3.63,5.43,-1.49,0.64
2438,23.54,0.13,1439,0.00,0.00,16,14.10,14.00,3.77,5.98,-1.49,0.64
2610,23.54,0.13,1275,0.00,0.00,16,14.10,22.00,3.92,5.43,-1.49,0.64
2781,24.00,0.12,1308,0.00,0.00,16,14.10,18.50,3.92,5.08,-1.49,0.64
2953,23.54,0.12,1285,0.00,0.00,16,14.10,19.50,3.63,5.08,-1.49,0.64
