Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-4.69,0.00,14.81,8,0.28,819,0.00,0.00,14.30,16,9.88,10.50,90,5.66,-8.91,3.84,1.30,0.00,0.64,14.90
71,-4.69,0.00,14.81,8,0.28,813,0.00,0.00,14.30,16,9.88,11.00,90,5.80,-8.95,3.92,1.30,0.00,0.64,14.90
141,-4.69,0.00,14.81,8,0.28,822,0.00,0.00,14.30,16,9.88,10.00,90,5.80,-8.91,3.89,1.30,0.00,0.64,14.80
212,-4.69,0.00,14.93,8,0.29,821,0.00,0.00,14.31,16,9.88,10.00,90,5.80,-8.91,3.89,1.32,0.00,0.64,14.80
283,-3.91,0.00,14.93,8,0.29,815,0.00,0.00,14.32,16,9.88,10.50,90,5.80,-8.91,3.92,1.32,0.00,0.64,14.90
354,-3.91,0.00,15.16,8,0.29,824,0.00,0.00,14.32,16,9.88,9.50,90,5.80,-8.89,3.92,1.30,0.00,0.64,14.90
424,-3.12,0.00,15.16,8,0.29,818,0.00,0.00,14.33,16,9.88,10.50,90,5.80,-8.89,3.92,1.30,0.00,0.64,15.00
495,-2.34,0.00,15.39,8,0.29,818,0.00,0.00,14.34,16,9.88,10.50,90,5.80,-8.88,3.92,1.32,0.00,0.64,15.00
565,-2.34,0.00,15.27,8,0.29,816,0.00,0.00,14.34,16,9.88,10.50,90,5.80,-8.86,3.93,1.32,0.00,0.64,15.00
636,-2.34,0.00,15.50,8,0.29,821,0.00,0.00,14.34,16,9.88,9.50,90,5.80,-8.88,3.93,1.30,0.00,0.64,15.20
707,-2.34,0.00,15.27,8,0.29,813,0.00,0.00,14.35,16,9.88,11.50,90,5.80,-8.84,3.93,1.32,0.00,0.64,15.40
