Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Vehicle Speed Ratio Calculation* (raw),Gear (Calculated)* (position)
11141,-1.56,0.00,14.36,8,0.31,1154,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.17,5.89,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
11235,-1.56,0.00,14.47,8,0.31,1149,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
11328,-1.56,0.00,14.59,8,0.31,1149,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
11422,-1.56,0.00,14.47,8,0.31,1143,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
11516,-2.34,0.00,14.47,8,0.31,1138,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.13,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
11609,-2.34,0.00,14.36,8,0.31,1140,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.13,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
11703,-2.34,0.00,14.36,8,0.31,1140,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.11,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
11798,-2.34,0.00,14.36,8,0.31,1151,0.00,0.00,14.59,14,10.23,8.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
11890,-2.34,0.00,14.36,8,0.31,1154,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.18,5.83,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
11984,-2.34,0.00,14.36,8,0.31,1140,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
12078,-2.34,0.00,14.47,8,0.31,1089,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
12171,-1.56,0.00,14.47,8,0.31,1151,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
12265,-1.56,0.00,14.59,8,0.31,1142,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.18,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
12357,-1.56,0.00,14.47,8,0.31,1148,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
12452,-1.56,0.00,14.59,8,0.31,1150,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.15,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
12546,-1.56,0.00,14.59,8,0.32,1121,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.13,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
12639,-1.56,0.00,14.59,8,0.31,1130,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.11,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.70
12733,-1.56,0.00,14.59,8,0.31,1139,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.15,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
12826,-1.56,0.00,14.59,8,0.31,1152,0.00,0.00,14.59,14,10.23,10.00,93,5.66,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
12920,-1.56,0.00,14.59,8,0.31,1146,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.70
13013,-1.56,0.00,14.59,8,0.31,1149,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.70
13107,-1.56,0.00,14.47,8,0.31,1144,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
13201,-1.56,0.00,14.47,8,0.31,1142,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.13,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
13294,-1.56,0.00,14.47,8,0.31,1133,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.15,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
13388,-1.56,0.00,14.36,8,0.31,1142,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.13,5.85,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
13482,-2.34,0.00,14.36,8,0.31,1146,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.15,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.40
13575,-1.56,0.00,14.36,8,0.31,1143,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
13669,-1.56,0.00,14.47,8,0.30,1148,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.18,5.85,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
13762,-2.34,0.00,14.24,8,0.31,1152,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
13855,-2.34,0.00,14.36,8,0.30,1152,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.20,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
13949,-2.34,0.00,14.36,8,0.31,1147,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
