Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Vehicle Speed Ratio Calculation* (raw),Gear (Calculated)* (position)
2528,-1.56,0.00,14.36,8,0.31,1141,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.11,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
2622,-1.56,0.00,14.36,8,0.31,1146,0.00,0.00,14.59,14,10.23,9.50,91,5.51,-9.11,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
2716,-1.56,0.00,14.47,8,0.31,1156,0.00,0.00,14.59,14,10.23,10.00,91,5.51,-9.11,5.98,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
2809,-1.56,0.00,14.47,8,0.31,1155,0.00,0.00,14.59,14,10.23,11.50,91,5.66,-9.15,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
2903,-1.56,0.00,14.59,8,0.31,1147,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.11,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
2996,-1.56,0.00,14.47,8,0.31,1150,0.00,0.00,14.59,14,10.23,11.50,91,5.66,-9.13,5.98,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3090,-1.56,0.00,14.59,8,0.31,1138,0.00,0.00,14.59,14,10.23,10.50,91,5.66,-9.11,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3184,-1.56,0.00,14.47,8,0.31,1153,0.00,0.00,14.59,14,10.23,9.50,91,5.66,-9.11,6.02,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3277,-1.56,0.00,14.47,8,0.31,1160,0.00,0.00,14.59,14,10.23,9.50,91,5.66,-9.13,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3371,-1.56,0.00,14.47,8,0.31,1149,0.00,0.00,14.59,14,10.23,9.50,91,5.51,-9.13,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3464,-1.56,0.00,14.59,8,0.31,1158,0.00,0.00,14.59,14,10.23,10.00,91,5.51,-9.11,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
