Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,1.56,0.00,14.59,8,115,0.30,1118,0.00,0.00,14.47,16,10.23,10.50,77,5.51,-9.15,5.52,1.44,0.00,0.64,0.00
73,1.56,0.00,14.59,8,115,0.30,1103,0.00,0.00,14.47,16,10.23,11.50,77,5.51,-9.17,5.52,1.44,0.00,0.64,0.00
147,1.56,0.00,14.47,8,115,0.30,1101,0.00,0.00,14.47,16,10.23,11.50,77,5.51,-9.13,5.52,1.44,0.00,0.64,0.00
219,1.56,0.00,14.59,8,115,0.30,1106,0.00,0.00,14.47,16,10.23,12.00,77,5.51,-9.17,5.55,1.44,0.00,0.64,0.00
293,1.56,0.00,14.47,8,115,0.29,1113,0.00,0.00,14.47,16,10.23,10.50,77,5.51,-9.17,5.52,1.44,0.00,0.64,0.00
366,1.56,0.00,14.59,8,115,0.30,1113,0.00,0.00,14.47,16,10.23,9.50,77,5.51,-9.15,5.52,1.44,0.00,0.64,0.00
439,1.56,0.00,14.59,8,115,0.30,1094,0.00,0.00,14.47,16,10.23,10.50,77,5.51,-9.18,5.52,1.44,0.00,0.64,0.00
511,2.34,0.00,14.70,8,115,0.30,1118,0.00,0.00,14.47,16,10.23,13.00,77,5.51,-9.17,5.55,1.44,0.00,0.64,0.00
585,2.34,0.00,14.59,8,115,0.30,1120,0.00,0.00,14.47,16,10.23,10.00,77,5.51,-9.17,5.52,1.44,0.00,0.64,0.00
658,2.34,0.00,14.59,8,115,0.29,1114,0.00,0.00,14.47,16,10.23,9.50,77,5.51,-9.18,5.52,1.44,0.00,0.64,0.00
731,1.56,0.00,14.59,8,115,0.30,1108,0.00,0.00,14.47,16,10.23,11.50,77,5.51,-9.18,5.52,1.44,0.00,0.64,0.00
804,2.34,0.00,14.47,8,115,0.30,1090,0.00,0.00,14.47,16,10.23,13.00,77,5.51,-9.17,5.52,1.44,0.00,0.64,0.00
877,2.34,0.00,14.47,8,115,0.30,1121,0.00,0.00,14.47,16,10.23,10.00,77,5.51,-9.18,5.52,1.44,0.00,0.64,0.00
950,1.56,0.00,14.47,8,115,0.29,1126,0.00,0.00,14.47,16,10.23,9.50,77,5.51,-9.20,5.52,1.44,0.00,0.64,0.00
1023,2.34,0.00,14.47,8,115,0.29,1124,0.00,0.00,14.47,16,10.23,10.00,77,5.51,-9.20,5.49,1.44,0.00,0.64,0.00
1096,2.34,0.00,14.47,8,115,0.29,1122,0.00,0.00,14.47,16,10.23,10.00,77,5.51,-9.20,5.46,1.44,0.00,0.64,0.00
1169,1.56,0.00,14.47,8,115,0.29,1125,0.00,0.00,14.47,16,10.23,10.50,77,5.51,-9.24,5.46,1.44,0.00,0.64,0.00
