Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-3.91,-3.91,14.70,8,0.27,816,0.00,0.00,14.70,16,9.88,8.50,109,5.22,-9.44,3.62,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
87,-3.91,-3.91,14.70,8,0.27,824,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.44,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
173,-3.91,-3.91,14.81,8,0.27,816,0.00,0.00,14.70,16,9.88,10.50,109,5.22,-9.42,3.60,1.26,0.00,-1.08,0.00,0.66,0.00,0.00,14.80
260,-3.91,-3.91,14.70,8,0.27,806,0.00,0.00,14.70,16,9.88,9.50,109,5.37,-9.44,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90
347,-4.69,-3.91,14.70,8,0.26,818,0.00,0.00,14.70,16,9.88,10.00,109,5.22,-9.44,3.62,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
434,-3.91,-3.91,14.70,8,0.26,823,0.00,0.00,14.70,16,9.88,8.00,109,5.22,-9.46,3.60,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
521,-3.91,-3.91,14.59,8,0.26,827,0.00,0.00,14.70,16,9.88,8.50,109,5.22,-9.44,3.60,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,0.00
607,-3.91,-3.91,14.70,8,0.27,826,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.48,3.62,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
694,-3.91,-3.91,14.70,8,0.27,816,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.44,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
780,-3.91,-3.91,14.70,8,0.27,820,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.46,3.62,1.26,0.00,-1.08,0.00,0.66,0.00,0.00,14.80
868,-3.91,-3.91,14.81,8,0.26,818,0.00,0.00,14.70,16,9.88,8.50,109,5.22,-9.48,3.60,1.26,0.00,-1.08,0.00,0.66,0.00,0.00,0.00
954,-3.91,-3.91,14.81,8,0.26,820,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.48,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
1041,-3.91,-3.91,14.81,8,0.27,816,0.00,0.00,14.70,16,9.88,11.50,109,5.22,-9.48,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,0.00
1129,-3.91,-3.91,14.70,8,0.27,802,0.00,0.00,14.70,16,9.88,10.50,109,5.22,-9.44,3.60,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.00
1214,-4.69,-3.91,14.81,8,0.27,816,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.44,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90
1302,-4.69,-3.91,14.59,8,0.27,814,0.00,0.00,14.70,16,9.88,10.50,109,5.22,-9.44,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90
1388,-4.69,-3.91,14.47,8,0.26,807,0.00,0.00,14.70,16,9.88,11.50,109,5.22,-9.44,3.62,1.26,0.00,-1.08,0.00,0.66,0.00,0.00,14.80
1475,-4.69,-3.91,14.59,8,0.27,812,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.44,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80
1562,-4.69,-3.91,14.36,8,0.26,812,0.00,0.00,14.70,16,9.88,9.00,109,5.22,-9.44,3.60,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,0.00
1648,-5.47,-3.91,14.36,8,0.27,820,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.44,3.60,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,0.00
1735,-4.69,-3.91,14.36,8,0.27,814,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.44,3.62,1.28,0.00,-1.08,0.00,0.66,0.00,0.00,0.00
1822,-4.69,-3.91,14.59,8,0.26,812,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.44,3.60,1.28,0.00,-1.08,0.00,0.66,0.00,0.00,0.00
1908,-4.69,-3.91,14.59,8,0.27,814,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.44,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1996,-3.91,-3.91,14.59,8,0.27,802,0.00,0.00,14.70,16,9.88,9.50,109,5.22,-9.38,3.60,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
