Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,3.12,0.00,14.36,8,0.29,1222,0.00,0.00,14.59,16,10.59,10.50,5.22,5.96,1.46,0.64,14.60
61,3.12,0.00,14.36,8,0.29,1207,0.00,0.00,14.59,16,10.59,12.50,5.22,6.02,1.46,0.64,14.50
122,2.34,0.00,14.36,8,0.30,1214,0.00,0.00,14.59,16,10.59,11.50,5.22,5.98,1.46,0.64,14.50
184,3.12,0.00,14.47,8,0.29,1228,0.00,0.00,14.59,16,10.59,10.00,5.22,5.98,1.46,0.64,14.60
246,3.12,0.00,14.36,8,0.29,1226,0.00,0.00,14.59,16,10.59,10.50,5.22,5.98,1.46,0.64,14.60
308,2.34,0.00,14.36,8,0.29,1225,0.00,0.00,14.59,16,10.59,10.50,5.22,5.96,1.46,0.64,14.60
370,3.12,0.00,14.47,8,0.29,1225,0.00,0.00,14.59,16,10.59,13.00,5.22,5.92,1.46,0.64,14.50
431,3.12,0.00,14.36,8,0.30,1200,0.00,0.00,14.59,16,10.59,12.00,5.22,6.02,1.46,0.64,14.50
492,2.34,0.00,14.36,8,0.30,1206,0.00,0.00,14.59,16,10.59,12.00,5.22,6.05,1.46,0.64,14.60
554,3.12,0.00,14.47,8,0.29,1220,0.00,0.00,14.59,16,10.59,10.50,5.22,5.92,1.46,0.64,14.60
615,3.12,0.00,14.47,8,0.29,1228,0.00,0.00,14.59,16,10.59,10.00,5.22,5.96,1.46,0.64,14.60
677,3.12,0.00,14.36,8,0.29,1210,0.00,0.00,14.59,16,10.59,12.00,5.22,5.92,1.46,0.64,14.60
