Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,3.12,0.00,15.39,8,169,0.53,1128,0.00,0.00,14.69,16,28.87,28.50,99,9.43,-5.36,10.17,1.72,0.00,0.80,15.40
73,3.12,0.00,15.27,8,169,0.53,1184,0.00,0.00,14.69,16,28.87,28.50,99,9.29,-5.41,10.03,1.72,0.00,0.80,15.30
146,3.12,0.00,15.27,8,169,0.53,1188,0.00,0.00,14.69,16,28.87,28.50,99,9.29,-5.49,10.13,1.72,0.00,0.80,15.30
220,3.91,0.00,15.27,8,169,0.52,1184,0.00,0.00,14.69,16,28.52,28.50,99,9.14,-5.63,10.28,1.72,0.00,0.80,15.30
292,3.91,0.00,15.16,8,169,0.52,1208,0.00,0.00,14.69,16,28.52,28.50,99,9.14,-5.74,10.33,1.74,0.00,0.80,15.20
365,4.69,0.00,15.27,8,169,0.51,1233,0.00,0.00,14.69,16,28.16,28.00,99,9.00,-5.84,10.38,1.74,0.00,0.80,15.20
439,4.69,0.00,15.27,8,169,0.51,1228,0.00,0.00,14.69,16,27.81,28.00,99,8.85,-5.98,10.49,1.74,0.00,0.80,15.20
511,4.69,0.00,15.16,8,169,0.50,1262,0.00,0.00,14.69,16,27.81,27.50,99,8.56,-6.11,10.48,1.74,0.00,0.80,15.10
584,4.69,0.00,15.04,8,169,0.50,1273,0.00,0.00,15.13,16,27.81,27.00,99,8.56,-6.28,10.43,1.74,0.00,0.80,15.00
658,4.69,0.00,14.93,8,169,0.48,1306,0.00,0.00,14.70,16,27.11,27.00,99,8.42,-6.40,10.43,1.72,0.00,0.80,15.00
730,4.69,0.00,14.81,8,169,0.47,1311,0.00,0.00,14.70,16,26.76,26.50,99,8.27,-6.50,10.23,1.72,0.00,0.80,14.80
804,4.69,0.00,14.81,8,169,0.47,1332,0.00,0.00,14.70,16,26.76,26.50,99,8.13,-6.59,10.43,1.74,0.00,0.80,14.80
877,4.69,0.00,14.70,8,169,0.47,1335,0.00,0.00,14.70,16,26.76,26.50,99,8.13,-6.69,10.38,1.74,0.00,0.80,14.90
950,5.47,0.00,14.81,8,169,0.46,1356,0.00,0.00,14.70,16,26.76,26.50,99,7.98,-6.79,10.48,1.74,0.00,0.80,14.90
1022,5.47,0.00,14.81,8,169,0.46,1363,0.00,0.00,14.70,16,27.11,26.50,99,7.98,-6.85,10.49,1.74,0.00,0.80,14.80
1095,5.47,0.00,14.93,8,169,0.45,1379,0.00,0.00,14.70,16,26.76,27.00,99,7.84,-6.90,10.54,1.74,0.00,0.80,14.90
1169,5.47,0.00,14.93,8,169,0.44,1397,0.00,0.00,14.70,16,26.76,27.00,99,7.69,-6.98,10.45,1.74,0.00,0.80,14.90
1243,4.69,0.00,14.59,8,169,0.44,1414,0.00,0.00,14.73,16,27.11,27.00,99,7.69,-7.04,10.38,1.74,0.00,0.80,14.90
1315,4.69,0.00,14.59,8,169,0.43,1448,0.00,0.00,14.73,16,27.11,27.00,99,7.69,-7.12,10.33,1.74,0.00,0.80,14.70
1388,4.69,0.00,14.59,8,169,0.42,1452,0.00,0.00,14.73,16,27.11,27.00,99,7.55,-7.19,10.33,1.74,0.00,0.80,14.70
1460,4.69,0.00,14.59,8,169,0.43,1471,0.00,0.00,14.73,16,27.46,27.00,99,7.55,-7.27,10.48,1.74,0.00,0.80,14.70
1534,4.69,0.00,14.59,8,169,0.42,1488,0.00,0.00,14.73,16,27.81,27.00,99,7.40,-7.33,10.43,1.74,0.00,0.80,14.60
1607,4.69,0.00,14.59,8,169,0.42,1498,0.00,0.00,14.73,16,28.16,27.50,99,7.40,-7.41,10.45,1.74,0.00,0.80,14.60
1680,4.69,0.00,14.70,8,169,0.42,1516,0.00,0.00,14.73,16,27.81,28.00,99,7.25,-7.44,10.48,1.74,0.00,0.82,14.70
1753,3.91,0.00,14.59,8,169,0.41,1506,0.00,0.00,14.73,16,27.81,28.00,99,7.25,-7.52,10.45,1.74,0.00,0.80,14.70
1826,3.91,0.00,14.47,8,169,0.40,1524,0.00,0.00,14.73,16,28.16,28.50,99,7.11,-7.58,10.48,1.74,0.00,0.80,14.60
1899,3.91,0.00,14.36,8,169,0.40,1539,0.00,0.00,14.73,16,28.16,28.00,99,7.11,-7.64,10.38,1.74,0.00,0.80,14.60
1972,3.91,0.00,14.36,8,169,0.40,1548,0.00,0.00,14.73,16,28.52,28.50,97,7.11,-7.70,10.28,1.74,0.00,0.82,14.60
2045,3.12,0.00,14.47,8,169,0.40,1571,0.00,0.00,14.73,16,28.87,28.50,97,6.96,-7.75,10.47,1.74,0.00,0.80,14.50
2118,3.91,0.00,14.47,8,169,0.40,1565,0.00,0.00,14.73,16,28.87,28.50,97,6.96,-7.77,10.38,1.74,0.00,0.80,14.60
2192,3.91,0.00,14.47,8,169,0.40,1564,0.00,0.00,14.73,16,28.87,28.50,97,6.96,-7.83,10.45,1.74,0.00,0.82,14.50
2265,3.91,0.00,14.59,8,169,0.39,1572,0.00,0.00,14.73,16,29.22,29.00,97,6.82,-7.87,10.28,1.74,0.00,0.80,14.50
2338,3.91,0.00,14.47,8,169,0.40,1584,0.00,0.00,14.73,16,29.22,28.50,97,6.82,-7.93,10.43,1.74,0.00,0.80,14.50
2411,3.12,0.00,14.36,8,169,0.39,1573,0.00,0.00,14.73,16,29.22,29.00,97,6.82,-7.97,10.45,1.74,0.00,0.80,14.60
2484,3.12,0.00,14.47,8,169,0.39,1588,0.00,0.00,14.73,16,29.57,29.50,97,6.67,-8.01,10.43,1.74,0.00,0.80,14.50
2557,3.12,0.00,14.47,8,169,0.39,1606,0.00,0.00,14.73,16,29.22,29.50,97,6.67,-8.02,10.38,1.74,0.00,0.80,14.50
2630,3.12,0.00,14.47,8,169,0.38,1615,0.00,0.00,14.73,16,29.57,29.50,97,6.67,-8.12,10.33,1.74,0.00,0.80,14.50
2703,3.91,0.00,14.59,8,169,0.38,1632,0.00,0.00,14.73,16,29.92,29.50,97,6.53,-8.18,10.38,1.72,0.00,0.80,14.60
2776,3.91,0.00,14.59,8,169,0.37,1636,0.00,0.00,14.73,16,29.92,29.50,97,6.53,-8.22,10.17,1.72,0.00,0.80,14.60
2849,3.12,0.00,14.59,8,169,0.37,1652,0.00,0.00,14.73,16,29.92,30.00,97,6.53,-8.28,10.28,1.74,0.00,0.80,14.60
2922,3.91,0.00,14.59,8,169,0.37,1648,0.00,0.00,14.73,16,29.92,29.50,97,6.38,-8.30,10.23,1.72,0.00,0.80,14.60
