Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
10006,0.78,0.00,14.59,8,163,0.30,992,0.00,0.00,14.70,16,9.88,8.00,77,5.66,-9.07,4.91,1.40,0.00,0.64,14.60
10080,0.78,0.00,14.47,8,163,0.30,988,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.01,4.95,1.40,0.00,0.64,14.60
10153,0.78,0.00,14.47,8,163,0.30,988,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.07,4.97,1.40,0.00,0.64,14.70
10225,0.78,0.00,14.36,8,163,0.30,986,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.05,4.91,1.40,0.00,0.64,14.60
10297,0.78,0.00,14.47,8,163,0.30,986,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.01,4.95,1.40,0.00,0.64,14.60
10371,0.78,0.00,14.59,8,163,0.31,974,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.01,4.95,1.40,0.00,0.64,14.60
10444,0.78,0.00,14.47,8,163,0.30,983,0.00,0.00,14.70,16,9.88,11.00,77,5.66,-8.99,4.91,1.38,0.00,0.64,14.60
10517,0.78,0.00,14.47,8,163,0.30,978,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.01,4.91,1.38,0.00,0.64,14.60
10590,0.78,0.00,14.47,8,163,0.29,1001,0.00,0.00,14.70,16,9.88,7.50,77,5.66,-9.03,4.91,1.40,0.00,0.64,14.60
10663,0.00,0.00,14.36,8,163,0.29,988,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.05,4.88,1.40,0.00,0.64,14.60
10736,0.78,0.00,14.47,8,163,0.30,988,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.09,4.91,1.40,0.00,0.64,14.60
10810,0.78,0.00,14.47,8,163,0.31,972,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.01,4.97,1.40,0.00,0.64,14.60
10882,0.78,0.00,14.59,8,163,0.31,980,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.01,4.97,1.40,0.00,0.64,14.60
10955,0.78,0.00,14.47,8,163,0.30,980,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.01,4.95,1.40,0.00,0.64,14.60
11028,0.78,0.00,14.59,8,163,0.30,981,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.01,4.91,1.40,0.00,0.64,14.60
11102,0.78,0.00,14.59,8,163,0.30,986,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.03,4.91,1.40,0.00,0.64,14.60
11174,0.78,0.00,14.47,8,163,0.30,979,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-8.99,4.88,1.40,0.00,0.64,14.60
11247,0.00,0.00,14.47,8,163,0.30,974,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.03,4.88,1.38,0.00,0.64,14.60
11321,0.78,0.00,14.47,8,163,0.30,984,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.01,4.85,1.38,0.00,0.64,14.60
11393,0.00,0.00,14.47,8,163,0.30,980,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.03,4.88,1.38,0.00,0.64,14.70
11467,0.78,0.00,14.47,8,163,0.30,988,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.05,4.85,1.40,0.00,0.64,14.70
11540,0.78,0.00,14.47,8,163,0.30,978,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-9.01,4.91,1.40,0.00,0.64,14.60
11613,0.00,0.00,14.59,8,163,0.30,982,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.03,4.91,1.40,0.00,0.64,14.60
11685,0.78,0.00,14.47,8,163,0.30,980,0.00,0.00,14.70,16,9.88,11.50,77,5.66,-8.99,4.91,1.40,0.00,0.64,14.60
11759,0.78,0.00,14.70,8,163,0.30,976,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-8.99,4.97,1.40,0.00,0.64,14.70
11831,0.78,0.00,14.70,8,163,0.30,984,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-8.99,4.91,1.40,0.00,0.64,14.60
11904,0.78,0.00,14.70,8,163,0.30,984,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-8.99,4.91,1.40,0.00,0.64,14.60
11978,0.78,0.00,14.81,8,163,0.30,986,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.01,4.88,1.40,0.00,0.64,14.60
12051,1.56,0.00,14.81,8,163,0.30,981,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.01,4.91,1.40,0.00,0.64,14.70
12124,0.78,0.00,14.81,8,165,0.30,986,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.01,4.91,1.40,0.00,0.64,14.80
12197,1.56,0.00,14.81,8,165,0.30,986,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.03,4.91,1.40,0.00,0.64,14.80
12270,0.78,0.00,14.70,8,165,0.30,986,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.01,4.91,1.38,0.00,0.64,14.80
12343,0.78,0.00,14.70,8,165,0.30,976,0.00,0.00,14.70,16,9.88,8.00,77,5.66,-9.07,4.91,1.40,0.00,0.64,14.80
12417,0.78,0.00,14.70,8,165,0.30,986,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.03,4.97,1.40,0.00,0.64,14.80
12489,0.78,0.00,14.59,8,165,0.30,974,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.03,4.97,1.40,0.00,0.64,14.80
12562,1.56,0.00,14.70,8,165,0.30,985,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.05,4.91,1.40,0.00,0.64,14.80
12635,0.78,0.00,14.59,8,165,0.30,986,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.01,4.88,1.38,0.00,0.64,14.70
12708,0.78,0.00,14.70,8,165,0.30,992,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-9.03,4.88,1.38,0.00,0.64,14.70
12780,1.56,0.00,14.70,8,165,0.30,994,0.00,0.00,14.70,16,9.88,8.00,77,5.66,-9.05,4.91,1.40,0.00,0.64,14.70
