Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-2.34,0.78,14.81,8,0.25,812,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
65,-2.34,0.78,14.93,8,0.25,817,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
132,-2.34,0.78,14.81,8,0.25,812,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
203,-2.34,0.78,14.81,8,0.25,820,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.24,0.00,0.66,14.80
275,-2.34,0.78,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.90
342,-2.34,0.78,14.81,8,0.26,814,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.28,0.00,0.66,14.90
410,-2.34,0.78,14.81,8,0.25,807,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.24,0.00,0.66,14.90
475,-2.34,0.78,14.81,8,0.25,816,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.40,3.45,1.26,0.00,0.66,15.00
549,-3.12,0.78,14.70,8,0.25,820,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.90
611,-2.34,0.78,14.70,8,0.25,816,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.42,3.45,1.28,0.00,0.66,14.90
685,-2.34,0.78,14.59,8,0.26,800,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.38,3.45,1.26,0.00,0.66,14.80
755,-2.34,0.78,14.81,8,0.26,800,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
819,-2.34,0.78,14.70,8,0.26,798,0.00,0.00,14.70,16,9.88,11.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
889,-2.34,0.78,14.70,8,0.25,807,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.45,1.28,0.00,0.66,14.80
959,-2.34,0.78,14.81,8,0.25,807,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.42,1.26,0.00,0.66,14.80
1027,-2.34,0.78,14.81,8,0.25,814,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.70
1097,-2.34,0.78,14.81,8,0.25,819,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
1165,-2.34,0.78,14.70,8,0.25,813,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.28,0.00,0.66,14.80
1233,-2.34,0.78,14.81,8,0.26,807,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
1301,-2.34,0.78,14.70,8,0.26,802,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.45,1.24,0.00,0.66,14.80
1365,-2.34,0.78,14.70,8,0.26,804,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
1439,-3.12,0.78,14.70,8,0.25,810,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.36,3.45,1.28,0.00,0.66,14.80
1507,-2.34,0.78,14.59,8,0.25,820,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
1577,-3.12,0.78,14.59,8,0.25,818,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
1643,-3.12,0.78,14.59,8,0.25,822,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.42,3.45,1.26,0.00,0.66,14.80
1706,-3.12,0.78,14.59,8,0.26,821,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.40,3.45,1.26,0.00,0.66,14.80
1781,-2.34,0.78,14.70,8,0.26,806,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.28,0.00,0.66,14.70
1850,-2.34,0.78,14.70,8,0.26,811,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
1919,-2.34,0.78,14.81,8,0.26,793,0.00,0.00,14.70,16,9.88,11.00,5.37,-9.36,3.45,1.26,0.00,0.66,14.70
1981,-2.34,0.78,14.81,8,0.26,795,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.36,3.45,1.28,0.00,0.66,14.70
2055,-2.34,0.78,14.70,8,0.26,794,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.45,1.26,0.00,0.66,14.70
2117,-2.34,0.78,14.81,8,0.26,805,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.36,3.45,1.26,0.00,0.66,14.80
2189,-2.34,0.78,14.81,8,0.26,803,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.49,1.26,0.00,0.66,14.80
2256,-2.34,0.78,14.81,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.28,0.00,0.66,14.80
2329,-2.34,0.78,14.70,8,0.25,814,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.36,3.47,1.26,0.00,0.66,14.80
2397,-2.34,0.78,14.70,8,0.25,820,0.00,0.00,14.70,16,9.88,8.00,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
2466,-2.34,0.78,14.70,8,0.25,816,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.36,3.45,1.26,0.00,0.66,14.80
2535,-2.34,0.78,14.70,8,0.25,818,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
2603,-2.34,0.78,14.59,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.28,0.00,0.66,14.80
2670,-2.34,0.78,14.70,8,0.25,815,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.40,3.45,1.26,0.00,0.66,14.80
2740,-2.34,0.78,14.70,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.40,3.45,1.24,0.00,0.66,14.70
2808,-2.34,0.78,14.70,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
2872,-2.34,0.78,14.81,8,0.26,810,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.28,0.00,0.66,14.80
2945,-2.34,0.00,14.81,8,0.26,806,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
3011,-1.56,0.00,14.81,8,0.26,812,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
3081,-2.34,0.00,14.81,8,0.25,805,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.26,0.00,0.66,14.80
3149,-1.56,0.00,14.81,8,0.25,813,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.45,1.26,0.00,0.66,14.80
3219,-2.34,0.00,14.81,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
3287,-1.56,0.00,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.90
3356,-2.34,0.00,14.70,8,0.25,814,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.90
3427,-2.34,0.00,14.70,8,0.25,816,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.40,3.45,1.28,0.00,0.66,14.80
3492,-2.34,0.00,14.70,8,0.25,820,0.00,0.00,14.70,16,9.88,8.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
3560,-2.34,0.00,14.70,8,0.25,824,0.00,0.00,14.70,16,9.88,8.00,5.37,-9.42,3.47,1.24,0.00,0.66,14.80
3624,-2.34,0.00,14.59,8,0.25,823,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.44,3.45,1.26,0.00,0.66,14.80
3698,-2.34,0.00,14.70,8,0.25,816,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.42,3.45,1.26,0.00,0.66,14.80
3759,-2.34,0.00,14.70,8,0.25,818,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.44,3.45,1.28,0.00,0.66,14.80
3834,-2.34,0.00,14.70,8,0.25,820,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.44,3.45,1.26,0.00,0.66,14.80
3903,-1.56,0.00,14.70,8,0.25,806,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.44,3.42,1.24,0.00,0.66,14.80
3965,-2.34,0.00,14.59,8,0.26,806,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.42,3.45,1.26,0.00,0.66,14.70
4041,-2.34,0.00,14.70,8,0.26,809,0.00,0.00,14.70,16,9.88,10.00,5.22,-9.42,3.49,1.28,0.00,0.66,14.80
4108,-2.34,0.00,14.59,8,0.25,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
4176,-2.34,0.00,14.59,8,0.25,818,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.44,3.45,1.24,0.00,0.66,14.80
4239,-2.34,0.00,14.47,8,0.25,809,0.00,0.00,14.70,16,9.88,10.00,5.22,-9.38,3.45,1.26,0.00,0.66,14.80
4312,-2.34,0.00,14.70,8,0.25,818,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.42,3.45,1.26,0.00,0.66,14.80
4378,-3.12,0.00,14.47,8,0.26,802,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.38,3.45,1.28,0.00,0.66,14.70
4450,-2.34,0.00,14.59,8,0.26,804,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.45,1.26,0.00,0.66,14.70
4517,-3.12,0.00,14.36,8,0.25,808,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.40,3.45,1.24,0.00,0.66,14.70
4581,-2.34,0.00,14.47,8,0.25,817,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.42,3.45,1.26,0.00,0.66,14.70
4648,-3.12,0.00,14.59,8,0.26,818,0.00,0.00,14.70,16,9.88,10.00,5.22,-9.40,3.45,1.28,0.00,0.66,14.60
4719,-2.34,0.00,14.47,8,0.25,807,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.60
4790,-2.34,0.00,14.59,8,0.26,808,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.40,3.42,1.24,0.00,0.66,14.60
4856,-2.34,0.00,14.59,8,0.26,800,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
4929,-2.34,0.00,14.70,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.47,1.28,0.00,0.66,14.60
4999,-2.34,0.00,14.70,8,0.25,812,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.60
5068,-2.34,0.00,14.70,8,0.25,818,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.40,3.45,1.26,0.00,0.66,14.70
5135,-3.12,0.00,14.47,8,0.26,816,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
5199,-2.34,0.00,14.59,8,0.26,805,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.47,1.28,0.00,0.66,14.70
5271,-3.12,0.00,14.47,8,0.26,808,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
5340,-3.12,0.00,14.59,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.40,1.24,0.00,0.66,14.70
5408,-3.12,0.00,14.47,8,0.26,803,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.70
5476,-2.34,0.00,14.59,8,0.26,808,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.28,0.00,0.66,14.70
5545,-3.12,0.00,14.47,8,0.26,790,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.60
5610,-2.34,0.00,14.47,8,0.26,794,0.00,0.00,14.70,16,9.88,11.00,5.37,-9.38,3.45,1.24,0.00,0.66,14.60
5682,-2.34,0.00,14.59,8,0.26,797,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.36,3.45,1.26,0.00,0.66,14.60
5750,-2.34,0.00,14.59,8,0.26,794,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.36,3.45,1.28,0.00,0.66,14.70
5819,-2.34,0.00,14.70,8,0.26,802,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.24,0.00,0.66,14.70
5888,-2.34,0.00,14.70,8,0.26,797,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.42,1.24,0.00,0.66,14.70
5956,-2.34,0.00,14.70,8,0.26,804,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.36,3.42,1.26,0.00,0.66,14.70
6027,-2.34,0.00,14.81,8,0.26,782,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.34,3.42,1.26,0.00,0.66,14.70
6088,-2.34,0.00,14.81,8,0.26,794,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.42,1.24,0.00,0.66,14.70
6162,-2.34,0.00,14.81,8,0.26,805,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.26,0.00,0.66,14.80
6229,-2.34,0.00,14.70,8,0.26,805,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.36,3.45,1.28,0.00,0.66,14.80
6299,-2.34,0.00,14.70,8,0.26,811,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.36,3.45,1.26,0.00,0.66,14.80
6367,-2.34,0.00,14.70,8,0.25,810,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.36,3.45,1.26,0.00,0.66,14.80
6435,-2.34,0.00,14.81,8,0.26,808,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.40,1.26,0.00,0.66,14.80
6503,-2.34,0.00,14.70,8,0.26,805,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.36,3.45,1.28,0.00,0.66,14.80
6572,-2.34,0.00,14.81,8,0.26,808,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
6640,-2.34,0.00,14.70,8,0.26,798,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.24,0.00,0.66,14.80
6702,-2.34,0.00,14.81,8,0.26,809,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
6778,-2.34,0.00,14.81,8,0.26,800,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.45,1.28,0.00,0.66,14.80
6846,-1.56,0.00,14.93,8,0.26,810,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.36,3.45,1.26,0.00,0.66,14.80
6912,-1.56,0.00,14.81,8,0.26,808,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.24,0.00,0.66,14.80
6981,-1.56,0.00,14.81,8,0.26,809,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
