Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.00,14.70,7,18,0.42,1560,61.9,42.2,0.00,0.00,10.29,16,11.99,23.00,23,5.80,-8.88,11.16,1.76,0.00,-1.70,0.64,0.00,0.00,0.00
96,0.00,0.00,14.70,7,18,0.43,1554,61.9,42.2,0.00,0.00,10.32,16,11.99,22.50,25,5.80,-8.89,11.10,1.76,0.00,-1.70,0.64,0.00,0.00,0.00
192,0.00,0.00,14.70,7,18,0.43,1549,61.9,42.3,0.00,0.00,10.34,16,11.99,23.50,25,5.80,-8.88,11.20,1.76,0.00,-1.70,0.64,0.00,0.00,0.00
288,0.00,0.00,14.70,7,18,0.43,1543,61.9,42.3,0.00,0.00,10.35,16,11.99,24.00,25,5.80,-8.82,11.10,1.76,0.00,-1.70,0.64,0.00,0.00,0.00
383,0.00,0.00,14.70,7,18,0.43,1542,61.9,42.2,0.00,0.00,10.39,16,11.99,23.50,25,5.95,-8.80,11.00,1.76,0.00,-1.70,0.64,0.00,0.00,0.00
480,0.00,0.00,14.70,7,18,0.42,1548,61.9,42.2,0.00,0.00,10.40,16,11.99,23.00,25,5.95,-8.82,10.96,1.74,0.00,-1.70,0.64,0.00,0.00,0.00
575,0.00,0.00,14.70,7,18,0.42,1562,61.9,42.2,0.00,0.00,10.44,16,11.99,22.50,25,5.80,-8.88,11.05,1.74,0.00,-1.70,0.64,0.00,0.00,0.00
672,0.00,0.00,14.70,7,18,0.42,1552,62.0,42.2,0.00,0.00,10.45,16,11.99,22.50,23,5.80,-8.89,10.90,1.74,0.00,-1.70,0.64,0.00,0.00,0.00
768,0.00,0.00,14.70,7,18,0.43,1546,62.0,42.2,0.00,0.00,10.48,16,11.99,22.50,23,5.80,-8.88,10.90,1.76,0.00,-1.70,0.64,0.00,0.00,0.00
864,0.00,0.00,14.70,7,18,0.42,1532,61.9,42.2,0.00,0.00,10.50,16,11.99,25.00,23,5.80,-8.84,10.90,1.76,0.00,-1.70,0.64,0.00,0.00,0.00
