Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),Vehicle Speed Ratio Calculation* (raw),Gear (Calculated)* (position),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
99860,0.00,0.00,24.23,10,0.16,2128,0.00,0.00,14.70,14,-15.08,-15.50,84,3.63,-11.10,5.43,1.44,0.00,-2.20,0.39,0.66,0.00,0.00,4467,4,62.30
99954,0.00,0.00,24.23,10,0.15,2098,0.00,0.00,14.70,14,-15.08,-15.50,84,3.63,-11.08,5.36,1.42,0.00,-2.20,0.39,0.66,0.00,0.00,4462,4,74.10
100047,0.00,0.00,24.23,10,0.16,2080,0.00,0.00,14.70,14,-15.08,-15.50,84,3.63,-11.04,5.50,1.42,0.00,-2.20,0.39,0.66,0.00,0.00,4368,4,83.20
100141,0.00,0.00,24.46,10,0.16,2096,0.00,0.00,14.70,14,-15.08,-15.50,84,3.63,-11.06,5.40,1.42,0.00,-2.20,0.39,0.66,0.00,0.00,4439,4,90.50
100235,0.00,0.00,24.23,10,0.16,2071,0.00,0.00,14.70,14,-15.08,-15.50,84,3.63,-11.00,5.43,1.44,0.00,-2.20,0.39,0.66,0.00,0.00,4536,4,96.00
100329,0.00,0.00,24.46,10,0.16,2080,0.00,0.00,14.70,14,-15.08,-15.50,84,3.63,-11.02,5.56,1.42,0.00,-2.20,0.39,0.66,0.00,0.00,4525,4,96.00
100421,0.00,0.00,24.12,10,0.16,2040,0.00,0.00,14.70,14,-15.08,-15.50,84,3.63,-11.00,5.46,1.44,0.00,-2.20,0.39,0.66,0.00,0.00,4500,4,96.00
100516,0.00,0.00,24.58,10,0.16,2052,0.00,0.00,14.70,14,-15.08,-15.50,84,3.63,-10.96,5.46,1.42,0.00,-2.20,0.39,0.66,0.00,0.00,4462,4,96.00
100609,0.00,0.00,24.23,10,0.16,2019,0.00,0.00,14.70,14,-15.08,-15.50,84,3.77,-10.96,5.46,1.42,0.00,-2.20,0.39,0.66,0.00,0.00,4583,4,96.00
100703,0.00,0.00,24.46,10,0.16,2004,0.00,0.00,14.70,14,-15.08,-15.50,84,3.77,-10.93,5.50,1.42,0.00,-2.20,0.39,0.66,0.00,0.00,4502,4,96.00
100797,0.00,0.00,24.58,10,0.16,2024,0.00,0.00,14.70,14,-15.08,-15.50,84,3.77,-10.96,5.40,1.42,0.00,-2.20,0.39,0.66,0.00,0.00,4520,4,96.00
100891,0.00,0.00,24.23,10,0.16,2039,0.00,0.00,14.70,14,-14.73,-14.50,84,3.77,-10.91,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4436,4,99.90
100984,0.00,0.00,24.35,10,0.16,1993,0.00,0.00,14.70,14,-14.38,-13.50,84,3.77,-10.94,5.33,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4456,4,99.90
101077,0.00,0.00,24.12,10,0.16,1964,0.00,0.00,14.70,14,-14.02,-14.50,84,3.77,-10.89,5.43,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4395,4,99.90
101172,0.00,0.00,24.35,10,0.16,1971,0.00,0.00,14.70,14,-12.27,-12.50,84,3.77,-10.89,5.43,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4497,4,99.90
101265,0.00,0.00,24.23,10,0.17,1941,0.00,0.00,14.70,14,-12.62,-13.00,84,3.77,-10.89,5.37,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4494,4,99.90
101359,0.00,0.00,24.46,10,0.17,1921,0.00,0.00,14.70,14,-10.86,-11.00,84,3.77,-10.87,5.46,1.44,0.00,-1.90,0.39,0.66,0.00,0.00,4429,4,99.90
101452,0.00,0.00,24.00,10,0.17,1914,0.00,0.00,14.70,14,-11.21,-11.50,84,3.77,-10.89,5.43,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4414,4,99.90
101545,0.00,0.00,24.12,10,0.17,1897,0.00,0.00,14.70,14,-9.10,-10.50,84,3.77,-10.89,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4378,4,99.90
101640,0.00,0.00,24.46,10,0.17,1889,0.00,0.00,14.70,14,-9.45,-9.50,84,3.77,-10.87,5.43,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4484,4,99.90
101734,0.00,0.00,24.35,10,0.17,1898,0.00,0.00,14.70,14,-8.05,-8.50,84,3.77,-10.87,5.43,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4409,4,99.90
101827,0.00,0.00,24.12,10,0.17,1881,0.00,0.00,14.70,14,-8.05,-7.50,84,3.77,-10.87,5.46,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4407,4,99.90
101921,0.00,0.00,24.12,10,0.17,1874,0.00,0.00,14.70,14,-5.23,-5.50,84,3.77,-10.89,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4356,4,99.90
102015,0.00,0.00,24.00,10,0.17,1854,0.00,0.00,14.70,14,-5.59,-5.00,84,3.77,-10.89,5.33,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4346,4,99.90
102108,0.00,0.00,24.46,10,0.17,1851,0.00,0.00,14.70,14,-2.42,-2.50,84,3.77,-10.91,5.24,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4436,4,99.90
102201,0.00,0.00,24.35,10,0.18,1834,0.00,0.00,14.70,14,-1.72,-3.50,84,3.77,-10.93,5.43,1.44,0.00,-1.90,0.39,0.66,0.00,0.00,3874,4,99.90
102296,0.00,0.00,24.35,10,0.18,1819,0.00,0.00,14.70,14,1.09,0.00,84,3.77,-10.94,5.47,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4368,4,99.90
102389,0.00,0.00,24.35,10,0.18,1807,0.00,0.00,14.70,14,1.09,0.00,84,3.77,-10.94,5.46,1.44,0.00,-1.90,0.39,0.66,0.00,0.00,4342,4,99.90
102483,0.00,0.00,24.35,10,0.18,1793,0.00,0.00,14.70,14,2.85,2.50,84,3.77,-10.94,5.33,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4292,4,99.90
102577,0.00,0.00,23.89,10,0.18,1781,0.00,0.00,14.70,14,2.85,3.50,84,3.77,-10.96,5.37,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4502,4,99.90
102670,0.00,0.00,24.35,10,0.19,1759,0.00,0.00,14.70,14,6.02,6.00,84,3.77,-10.96,5.33,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4459,4,99.90
102764,0.00,0.00,24.46,10,0.18,1748,0.00,0.00,14.70,14,7.07,7.00,84,3.77,-10.96,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4456,4,99.90
102857,0.00,0.00,24.23,10,0.19,1736,0.00,0.00,14.70,14,7.42,7.50,84,3.77,-10.96,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,5147,4,99.90
102951,0.00,0.00,24.23,10,0.19,1721,0.00,0.00,14.70,14,8.48,8.00,84,3.77,-10.96,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4375,4,99.90
103045,0.00,0.00,24.23,10,0.19,1730,0.00,0.00,14.70,14,10.94,9.50,84,3.77,-10.96,5.43,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4489,4,99.90
103138,0.00,0.00,24.46,10,0.19,1706,0.00,0.00,14.70,14,11.29,11.50,84,3.77,-10.96,5.33,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4424,4,99.90
103232,0.00,0.00,24.23,10,0.19,1704,0.00,0.00,14.70,14,11.99,11.50,84,3.77,-10.96,5.46,1.44,0.00,-1.90,0.39,0.66,0.00,0.00,5137,4,99.90
103325,0.00,0.00,24.23,10,0.19,1673,0.00,0.00,14.70,14,11.99,11.50,84,3.77,-10.96,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4392,4,99.90
103419,0.00,0.00,24.23,10,0.20,1668,0.00,0.00,14.70,14,11.99,11.50,84,3.77,-10.91,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4342,4,99.90
103512,0.00,0.00,24.23,10,0.20,1721,0.00,0.00,14.70,14,11.99,11.50,84,3.77,-10.91,5.46,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4446,4,99.90
103606,0.00,0.00,24.46,10,0.20,1643,0.00,0.00,14.70,14,11.99,11.50,84,3.77,-10.89,5.43,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,3872,4,99.90
103700,0.00,0.00,24.12,10,0.20,1636,0.00,0.00,14.70,14,11.99,11.50,84,3.77,-10.83,5.33,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4358,4,99.90
103794,0.00,0.00,24.46,10,0.20,1626,0.00,0.00,14.70,14,11.99,11.50,84,3.92,-10.81,5.40,1.42,0.00,-1.90,0.39,0.66,0.00,0.00,4332,4,99.90
103887,0.00,0.00,24.46,10,0.20,1623,0.00,0.00,14.70,14,11.99,20.00,84,3.92,-10.77,5.46,1.42,0.00,-1.60,0.39,0.66,0.00,0.00,4292,4,99.90
103981,0.00,0.00,24.35,10,0.20,1592,0.00,0.00,14.70,14,11.99,18.50,84,3.92,-10.71,5.40,1.42,0.00,-1.60,0.39,0.66,0.00,0.00,3868,4,99.90
104074,0.00,0.00,24.46,10,0.20,1596,0.00,0.00,14.70,14,11.99,19.00,84,3.92,-10.69,5.40,1.42,0.00,-1.60,0.39,0.66,0.00,0.00,4387,4,99.90
104168,0.00,0.00,24.00,10,0.21,1566,0.00,0.00,14.70,14,11.99,20.00,84,4.06,-10.64,5.46,1.42,0.00,-1.60,0.39,0.66,0.00,0.00,4323,4,99.90
104262,0.00,0.00,24.46,10,0.21,1562,0.00,0.00,14.70,14,11.99,18.50,84,4.06,-10.62,5.46,1.44,0.00,-1.60,0.39,0.66,0.00,0.00,4301,4,99.90
104355,0.00,0.00,24.46,10,0.21,1562,0.00,0.00,14.70,14,11.99,20.00,84,4.06,-10.58,5.50,1.44,0.00,-1.60,0.39,0.66,0.00,0.00,4260,4,99.90
104449,0.00,0.00,24.12,10,0.22,1534,0.00,0.00,14.70,14,11.99,18.00,84,4.21,-10.52,5.54,1.44,0.00,-1.60,0.39,0.66,0.00,0.00,4515,4,99.90
104543,0.00,0.00,24.35,10,0.22,1543,0.00,0.00,14.70,14,11.99,20.00,84,4.21,-10.50,5.43,1.42,0.00,-1.60,0.39,0.66,0.00,0.00,4444,4,99.90
104636,0.00,0.00,24.00,10,0.21,1513,0.00,0.00,14.70,14,11.99,19.00,84,4.21,-10.46,5.40,1.42,0.00,-1.60,0.39,0.66,0.00,0.00,4456,4,99.90
104730,0.00,0.00,24.12,10,0.22,1513,0.00,0.00,14.70,14,11.64,19.50,84,4.21,-10.40,5.40,1.44,0.00,-1.60,0.39,0.66,0.00,0.00,4407,4,99.90
104824,0.00,0.00,24.23,10,0.21,1486,0.00,0.00,14.70,14,11.64,18.50,84,4.35,-10.44,5.37,1.42,0.00,-1.60,0.39,0.66,0.00,0.00,4349,4,99.90
104917,0.00,0.00,24.23,10,0.27,1486,0.00,0.00,11.98,14,12.34,11.00,84,4.21,-10.15,5.08,1.56,0.00,-1.60,3.14,0.76,0.00,0.00,4479,4,99.90
105011,0.00,0.00,24.00,10,0.36,1476,0.00,0.00,12.89,14,16.21,13.00,84,5.08,-9.34,8.52,1.66,0.00,-1.60,4.71,0.80,0.00,0.00,4626,4,99.90
105105,0.00,0.00,24.23,10,0.44,1504,0.00,0.00,14.64,14,21.48,20.00,84,5.51,-8.74,10.05,1.72,0.00,-1.60,5.10,0.82,0.00,0.00,4387,4,99.90
105199,0.00,0.00,24.00,10,0.43,1423,0.00,0.00,14.64,14,26.76,24.50,84,6.38,-8.14,10.65,1.74,0.00,-1.60,5.10,0.82,0.00,0.00,4397,4,99.90
105292,0.00,0.00,24.00,10,0.47,1519,0.00,0.00,13.75,14,28.52,26.00,84,6.67,-7.79,10.96,1.76,0.00,-1.60,5.88,0.84,0.00,0.00,4530,4,96.00
105385,0.00,0.00,14.59,8,0.46,1437,0.00,0.00,14.64,14,28.52,26.50,84,6.96,-7.37,11.52,1.78,0.00,-1.60,5.88,0.84,0.00,0.00,4541,4,59.40
105479,-4.69,0.00,13.67,8,0.51,1534,0.00,0.00,14.62,14,28.16,26.00,84,7.40,-7.02,11.79,1.80,0.00,-1.60,6.27,0.84,0.00,0.00,4583,4,18.00
105573,-5.47,0.00,13.32,8,0.50,1459,0.00,0.00,13.84,14,28.87,26.50,84,7.69,-6.79,12.23,1.84,0.00,-1.60,6.67,0.86,0.00,0.00,4720,4,15.10
105666,-3.12,0.00,14.13,8,0.52,1518,0.00,0.00,15.00,14,28.16,26.00,84,7.98,-6.57,12.62,1.84,0.00,-1.60,6.67,0.86,0.00,0.00,4515,4,14.70
105761,-2.34,0.00,14.24,8,0.52,1522,0.00,0.00,13.76,14,28.87,26.00,84,8.13,-6.52,12.73,1.84,0.00,-1.60,6.67,0.86,0.00,0.00,4751,4,14.70
105854,-1.56,0.00,14.81,8,0.51,1483,0.00,0.00,14.64,14,28.52,26.00,84,8.27,-6.34,12.88,1.86,0.00,-1.60,6.67,0.86,0.00,0.00,4596,4,15.10
105947,-1.56,0.00,14.93,8,0.53,1528,0.00,0.00,14.64,14,28.52,26.00,84,8.27,-6.28,12.94,1.84,0.00,-1.60,6.67,0.86,0.00,0.00,4642,4,15.30
106041,-1.56,0.00,14.93,8,0.51,1460,0.00,0.00,14.64,14,29.22,27.00,84,8.42,-6.27,13.05,1.86,0.00,-1.60,6.67,0.86,0.00,0.00,4681,4,15.40
106134,-0.78,0.00,14.93,8,0.53,1545,0.00,0.00,14.64,14,28.52,26.00,84,8.42,-6.23,12.99,1.86,0.00,-1.60,6.67,0.86,0.00,0.00,4615,4,15.30
106228,0.00,0.00,14.93,8,0.52,1514,0.00,0.00,14.04,14,29.22,27.00,84,8.56,-6.25,13.39,1.88,0.00,-1.60,6.67,0.86,0.00,0.00,4812,4,15.20
106322,0.78,0.00,15.16,8,0.53,1540,0.00,0.00,14.66,14,28.87,26.00,84,8.56,-6.19,13.27,1.86,0.00,-1.60,6.67,0.86,0.00,0.00,4853,4,15.30
106416,0.78,0.00,14.93,8,0.53,1549,0.00,0.00,13.79,14,28.87,26.50,84,8.56,-6.19,13.27,1.86,0.00,-1.60,7.06,0.88,0.00,0.00,4991,3,15.30
106509,0.00,0.00,14.93,8,0.52,1513,0.00,0.00,14.66,14,29.22,26.50,84,8.56,-6.13,13.45,1.86,0.00,-1.60,7.06,0.88,0.00,0.00,4910,4,15.10
106617,0.78,0.00,14.81,8,0.55,1539,0.00,0.00,14.64,14,28.87,26.50,84,8.56,-6.09,13.64,1.88,0.00,-1.60,7.06,0.88,0.00,0.00,4922,3,15.10
106696,0.78,0.00,14.81,8,0.53,1522,0.00,0.00,14.66,14,29.22,27.00,84,8.56,-6.09,13.94,1.88,0.00,-1.60,7.06,0.88,0.00,0.00,5019,3,15.10
106790,0.78,0.00,14.81,8,0.54,1593,0.00,0.00,14.66,14,28.87,26.50,84,8.56,-6.03,13.94,1.88,0.00,-1.60,7.06,0.88,0.00,0.00,4765,4,15.00
106884,0.78,0.00,14.70,8,0.52,1559,0.00,0.00,14.66,14,29.57,27.00,84,8.71,-6.11,13.81,1.88,0.00,-1.60,7.06,0.88,0.00,0.00,4959,3,14.80
106977,0.78,0.00,14.70,8,0.54,1568,0.00,0.00,15.20,14,29.22,26.50,84,8.56,-6.05,13.87,1.90,0.00,-1.60,7.45,0.88,0.00,0.00,4774,4,14.80
107070,1.56,0.00,14.81,8,0.54,1590,0.00,0.00,13.93,14,29.22,27.00,84,8.71,-6.11,13.87,1.88,0.00,-1.60,7.06,0.88,0.00,0.00,4969,3,15.00
107164,2.34,0.00,15.04,8,0.52,1555,0.00,0.00,14.67,14,29.57,27.00,84,8.56,-6.11,13.98,1.88,0.00,-1.90,7.45,0.88,0.00,0.00,4886,4,15.10
107258,2.34,0.00,14.93,8,0.54,1586,0.00,0.00,14.67,14,29.22,27.00,84,8.56,-6.11,14.11,1.90,0.00,-1.90,7.45,0.88,0.00,0.00,4910,3,15.10
107351,2.34,0.00,14.93,8,0.55,1561,0.00,0.00,13.68,14,29.92,27.50,84,8.56,-6.11,14.29,1.92,0.00,-1.90,7.45,0.90,0.00,0.00,4991,3,15.00
107445,2.34,0.00,14.70,8,0.57,1638,0.00,0.00,14.66,14,29.22,27.00,84,8.71,-5.88,14.84,1.94,0.00,-1.60,7.84,0.90,0.00,0.00,4919,3,14.90
107538,2.34,0.00,14.59,8,0.59,1609,0.00,0.00,14.66,14,29.57,27.00,84,8.85,-5.67,15.47,1.96,0.00,-1.60,8.63,0.92,0.00,0.00,5042,3,14.60
107632,1.56,0.78,14.59,8,0.58,1614,0.00,0.00,14.66,14,29.57,27.00,84,9.14,-5.47,15.89,1.96,0.00,-1.60,8.63,0.92,0.00,0.00,5013,3,14.60
107726,0.78,0.78,14.59,8,0.61,1630,0.00,0.00,14.96,14,29.57,27.00,84,9.29,-5.45,16.03,1.98,0.00,-1.90,8.63,0.92,0.00,0.00,4877,4,14.60
107819,1.56,0.78,14.59,8,0.59,1598,0.00,0.00,14.66,14,29.92,27.50,84,9.29,-5.36,16.03,1.98,0.00,-1.90,8.63,0.94,0.00,0.00,4947,4,14.60
107913,2.34,0.78,14.59,8,0.60,1635,0.00,0.00,14.66,14,29.92,27.50,84,9.29,-5.28,16.30,1.98,0.00,-1.90,8.63,0.94,0.00,0.00,4898,3,14.70
108006,1.56,0.78,14.59,8,0.61,1640,0.00,0.00,14.66,14,29.92,27.50,84,9.43,-5.20,16.71,2.00,0.00,-1.90,9.02,0.94,0.00,0.00,4994,3,14.70
108100,2.34,0.78,14.70,8,0.64,1640,0.00,0.00,14.66,14,29.92,27.50,84,9.58,-4.97,17.21,2.02,0.00,-1.60,9.80,0.96,0.00,0.00,4953,3,14.70
108194,2.34,0.78,14.81,8,0.64,1663,0.00,0.00,14.66,14,29.92,27.50,84,9.72,-4.76,17.57,2.04,0.00,-1.60,10.20,0.98,0.00,0.00,5026,3,14.70
108288,2.34,0.78,14.70,8,0.66,1675,0.00,0.00,14.66,14,29.92,27.50,84,10.01,-4.64,18.26,2.04,0.00,-1.60,10.20,0.98,0.00,0.00,5042,3,14.70
108381,2.34,0.78,14.70,8,0.68,1681,0.00,0.00,14.66,14,29.92,27.50,84,10.01,-4.56,18.49,2.06,0.00,-1.60,10.59,1.00,0.00,0.00,5058,3,14.70
108474,2.34,0.78,14.81,8,0.66,1670,0.00,0.00,14.66,14,30.27,28.00,84,10.30,-4.45,18.88,2.06,0.00,-1.60,10.59,1.00,0.00,0.00,5120,3,14.90
108568,3.12,0.78,14.70,8,0.67,1695,0.00,0.00,14.66,14,30.27,28.00,84,10.30,-4.37,18.88,2.06,0.00,-1.60,10.98,1.00,0.00,0.00,5137,3,14.70
108662,2.34,0.78,14.70,8,0.68,1716,0.00,0.00,14.66,14,30.27,28.00,84,10.30,-4.33,19.27,2.08,0.00,-1.60,10.98,1.00,0.00,0.00,4886,3,14.70
108755,3.12,0.78,14.70,8,0.68,1666,0.00,0.00,14.66,14,30.27,28.50,84,10.45,-4.25,19.58,2.08,0.00,-1.60,10.98,1.00,0.00,0.00,4916,3,14.70
108849,3.12,0.78,14.59,8,0.68,1726,0.00,0.00,14.67,14,30.27,28.00,84,10.45,-4.22,19.58,2.10,0.00,-1.60,10.98,1.00,0.00,0.00,4938,3,14.70
108943,2.34,0.78,14.47,8,0.68,1730,0.00,0.00,14.67,14,30.62,28.50,84,10.45,-4.22,19.81,2.10,0.00,-1.60,10.98,1.02,0.00,0.00,4963,3,14.70
109036,2.34,0.78,14.36,8,0.68,1745,0.00,0.00,14.67,14,30.62,28.50,84,10.45,-4.18,19.81,2.10,0.00,-1.60,11.37,1.02,0.00,0.00,5000,3,14.60
109130,3.12,0.78,14.47,8,0.69,1762,0.00,0.00,14.67,14,30.62,28.50,84,10.59,-4.16,20.35,2.10,0.00,-1.60,11.37,1.02,0.00,0.00,4904,3,14.60
109225,3.12,0.78,14.70,8,0.68,1775,0.00,0.00,14.67,14,30.98,28.50,84,10.59,-4.16,20.43,2.10,0.00,-1.60,11.37,1.02,0.00,0.00,4944,3,14.70
109319,3.12,0.78,14.70,8,0.69,1802,0.00,0.00,14.67,14,30.98,28.50,84,10.59,-4.10,20.63,2.12,0.00,-1.60,11.37,1.02,0.00,0.00,4944,3,14.70
109412,2.34,0.78,14.59,8,0.70,1820,0.00,0.00,14.68,14,31.33,29.00,84,10.59,-4.12,20.54,2.12,0.00,-1.30,11.76,1.02,0.00,0.00,4994,3,14.60
109506,3.12,0.78,14.59,8,0.69,1818,0.00,0.00,14.68,14,31.33,29.00,84,10.59,-4.04,20.92,2.14,0.00,-1.30,11.76,1.02,0.00,0.00,5006,3,14.60
109600,3.12,0.78,14.70,8,0.71,1836,0.00,0.00,14.68,14,31.33,29.00,84,10.59,-4.02,21.19,2.14,0.00,-1.30,11.76,1.04,0.00,0.00,4898,3,14.60
109693,3.12,0.78,14.70,8,0.70,1844,0.00,0.00,14.68,14,31.33,29.00,84,10.74,-3.96,21.47,2.14,0.00,-1.30,12.16,1.04,0.00,0.00,4938,3,14.70
116683,-8.59,-4.69,14.70,8,0.21,1967,0.00,0.00,14.75,14,34.14,32.00,84,4.06,-10.67,6.79,1.52,0.00,-1.90,2.35,0.74,0.00,0.00,4634,4,14.80
116777,-7.81,-4.69,14.70,8,0.21,1982,0.00,0.00,14.70,14,33.79,31.50,84,4.06,-10.69,6.95,1.52,0.00,-1.90,2.35,0.72,0.00,0.00,4580,4,14.80
116871,-7.81,-4.69,14.70,8,0.20,1948,0.00,0.00,14.70,14,34.14,32.00,84,4.06,-10.71,6.76,1.52,0.00,-1.90,1.96,0.72,0.00,0.00,4620,4,14.70
116964,-7.81,-4.69,14.70,8,0.20,1938,0.00,0.00,14.75,14,33.79,31.50,84,3.92,-10.75,6.73,1.50,0.00,-1.90,1.96,0.72,0.00,0.00,4580,4,14.70
117058,-7.03,-4.69,14.70,8,0.20,1941,0.00,0.00,14.75,14,34.14,31.50,84,3.92,-10.83,6.38,1.48,0.00,-1.90,1.96,0.70,0.00,0.00,4583,4,14.70
117152,-7.03,-4.69,14.81,8,0.19,1941,0.00,0.00,14.75,14,33.79,31.50,84,3.92,-10.89,6.24,1.48,0.00,-1.90,1.57,0.70,0.00,0.00,4653,4,14.70
117246,-7.03,-4.69,14.93,8,0.19,1936,0.00,0.00,14.75,14,34.14,32.00,84,3.77,-10.96,5.96,1.48,0.00,-1.90,1.57,0.70,0.00,0.00,4683,4,14.90
117339,-6.25,-4.69,14.93,8,0.19,1927,0.00,0.00,14.75,14,33.44,31.50,84,3.77,-11.02,5.98,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4607,4,14.90
117433,-5.47,-4.69,14.93,8,0.18,1910,0.00,0.00,14.75,14,34.14,31.50,84,3.63,-11.04,5.99,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4678,4,14.80
117526,-5.47,-4.69,14.93,8,0.19,1956,0.00,0.00,14.70,14,33.44,31.00,84,3.63,-11.04,5.98,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4570,4,14.80
117621,-4.69,-4.69,14.93,8,0.19,1894,0.00,0.00,14.70,14,33.79,31.50,84,3.63,-11.06,5.92,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4639,4,14.90
117714,-5.47,-4.69,14.81,8,0.19,1920,0.00,0.00,14.70,14,33.44,30.50,84,3.63,-11.08,5.83,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4536,4,14.80
117808,-5.47,-4.69,14.70,8,0.19,1916,0.00,0.00,14.70,14,33.44,31.00,84,3.63,-11.08,5.99,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4599,4,14.80
117901,-4.69,-4.69,14.70,8,0.19,1898,0.00,0.00,14.70,14,33.09,30.50,84,3.63,-11.08,5.85,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4515,4,14.80
117995,-4.69,-4.69,14.70,8,0.19,1903,0.00,0.00,14.70,14,33.44,31.00,84,3.63,-11.08,5.92,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4596,4,14.70
118089,-5.47,-4.69,14.36,8,0.19,1888,0.00,0.00,14.70,14,33.09,30.50,84,3.63,-11.08,5.92,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4599,4,14.70
118183,-6.25,-4.69,14.36,8,0.19,1891,0.00,0.00,14.70,14,33.09,31.00,84,3.63,-11.08,5.79,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4659,4,14.60
118277,-7.03,-4.69,14.24,8,0.19,1873,0.00,0.00,14.70,14,32.73,30.50,84,3.63,-11.08,5.85,1.46,0.00,-1.90,1.57,0.70,0.00,0.00,4618,4,14.60
124384,0.00,0.00,24.23,10,0.25,1077,0.00,0.00,14.69,14,9.88,17.50,84,4.50,-10.19,4.32,1.32,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,96.00
124477,0.00,0.00,23.89,10,0.26,1034,0.00,0.00,14.69,14,9.88,17.50,84,4.50,-10.11,4.40,1.36,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,96.00
124571,0.00,0.00,24.12,10,0.27,1030,0.00,0.00,14.69,14,9.88,17.50,84,4.64,-10.04,4.46,1.34,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,96.00
124664,0.00,0.00,23.66,10,0.27,1017,0.00,0.00,14.69,14,9.88,17.50,84,4.64,-9.98,4.48,1.34,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,90.90
124759,0.00,0.00,20.90,10,0.26,1000,0.00,0.00,14.69,14,9.88,17.50,84,4.79,-9.92,4.49,1.34,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,70.50
124852,0.00,0.00,16.65,10,0.27,994,0.00,0.00,14.69,14,9.88,17.50,84,4.79,-9.86,4.32,1.34,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,44.00
124946,0.00,0.00,15.62,10,0.27,985,0.00,0.00,14.69,14,9.88,17.50,84,4.79,-9.84,4.37,1.34,0.00,-1.30,0.00,0.64,0.00,0.00,3046,5,28.60
125039,0.00,-0.78,14.59,8,0.27,984,0.00,0.00,14.69,14,9.88,17.50,84,4.93,-9.82,4.37,1.32,0.00,-1.30,0.00,0.64,0.00,0.00,3078,5,23.10
125133,-0.78,-0.78,14.47,8,0.27,987,0.00,0.00,14.69,14,9.88,17.50,84,4.93,-9.80,4.35,1.34,0.00,-1.30,0.00,0.66,0.00,0.00,3076,5,19.30
125226,-1.56,-0.78,14.24,8,0.32,985,0.00,0.00,13.18,14,9.88,17.50,84,4.93,-9.53,4.58,1.44,0.00,-1.30,1.18,0.68,0.00,0.00,3091,5,17.50
125319,-1.56,0.00,13.90,8,0.36,991,0.00,0.00,13.11,14,10.23,7.50,84,5.22,-9.22,5.47,1.46,0.00,-1.30,1.57,0.70,0.00,0.00,2816,5,16.00
125413,-1.56,0.00,14.01,8,0.38,999,0.00,0.00,14.65,14,11.99,10.50,84,5.66,-8.89,6.24,1.48,0.00,-1.30,1.96,0.72,0.00,0.00,3113,5,15.10
