Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.78,14.47,8,0.27,1086,0.00,0.00,14.70,16,10.23,10.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
87,0.00,0.78,14.59,8,0.26,1094,0.00,0.00,14.70,16,10.23,9.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
173,0.00,0.78,14.59,8,0.26,1088,0.00,0.00,14.70,16,10.23,9.50,86,5.08,-9.67,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
260,0.00,0.78,14.59,8,0.26,1096,0.00,0.00,14.70,16,10.23,8.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
385,0.00,0.78,14.59,8,0.26,1087,0.00,0.00,14.70,16,10.23,10.50,86,5.08,-9.71,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
434,0.00,0.78,14.59,8,0.26,1088,0.00,0.00,14.70,16,10.23,10.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
631,0.00,0.78,14.59,8,0.26,1084,0.00,0.00,14.70,16,10.23,9.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
632,0.00,0.78,14.59,8,0.27,1084,0.00,0.00,14.70,16,9.88,10.50,86,5.08,-9.65,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
694,0.00,0.78,14.47,8,0.26,1079,0.00,0.00,14.70,16,9.88,10.50,86,5.08,-9.69,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
1021,0.00,0.78,14.47,8,0.27,1077,0.00,0.00,14.70,16,9.88,10.50,86,5.08,-9.69,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1022,0.00,0.78,14.47,8,0.26,1080,0.00,0.00,14.70,16,10.23,9.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1023,0.00,0.78,14.36,8,0.27,1090,0.00,0.00,14.70,16,10.23,9.00,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1037,0.00,0.78,14.47,8,0.26,1097,0.00,0.00,14.70,16,10.23,10.50,86,5.08,-9.69,4.79,1.36,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1484,0.00,0.78,14.47,8,0.26,1084,0.00,0.00,14.70,16,10.23,10.00,86,5.08,-9.69,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1486,0.00,0.78,14.47,8,0.26,1091,0.00,0.00,14.70,16,10.23,9.50,86,5.08,-9.71,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1487,0.00,0.78,14.36,8,0.26,1092,0.00,0.00,14.70,16,10.23,9.00,86,5.08,-9.69,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1489,0.00,0.00,14.47,8,0.26,1098,0.00,0.00,14.70,16,9.88,10.50,86,5.08,-9.67,4.73,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1490,-0.78,0.78,14.36,8,0.27,1080,0.00,0.00,14.70,16,9.88,10.50,86,5.08,-9.69,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
1563,-0.78,0.78,14.47,8,0.27,1078,0.00,0.00,14.70,16,9.88,11.00,86,5.08,-9.69,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2136,0.00,0.78,14.36,8,0.26,1072,0.00,0.00,14.70,16,10.23,9.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2138,0.00,0.78,14.36,8,0.26,1090,0.00,0.00,14.70,16,10.23,10.50,86,5.08,-9.67,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2140,0.00,0.78,14.47,8,0.27,1075,0.00,0.00,14.70,16,9.88,10.00,86,5.08,-9.67,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2142,0.00,0.78,14.47,8,0.27,1078,0.00,0.00,14.70,16,9.88,10.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2143,0.00,0.78,14.59,8,0.27,1086,0.00,0.00,14.70,16,9.88,9.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2144,0.00,0.78,14.47,8,0.26,1083,0.00,0.00,14.70,16,10.23,10.00,86,5.08,-9.67,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2172,0.00,0.78,14.47,8,0.27,1077,0.00,0.00,14.70,16,9.88,10.00,86,5.08,-9.65,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2960,0.00,0.78,14.47,8,0.26,1067,0.00,0.00,14.70,16,9.88,9.50,86,5.08,-9.67,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2961,0.00,0.78,14.47,8,0.27,1079,0.00,0.00,14.70,16,9.88,9.50,86,5.08,-9.67,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2963,0.00,0.78,14.36,8,0.26,1082,0.00,0.00,14.70,16,9.88,9.50,86,5.08,-9.65,4.75,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
2964,0.00,0.78,14.47,8,0.27,1077,0.00,0.00,14.70,16,10.23,9.50,86,5.08,-9.65,4.79,1.38,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
