Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,3.12,0.00,14.70,8,0.35,2028,0.00,0.00,14.69,16,36.60,36.00,6.67,11.93,1.82,0.86,14.80
62,3.12,0.00,14.70,8,0.35,2028,0.00,0.00,14.69,16,36.60,36.00,6.67,11.93,1.82,0.86,14.80
123,3.12,0.00,14.81,8,0.35,2036,0.00,0.00,14.69,16,36.95,36.50,6.67,12.10,1.82,0.86,14.80
185,3.12,0.00,14.81,8,0.35,2055,0.00,0.00,14.70,16,37.30,36.50,6.67,12.15,1.82,0.86,14.80
247,3.12,0.00,14.70,8,0.35,2067,0.00,0.00,14.69,16,37.30,36.50,6.67,12.15,1.82,0.86,14.80
309,3.12,0.00,14.81,8,0.35,2062,0.00,0.00,14.70,16,37.30,36.50,6.53,12.21,1.82,0.86,14.80
370,3.12,0.00,14.81,8,0.35,2096,0.00,0.00,14.70,16,37.30,36.50,6.53,12.15,1.82,0.86,14.80
432,3.12,0.00,14.70,8,0.35,2114,0.00,0.00,14.70,16,37.30,36.50,6.53,12.26,1.82,0.86,14.80
494,3.12,0.00,14.70,8,0.35,2101,0.00,0.00,14.70,16,37.30,36.50,6.53,12.26,1.82,0.86,14.80
555,3.12,0.00,14.70,8,0.35,2114,0.00,0.00,14.70,16,37.66,37.00,6.53,12.47,1.84,0.86,14.70
617,3.12,0.00,14.70,8,0.35,2158,0.00,0.00,14.70,16,38.01,37.00,6.53,12.37,1.84,0.86,14.70
678,3.91,0.00,14.70,8,0.35,2143,0.00,0.00,14.70,16,38.01,37.00,6.53,12.48,1.84,0.86,14.70
740,3.91,0.00,14.81,8,0.35,2167,0.00,0.00,14.70,16,38.01,37.50,6.53,12.70,1.84,0.86,14.90
801,3.91,0.00,14.81,8,0.35,2190,0.00,0.00,14.70,16,38.36,38.00,6.53,12.64,1.86,0.86,14.90
863,3.91,0.00,14.81,8,0.36,2193,0.00,0.00,14.70,16,38.71,38.00,6.53,12.79,1.86,0.86,14.80
925,3.91,0.00,14.70,8,0.36,2204,0.00,0.00,14.70,16,38.71,38.00,6.67,13.13,1.86,0.86,14.80
987,3.91,0.00,14.70,8,0.36,2221,0.00,0.00,14.70,16,39.06,38.50,6.67,13.20,1.86,0.86,14.80
1048,3.91,0.00,14.70,8,0.36,2221,0.00,0.00,14.69,16,39.41,39.00,6.67,13.65,1.88,0.86,14.80
1109,3.12,0.00,14.70,8,0.37,2246,0.00,0.00,14.70,16,39.41,39.00,6.67,13.64,1.88,0.86,14.80
1171,3.12,0.00,14.59,8,0.36,2236,0.00,0.00,14.69,16,39.41,39.00,6.67,13.52,1.88,0.86,14.70
1233,3.91,0.00,14.59,8,0.37,2254,0.00,0.00,14.70,16,39.77,39.00,6.67,13.90,1.88,0.86,14.70
1295,3.12,0.00,14.59,8,0.37,2282,0.00,0.00,14.69,16,40.12,39.50,6.67,14.02,1.90,0.86,14.70
1356,3.12,0.00,14.59,8,0.37,2277,0.00,0.00,14.69,16,40.12,39.50,6.67,14.15,1.90,0.86,14.70
1417,3.12,0.00,14.47,8,0.37,2305,0.00,0.00,14.69,16,40.47,39.50,6.67,14.40,1.92,0.86,14.70
1480,3.12,0.00,14.47,8,0.38,2302,0.00,0.00,14.69,16,40.82,40.00,6.67,14.53,1.92,0.86,14.70
1542,3.12,0.00,14.59,8,0.38,2320,0.00,0.00,14.70,16,40.82,40.00,6.67,14.53,1.92,0.86,14.70
1602,3.12,0.00,14.47,8,0.37,2350,0.00,0.00,14.70,16,40.82,40.00,6.67,14.47,1.92,0.86,14.70
1665,2.34,0.00,14.59,8,0.37,2346,0.00,0.00,14.70,16,40.82,40.00,6.67,14.66,1.92,0.86,14.70
1727,2.34,0.00,14.47,8,0.37,2370,0.00,0.00,14.70,16,41.17,40.50,6.67,14.79,1.92,0.86,14.60
1788,3.12,0.00,14.59,8,0.37,2376,0.00,0.00,14.70,16,41.17,40.50,6.67,14.60,1.92,0.86,14.60
1849,3.12,0.00,14.59,8,0.37,2389,0.00,0.00,14.70,16,41.17,40.50,6.67,14.73,1.92,0.84,14.70
1911,3.12,0.00,14.70,8,0.36,2412,0.00,0.00,14.70,16,41.17,40.50,6.53,14.60,1.92,0.84,14.70
