Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.59,0.12,824,0.00,0.00,16,14.10,13.50,5.22,3.38,-1.08,0.64
175,14.59,0.12,820,0.00,0.00,16,14.10,13.00,5.08,3.42,-1.08,0.64
346,14.59,0.13,807,0.00,0.00,16,14.10,14.50,5.22,3.49,-1.08,0.64
520,14.81,0.13,796,0.00,0.00,16,14.10,15.50,5.37,3.47,-1.08,0.64
691,14.70,0.13,794,0.00,0.00,16,14.10,14.50,5.37,3.33,-1.08,0.64
864,14.81,0.13,794,0.00,0.00,16,14.10,15.50,5.37,3.33,-1.08,0.64
1037,14.70,0.13,780,0.00,0.00,16,14.10,16.50,5.37,3.40,-1.08,0.64
1210,14.70,0.13,786,0.00,0.00,16,14.10,15.50,5.37,3.47,-1.08,0.64
1384,14.93,0.13,804,0.00,0.00,16,14.10,14.00,5.37,3.45,-1.08,0.64
1555,15.04,0.13,802,0.00,0.00,16,14.10,13.50,5.37,3.47,-1.08,0.64
1728,15.16,0.13,806,0.00,0.00,16,14.10,13.00,5.37,3.45,-1.08,0.64
1902,14.93,0.13,798,0.00,0.00,16,14.10,13.50,5.37,3.45,-1.08,0.64
2075,14.81,0.13,796,0.00,0.00,16,14.10,14.00,5.37,3.45,-1.08,0.64
2246,14.70,0.13,796,0.00,0.00,16,14.10,14.00,5.37,3.49,-1.08,0.64
2421,14.47,0.13,796,0.00,0.00,16,14.10,14.00,5.37,3.49,-1.08,0.64
2591,14.36,0.13,797,0.00,0.00,16,14.10,14.00,5.37,3.47,-1.08,0.64
2766,14.36,0.13,808,0.00,0.00,16,14.10,13.00,5.37,3.47,-1.08,0.64
2936,14.36,0.13,808,0.00,0.00,16,14.10,13.00,5.37,3.56,-1.08,0.64
9774,14.93,0.13,816,0.00,0.00,16,14.10,14.00,5.37,3.58,-1.08,0.64
9947,14.93,0.12,820,0.00,0.00,16,14.10,13.00,5.37,3.36,-1.08,0.64
10119,14.93,0.13,828,0.00,0.00,16,14.10,13.00,5.37,3.52,-1.08,0.64
10293,14.70,0.13,823,0.00,0.00,16,14.10,13.50,5.37,3.52,-1.08,0.64
10466,14.81,0.13,825,0.00,0.00,16,14.10,13.50,5.37,3.49,-1.08,0.64
10640,14.70,0.12,832,0.00,0.00,16,14.10,13.00,5.37,3.40,-1.08,0.64
10813,14.70,0.13,825,0.00,0.00,16,14.10,13.00,5.37,3.56,-1.08,0.64
