Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
11776,-0.78,-3.12,14.59,8,0.28,933,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.37,1.36,0.00,-9.26
11848,-1.56,-3.12,14.70,8,0.28,946,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.37,1.36,0.00,-9.28
11915,-1.56,-3.12,14.47,8,0.28,952,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.37,1.36,0.00,-9.28
11987,-1.56,-3.12,14.47,8,0.28,953,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.37,1.34,0.00,-9.32
12051,-1.56,-3.12,14.47,8,0.28,933,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.37,1.34,0.00,-9.32
12123,-2.34,-3.12,14.36,8,0.28,926,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.37,1.34,0.00,-9.30
12187,-1.56,-3.12,14.47,8,0.28,932,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.43,1.34,0.00,-9.28
12261,-1.56,-3.12,14.36,8,0.28,932,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.37,1.34,0.00,-9.28
12325,-1.56,-3.12,14.47,8,0.28,937,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.37,1.34,0.00,-9.28
12397,-1.56,-3.12,14.59,8,0.28,932,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.35,1.34,0.00,-9.30
12461,-2.34,-3.12,14.36,8,0.28,938,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.37,1.34,0.00,-9.30
12535,-1.56,-3.12,14.59,8,0.28,937,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.34,0.00,-9.34
12599,-2.34,-3.12,14.47,8,0.28,938,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.34,0.00,-9.34
12671,-1.56,-3.12,14.47,8,0.28,930,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.34,0.00,-9.32
12735,-2.34,-3.12,14.36,8,0.28,927,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.37,1.34,0.00,-9.34
12807,-2.34,-3.12,14.47,8,0.28,927,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.35,1.34,0.00,-9.32
12879,-2.34,-3.12,14.36,8,0.28,932,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.32,1.36,0.00,-9.34
12946,-2.34,-3.12,14.47,8,0.28,920,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.35,1.36,0.00,-9.28
