Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
80194,-1.56,-5.47,14.59,8,0.27,870,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.93,1.30,0.00,-9.48
80266,-0.78,-5.47,14.47,8,0.28,870,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.99,1.30,0.00,-9.46
80338,-1.56,-5.47,14.47,8,0.28,870,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.99,1.30,0.00,-9.46
80402,-0.78,-5.47,14.59,8,0.27,863,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.96,1.30,0.00,-9.44
80474,-0.78,-5.47,14.59,8,0.27,876,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.96,1.32,0.00,-9.48
80541,-0.78,-5.47,14.70,8,0.28,865,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.99,1.32,0.00,-9.46
80606,-0.78,-5.47,14.59,8,0.27,868,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.96,1.32,0.00,-9.48
80680,-0.78,-5.47,14.70,8,0.27,864,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.96,1.32,0.00,-9.46
80744,-0.78,-5.47,14.59,8,0.27,868,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.96,1.30,0.00,-9.48
80816,-0.78,-5.47,14.70,8,0.27,868,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.96,1.30,0.00,-9.46
80880,-0.78,-5.47,14.59,8,0.27,872,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.30,0.00,-9.48
80952,-0.78,-5.47,14.70,8,0.27,860,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.93,1.30,0.00,-9.46
81020,-0.78,-5.47,14.81,8,0.28,865,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.96,1.32,0.00,-9.48
81084,-0.78,-5.47,14.70,8,0.28,864,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.96,1.32,0.00,-9.44
81156,-0.78,-5.47,14.70,8,0.27,868,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.96,1.32,0.00,-9.46
81227,-0.78,-5.47,14.59,8,0.27,872,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.93,1.32,0.00,-9.44
81295,-0.78,-5.47,14.70,8,0.27,874,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.96,1.32,0.00,-9.46
81361,-0.78,-5.47,14.59,8,0.27,872,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.96,1.30,0.00,-9.44
81432,-1.56,-5.47,14.70,8,0.27,876,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.93,1.30,0.00,-9.48
81497,-0.78,-5.47,14.47,8,0.27,880,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.93,1.30,0.00,-9.46
81568,-1.56,-5.47,14.70,8,0.27,878,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.93,1.30,0.00,-9.48
81633,-0.78,-5.47,14.47,8,0.27,858,0.00,0.00,16,14.70,9.88,11.00,0.64,5.22,3.93,1.30,0.00,-9.46
81704,-1.56,-5.47,14.59,8,0.27,862,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.96,1.32,0.00,-9.48
81769,-1.56,-5.47,14.47,8,0.27,860,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.96,1.32,0.00,-9.44
81841,-1.56,-5.47,14.47,8,0.27,870,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.32,0.00,-9.48
81905,-1.56,-5.47,14.59,8,0.27,856,0.00,0.00,16,14.70,9.88,11.00,0.64,5.22,3.93,1.32,0.00,-9.46
81977,-1.56,-5.47,14.47,8,0.27,863,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.96,1.32,0.00,-9.44
82048,-1.56,-5.47,14.47,8,0.27,859,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.93,1.30,0.00,-9.44
82120,-1.56,-5.47,14.47,8,0.27,868,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.44
82184,-0.78,-5.47,14.59,8,0.27,869,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.46
82249,-1.56,-5.47,14.59,8,0.27,875,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.91,1.30,0.00,-9.48
82321,-0.78,-5.47,14.59,8,0.27,873,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.93,1.32,0.00,-9.48
82385,-0.78,-5.47,14.70,8,0.27,866,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.32,0.00,-9.48
82457,-0.78,-5.47,14.70,8,0.27,864,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.91,1.32,0.00,-9.48
82523,-0.78,-5.47,14.81,8,0.27,855,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.93,1.32,0.00,-9.46
82595,-0.78,-5.47,14.81,8,0.27,860,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.93,1.30,0.00,-9.46
82659,-0.78,-5.47,14.81,8,0.27,872,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.93,1.30,0.00,-9.46
82731,-0.78,-5.47,14.70,8,0.27,869,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.30,0.00,-9.48
82796,-0.78,-5.47,14.81,8,0.27,863,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.30,0.00,-9.48
82869,-0.78,-5.47,14.81,8,0.27,854,0.00,0.00,16,14.70,9.88,11.00,0.64,5.22,3.93,1.30,0.00,-9.48
82933,-0.78,-5.47,14.81,8,0.27,874,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.93,1.32,0.00,-9.46
83005,-0.78,-5.47,14.81,8,0.27,866,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.32,0.00,-9.49
83073,-0.78,-5.47,14.81,8,0.27,862,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.93,1.32,0.00,-9.48
83141,-0.78,-5.47,14.81,8,0.28,847,0.00,0.00,16,14.70,9.88,11.50,0.64,5.22,3.93,1.32,0.00,-9.46
83209,-0.78,-5.47,14.81,8,0.27,861,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.96,1.30,0.00,-9.44
83281,-0.78,-5.47,14.81,8,0.27,862,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.30,0.00,-9.46
83345,-0.78,-5.47,14.70,8,0.27,870,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.93,1.30,0.00,-9.46
83417,-0.78,-5.47,14.70,8,0.27,860,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.91,1.30,0.00,-9.46
83481,-0.78,-5.47,14.70,8,0.27,864,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.30,0.00,-9.46
83553,-0.78,-5.47,14.59,8,0.28,868,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.96,1.32,0.00,-9.46
85569,-0.78,-5.47,14.59,8,0.28,868,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.96,1.32,0.00,-9.46
88935,-0.78,-5.47,14.59,8,0.27,851,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.32,0.00,-9.46
88999,-0.78,-5.47,14.59,8,0.27,860,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.88,1.32,0.00,-9.46
89073,-0.78,-5.47,14.70,8,0.27,868,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.86,1.30,0.00,-9.46
89137,-0.78,-5.47,14.59,8,0.27,867,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.86,1.30,0.00,-9.46
89203,-0.78,-5.47,14.70,8,0.27,857,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.91,1.30,0.00,-9.46
89275,-0.78,-5.47,14.59,8,0.27,855,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.88,1.30,0.00,-9.46
89347,-0.78,-5.47,14.70,8,0.27,867,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.30,0.00,-9.46
89411,-0.78,-5.47,14.70,8,0.27,862,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.88,1.30,0.00,-9.46
89483,-0.78,-5.47,14.81,8,0.27,864,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.32,0.00,-9.48
91541,-0.78,-5.47,14.81,8,0.27,864,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.32,0.00,-9.48
92177,-1.56,-5.47,14.70,8,0.28,849,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.91,1.32,0.00,-9.42
92241,-0.78,-5.47,14.59,8,0.28,859,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,3.91,1.30,0.00,-9.38
92313,-0.78,-5.47,14.70,8,0.27,863,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.30,0.00,-9.44
92379,-0.78,-5.47,14.70,8,0.27,868,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.86,1.30,0.00,-9.42
92451,-0.78,-5.47,14.70,8,0.27,872,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.88,1.30,0.00,-9.46
92515,-0.78,-5.47,14.81,8,0.27,852,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.89,1.30,0.00,-9.44
92587,-0.78,-5.47,14.81,8,0.27,850,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.32,0.00,-9.44
92651,-0.78,-5.47,14.81,8,0.28,842,0.00,0.00,16,14.70,9.88,11.00,0.64,5.22,3.88,1.32,0.00,-9.42
92723,-0.78,-5.47,14.81,8,0.27,848,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.30,0.00,-9.44
92795,-0.78,-5.47,14.81,8,0.27,842,0.00,0.00,16,14.70,9.88,11.00,0.64,5.37,3.91,1.30,0.00,-9.42
92859,-0.78,-5.47,14.81,8,0.27,850,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.88,1.30,0.00,-9.40
92931,-0.78,-5.47,14.81,8,0.27,854,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,3.86,1.30,0.00,-9.40
92995,-0.78,-5.47,14.81,8,0.27,862,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,3.86,1.32,0.00,-9.40
93067,-0.78,-5.47,14.70,8,0.27,862,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.32,0.00,-9.44
93131,-0.78,-5.47,14.70,8,0.27,858,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.91,1.30,0.00,-9.42
93203,-0.78,-5.47,14.70,8,0.28,852,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.30,0.00,-9.42
93283,-0.78,-5.47,14.70,8,0.28,846,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,3.91,1.30,0.00,-9.40
93339,-0.78,-5.47,14.59,8,0.28,852,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.88,1.30,0.00,-9.42
93411,-0.78,-5.47,14.70,8,0.27,857,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,3.86,1.30,0.00,-9.40
93475,-0.78,-5.47,14.59,8,0.27,847,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.91,1.32,0.00,-9.42
93547,-0.78,-5.47,14.70,8,0.27,852,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,3.91,1.32,0.00,-9.42
93611,-0.78,-5.47,14.70,8,0.28,841,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.32,0.00,-9.42
93683,-0.78,-5.47,14.70,8,0.28,848,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.91,1.30,0.00,-9.38
93747,-0.78,-5.47,14.59,8,0.28,849,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.91,1.30,0.00,-9.40
93819,-0.78,-5.47,14.70,8,0.27,875,0.00,0.00,16,14.70,9.88,7.00,0.64,5.22,3.91,1.30,0.00,-9.42
93891,-0.78,-5.47,14.70,8,0.27,875,0.00,0.00,16,14.70,9.88,7.00,0.64,5.22,3.88,1.30,0.00,-9.46
93955,-0.78,-5.47,14.70,8,0.28,863,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.88,1.30,0.00,-9.46
94027,-0.78,-5.47,14.81,8,0.28,841,0.00,0.00,16,14.70,9.88,11.00,0.64,5.22,3.93,1.32,0.00,-9.46
94091,-0.78,-5.47,14.70,8,0.28,835,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,3.91,1.32,0.00,-9.38
94163,-0.78,-5.47,14.59,8,0.27,854,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,3.93,1.30,0.00,-9.38
94227,-0.78,-5.47,14.70,8,0.27,868,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.86,1.30,0.00,-9.38
94299,-0.78,-5.47,14.59,8,0.27,865,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.91,1.30,0.00,-9.44
94363,-0.78,-5.47,14.59,8,0.27,862,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.42
94435,-1.56,-5.47,14.59,8,0.27,858,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.91,1.32,0.00,-9.46
94507,-0.78,-5.47,14.59,8,0.28,851,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.93,1.32,0.00,-9.44
94571,-1.56,-5.47,14.47,8,0.27,856,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.32,0.00,-9.44
94643,-0.78,-5.47,14.47,8,0.28,849,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.91,1.30,0.00,-9.44
94707,-1.56,-5.47,14.47,8,0.28,847,0.00,0.00,16,14.70,9.88,11.50,0.64,5.22,3.91,1.30,0.00,-9.44
94779,-1.56,-5.47,14.47,8,0.28,836,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,3.91,1.30,0.00,-9.38
94843,-1.56,-5.47,14.47,8,0.28,845,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.88,1.30,0.00,-9.40
94915,-1.56,-5.47,14.36,8,0.28,844,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,3.91,1.32,0.00,-9.38
94979,-1.56,-5.47,14.59,8,0.28,850,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,3.91,1.32,0.00,-9.38
95051,-0.78,-5.47,14.47,8,0.28,844,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,3.91,1.30,0.00,-9.38
95115,-1.56,-5.47,14.70,8,0.27,859,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,3.91,1.30,0.00,-9.38
95187,-0.78,-5.47,14.59,8,0.27,862,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,3.88,1.30,0.00,-9.38
95259,-0.78,-5.47,14.70,8,0.27,856,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,3.88,1.30,0.00,-9.40
95323,-0.78,-5.47,14.70,8,0.28,839,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.88,1.30,0.00,-9.40
95395,-1.56,-5.47,14.70,8,0.28,847,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.93,1.32,0.00,-9.38
95459,-0.78,-5.47,14.59,8,0.28,844,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.93,1.32,0.00,-9.38
95531,-0.78,-5.47,14.70,8,0.28,843,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,3.91,1.30,0.00,-9.38
95603,-0.78,-5.47,14.70,8,0.27,848,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,3.93,1.30,0.00,-9.38
95667,-0.78,-5.47,14.81,8,0.27,854,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,3.91,1.30,0.00,-9.38
95731,-0.78,-5.47,14.70,8,0.28,859,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,3.91,1.30,0.00,-9.38
95803,-0.78,-5.47,14.81,8,0.28,842,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,3.93,1.32,0.00,-9.38
95875,-0.78,-5.47,14.70,8,0.28,840,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,3.93,1.32,0.00,-9.36
95939,-0.78,-5.47,14.81,8,0.27,844,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.91,1.30,0.00,-9.34
96011,-0.78,-5.47,14.70,8,0.27,859,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,3.86,1.30,0.00,-9.36
96075,-0.78,-5.47,14.81,8,0.27,864,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,3.88,1.30,0.00,-9.38
96147,-0.78,-5.47,14.70,8,0.27,866,0.00,0.00,16,14.70,9.88,7.50,0.64,5.37,3.91,1.30,0.00,-9.38
96211,-0.78,-5.47,14.70,8,0.27,861,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,3.91,1.30,0.00,-9.38
96283,-0.78,-5.47,14.70,8,0.28,857,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,3.91,1.32,0.00,-9.38
96354,-0.78,-5.47,14.70,8,0.28,833,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.91,1.32,0.00,-9.38
96418,-1.56,-5.47,14.59,8,0.28,840,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,3.93,1.30,0.00,-9.38
96490,-0.78,-5.47,14.59,8,0.27,853,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,3.91,1.30,0.00,-9.36
96554,-0.78,-5.47,14.59,8,0.27,851,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,3.91,1.30,0.00,-9.38
96626,-0.78,-5.47,14.70,8,0.27,870,0.00,0.00,16,14.70,9.88,7.50,0.64,5.37,3.91,1.30,0.00,-9.38
96690,-0.78,-5.47,14.70,8,0.27,868,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,3.91,1.30,0.00,-9.44
96762,-0.78,-5.47,14.70,8,0.27,860,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.32,0.00,-9.40
96826,-0.78,-5.47,14.81,8,0.27,857,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.91,1.32,0.00,-9.44
96898,-0.78,-5.47,14.70,8,0.28,847,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.88,1.32,0.00,-9.38
96962,-0.78,-5.47,14.81,8,0.28,857,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.93,1.30,0.00,-9.42
97034,-0.78,-5.47,14.70,8,0.27,865,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.88,1.30,0.00,-9.38
97106,-0.78,-5.47,14.81,8,0.27,866,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.88,1.30,0.00,-9.46
97170,-0.78,-5.47,14.70,8,0.27,865,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.91,1.30,0.00,-9.42
97242,-0.78,-5.47,14.81,8,0.27,866,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.91,1.30,0.00,-9.48
99261,-0.78,-5.47,14.81,8,0.27,866,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.91,1.30,0.00,-9.48
102630,0.00,-5.47,14.81,8,0.28,847,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.30,0.00,-9.42
102686,-0.78,-5.47,14.70,8,0.27,852,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.30,0.00,-9.44
102758,-0.78,-5.47,14.70,8,0.27,854,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.91,1.30,0.00,-9.40
102822,-0.78,-5.47,14.70,8,0.27,866,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.88,1.30,0.00,-9.46
102894,0.00,-5.47,14.70,8,0.27,862,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.30,0.00,-9.44
102966,0.00,-5.47,14.81,8,0.27,870,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.30,0.00,-9.48
103030,0.00,-5.47,14.70,8,0.27,868,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.32,0.00,-9.44
103102,0.00,-5.47,14.81,8,0.27,863,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.32,0.00,-9.46
103166,0.00,-5.47,14.81,8,0.27,868,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.88,1.30,0.00,-9.44
103238,0.00,-5.47,14.81,8,0.27,860,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.30,0.00,-9.46
103310,-0.78,-5.47,14.70,8,0.27,860,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.46
103374,0.00,-5.47,14.70,8,0.27,874,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.93,1.30,0.00,-9.44
103438,-0.78,-5.47,14.70,8,0.27,878,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.88,1.30,0.00,-9.46
103510,-0.78,-5.47,14.70,8,0.27,874,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.91,1.30,0.00,-9.48
103576,-0.78,-5.47,14.59,8,0.27,866,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.48
103648,-0.78,-5.47,14.59,8,0.27,879,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.91,1.32,0.00,-9.49
103713,-0.78,-5.47,14.59,8,0.27,860,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.91,1.32,0.00,-9.51
103785,-0.78,-5.47,14.59,8,0.27,863,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.32,0.00,-9.48
103857,-0.78,-5.47,14.59,8,0.27,852,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.30,0.00,-9.48
103921,-0.78,-5.47,14.47,8,0.27,867,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.48
103993,-0.78,-5.47,14.47,8,0.27,868,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.88,1.30,0.00,-9.48
104057,-1.56,-5.47,14.36,8,0.27,872,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.30,0.00,-9.49
104129,-0.78,-5.47,14.36,8,0.27,860,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.91,1.30,0.00,-9.49
104193,-1.56,-5.47,14.47,8,0.27,867,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.32,0.00,-9.48
104260,-0.78,-5.47,14.36,8,0.27,866,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.32,0.00,-9.48
104332,-0.78,-5.47,14.59,8,0.27,863,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.32,0.00,-9.48
104404,-0.78,-5.47,14.47,8,0.27,866,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.32,0.00,-9.48
104468,-0.78,-5.47,14.70,8,0.27,860,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.93,1.30,0.00,-9.46
104540,-0.78,-5.47,14.59,8,0.27,868,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.48
104608,-0.78,-5.47,14.70,8,0.27,867,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.48
104672,-0.78,-5.47,14.59,8,0.27,847,0.00,0.00,16,14.70,9.88,11.50,0.64,5.22,3.91,1.30,0.00,-9.46
104744,-0.78,-5.47,14.70,8,0.27,865,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.93,1.30,0.00,-9.46
104808,-0.78,-5.47,14.59,8,0.26,873,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.91,1.32,0.00,-9.48
104881,-0.78,-5.47,14.70,8,0.26,885,0.00,0.00,16,14.70,9.88,7.50,0.64,5.22,3.88,1.32,0.00,-9.49
104948,-0.78,-5.47,14.59,8,0.26,869,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.86,1.32,0.00,-9.51
105012,-0.78,-5.47,14.70,8,0.27,864,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.32,0.00,-9.51
107031,-0.78,-5.47,14.70,8,0.27,864,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.32,0.00,-9.51
110425,-1.56,-5.47,14.47,8,0.28,852,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.91,1.30,0.00,-9.44
110489,-1.56,-5.47,14.59,8,0.27,862,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.88,1.30,0.00,-9.42
110561,-1.56,-5.47,14.36,8,0.27,866,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.86,1.32,0.00,-9.44
110633,-1.56,-5.47,14.47,8,0.27,870,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.88,1.30,0.00,-9.46
110699,-0.78,-5.47,14.36,8,0.28,862,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.30,0.00,-9.46
110763,-1.56,-5.47,14.47,8,0.27,844,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.44
110835,-1.56,-5.47,14.36,8,0.28,849,0.00,0.00,16,14.70,9.88,11.00,0.64,5.22,3.91,1.30,0.00,-9.42
110903,-1.56,-5.47,14.47,8,0.28,851,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,3.91,1.30,0.00,-9.40
110973,-0.78,-5.47,14.36,8,0.28,844,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.91,1.32,0.00,-9.40
111037,-1.56,-5.47,14.59,8,0.27,853,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,3.88,1.32,0.00,-9.42
111105,-0.78,-5.47,14.47,8,0.27,854,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.88,1.30,0.00,-9.42
111177,-0.78,-5.47,14.70,8,0.27,872,0.00,0.00,16,14.70,9.88,7.50,0.64,5.37,3.86,1.30,0.00,-9.44
111250,-0.78,-5.47,14.59,8,0.27,870,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.86,1.30,0.00,-9.46
111313,-0.78,-5.47,14.70,8,0.27,858,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.86,1.30,0.00,-9.46
111385,-0.78,-5.47,14.59,8,0.27,844,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.91,1.30,0.00,-9.46
111451,-0.78,-5.47,14.59,8,0.28,854,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.91,1.30,0.00,-9.44
