Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,1.56,0.78,14.47,8,0.35,2261,0.00,0.00,14.69,16,39.06,38.50,6.38,13.13,1.86,0.86,14.60
62,1.56,0.78,14.59,8,0.35,2283,0.00,0.00,14.69,16,39.41,39.00,6.38,13.20,1.88,0.86,14.70
124,1.56,0.78,14.70,8,0.35,2281,0.00,0.00,14.69,16,39.77,39.00,6.53,13.45,1.88,0.86,14.80
186,1.56,0.78,14.70,8,0.35,2319,0.00,0.00,14.69,16,39.77,39.00,6.53,13.52,1.88,0.86,14.80
247,1.56,0.78,14.59,8,0.36,2322,0.00,0.00,14.69,16,40.12,39.50,6.53,13.77,1.90,0.86,14.80
309,1.56,0.78,14.59,8,0.36,2339,0.00,0.00,14.69,16,40.47,40.00,6.53,13.77,1.90,0.86,14.80
371,0.78,0.78,14.47,8,0.36,2367,0.00,0.00,14.69,16,40.47,40.00,6.53,14.15,1.90,0.86,14.70
432,1.56,0.78,14.59,8,0.36,2369,0.00,0.00,14.69,16,40.82,40.00,6.53,14.15,1.92,0.86,14.70
494,1.56,0.78,14.70,8,0.37,2369,0.00,0.00,14.69,16,41.17,40.50,6.53,14.40,1.92,0.86,14.70
556,1.56,0.78,14.70,8,0.37,2394,0.00,0.00,14.69,16,41.52,41.00,6.67,14.53,1.92,0.86,14.90
617,1.56,0.78,14.70,8,0.37,2391,0.00,0.00,14.69,16,41.52,41.00,6.67,14.79,1.94,0.86,14.90
680,1.56,0.78,14.70,8,0.36,2417,0.00,0.00,14.69,16,41.52,41.00,6.67,14.92,1.92,0.86,14.90
741,1.56,0.78,14.70,8,0.37,2454,0.00,0.00,14.69,16,41.52,41.00,6.53,14.92,1.94,0.86,14.80
803,1.56,0.78,14.70,8,0.37,2444,0.00,0.00,14.69,16,41.52,41.00,6.53,14.92,1.94,0.86,14.80
865,1.56,0.78,14.59,8,0.36,2456,0.00,0.00,14.70,16,41.52,41.00,6.53,15.05,1.94,0.86,14.80
927,1.56,0.78,14.70,8,0.36,2489,0.00,0.00,14.70,16,41.52,41.00,6.53,15.05,1.94,0.86,14.80
987,1.56,1.56,14.59,8,0.36,2516,0.00,0.00,14.70,16,41.52,41.00,6.53,15.19,1.94,0.86,14.80
1049,1.56,1.56,14.59,8,0.36,2522,0.00,0.00,14.70,16,41.52,41.00,6.38,15.25,1.94,0.86,14.80
1111,1.56,1.56,14.70,8,0.36,2537,0.00,0.00,14.70,16,41.52,41.00,6.38,15.19,1.96,0.86,14.80
1172,1.56,1.56,14.59,8,0.36,2554,0.00,0.00,14.70,16,41.52,41.00,6.38,15.33,1.96,0.86,14.60
1235,1.56,1.56,14.47,8,0.36,2575,0.00,0.00,14.70,16,41.88,41.50,6.24,15.47,1.96,0.86,14.70
1297,0.78,1.56,14.59,8,0.36,2575,0.00,0.00,14.70,16,41.52,41.50,6.24,15.47,1.94,0.86,14.70
1358,0.78,1.56,14.47,8,0.36,2600,0.00,0.00,14.70,16,41.52,41.00,6.24,15.47,1.96,0.86,14.60
1419,0.78,1.56,14.47,8,0.35,2611,0.00,0.00,14.70,16,41.88,41.50,6.24,15.41,1.96,0.86,14.60
1481,0.78,1.56,14.47,8,0.35,2640,0.00,0.00,14.70,16,41.52,41.00,6.24,15.70,1.96,0.86,14.60
1542,0.78,1.56,14.59,8,0.35,2640,0.00,0.00,14.70,16,41.88,41.50,6.24,15.55,1.96,0.86,14.60
1604,0.78,1.56,14.36,8,0.35,2642,0.00,0.00,14.70,16,41.88,41.50,6.24,15.62,1.96,0.86,14.60
1665,0.00,1.56,14.36,8,0.36,2670,0.00,0.00,14.70,16,41.88,41.50,6.24,15.55,1.96,0.86,14.60
1728,0.78,1.56,14.59,8,0.35,2687,0.00,0.00,14.70,16,41.88,41.50,6.24,15.92,1.96,0.86,14.60
1789,0.00,1.56,14.47,8,0.36,2704,0.00,0.00,14.70,16,42.23,41.50,6.24,15.78,1.96,0.86,14.60
1851,0.78,1.56,14.70,8,0.35,2708,0.00,0.00,14.70,16,41.88,41.50,6.24,16.00,1.98,0.86,14.70
1912,0.78,1.56,14.70,8,0.35,2721,0.00,0.00,14.70,16,41.88,41.50,6.24,15.92,1.98,0.86,14.70
1974,0.78,1.56,14.70,8,0.35,2735,0.00,0.00,14.70,16,42.23,41.50,6.24,16.23,1.98,0.86,14.70
2035,0.78,1.56,14.70,8,0.35,2760,0.00,0.00,14.70,16,42.23,41.50,6.24,16.14,1.98,0.86,14.70
2097,0.78,1.56,14.59,8,0.35,2770,0.00,0.00,14.70,16,41.88,41.50,6.24,16.29,1.98,0.86,14.70
2158,0.78,1.56,14.59,8,0.36,2770,0.00,0.00,14.70,16,42.23,41.50,6.24,16.44,1.98,0.86,14.70
