Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
0,14.74,0.13,1244,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,199,0.00
188,14.77,0.13,1236,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,199,0.00
375,14.75,0.13,1246,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,199,0.00
563,14.72,0.13,1240,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,199,0.00
766,14.77,0.13,1244,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,199,0.00
953,14.74,0.13,1238,0.00,0.00,16,10.59,9.50,5.30,-1.39,0.64,199,0.00
1141,14.74,0.13,1228,0.00,0.00,16,10.59,11.00,5.36,-1.39,0.64,201,0.00
1344,14.72,0.13,1231,0.00,0.00,16,10.59,11.00,5.40,-1.39,0.64,201,0.00
1532,14.70,0.13,1234,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,201,0.00
1719,14.53,0.13,1236,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,201,0.00
1906,14.55,0.13,1227,0.00,0.00,16,10.59,11.50,5.33,-1.39,0.64,201,0.00
2109,14.58,0.13,1232,0.00,0.00,16,10.59,11.00,5.33,-1.39,0.64,201,0.00
2297,14.67,0.13,1232,0.00,0.00,16,10.59,10.00,5.33,-1.39,0.64,201,0.00
2485,14.63,0.13,1224,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,201,0.00
2672,14.65,0.13,1237,0.00,0.00,16,10.59,10.50,5.30,-1.39,0.64,201,0.00
2878,14.67,0.13,1228,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,201,0.00
3066,14.72,0.13,1228,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,201,0.00
3254,14.79,0.13,1228,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,201,0.00
3441,14.77,0.13,1228,0.00,0.00,16,10.59,10.50,5.36,-1.39,0.64,201,0.00
3644,14.70,0.13,1238,0.00,0.00,16,10.59,9.50,5.36,-1.39,0.64,201,0.00
3832,14.60,0.13,1235,0.00,0.00,16,10.59,10.00,5.33,-1.39,0.64,201,0.00
4019,14.74,0.13,1230,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,201,0.00
4207,14.70,0.13,1235,0.00,0.00,16,10.59,10.00,5.40,-1.39,0.64,201,0.00
4410,14.65,0.13,1241,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,201,0.00
4597,14.40,0.13,1223,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,201,0.00
4785,14.51,0.13,1221,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,201,0.00
4972,14.61,0.13,1225,0.00,0.00,16,10.59,10.00,5.30,-1.39,0.64,201,0.00
5175,14.63,0.13,1230,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,201,0.00
5367,14.77,0.13,1220,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,201,0.00
5555,14.79,0.13,1227,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,201,0.00
5742,14.84,0.13,1222,0.00,0.00,16,10.59,11.00,5.33,-1.39,0.64,201,0.00
5930,14.77,0.13,1226,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,201,0.00
6133,14.74,0.13,1229,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,201,0.00
6320,14.72,0.13,1250,0.00,0.00,16,10.59,8.50,5.36,-1.39,0.64,201,0.00
6508,14.70,0.13,1242,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,201,0.00
6696,14.79,0.13,1235,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,201,0.00
6898,14.72,0.13,1241,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,201,0.00
