Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-4.69,0.00,14.70,7,0.26,809,0.00,0.00,14.44,16,9.88,9.50,64,5.22,-9.48,3.56,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.60
86,-4.69,0.00,14.70,7,0.26,812,0.00,0.00,14.45,16,9.88,9.50,64,5.22,-9.48,3.56,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
173,-5.47,0.00,14.70,7,0.27,797,0.00,0.00,14.45,16,9.88,10.50,64,5.22,-9.48,3.58,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
259,-5.47,0.00,14.59,7,0.27,795,0.00,0.00,14.45,16,9.88,10.50,64,5.22,-9.48,3.58,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
346,-4.69,0.00,14.70,7,0.27,792,0.00,0.00,14.46,16,9.88,10.00,64,5.22,-9.44,3.64,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.80
433,-4.69,0.00,14.70,7,0.27,811,0.00,0.00,14.46,16,9.88,9.00,64,5.22,-9.44,3.61,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
520,-4.69,0.00,14.70,7,0.26,813,0.00,0.00,14.48,16,9.88,8.50,64,5.22,-9.42,3.58,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
607,-4.69,0.00,14.70,7,0.26,814,0.00,0.00,14.49,16,9.88,9.50,64,5.22,-9.44,3.56,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.70
693,-4.69,0.00,14.81,7,0.27,808,0.00,0.00,14.49,16,9.88,9.50,64,5.22,-9.44,3.58,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,14.80
780,-4.69,0.00,14.81,7,0.27,791,0.00,0.00,14.49,16,9.88,11.00,64,5.22,-9.44,3.61,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.90
867,-4.69,0.00,14.81,7,0.27,804,0.00,0.00,14.49,16,9.88,9.50,64,5.37,-9.38,3.67,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.80
954,-4.69,0.00,14.81,7,0.27,807,0.00,0.00,14.51,16,9.88,8.00,64,5.37,-9.40,3.64,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,14.90
1040,-4.69,0.00,14.81,7,0.26,816,0.00,0.00,14.52,16,9.88,8.50,64,5.22,-9.44,3.64,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.80
1127,-4.69,0.00,14.81,7,0.26,820,0.00,0.00,14.53,16,9.88,8.00,64,5.22,-9.44,3.61,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.80
1214,-3.91,0.00,14.93,7,0.27,819,0.00,0.00,14.53,16,9.88,9.00,64,5.22,-9.46,3.67,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,15.00
1301,-3.91,0.00,14.93,7,0.27,809,0.00,0.00,14.54,16,9.88,9.50,64,5.22,-9.44,3.64,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,15.00
1388,-3.91,0.00,14.93,7,0.27,804,0.00,0.00,14.54,16,9.88,9.50,64,5.22,-9.40,3.67,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.90
1475,-3.12,0.00,15.04,7,0.27,808,0.00,0.00,14.55,16,9.88,9.50,64,5.22,-9.44,3.67,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.90
1561,-3.12,0.00,15.16,7,0.27,820,0.00,0.00,14.56,16,9.88,8.00,64,5.22,-9.42,3.67,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,15.00
1648,-3.12,0.00,15.16,7,0.27,828,0.00,0.00,14.56,16,9.88,8.00,64,5.22,-9.46,3.67,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,15.00
1735,-3.12,0.00,15.04,7,0.27,824,0.00,0.00,14.57,16,9.88,7.00,64,5.22,-9.46,3.67,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,15.10
1821,-3.12,0.00,14.93,7,0.26,826,0.00,0.00,14.58,16,9.88,8.00,64,5.22,-9.48,3.61,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,15.10
1908,-3.12,0.00,14.93,7,0.26,828,0.00,0.00,14.59,16,9.88,9.50,64,5.22,-9.49,3.67,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,15.10
1995,-3.91,0.00,14.81,7,0.26,817,0.00,0.00,14.59,16,9.88,9.00,64,5.22,-9.48,3.61,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,15.10
2081,-3.12,0.00,14.81,7,0.27,808,0.00,0.00,14.60,16,9.88,10.50,64,5.22,-9.48,3.67,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,15.00
2169,-3.12,0.00,14.81,7,0.27,819,0.00,0.00,14.61,16,9.88,9.00,64,5.22,-9.46,3.67,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.90
2255,-3.12,0.00,14.81,7,0.27,821,0.00,0.00,14.61,16,9.88,9.00,64,5.22,-9.48,3.64,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.90
2342,-3.12,0.00,14.93,7,0.26,819,0.00,0.00,14.62,16,9.88,9.50,64,5.22,-9.48,3.61,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.90
2429,-3.12,0.00,14.93,7,0.26,828,0.00,0.00,14.63,16,9.88,8.50,64,5.22,-9.46,3.61,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,14.90
2515,-2.34,0.00,15.04,7,0.27,825,0.00,0.00,14.64,16,9.88,9.50,64,5.22,-9.48,3.67,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,15.10
2603,-2.34,0.00,15.04,7,0.26,819,0.00,0.00,14.64,16,9.88,9.50,64,5.22,-9.46,3.61,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,15.10
2689,-2.34,0.00,15.04,8,0.27,811,0.00,0.00,14.65,16,9.88,9.50,64,5.22,-9.46,3.67,1.30,0.00,-1.18,0.00,0.64,0.00,0.00,15.00
2775,-2.34,0.00,15.04,8,0.27,815,0.00,0.00,14.66,16,9.88,10.00,64,5.22,-9.46,3.67,1.26,0.00,-1.18,0.00,0.64,0.00,0.00,15.00
2862,-2.34,0.00,15.04,8,0.27,821,0.00,0.00,14.66,16,9.88,9.00,64,5.22,-9.44,3.67,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,15.10
2949,-2.34,0.00,15.04,8,0.27,830,0.00,0.00,14.67,16,9.88,8.00,64,5.22,-9.48,3.64,1.28,0.00,-1.18,0.00,0.64,0.00,0.00,15.10
