Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.47,0.12,821,0.00,0.00,16,9.88,10.00,4.79,3.31,-1.18,0.64
52,14.59,0.12,814,0.00,0.00,16,9.88,11.00,4.79,3.31,-1.18,0.64
104,14.59,0.12,814,0.00,0.00,16,9.88,11.00,4.79,3.31,-1.18,0.64
155,14.47,0.12,822,0.00,0.00,16,9.88,10.50,4.79,3.31,-1.18,0.64
208,14.59,0.12,822,0.00,0.00,16,9.88,10.00,4.79,3.33,-1.18,0.64
261,14.47,0.12,830,0.00,0.00,16,9.88,9.00,4.79,3.31,-1.18,0.64
313,14.47,0.12,838,0.00,0.00,16,9.88,8.00,4.79,3.31,-1.18,0.64
366,14.47,0.12,832,0.00,0.00,16,9.88,8.00,4.79,3.28,-1.18,0.64
417,14.59,0.12,832,0.00,0.00,16,9.88,9.00,4.79,3.28,-1.18,0.64
472,14.47,0.12,832,0.00,0.00,16,9.88,9.00,4.79,3.31,-1.18,0.64
522,14.59,0.12,833,0.00,0.00,16,9.88,9.00,4.79,3.31,-1.18,0.64
575,14.59,0.12,832,0.00,0.00,16,9.88,9.00,4.79,3.31,-1.18,0.64
629,14.59,0.12,818,0.00,0.00,16,9.88,9.00,4.79,3.31,-1.18,0.64
681,14.59,0.12,812,0.00,0.00,16,9.88,10.50,4.79,3.31,-1.18,0.64
733,14.47,0.12,812,0.00,0.00,16,9.88,11.00,4.79,3.31,-1.18,0.64
787,14.59,0.12,817,0.00,0.00,16,9.88,10.50,4.79,3.31,-1.18,0.64
839,14.59,0.12,817,0.00,0.00,16,9.88,10.50,4.79,3.31,-1.18,0.64
892,14.59,0.12,828,0.00,0.00,16,9.88,10.50,4.79,3.31,-1.18,0.64
947,14.70,0.12,835,0.00,0.00,16,9.88,9.50,4.79,3.31,-1.18,0.64
995,14.70,0.12,835,0.00,0.00,16,9.88,8.00,4.79,3.31,-1.18,0.64
1048,14.59,0.12,834,0.00,0.00,16,9.88,8.50,4.79,3.28,-1.18,0.64
1100,14.70,0.12,826,0.00,0.00,16,9.88,9.50,4.79,3.31,-1.18,0.64
1155,14.70,0.12,828,0.00,0.00,16,9.88,9.50,4.79,3.31,-1.18,0.64
1207,14.70,0.12,824,0.00,0.00,16,9.88,9.50,4.79,3.31,-1.18,0.64
1257,14.70,0.12,824,0.00,0.00,16,9.88,9.50,4.79,3.31,-1.18,0.64
1309,14.81,0.12,830,0.00,0.00,16,9.88,10.00,4.79,3.28,-1.18,0.64
1362,14.81,0.12,827,0.00,0.00,16,9.88,9.50,4.79,3.28,-1.18,0.64
1414,14.81,0.12,824,0.00,0.00,16,9.88,9.50,4.79,3.36,-1.18,0.64
1469,14.81,0.11,794,0.00,0.00,16,9.88,9.50,4.79,3.36,-1.18,0.64
1521,14.81,0.13,794,0.00,0.00,16,9.88,13.00,4.93,3.31,-1.18,0.64
1573,14.70,0.12,784,0.00,0.00,16,9.88,14.00,5.08,3.25,-1.18,0.64
1625,14.70,0.12,801,0.00,0.00,16,9.88,11.50,5.08,3.28,-1.18,0.64
1677,14.70,0.12,820,0.00,0.00,16,9.88,11.50,5.08,3.28,-1.18,0.64
1729,14.81,0.12,818,0.00,0.00,16,9.88,9.50,5.08,3.28,-1.18,0.64
1781,14.70,0.12,818,0.00,0.00,16,9.88,9.50,5.08,3.25,-1.18,0.64
1865,14.70,0.12,791,0.00,0.00,16,9.88,12.50,5.08,3.25,-1.18,0.64
1889,14.70,0.13,780,0.00,0.00,16,9.88,13.50,5.08,3.25,-1.18,0.64
1941,14.70,0.13,782,0.00,0.00,16,9.88,13.50,5.08,3.36,-1.18,0.64
1993,14.70,0.13,789,0.00,0.00,16,9.88,13.00,5.08,3.36,-1.18,0.64
2045,14.70,0.12,789,0.00,0.00,16,9.88,12.00,5.08,3.31,-1.18,0.64
2097,14.81,0.12,808,0.00,0.00,16,9.88,10.50,5.08,3.31,-1.18,0.64
2149,14.81,0.12,815,0.00,0.00,16,9.88,9.50,5.08,3.31,-1.18,0.64
2201,14.81,0.12,816,0.00,0.00,16,9.88,9.50,5.08,3.25,-1.18,0.64
2257,14.81,0.11,794,0.00,0.00,16,9.88,9.00,5.08,3.25,-1.18,0.64
2310,15.04,0.12,794,0.00,0.00,16,9.88,11.50,5.08,3.31,-1.18,0.64
2358,15.04,0.12,800,0.00,0.00,16,9.88,10.50,5.08,3.28,-1.18,0.64
2410,15.16,0.12,798,0.00,0.00,16,9.88,10.50,4.93,3.33,-1.18,0.64
2462,15.16,0.12,806,0.00,0.00,16,9.88,10.50,4.93,3.31,-1.18,0.64
2516,15.27,0.12,804,0.00,0.00,16,9.88,9.50,4.93,3.31,-1.18,0.64
2568,15.39,0.12,804,0.00,0.00,16,9.88,10.00,4.93,3.31,-1.18,0.64
2622,15.39,0.12,805,0.00,0.00,16,9.88,10.00,4.93,3.25,-1.18,0.64
2675,15.50,0.12,814,0.00,0.00,16,9.88,9.00,4.93,3.31,-1.18,0.64
2725,15.50,0.12,820,0.00,0.00,16,9.88,9.00,4.93,3.33,-1.18,0.64
2777,15.62,0.12,826,0.00,0.00,16,9.88,8.00,4.93,3.33,-1.18,0.64
2831,15.50,0.12,826,0.00,0.00,16,9.88,8.00,4.93,3.33,-1.18,0.64
2885,15.50,0.12,816,0.00,0.00,16,9.88,9.00,4.93,3.31,-1.18,0.64
2935,15.50,0.12,815,0.00,0.00,16,9.88,9.50,4.93,3.31,-1.18,0.64
2989,15.50,0.12,808,0.00,0.00,16,9.88,9.50,4.93,3.31,-1.18,0.64
3039,15.62,0.12,805,0.00,0.00,16,9.88,10.00,4.93,3.31,-1.18,0.64
3093,15.50,0.12,805,0.00,0.00,16,9.88,10.00,4.93,3.31,-1.18,0.64
3144,15.50,0.12,809,0.00,0.00,16,9.88,9.50,4.93,3.31,-1.18,0.64
3199,15.39,0.12,808,0.00,0.00,16,9.88,10.00,4.93,3.31,-1.18,0.64
3255,15.39,0.12,818,0.00,0.00,16,9.88,10.00,4.93,3.31,-1.18,0.64
3302,15.39,0.12,822,0.00,0.00,16,9.88,8.50,4.93,3.31,-1.18,0.64
3355,15.27,0.12,822,0.00,0.00,16,9.88,8.00,4.93,3.33,-1.18,0.64
