Time (msec),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
24189,18.72,201,0.19,5564,0.00,0.00,16,19.73,21.00,4.93,-9.84,36.27,2.48,0.00,0.66,0.00,22.80
24250,21.25,201,0.18,5319,0.00,0.00,16,14.45,14.00,4.64,-10.06,32.71,2.40,0.00,0.66,0.00,66.10
24315,24.12,201,0.16,5319,0.00,0.00,16,11.99,11.50,4.50,-10.13,29.14,2.34,0.00,0.66,0.00,66.10
24384,23.89,201,0.17,5060,0.00,0.00,16,11.99,11.50,4.50,-10.17,27.36,2.28,0.00,0.66,0.00,96.00
24441,23.89,201,0.16,4898,0.00,0.00,16,11.99,11.50,4.50,-10.23,25.10,2.24,0.00,0.66,0.00,96.00
24512,23.66,201,0.14,4682,0.00,0.00,16,11.99,11.50,4.50,-10.27,22.67,2.18,0.00,0.66,0.00,96.00
24576,23.77,201,0.30,4510,0.00,0.00,16,17.62,27.50,4.35,-9.01,41.13,2.70,0.00,1.24,0.00,96.00
24632,23.77,201,0.51,4438,0.00,0.00,16,41.88,38.00,7.11,-2.13,77.62,3.12,0.00,2.16,0.00,66.90
24696,24.12,201,0.57,4664,0.00,0.00,16,36.25,34.50,13.93,-0.14,86.05,3.22,0.00,2.92,20.00,66.90
24767,19.98,201,0.57,4688,0.00,0.00,16,29.57,29.50,14.95,1.08,83.76,3.14,37.25,3.36,20.00,14.60
24829,15.27,201,0.58,4259,0.00,0.00,16,33.09,32.50,16.25,2.01,87.76,3.24,37.25,3.96,20.00,12.20
24896,12.52,201,0.66,4676,0.00,0.00,16,28.52,32.50,16.98,2.61,96.65,3.34,38.82,3.96,20.00,12.20
24956,11.25,201,0.66,4412,0.00,0.00,16,25.00,26.00,17.99,3.85,98.55,3.40,38.82,3.96,20.00,12.80
25020,11.71,201,0.72,4564,0.00,0.00,16,26.41,26.50,19.01,4.68,109.69,3.48,41.57,3.96,20.00,12.80
25087,11.48,201,0.75,4584,0.00,0.00,16,22.19,23.50,19.88,5.82,109.69,3.48,41.57,3.96,20.00,12.90
25144,11.48,201,0.78,4532,0.00,0.00,16,22.19,21.00,21.18,6.98,113.82,3.54,41.57,3.96,20.00,12.30
25215,11.14,201,0.87,4670,0.00,0.00,16,17.97,20.00,22.49,8.28,123.88,3.62,41.57,3.96,20.00,12.30
25279,11.14,201,0.91,4581,0.00,0.00,16,15.86,16.50,23.94,9.82,133.98,3.70,41.57,3.96,20.00,12.10
25342,11.02,201,0.98,4702,0.00,0.00,16,14.10,14.50,25.39,11.27,142.56,3.74,41.57,3.96,20.00,11.60
25403,11.02,201,1.03,4673,0.00,0.00,16,11.99,12.00,26.99,12.96,152.02,3.82,41.57,3.96,20.00,11.60
25471,11.02,201,1.07,4762,0.00,0.00,16,11.99,11.50,28.87,14.56,160.39,3.92,41.57,3.96,19.18,11.60
25529,11.14,201,1.08,4795,0.00,0.00,16,11.29,10.50,30.33,15.95,167.99,3.96,41.57,3.96,19.18,12.00
25598,11.14,201,1.12,4795,0.00,0.00,16,11.29,10.50,31.49,17.15,172.77,4.00,41.57,3.96,10.37,12.00
25663,11.14,201,1.12,4860,0.00,0.00,16,11.64,11.00,32.65,18.10,178.24,4.04,36.86,3.96,10.37,12.40
25724,11.14,201,1.10,4857,0.00,0.00,16,11.29,10.50,33.37,18.74,178.59,4.06,36.86,3.96,4.82,12.40
25791,11.14,201,1.10,4921,0.00,0.00,16,11.64,11.00,33.52,18.85,179.30,4.06,33.73,3.96,4.82,12.10
25855,11.14,201,1.11,4928,0.00,0.00,16,11.64,11.00,33.52,18.72,179.99,4.04,33.73,3.96,4.82,12.50
25920,11.14,201,1.10,4993,0.00,0.00,16,11.99,11.50,33.37,18.70,178.24,4.04,36.08,3.96,4.97,12.50
25986,11.14,201,1.11,4993,0.00,0.00,16,11.99,11.50,33.23,18.54,185.03,4.10,36.08,3.96,4.97,12.20
26047,11.14,201,1.12,5027,0.00,0.00,16,11.99,11.50,33.23,18.58,183.22,4.10,36.08,3.96,5.57,12.20
26111,11.25,201,1.11,5067,0.00,0.00,16,11.99,11.50,33.23,18.66,188.34,4.12,38.82,3.96,5.57,12.20
26174,11.14,201,1.13,5140,0.00,0.00,16,11.99,11.50,33.37,18.89,194.58,4.16,38.82,3.94,4.52,12.10
26239,11.14,201,1.15,5183,0.00,0.00,16,11.99,11.50,33.66,19.18,196.41,4.16,40.00,3.48,4.52,12.30
26304,11.14,201,1.13,5212,0.00,0.00,16,11.99,11.50,33.81,18.81,196.77,4.16,40.00,2.48,-11.63,12.30
26367,11.14,201,1.02,5267,0.00,0.00,16,11.99,11.50,32.94,16.63,162.63,3.88,18.04,1.74,-11.63,11.70
26432,11.14,201,0.69,5222,0.00,0.00,16,17.97,12.00,27.28,8.60,162.63,3.88,18.04,1.12,-20.00,9.50
26489,11.14,201,0.48,5050,0.00,0.00,16,34.49,26.50,17.27,-0.14,82.74,3.16,1.57,0.96,-20.00,9.50
26560,11.14,201,0.39,5338,0.00,0.00,16,41.88,39.00,10.45,-5.34,67.59,2.98,1.57,0.86,-20.00,8.90
26624,11.14,201,0.32,5092,0.00,0.00,16,43.28,42.50,6.82,-7.85,53.70,2.76,0.00,0.66,0.00,8.90
26687,11.37,201,0.26,5296,0.00,0.00,16,39.77,39.50,5.37,-9.32,46.92,2.68,0.00,0.66,0.00,10.20
26751,12.29,201,0.24,5296,0.00,0.00,16,33.44,33.00,5.37,-9.98,43.99,2.62,0.00,0.66,0.00,13.70
26813,12.29,201,0.21,5222,0.00,0.00,16,28.16,26.00,4.64,-10.09,37.61,2.50,0.00,0.66,0.00,13.70
26873,15.73,201,0.20,5151,0.00,0.00,16,21.48,26.00,4.64,-10.27,32.95,2.42,0.00,0.66,0.00,18.30
26940,22.97,201,0.18,5252,0.00,0.00,16,16.21,19.00,4.35,-10.31,32.95,2.42,0.00,0.66,0.00,54.50
27007,23.89,201,0.16,5176,0.00,0.00,16,11.99,13.00,4.35,-10.33,30.48,2.36,0.00,0.66,0.00,54.50
27073,24.23,201,0.16,5186,0.00,0.00,16,11.99,11.50,4.21,-10.48,27.77,2.30,0.00,0.66,0.00,96.00
27136,23.77,201,0.15,5119,0.00,0.00,16,11.99,11.50,4.21,-10.50,26.62,2.28,0.00,0.66,0.00,96.00
27202,24.23,201,0.15,5119,0.00,0.00,16,11.99,11.50,4.21,-10.50,25.29,2.24,0.00,0.66,0.00,96.00
27265,24.12,201,0.16,5123,0.00,0.00,16,11.99,11.50,4.21,-10.48,24.42,2.22,0.00,0.66,0.00,96.00
27329,23.77,201,0.14,5095,0.00,0.00,16,11.99,11.50,4.21,-10.54,23.25,2.20,0.00,0.66,0.00,99.90
27394,23.77,201,0.13,5064,0.00,0.00,16,11.99,11.50,4.21,-10.58,22.67,2.18,0.00,0.66,0.00,99.90
27458,23.77,201,0.13,5054,0.00,0.00,16,11.99,11.50,4.21,-10.56,21.44,2.16,0.00,0.66,0.00,99.90
27518,24.12,201,0.13,5020,0.00,0.00,16,11.99,11.50,4.06,-10.60,21.28,2.14,0.00,0.66,0.00,99.90
27584,24.00,201,0.12,4993,0.00,0.00,16,11.99,11.50,4.06,-10.60,21.28,2.14,0.00,0.66,0.00,99.90
27649,23.77,201,0.12,5000,0.00,0.00,16,11.99,11.50,4.06,-10.60,20.68,2.12,0.00,0.66,0.00,99.90
27713,23.89,201,0.11,4973,0.00,0.00,16,11.99,11.50,4.06,-10.64,20.23,2.12,0.00,0.66,0.00,99.90
27776,24.12,201,0.14,4921,0.00,0.00,16,11.99,11.50,3.05,-11.51,11.05,1.74,0.00,0.66,0.00,99.90
27834,24.23,201,0.14,4883,0.00,0.00,16,11.99,11.50,3.92,-10.71,21.71,2.14,0.00,0.66,0.00,99.90
27898,24.12,201,0.12,4886,0.00,0.00,16,11.99,11.50,4.06,-10.67,19.99,2.10,0.00,0.66,0.00,99.90
27963,24.23,201,0.12,4832,0.00,0.00,16,11.99,11.50,4.06,-10.65,19.50,2.08,0.00,0.66,0.00,99.90
28033,24.23,201,0.12,4832,0.00,0.00,16,11.99,11.50,4.06,-10.65,19.26,2.08,0.00,0.66,0.00,99.90
28096,24.12,201,0.12,4851,0.00,0.00,16,11.99,11.50,4.06,-10.67,18.80,2.06,0.00,0.66,0.00,99.90
28158,24.23,201,0.11,4783,0.00,0.00,16,11.99,11.50,4.06,-10.64,18.33,2.04,0.00,0.66,0.00,99.90
28222,24.23,201,0.11,4798,0.00,0.00,16,11.99,11.50,4.06,-10.67,18.02,2.04,0.00,0.66,0.00,99.90
28289,24.23,201,0.11,4735,0.00,0.00,16,11.99,11.50,4.06,-10.62,17.63,2.02,0.00,0.66,0.00,99.90
28352,24.12,201,0.11,4735,0.00,0.00,16,11.99,11.50,4.06,-10.67,17.40,2.02,0.00,0.66,0.00,99.90
28416,24.00,201,0.11,4670,0.00,0.00,16,11.99,11.50,4.06,-10.60,16.66,2.00,0.00,0.66,0.00,99.90
28477,24.23,201,0.12,4462,0.00,0.00,16,11.99,11.50,4.06,-10.64,16.06,1.96,0.00,0.66,0.00,99.90
28545,24.00,201,0.11,4328,0.00,0.00,16,11.99,11.50,4.06,-10.64,14.79,1.92,0.00,0.66,0.00,99.90
28610,24.12,201,0.10,4141,0.00,0.00,16,11.99,11.50,4.06,-10.64,13.39,1.86,0.00,0.66,0.00,99.90
28674,24.35,201,0.10,4004,0.00,0.00,16,11.99,11.50,4.06,-10.73,12.79,1.86,0.00,0.66,0.00,99.90
28734,24.12,201,0.10,3818,0.00,0.00,16,11.99,11.50,3.92,-10.87,12.79,1.86,0.00,0.66,0.00,99.90
28798,24.00,201,0.10,3673,0.00,0.00,16,11.99,11.50,3.77,-10.91,12.10,1.82,0.00,0.66,0.00,99.90
28866,24.12,201,0.10,3524,0.00,0.00,16,11.99,11.50,3.77,-10.91,11.39,1.78,0.00,0.66,0.00,99.90
28930,24.46,201,0.10,3410,0.00,0.00,16,11.99,11.50,3.77,-10.89,10.99,1.78,0.00,0.66,0.00,99.90
28994,24.35,201,0.10,3258,0.00,0.00,16,11.99,11.50,3.92,-10.81,10.84,1.76,0.00,0.66,0.00,99.90
29058,24.12,201,0.11,3138,0.00,0.00,16,11.99,11.50,3.92,-10.75,10.69,1.76,0.00,0.66,0.00,99.90
29119,24.35,201,0.11,2977,0.00,0.00,16,11.99,11.50,3.92,-10.73,10.58,1.76,0.00,0.66,0.00,99.90
29185,24.12,201,0.12,2854,0.00,0.00,16,11.99,11.50,3.92,-10.71,10.84,1.76,0.00,0.66,0.00,99.90
29249,24.12,201,0.12,2723,0.00,0.00,16,11.99,11.50,4.06,-10.67,11.05,1.76,0.00,0.66,0.00,99.90
29313,24.12,201,0.13,2590,0.00,0.00,16,11.99,11.50,4.06,-10.62,10.78,1.76,0.00,0.66,0.00,99.90
29377,24.35,201,0.13,2450,0.00,0.00,16,11.99,11.50,4.06,-10.58,10.33,1.72,0.00,0.66,0.00,99.90
29441,24.12,201,0.14,2344,0.00,0.00,16,11.99,11.50,4.21,-10.48,9.79,1.70,0.00,0.66,0.00,99.90
29505,23.89,201,0.12,2204,0.00,0.00,16,11.99,11.50,4.35,-10.40,8.73,1.62,0.00,0.66,0.00,99.90
29569,24.35,201,0.11,2098,0.00,0.00,16,11.99,11.50,4.35,-10.27,8.44,1.60,0.00,0.66,0.00,99.90
29626,24.12,201,0.11,1970,0.00,0.00,16,11.99,11.50,4.35,-10.31,7.21,1.56,0.00,0.66,0.00,99.90
29697,24.00,201,0.12,1848,0.00,0.00,16,11.99,11.50,4.35,-10.33,6.99,1.54,0.00,0.66,0.00,99.90
29760,24.12,201,0.13,1719,0.00,0.00,16,11.99,11.50,4.35,-10.36,7.06,1.54,0.00,0.66,0.00,99.90
29824,23.89,201,0.14,1606,0.00,0.00,16,11.99,11.50,4.35,-10.31,6.95,1.54,0.00,0.66,0.00,99.90
29888,24.12,201,0.16,1504,0.00,0.00,16,11.64,11.50,4.50,-10.11,6.92,1.54,0.00,0.66,0.00,99.90
29952,23.89,201,0.13,1373,0.00,0.00,16,11.29,19.00,4.79,-9.94,6.40,1.48,0.00,0.66,0.00,99.90
30016,24.23,201,0.12,1373,0.00,0.00,16,10.59,18.50,4.79,-9.84,5.36,1.42,0.00,0.66,0.00,99.90
30077,24.12,201,0.12,1247,0.00,0.00,16,10.59,18.50,4.93,-9.73,4.95,1.38,0.00,0.66,0.00,99.90
30143,23.89,201,0.12,1230,0.00,0.00,16,10.59,18.50,4.93,-9.73,4.79,1.38,0.00,0.66,0.00,99.90
30207,24.46,201,0.12,1227,0.00,0.00,16,10.59,18.50,4.93,-9.73,4.85,1.38,0.00,0.66,0.00,99.90
30272,24.00,201,0.11,1225,0.00,0.00,16,10.59,18.50,4.93,-9.73,4.57,1.36,0.00,0.66,0.00,99.90
30337,24.12,201,0.12,1204,0.00,0.00,16,10.59,18.50,4.93,-9.77,4.57,1.36,0.00,0.66,0.00,99.90
30396,24.12,201,0.12,1190,0.00,0.00,16,10.59,18.50,4.93,-9.77,4.57,1.36,0.00,0.66,0.00,99.90
30463,23.89,201,0.12,1180,0.00,0.00,16,10.59,18.00,4.93,-9.77,4.40,1.34,0.00,0.66,0.00,96.00
30528,23.66,201,0.12,1158,0.00,0.00,16,10.23,18.00,4.93,-9.77,4.37,1.36,0.00,0.66,0.00,96.00
30592,22.28,201,0.18,1142,0.00,0.00,16,10.23,10.50,4.93,-9.71,6.89,1.64,0.00,0.82,0.00,86.20
30655,19.98,201,0.29,1139,0.00,0.00,16,17.27,16.50,5.66,-8.30,12.75,1.94,0.00,0.94,0.00,59.40
30718,19.98,201,0.32,1096,0.00,0.00,16,25.35,25.00,7.25,-5.86,15.77,1.96,0.00,0.94,0.00,59.40
30782,16.88,201,0.33,1184,0.00,0.00,16,29.22,28.50,9.43,-4.89,15.70,1.96,0.00,0.96,0.00,23.10
30846,16.31,201,0.29,1309,0.00,0.00,16,32.38,31.50,10.16,-4.29,15.70,1.96,0.00,0.96,0.00,17.20
30911,15.04,201,0.28,1613,0.00,0.00,16,36.25,36.50,10.45,-4.37,15.92,1.98,0.00,0.96,0.00,17.20
30975,12.98,201,0.25,1892,0.00,0.00,16,41.17,41.00,10.01,-4.89,16.51,2.00,0.00,0.96,0.00,14.30
31038,12.86,201,0.24,2136,0.00,0.00,16,43.63,43.50,9.58,-5.41,17.33,2.04,0.00,0.96,0.00,14.50
31102,14.47,201,0.24,2374,0.00,0.00,16,44.34,43.50,9.00,-5.90,20.15,2.10,0.00,0.96,0.00,14.50
31167,16.08,201,0.25,2482,0.00,0.00,16,44.69,44.00,8.71,-6.01,20.84,2.12,0.00,0.96,0.00,16.90
31230,16.88,201,0.24,2537,0.00,0.00,16,44.34,44.00,8.56,-6.19,21.01,2.12,0.00,0.96,0.00,17.00
31296,16.88,201,0.25,2591,0.00,0.00,16,44.34,43.50,8.42,-6.32,21.36,2.14,0.00,0.96,0.00,17.00
31359,15.50,201,0.24,2604,0.00,0.00,16,44.69,43.50,8.27,-6.34,21.27,2.14,0.00,0.96,0.00,15.90
31418,15.04,201,0.26,2585,0.00,0.00,16,44.69,44.00,8.27,-6.38,21.27,2.14,0.00,0.96,0.00,15.90
31483,14.81,201,0.26,2463,0.00,0.00,16,45.04,44.50,8.42,-6.27,21.01,2.12,0.00,0.94,0.00,15.30
31547,14.81,201,0.24,2305,0.00,0.00,16,43.98,43.50,8.56,-6.03,20.06,2.10,0.00,0.94,0.00,15.00
31614,14.81,201,0.24,2388,0.00,0.00,16,43.98,43.50,8.56,-6.21,18.49,2.04,0.00,0.92,0.00,15.00
31677,14.59,201,0.23,2310,0.00,0.00,16,43.28,42.50,8.42,-6.30,18.57,2.04,0.00,0.92,0.00,14.70
31742,14.36,201,0.22,2376,0.00,0.00,16,43.28,42.50,8.27,-6.54,17.94,2.04,0.00,0.82,0.00,14.60
31806,14.59,201,0.16,2322,0.00,0.00,16,41.52,41.50,7.25,-8.04,13.56,1.76,0.00,0.66,0.00,14.60
31867,14.70,201,0.13,2358,0.00,0.00,16,32.03,36.50,6.09,-9.09,7.53,1.54,0.00,0.66,0.00,14.80
31935,14.59,201,0.10,2318,0.00,0.00,16,25.00,28.00,5.08,-9.82,6.22,1.48,0.00,0.66,0.00,14.90
31998,14.36,201,0.09,2354,0.00,0.00,16,19.73,22.50,4.50,-10.36,5.87,1.46,0.00,0.66,0.00,14.90
32062,14.01,201,0.09,2330,0.00,0.00,16,14.45,15.50,4.21,-10.58,6.81,1.52,0.00,0.66,0.00,14.70
32126,13.67,201,0.09,2347,0.00,0.00,16,11.99,11.50,4.06,-10.69,6.70,1.52,0.00,0.66,0.00,14.70
32188,14.93,201,0.09,2325,0.00,0.00,16,11.99,11.50,4.06,-10.64,7.26,1.56,0.00,0.66,0.00,14.70
32254,16.65,201,0.09,2338,0.00,0.00,16,11.99,11.50,4.06,-10.64,7.10,1.54,0.00,0.66,0.00,15.00
32317,18.95,201,0.09,2328,0.00,0.00,16,11.99,11.50,4.06,-10.64,7.14,1.54,0.00,0.66,0.00,15.00
32375,21.13,201,0.09,2325,0.00,0.00,16,11.99,11.50,4.06,-10.65,7.03,1.54,0.00,0.66,0.00,16.90
32445,24.35,201,0.09,2318,0.00,0.00,16,11.99,11.50,4.06,-10.67,7.10,1.54,0.00,0.66,0.00,19.50
32510,25.61,201,0.09,2310,0.00,0.00,16,11.99,11.50,4.06,-10.69,6.95,1.54,0.00,0.66,0.00,19.50
32574,25.61,201,0.09,2320,0.00,0.00,16,11.99,11.50,4.06,-10.69,6.95,1.54,0.00,0.66,0.00,23.00
32638,25.61,201,0.09,2320,0.00,0.00,16,11.99,11.50,3.92,-10.71,6.81,1.54,0.00,0.66,0.00,29.30
32701,24.58,201,0.09,2298,0.00,0.00,16,11.99,11.50,3.92,-10.71,6.66,1.52,0.00,0.66,0.00,29.30
32765,23.89,201,0.09,2306,0.00,0.00,16,11.99,11.50,3.92,-10.73,6.62,1.52,0.00,0.66,0.00,39.20
32827,24.12,201,0.08,2284,0.00,0.00,16,11.99,11.50,3.92,-10.77,6.62,1.52,0.00,0.66,0.00,39.20
32887,24.12,201,0.08,2288,0.00,0.00,16,11.99,11.50,3.92,-10.79,6.40,1.50,0.00,0.66,0.00,60.30
32957,24.23,201,0.09,2272,0.00,0.00,16,11.99,11.50,3.92,-10.81,6.59,1.52,0.00,0.66,0.00,74.90
33018,24.23,201,0.09,2275,0.00,0.00,16,11.99,11.50,3.92,-10.85,6.37,1.50,0.00,0.66,0.00,74.90
33086,24.23,201,0.08,2259,0.00,0.00,16,11.99,11.50,3.92,-10.85,6.37,1.50,0.00,0.66,0.00,88.80
33147,24.00,201,0.08,2260,0.00,0.00,16,11.99,11.50,3.92,-10.87,6.22,1.50,0.00,0.66,0.00,94.50
33214,23.89,201,0.08,2240,0.00,0.00,16,11.99,11.50,3.77,-10.89,6.22,1.48,0.00,0.66,0.00,94.50
33278,24.23,201,0.08,2246,0.00,0.00,16,11.99,11.50,3.77,-10.91,6.00,1.48,0.00,0.66,0.00,96.00
33341,24.23,201,0.08,2228,0.00,0.00,16,11.99,11.50,3.77,-10.91,6.04,1.48,0.00,0.66,0.00,96.00
33401,24.35,201,0.08,2234,0.00,0.00,16,11.99,11.50,3.77,-10.93,5.94,1.46,0.00,0.66,0.00,96.00
33469,24.00,201,0.08,2210,0.00,0.00,16,11.99,11.50,3.77,-10.94,5.81,1.46,0.00,0.66,0.00,96.00
33527,24.35,201,0.08,2211,0.00,0.00,16,11.99,11.50,3.77,-10.96,5.55,1.44,0.00,0.66,0.00,99.90
33591,24.00,201,0.08,2204,0.00,0.00,16,11.99,11.50,3.77,-10.98,5.58,1.44,0.00,0.66,0.00,99.90
33661,24.12,201,0.08,2186,0.00,0.00,16,11.99,11.50,3.77,-11.00,5.55,1.44,0.00,0.66,0.00,96.00
33717,24.00,201,0.08,2186,0.00,0.00,16,11.99,11.50,3.77,-11.02,5.49,1.44,0.00,0.66,0.00,96.00
33786,24.23,201,0.08,2167,0.00,0.00,16,11.99,11.50,3.63,-11.06,5.42,1.44,0.00,0.66,0.00,96.00
33852,24.00,201,0.07,2159,0.00,0.00,16,11.99,11.50,3.63,-11.04,5.40,1.42,0.00,0.66,0.00,99.90
33913,24.12,201,0.08,2160,0.00,0.00,16,11.99,11.50,3.63,-11.06,5.36,1.42,0.00,0.66,0.00,99.90
33980,24.12,201,0.07,2136,0.00,0.00,16,11.99,11.50,3.63,-11.10,5.33,1.42,0.00,0.66,0.00,99.90
34044,23.77,201,0.07,2133,0.00,0.00,16,11.99,11.50,3.63,-11.10,5.30,1.42,0.00,0.66,0.00,99.90
34104,23.89,201,0.07,2133,0.00,0.00,16,11.99,11.50,3.63,-11.12,5.30,1.42,0.00,0.66,0.00,99.90
