Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%)
0,0.00,0.00,14.81,7,0.26,1197,0.00,0.00,13.26,16,10.59,17.50,142,4.79,-9.86,5.22,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.50,58.1,21.5
96,0.00,0.00,14.81,7,0.26,1198,0.00,0.00,13.27,16,10.59,17.00,142,4.79,-9.88,5.13,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.50,58.1,21.5
191,0.00,0.00,14.81,7,0.26,1175,0.00,0.00,13.29,16,10.59,18.00,142,4.79,-9.92,4.99,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.50,58.1,21.5
287,0.00,0.00,14.81,7,0.26,1166,0.00,0.00,13.20,16,10.23,18.00,142,4.79,-9.92,5.02,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.50,58.1,21.5
384,0.00,0.00,14.81,7,0.25,1166,0.00,0.00,13.20,16,10.23,17.00,142,4.79,-9.92,5.02,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,15.50,58.1,21.5
479,0.00,0.00,14.81,7,0.25,1149,0.00,0.00,13.22,16,10.23,18.00,142,4.79,-9.92,4.91,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,15.50,58.1,21.5
575,0.00,0.00,14.81,7,0.26,1136,0.00,0.00,13.22,16,10.23,18.00,142,4.79,-9.94,4.86,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,15.40,58.1,21.5
671,0.00,0.00,14.81,7,0.26,1128,0.00,0.00,13.23,16,10.23,18.00,142,4.79,-9.94,4.97,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.30,58.1,21.5
768,0.00,0.00,14.81,7,0.25,1116,0.00,0.00,13.24,16,10.23,18.00,142,4.79,-9.94,4.70,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,15.30,58.1,21.5
863,0.00,0.00,14.81,7,0.26,1116,0.00,0.00,13.16,16,10.23,17.50,140,4.79,-9.94,4.86,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.20,58.1,21.6
