Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Tip-in Throttle* (%),Tip-in Enrichment (Last Calculated)* (raw enrichment value)
0,14.36,0.14,1148,0.00,0.00,16,14.10,13.50,4.93,5.27,-1.08,0.64,0.0,0
199,14.47,0.14,1146,0.00,0.00,16,14.10,15.00,4.93,5.27,-1.08,0.64,0.0,0
396,14.59,0.14,1154,0.00,0.00,16,14.10,14.50,4.93,5.27,-1.08,0.64,0.0,0
597,14.70,0.14,1160,0.00,0.00,16,14.10,13.50,4.93,5.30,-1.08,0.64,0.0,0
801,14.59,0.14,1156,0.00,0.00,16,14.10,13.00,4.93,5.27,-1.08,0.64,0.0,0
1003,14.47,0.14,1162,0.00,0.00,16,14.10,14.00,4.93,5.27,-1.08,0.64,0.0,0
